0	Index      	 *	Score 	Summary	Detail	
1	65614 34221	 * 	312.71	DCR|4VULN|3TLV|3LIT	178TLV|279LIT|3MBVNT|479aVULN|5MDPS|6RCR|79BPWR
12	65614 34222	   	293.55	DCR|3VULN|3TLV|3LIT	178TLV|279LIT|3MBVNT|479VULN|5MDPS|6RCR|79BPWR|aBEXP
13	65614 34224	   	293.55	DCR|3VULN|3TLV|3LIT	178TLV|279LIT|3MBVNT|479VULN|5MDPS|6RCR|79BPWR|aZMB
14	33263 45313	   	292.86	DCR|DCR|2VULN|1TLV|1RPLT	1VENFST|2TLV|3RPLT|4DUR|5LWND|6aRCR|7RMIN|89VULN
15	33263 43313	   	292.76	DCR|DCR|2VULN|1TLV|1RPLT	1VENFST|2TLV|3RPLT|4DUR|5LWND|6aRCR|7ERES|89VULN
16	33265 43313	   	292.66	DCR|DCR|2VULN|1TLV|1RPLT	1VENFST|2TLV|3RPLT|4DUR|5DUST|6aRCR|7ERES|89VULN
17	61155 22321	   	290.37	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1TLV|2AART|3BBNT|4ASPD|5LIT|69RCR|7DLOT|8DMG|aAAC
18	61155 22322	   	290.37	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1TLV|2AART|3BBNT|4ASPD|5LIT|69RCR|7DLOT|8DMG|aLHND
19	61155 22323	   	290.27	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1TLV|2AART|3BBNT|4ASPD|5LIT|69RCR|7DLOT|8DMG|aERES
20	33632 65233	   	289.83	DCR|DCR|2VULN|1TLV|1MLV	1VENFST|2TLV|35VULN|4CRUSTR|6LEGI|79RCR|8DUR|aMLV
21	33112 65233	   	289.73	DCR|DCR|2VULN|1TLV|1MLV	1VENFST|2TLV|3AIRHEL|45VULN|6LEGI|79RCR|8DUR|aMLV
22	33225 26163	 * 	288.97	DCR|3TLV|2MLV|1VULN|1DMG|1RPLT|1CDMG	19VENFST|249TLV|3RPLT|5DMG|6CDMG|7RCR|89MLV|9BPWR|aVULN
23	61114 24321	   	287.80	DCR|DCR|3TLV|1DMG|2DUR	159TLV|2AART|3BBNT|49DUR|68RCR|7TBNT|9BPWR|aDMG
24	61214 24321	   	287.80	DCR|DCR|3TLV|1DMG|2DUR	159TLV|2AART|3TBNT|49DUR|68RCR|7BBNT|9BPWR|aDMG
25	61155 21231	   	287.31	DCR|3VULN|2LIT|1TLV|1ASPD	1TLV|2AART|3BBNT|4ASPD|5aLIT|6RCR|789VULN
26	33263 41153	 * 	287.30	DCR|DCR|2TLV|1MLV|1RPLT	1VENFST|27TLV|3RPLT|4DUR|5LWND|6aRCR|8MLV|9FEWX
27	33242 43252	 * 	287.25	DCR|3VULN|2TLV|2MLV|1RPLT	1VENFST|2aTLV|3RPLT|45MLV|6RCR|789VULN
28	33221 41213	   	287.10	DCR|DCR|2TLV|1VULN|1RPLT	1VENFST|24TLV|3RPLT|5ERES|6aRCR|7LHND|8VULN|9DUR
29	33221 42213	   	287.10	DCR|DCR|2TLV|1VULN|1RPLT	1VENFST|24TLV|3RPLT|5ERES|6aRCR|7LWND|8VULN|9DUR
30	33221 43313	   	287.00	DCR|DCR|2TLV|1VULN|1RPLT	1VENFST|24TLV|3RPLT|5ERES|6aRCR|7VULN|8DUST|9DUR
31	61111 21352	   	286.96	DCR|DCR|2TLV|1LIT	19TLV|2AART|3BBNT|4DUR|5CGEN|68RCR|7RCVC|aLIT
32	61114 22322	   	286.96	DCR|DCR|2TLV|1LIT	15TLV|2AART|3BBNT|4DUR|68RCR|7CGEN|9DMSP|aLIT
33	61115 22352	   	286.96	DCR|DCR|2TLV|1LIT	19TLV|2AART|3BBNT|4DUR|5DMSP|68RCR|7CGEN|aLIT
34	61111 25352	   	286.86	DCR|DCR|2TLV|1LIT	19TLV|2AART|3BBNT|4DUR|5CGEN|68RCR|7AEFBLL|aLIT
35	61114 22332	   	286.86	DCR|DCR|2TLV|1LIT	15TLV|2AART|3BBNT|4DUR|68RCR|7CGEN|9MULHEA|aLIT
36	61114 22352	   	286.40	DCR|DCR|3TLV|1VULN	159TLV|2AART|3BBNT|4DUR|68RCR|7CGEN|aVULN
37	61255 22321	   	286.27	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1TLV|2AART|3TBNT|4ASPD|5LIT|69RCR|7DLOT|8DMG|aAAC
38	61255 22322	   	286.27	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1TLV|2AART|3TBNT|4ASPD|5LIT|69RCR|7DLOT|8DMG|aLHND
39	65614 34141	   	286.18	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3MBVNT|47VULN|5MDPS|6RCR|7BPWR|8CANHEL|9MLV|aBEXP
40	65614 34144	   	286.18	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3MBVNT|47VULN|5MDPS|6RCR|7BPWR|8CANHEL|9MLV|aRCVC
41	61255 22323	   	286.17	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1TLV|2AART|3TBNT|4ASPD|5LIT|69RCR|7DLOT|8DMG|aERES
42	65614 34143	   	286.08	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3MBVNT|47VULN|5MDPS|6RCR|7BPWR|8CANHEL|9MLV|aERES
43	33242 41253	   	285.40	DCR|DCR|2MLV|1TLV|1VULN|1RPLT	1VENFST|2TLV|3RPLT|45MLV|6aRCR|7LHND|8VULN|9FEWX
44	33242 42253	   	285.40	DCR|DCR|2MLV|1TLV|1VULN|1RPLT	1VENFST|2TLV|3RPLT|45MLV|6aRCR|7LWND|8VULN|9FEWX
45	61124 18373	   	285.03	DCR|DCR|1TLV|1LIT|1DMG	1TLV|2AART|3BBNT|4MBVNT|5DMG|6CGEN|7aRCR|8LIT|9RPLT
46	25614 34253	 * 	284.33	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1ZMB|2LIT|3MBVNT|4VULN|5RMIN|6AME|7TLV|8CDMG|9aRCR
47	61255 21231	   	283.20	DCR|3VULN|2LIT|1TLV|1ASPD	1TLV|2AART|3TBNT|4ASPD|5aLIT|6RCR|789VULN
48	33624 33613	   	282.86	DCR|DCR|2VULN|1TLV	1VENFST|2TLV|39VULN|4LWND|5RPLT|6DUR|7CGEN|8aRCR
49	61211 21352	   	282.86	DCR|DCR|2TLV|1LIT	19TLV|2AART|3TBNT|4DUR|5CGEN|68RCR|7RCVC|aLIT
50	61214 22322	   	282.86	DCR|DCR|2TLV|1LIT	15TLV|2AART|3TBNT|4DUR|68RCR|7CGEN|9DMSP|aLIT
51	61215 22352	   	282.86	DCR|DCR|2TLV|1LIT	19TLV|2AART|3TBNT|4DUR|5DMSP|68RCR|7CGEN|aLIT
52	61214 22332	   	282.76	DCR|DCR|2TLV|1LIT	15TLV|2AART|3TBNT|4DUR|68RCR|7CGEN|9MULHEA|aLIT
53	32364 41313	   	282.76	DCR|DCR|2VULN|1TLV	1VENFST|2BEXP|3ERES|4DUR|5RPLT|6aRCR|7TLV|89VULN
54	33424 43313	   	282.76	DCR|DCR|2VULN|1TLV	1VENFST|2TLV|3DUR|4LWND|5RPLT|6aRCR|7ERES|89VULN
55	33463 43313	   	282.76	DCR|DCR|2VULN|1TLV	1VENFST|2TLV|3DUR|4RPLT|5LWND|6aRCR|7ERES|89VULN
56	33562 43313	   	282.76	DCR|DCR|2VULN|1TLV	1VENFST|2TLV|3BEXP|4RPLT|5DUR|6aRCR|7ERES|89VULN
57	33624 41213	   	282.76	DCR|DCR|2VULN|1TLV	1VENFST|2TLV|39VULN|4LWND|5RPLT|6aRCR|7AME|8DUR
58	33624 43313	   	282.76	DCR|DCR|2VULN|1TLV	1VENFST|2TLV|37VULN|4LWND|5RPLT|6aRCR|8AME|9DUR
59	61211 25352	   	282.76	DCR|DCR|2TLV|1LIT	19TLV|2AART|3TBNT|4DUR|5CGEN|68RCR|7AEFBLL|aLIT
