0	Index      	 *	Score 	Summary	Detail	
1	31236 16225	 * 	295.84	DCR|2VULN|2TLV|2LIT|1MLV	1AIRARM|2DUR|3aVULN|4aTLV|5FLTARM|6aLIT|7MLV|8RCR|9ERES|aBPWR
15	22233 35251	   	278.15	DCR|DCR|2VULN|2ASPD|1RPLT|1CDMG	14ASPD|2LWND|3RPLT|5DUR|68VULN|79RCR|aCDMG
16	24233 35251	   	278.15	DCR|DCR|2VULN|2ASPD|1RPLT|1CDMG	14ASPD|2BEXP|3RPLT|5DUR|68VULN|79RCR|aCDMG
17	23233 65211	 * 	277.15	DCR|2VULN|2TLV|1MLV|1DMG|1ASPD	1ASPD|2SNIHEL|3MLV|45TLV|6DMG|79VULN|8DUR|aRCR
18	52111 62531	 * 	276.82	DCR|2VULN|2LIT|1TLV|1DMG|1ASPD	1BBNT|24VULN|36LIT|5ERES|7DMG|8RCR|9ASPD|aTLV
19	21213 21252	   	275.28	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LHND|3RPLT|48VULN|59RCR|6MLV|7TLV|aCGEN
20	21213 21255	   	275.28	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LHND|3RPLT|48VULN|59RCR|6MLV|7TLV|aRCVC
21	22213 21252	   	275.28	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|59RCR|6MLV|7TLV|aCGEN
22	22213 21255	   	275.28	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|59RCR|6MLV|7TLV|aRCVC
23	24213 21252	   	275.28	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6MLV|7TLV|aCGEN
24	21213 21256	   	275.18	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LHND|3RPLT|48VULN|59RCR|6MLV|7TLV|aLEGI
25	22213 21256	   	275.18	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|59RCR|6MLV|7TLV|aLEGI
26	52123 22346	 * 	275.11	DCR|3VULN|2LIT|1TLV	1BBNT|279VULN|39LIT|4DUR|5TLV|6NUKE|89BEXP|9BPWR|aRCR
27	22216 21261	   	274.92	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|5DMG|6RCR|7TLV|9LIT|aDUR
28	22216 23265	   	274.92	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|5DMG|6RCR|7DUR|9LIT|aTLV
29	11455 33223	 * 	274.56	DCR|DCR|2VULN|1TLV	1BEXP|2LWND|3AME|4TLV|57VULN|6DUR|8LHND|9aRCR
30	15355 23323	   	274.56	DCR|DCR|2VULN|1TLV	1BEXP|2AME|3FEWX|4TLV|57VULN|6LWND|8DUR|9aRCR
31	15355 33223	   	274.56	DCR|DCR|2VULN|1TLV	1BEXP|2AME|3FEWX|4TLV|57VULN|6DUR|8LWND|9aRCR
32	15615 23323	   	274.56	DCR|DCR|2VULN|1TLV	1BEXP|2AME|3TLV|4FEWX|57VULN|6LWND|8DUR|9aRCR
33	15615 33223	   	274.56	DCR|DCR|2VULN|1TLV	1BEXP|2AME|3TLV|4FEWX|57VULN|6DUR|8LWND|9aRCR
34	14463 13351	   	274.46	DCR|DCR|2VULN|1TLV	1BEXP|2MBVNT|3AME|4TLV|5BELT|69RCR|7aVULN|8BBNT
35	15633 13351	   	274.46	DCR|DCR|2VULN|1TLV	1BEXP|2AME|3TLV|4MBVNT|5BELT|69RCR|7aVULN|8BBNT
36	14634 53441	   	274.17	DCR|2VULN|2TLV|1LIT|1MLV	1BEXP|2MBVNT|3LIT|4AART|57VULN|6MLV|89TLV|aRCR
37	23233 43125	 * 	273.80	DCR|2TLV|1LIT|2ASPD|1MLV|1DMG|2CDMG	17ASPD|27SNIHEL|3MLV|45TLV|67CDMG|7BPWR|8LIT|9RCR|aDMG
38	21213 31251	   	273.56	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD|1CDMG	1ASPD|2LHND|3RPLT|48VULN|59RCR|6CGEN|7TLV|aCDMG
39	22213 31251	   	273.56	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD|1CDMG	1ASPD|2LWND|3RPLT|48VULN|59RCR|6CGEN|7TLV|aCDMG
40	24213 31251	   	273.56	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD|1CDMG	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6CGEN|7TLV|aCDMG
41	21213 41251	   	273.46	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD|1CDMG	1ASPD|2LHND|3RPLT|48VULN|59RCR|6AME|7TLV|aCDMG
42	22213 41251	   	273.46	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD|1CDMG	1ASPD|2LWND|3RPLT|48VULN|59RCR|6AME|7TLV|aCDMG
43	24213 41251	   	273.46	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD|1CDMG	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6AME|7TLV|aCDMG
44	55111 33224	   	273.40	DCR|3VULN|1TLV|1LIT|1DMG	1BBNT|2FEWX|3LIT|48aVULN|5AART|6TLV|7RCR|9DMG
45	52151 33224	   	273.30	DCR|3VULN|1TLV|1LIT|1DMG	1BBNT|28aVULN|3LIT|4DUST|5AART|6TLV|7RCR|9DMG
46	52151 33226	 * 	271.71	DCR|2VULN|2TLV|1LIT|1DMG	1BBNT|28VULN|3LIT|4DUST|5AART|6aTLV|7RCR|9DMG
47	52151 33223	   	271.48	DCR|2VULN|2LIT|1TLV|1DMG	1BBNT|28VULN|3aLIT|4DUST|5AART|6TLV|7RCR|9DMG
48	23334 66312	   	271.43	DCR|2VULN|2TLV|3ASPD|1LIT	158ASPD|2SNIHEL|3RMIN|48TLV|68VULN|7RCVC|8BPWR|9LIT|aRCR
49	21615 12533	 * 	270.41	DCR|DCR|1TLV|1LIT|1ASPD	1ASPD|2LHND|3TLV|4FEWX|5RPLT|6LWND|7aRCR|8BBNT|9LIT
50	14123 57231	   	270.31	DCR|DCR|1TLV|1VULN|1ASPD	1BEXP|2MBVNT|3BBNT|4AART|5ASPD|6ZMB|7aRCR|8VULN|9TLV
51	22636 22271	   	270.31	DCR|DCR|1TLV|1VULN|1ASPD	1ASPD|2LWND|3TLV|4MBVNT|5RPLT|69RCR|7VULN|8LHND|aBBNT
52	22253 35253	   	270.16	DCR|DCR|2VULN|2ASPD|1RPLT	14ASPD|24LWND|3RPLT|4BPWR|5DUR|68VULN|79RCR|aTBNT
53	22233 35253	   	270.06	DCR|DCR|2VULN|2ASPD|1RPLT	14ASPD|2LWND|3RPLT|5DUR|68VULN|79RCR|aTBNT
54	24233 35253	   	270.06	DCR|DCR|2VULN|2ASPD|1RPLT	14ASPD|2BEXP|3RPLT|5DUR|68VULN|79RCR|aTBNT
55	24213 31255	   	269.57	ACR|DCR|2VULN|1TLV|1RPLT|1ASPD	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6CGEN|7TLV|aDUR
56	22235 35251	   	268.49	DCR|DCR|2VULN|2ASPD|1RPLT|1CDMG	14ASPD|2LWND|3RPLT|5BEXP|68VULN|79RCR|aCDMG
57	22143 35251	   	268.15	DCR|DCR|2VULN|2ASPD|1CDMG	13ASPD|2LWND|4RPLT|5DUR|68VULN|79RCR|aCDMG
58	23233 45125	 * 	267.96	DCR|2TLV|2MLV|1LIT|1DMG|1ASPD|1CDMG	1ASPD|2SNIHEL|37MLV|45TLV|6CDMG|8LIT|9RCR|aDMG
59	23233 65111	   	267.49	DCR|2VULN|2TLV|1MLV|1DMG|1ASPD	1ASPD|2SNIHEL|3MLV|45TLV|6DMG|79VULN|8FEWX|aRCR
60	23233 65311	   	267.49	DCR|2VULN|2TLV|1MLV|1DMG|1ASPD	1ASPD|2SNIHEL|3MLV|45TLV|6DMG|79VULN|8LWND|aRCR
61	55111 33613	   	267.39	DCR|2TLV|1LIT|1VULN|1MLV	1BBNT|2FEWX|3LIT|4VULN|5AART|6aTLV|7RCR|8DUR|9MLV
62	52151 33613	   	267.29	DCR|2TLV|1LIT|1VULN|1MLV	1BBNT|2VULN|3LIT|4DUST|5AART|6aTLV|7RCR|8DUR|9MLV
63	34612 22232	   	267.23	DCR|3VULN|1TLV|1LIT|1RPLT|1CDMG	1AIRARM|2TLV|3RPLT|4CDMG|589VULN|6LHND|7LIT|aRCR
64	34643 22232	   	267.23	DCR|3VULN|1TLV|1LIT|1RPLT|1CDMG	1AIRARM|2TLV|3RPLT|489VULN|5CDMG|6LHND|7LIT|aRCR
65	55111 33234	   	266.99	DCR|3VULN|1TLV|1LIT|1ASPD	1BBNT|2FEWX|3LIT|48aVULN|5AART|6TLV|7RCR|9ASPD
66	23233 66315	 * 	266.97	DCR|2TLV|2MLV|1LIT|2ASPD|1DMG	18ASPD|2SNIHEL|38MLV|45TLV|6DMG|78CGEN|8BPWR|9RCR|aLIT
67	52151 33234	   	266.89	DCR|3VULN|1TLV|1LIT|1ASPD	1BBNT|28aVULN|3LIT|4DUST|5AART|6TLV|7RCR|9ASPD
