0	Index      	 *	Score 	Summary	Detail	
1	37318 47341	 * 	304.06	DCR|3LIT|2VULN|2TLV|1MLV	1MBVNT|29VULN|3CGEN|469LIT|5MDPS|7RCR|89TLV|9BPWR|aMLV
35	34451 72274	   	278.09	DCR|2VULN|2TLV|1LIT|2ASPD|1RPLT	1MBVNT|2aASPD|3RPLT|4aVULN|5MDPS|6ERES|7LIT|8RCR|9aTLV|aBPWR
36	32228 31238	   	277.37	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4LHND|5VULN|6TLV|7FEWX|89RCR|aBBNT
37	34463 16424	 * 	277.06	DCR|2TLV|2DMG|2ASPD|1MLV|1RPLT	1MBVNT|28ASPD|3RPLT|48TLV|5MLV|6DUR|78DMG|8BPWR|9RCR|aBBNT
38	32261 52332	   	277.00	DCR|DCR|2VULN|1LIT|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|47VULN|5TBNT|6aRCR|8LIT|9ZMB
39	25242 53122	 * 	276.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2BEXP|3RMIN|4TBNT|5VULN|6LIT|7DMSP|8aRCR|9TLV
40	25242 52122	   	276.24	DCR|DCR|1TLV|1LIT|1VULN	17DUST|2BEXP|3RMIN|4TBNT|5VULN|6LIT|8aRCR|9TLV
41	37314 27343	   	276.23	DCR|3VULN|2TLV|2LIT	1MBVNT|259VULN|3CGEN|49LIT|6MDPS|7RCR|89TLV|9BPWR|aRMIN
42	37314 27345	   	276.23	DCR|3VULN|2TLV|2LIT	1MBVNT|259VULN|3CGEN|49LIT|6MDPS|7RCR|89TLV|9BPWR|aLHND
43	37314 27348	   	276.23	DCR|3VULN|2TLV|2LIT	1MBVNT|259VULN|3CGEN|49LIT|6MDPS|7RCR|89TLV|9BPWR|aFEWX
44	37318 23442	   	276.23	DCR|3VULN|2TLV|2LIT	1MBVNT|29aVULN|38CGEN|49LIT|5MDPS|69TLV|7RCR|9BPWR
45	37318 23742	   	276.23	DCR|3VULN|2TLV|2LIT	1MBVNT|29aVULN|3CGEN|49LIT|5MDPS|69TLV|7RCR|8RCVC|9BPWR
46	37318 37342	   	276.23	DCR|3VULN|2TLV|2LIT	1MBVNT|29aVULN|3CGEN|49LIT|5MDPS|6DMSP|7RCR|89TLV|9BPWR
47	37534 37343	   	276.13	DCR|3VULN|2TLV|2LIT	1MBVNT|239VULN|39BPWR|4ERES|5MDPS|69LIT|7RCR|89TLV|aRMIN
48	37318 23332	   	276.05	DCR|2VULN|2TLV|2LIT|1CDMG	1MBVNT|29VULN|3CGEN|49LIT|5MDPS|69TLV|7RCR|8AART|9BPWR|aCDMG
49	34463 16423	   	275.70	DCR|2TLV|2DMG|2ASPD|1MLV|1RPLT	1MBVNT|28ASPD|3RPLT|48TLV|5MLV|6DUR|78DMG|8BPWR|9RCR|aAART
50	37314 27341	 * 	275.67	DCR|3VULN|3TLV|2LIT	1MBVNT|259VULN|3CGEN|49LIT|6MDPS|7RCR|89aTLV|9BPWR
51	37534 37341	   	275.57	DCR|3VULN|3TLV|2LIT	1MBVNT|239VULN|39BPWR|4ERES|5MDPS|69LIT|7RCR|89aTLV
52	34281 87313	 * 	275.57	DCR|2VULN|2MLV|3ASPD|1TLV|1DMG	1MBVNT|239ASPD|4AART|5TLV|6RCR|79VULN|89MLV|9BPWR|aDMG
53	32264 17327	 * 	275.45	DCR|2VULN|2MLV|1TLV|1LIT|1DMG|1ASPD	1MBVNT|28MLV|3ASPD|48VULN|5LIT|6TLV|78LHND|8BPWR|9DMG|aRCR
54	62321 51143	   	275.35	DCR|2VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	1CDMG|25VULN|36MLV|4LIT|7LHND|8DMG|9RCR|aTLV
55	37246 33122	   	275.27	DCR|2VULN|2TLV|2MLV|2CDMG	1MBVNT|2aVULN|3RMIN|4RPLT|59CDMG|6aTLV|7RCR|8aMLV|aBPWR
56	32264 14327	   	275.25	DCR|2VULN|2MLV|1TLV|1LIT|1DMG|1ASPD	1MBVNT|28MLV|3ASPD|48VULN|5LIT|6TLV|78DUST|8BPWR|9DMG|aRCR
57	62311 51142	   	275.25	DCR|2VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	1CDMG|27VULN|3aMLV|4ERES|5TLV|6LIT|8DMG|9RCR
58	62311 63142	   	275.25	DCR|2VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	1CDMG|26VULN|3aMLV|4ERES|5TLV|7LIT|8DMG|9RCR
59	13611 33312	   	274.81	DCR|DCR|1LIT|1VULN|1DMG|1CDMG	1DUR|2TBNT|3BBNT|4DMG|5VULN|6aRCR|7CDMG|8LIT|9AME
60	13611 33332	   	274.81	DCR|DCR|1LIT|1VULN|1DMG|1CDMG	1DUR|2TBNT|3BBNT|4DMG|5VULN|6aRCR|7CDMG|8LIT|9ERES
61	32828 31231	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7FEWX|89RCR|aCGEN
62	32828 31233	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7FEWX|89RCR|aBEXP
63	32828 31237	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7aFEWX|89RCR
64	32828 34231	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7BEXP|89RCR|aCGEN
65	32828 34233	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7aBEXP|89RCR
66	32828 34234	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7BEXP|89RCR|aCRUSTR
67	32828 34237	   	274.13	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7BEXP|89RCR|aFEWX
