0	Index      	 *	Score 	Summary	Detail	
1	43112 21622	 * 	191.86	DCR|4VULN|3DMG|1ASPD	1VENICY|25aDMG|3ASPD|4789VULN|6RCR
56	43112 21222	   	171.00	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|47VULN|6RCR|8FLTHEA|9MBVNT|aZMB
57	43112 56131	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1VENICY|259DMG|3ASPD|4aVULN|6BELT|7CDMG|8RCR
58	22324 36321	   	170.88	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1CGEN|24TLV|346DMG|4BPWR|5RCR|7ASPD|8DUR|9AART|aVULN
59	22364 36321	   	170.88	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1CGEN|2TLV|346DMG|5RCR|7ASPD|8DUR|9AART|aVULN
60	26324 36321	   	170.88	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1CGEN|24ERES|346DMG|4BPWR|5RCR|7ASPD|8DUR|9AART|aVULN
61	43112 26131	   	170.86	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1SELL	1VENICY|25DMG|3ASPD|48VULN|6RCR|7SELL|9ZMB|aCDMG
62	34351 15332	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|25VULN|3CDMG|4AART|6DUR|7DMG|8ZMB|9MLV|aRCR
63	34355 23332	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|27VULN|3CDMG|4AART|5DMG|6DUR|8ZMB|9MLV|aRCR
64	34351 15313	   	170.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|25VULN|3CDMG|4AART|6DUR|7DMG|8ZMB|9DUST|aRCR
65	34355 23313	   	170.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|27VULN|3CDMG|4AART|5DMG|6DUR|8ZMB|9DUST|aRCR
66	13361 21561	 * 	170.69	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	1FEWX|2BELT|3SELL|4AART|56aDMG|7VULN|8CDMG|9RCR
67	32325 46312	   	170.68	DCR|2VULN|2DMG|2CDMG|1ZMB	124LHND|34CDMG|4BPWR|57VULN|6RCR|8ZMB|9aDMG
68	34511 22143	   	170.56	DCR|4VULN|1AART|1ZMB|1ASPD	1LHND|2367VULN|4AART|5ASPD|8ZMB|9RCR|aRCVC
69	31412 13452	   	170.31	DCR|2VULN|2DMG|1AART|1DUR|1SELL	18LHND|2LIT|3BELT|4SELL|58DMG|6RCR|78VULN|8BPWR|9AART|aDUR
70	43214 32152	 * 	169.77	DCR|2VULN|2DMG|1AART|2ZMB	1VENICY|25DMG|36VULN|4BEXP|7AART|89ZMB|aRCR
71	43112 23412	   	169.68	DCR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|4aVULN|6RCR|79DUR|8ZMB
72	43263 23351	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1VENICY|2DMG|3aVULN|4CDMG|5LHND|6AART|7RCR|8ERES|9ZMB
73	43112 21316	   	169.55	DCR|2VULN|2DMG|1AART|1ASPD	1VENICY|25DMG|3ASPD|47VULN|6RCR|8ERES|9CGEN|aAART
74	23272 86421	   	169.43	ACR|3DMG|1AART|1VULN|2DUR	127CGEN|3MBVNT|478DMG|5RCR|67DUR|7BPWR|9AART|aVULN
75	34511 21142	   	169.26	DCR|4VULN|1AART|1ZMB|1ASPD	17LHND|236aVULN|4AART|5ASPD|8ZMB|9RCR
76	34511 32142	   	169.26	DCR|4VULN|1AART|1ZMB|1ASPD	16LHND|237aVULN|4AART|5ASPD|8ZMB|9RCR
77	35525 13212	   	169.15	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1LHND|24DUR|34VULN|4BPWR|5CDMG|6RMIN|7ASPD|8DMG|9AART|aRCR
78	43112 21132	   	169.04	DCR|3VULN|2DMG|1ASPD|1DUR	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8CGEN|9DUR
79	43112 21136	   	169.04	DCR|3DMG|2VULN|1ASPD|1DUR	1VENICY|25aDMG|3ASPD|47VULN|6RCR|8CGEN|9DUR
80	14333 26532	   	169.01	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1FEWX|267VULN|3CDMG|4ZMB|5ASPD|8DMG|9RCR|aDUR
81	34333 26532	   	169.01	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|267VULN|3CDMG|4ZMB|5ASPD|8DMG|9RCR|aDUR
82	23211 62551	   	168.82	DCR|3VULN|3DMG	1249aCGEN|3MBVNT|5LHND|69aDMG|7RCR|89aVULN|9aBPWR
83	23212 32551	   	168.82	DCR|3VULN|3DMG	1249aCGEN|3MBVNT|5FEWX|69aDMG|7RCR|89aVULN|9aBPWR
84	23213 32551	   	168.82	DCR|3VULN|3DMG	1249aCGEN|3MBVNT|5BEXP|69aDMG|7RCR|89aVULN|9aBPWR
85	23221 62551	   	168.82	DCR|3VULN|3DMG	1249aCGEN|3MBVNT|49aBPWR|5LHND|69aDMG|7RCR|89aVULN
86	23222 32551	   	168.82	DCR|3VULN|3DMG	1249aCGEN|3MBVNT|49aBPWR|5FEWX|69aDMG|7RCR|89aVULN
87	23223 32551	   	168.82	DCR|3VULN|3DMG	1249aCGEN|3MBVNT|49aBPWR|5BEXP|69aDMG|7RCR|89aVULN
88	23235 32551	   	168.82	DCR|3VULN|3DMG	129aCGEN|3MBVNT|45FEWX|69aDMG|7RCR|89aVULN|9aBPWR
89	13561 52323	 * 	168.79	DCR|2VULN|1AART|1DMG|2CDMG	1FEWX|2BELT|3aCDMG|4AART|5DMG|6RCR|79VULN|8BEXP
90	22324 32151	   	168.73	ACR|3DMG|2VULN|1ZMB|1DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|79VULN|8ZMB|aDUR
91	22324 32152	   	168.73	ACR|3DMG|2VULN|1ZMB|1ASPD	1CGEN|24TLV|346DMG|4BPWR|5RCR|79VULN|8ZMB|aASPD
92	22364 32151	   	168.73	ACR|3DMG|2VULN|1ZMB|1DUR	1CGEN|2TLV|346DMG|5RCR|79VULN|8ZMB|aDUR
93	22364 32152	   	168.73	ACR|3DMG|2VULN|1ZMB|1ASPD	1CGEN|2TLV|346DMG|5RCR|79VULN|8ZMB|aASPD
94	26324 32151	   	168.73	ACR|3DMG|2VULN|1ZMB|1DUR	1CGEN|24ERES|346DMG|4BPWR|5RCR|79VULN|8ZMB|aDUR
95	26324 32152	   	168.73	ACR|3DMG|2VULN|1ZMB|1ASPD	1CGEN|24ERES|346DMG|4BPWR|5RCR|79VULN|8ZMB|aASPD
96	34511 12141	   	168.71	DCR|3VULN|1AART|2ASPD|1ZMB|1DUR	1LHND|237VULN|4AART|56ASPD|8ZMB|9RCR|aDUR
97	22324 34126	 * 	168.53	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|7DUR|8ZMB|9AART|aCDMG
98	22324 32356	 * 	168.45	ACR|3DMG|2AART|1VULN	1CGEN|24TLV|346DMG|4BPWR|5RCR|7VULN|8FEWX|9aAART
99	43223 62142	   	168.42	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|34VULN|5BEXP|6RCVC|7AART|8ZMB|aRCR
100	22324 33121	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|24TLV|346DMG|4BPWR|5RCR|7BEXP|8ZMB|9AART|aVULN
101	22364 33121	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|2TLV|346DMG|5RCR|7BEXP|8ZMB|9AART|aVULN
102	22364 63121	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|26TLV|346DMG|5RCR|6BPWR|7BEXP|8ZMB|9AART|aVULN
103	26324 33121	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|24ERES|346DMG|4BPWR|5RCR|7BEXP|8ZMB|9AART|aVULN
104	26364 33121	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|2ERES|346DMG|5RCR|7BEXP|8ZMB|9AART|aVULN
105	43223 32152	 * 	167.84	DCR|3VULN|1AART|1DMG|2ZMB	1VENICY|2DMG|346VULN|5BEXP|7AART|89ZMB|aRCR
106	43226 32152	   	167.84	DCR|3VULN|1AART|1DMG|2ZMB	1VENICY|2DMG|346VULN|5FEWX|7AART|89ZMB|aRCR
107	34333 22212	   	167.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|26VULN|3CDMG|4ZMB|5ASPD|7BEXP|8DMG|9AART|aRCR
108	34333 25212	   	167.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|26VULN|3CDMG|4ZMB|5ASPD|7LWND|8DMG|9AART|aRCR
109	34532 23612	   	167.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|23VULN|4ZMB|5CDMG|6DMG|7ASPD|8BEXP|9AART|aRCR
110	43112 23416	   	167.75	DCR|3DMG|1VULN|2DUR|1ZMB|1ASPD	1VENICY|25aDMG|3ASPD|4VULN|6RCR|79DUR|8ZMB
111	34532 23212	   	167.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|23VULN|4ZMB|5CDMG|6DMG|7ASPD|8DUST|9AART|aRCR
112	34532 63212	   	167.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|23VULN|4ZMB|5CDMG|6DUST|7ASPD|8DMG|9AART|aRCR
113	45263 23321	   	167.47	DCR|3VULN|1AART|1DMG|1DUR|1SELL	1VENICY|2SELL|3DUR|48aVULN|5DMG|6AART|7RCR|9LWND
114	22324 32116	   	167.40	ACR|3DMG|1AART|1VULN|1ZMB	19CGEN|24TLV|346DMG|4BPWR|5RCR|7VULN|8ZMB|aAART
115	22364 32116	   	167.40	ACR|3DMG|1AART|1VULN|1ZMB	19CGEN|2TLV|346DMG|5RCR|7VULN|8ZMB|aAART
116	32315 46312	   	167.37	DCR|2VULN|2DMG|1CDMG|1ZMB	12LHND|3CDMG|4RCVC|57VULN|6RCR|8ZMB|9aDMG
117	34134 11252	 * 	167.36	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|27VULN|3RMIN|4SNIHEL|56DMG|8FLTHEA|9AART|aRCR
118	14221 34236	   	167.34	DCR|3VULN|2DMG|2DUR|1ASPD	1FEWX|24aVULN|34DUST|4aBPWR|5LIT|6aDUR|7ASPD|8aDMG|9RCR
119	34221 34236	   	167.34	DCR|3VULN|2DMG|2DUR|1ASPD	1LHND|24aVULN|34DUST|4aBPWR|5LIT|6aDUR|7ASPD|8aDMG|9RCR
120	22324 66233	   	167.30	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|246TLV|346DMG|46BPWR|5RCR|7VULN|8ERES|9ZMB|aAART
121	43211 66222	   	167.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1VENICY|2DMG|3VULN|4BEXP|5DUR|6RCR|7CDMG|8AART|9ZMB|aASPD
122	34223 43512	 * 	167.26	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|24VULN|34DUST|4BPWR|5CDMG|6MBVNT|78DMG|9AART|aRCR
123	13561 52112	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1FEWX|2BELT|3CDMG|48AART|5DMG|6RCR|7VULN|9ERES|aZMB
124	43112 21126	   	167.04	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1VENICY|25DMG|3ASPD|47VULN|6RCR|8CGEN|9CDMG|aDUR
125	43112 21244	   	167.04	DCR|2VULN|2DMG|1FLTHEA|1DUR|1ASPD	1VENICY|25DMG|3ASPD|47VULN|6RCR|8FLTHEA|9RPLT|aDUR
126	43116 32141	   	167.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1VENICY|2DMG|3ASPD|46VULN|5ZMB|7AART|8RCR|9DUR|aLIT
127	43116 32143	   	167.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1VENICY|2DMG|3ASPD|46VULN|5ZMB|7AART|8RCR|9DUR|aBEXP
128	43112 21224	   	166.94	DCR|2VULN|2DMG|1FLTHEA|1DUR|1ASPD	1VENICY|25DMG|3ASPD|47VULN|6RCR|8FLTHEA|9MBVNT|aDUR
129	43116 32142	   	166.91	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1VENICY|2DMG|3ASPD|46VULN|5ZMB|7AART|8RCR|9DUR|aDUST
130	43112 26522	   	166.79	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD|1SELL	1VENICY|25DMG|3ASPD|4aVULN|6RCR|7SELL|8DUR|9CDMG
131	34355 13132	 * 	166.78	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	1LHND|2VULN|3CDMG|4AART|5DMG|69ASPD|7DUR|8ZMB|aRCR
132	34512 32152	 * 	166.77	DCR|3VULN|2AART|1ZMB	1LHND|237VULN|49AART|5CGEN|6RCR|8LEGI|aZMB
133	34514 23233	   	166.75	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|23VULN|4AART|5CDMG|6LWND|7DUR|8DMG|9ASPD|aRCR
134	34351 23233	   	166.75	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|25VULN|3CDMG|4AART|6LWND|7DUR|8DMG|9ASPD|aRCR
135	34355 13232	   	166.75	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1LHND|2VULN|3CDMG|4AART|58DMG|6ASPD|7DUR|9MLV|aRCR
136	43116 32163	 * 	166.68	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1VENICY|2DMG|39ASPD|46VULN|5ZMB|7AART|8RCR|aCGEN
137	34355 13213	   	166.65	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LHND|2VULN|3CDMG|4AART|58DMG|6ASPD|7DUR|9DUST|aRCR
138	13454 22112	   	166.61	DCR|3VULN|2DMG|1CDMG	1FEWX|2BELT|35DMG|45aVULN|5BPWR|6LIT|7RCR|8CDMG|9LWND
139	13454 22132	   	166.61	DCR|3DMG|2VULN|1CDMG	1FEWX|2BELT|359DMG|45VULN|5BPWR|6LIT|7RCR|8CDMG|aMGNLIT
140	13454 22133	   	166.61	DCR|3DMG|2VULN|1CDMG	1FEWX|2aBELT|359DMG|45VULN|5BPWR|6LIT|7RCR|8CDMG
141	43111 11621	   	166.60	DCR|4VULN|2DMG|1ASPD	1VENICY|26DMG|3ASPD|4789VULN|5LHND|aRCR
142	43112 11621	   	166.60	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4789VULN|6LWND|aRCR
143	43112 42621	   	166.60	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4689VULN|7LWND|aRCR
144	46313 11621	   	166.60	DCR|4VULN|2DMG|1ASPD	1VENICY|2789VULN|3LWND|4ASPD|56DMG|aRCR
145	43116 32161	   	166.58	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1VENICY|2DMG|39ASPD|46VULN|5ZMB|7AART|8RCR|aDUST
146	43116 32162	   	166.58	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1VENICY|2DMG|39ASPD|46VULN|5ZMB|7AART|8RCR|aBASICY
147	13454 22131	   	166.51	DCR|3DMG|2VULN|1CDMG	1FEWX|2BELT|359DMG|45VULN|5BPWR|6LIT|7RCR|8CDMG|aTLV
148	43112 61621	   	166.50	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4789VULN|6DUST|aRCR
149	43523 11621	   	166.50	DCR|4VULN|2DMG|1ASPD	1VENICY|26DMG|3DUST|4789VULN|5ASPD|aRCR
150	11616 52212	   	166.47	DCR|3VULN|2DMG|1ZMB	179FEWX|2LIT|39aVULN|4ZMB|5LHND|6RCR|89DMG|9BPWR
151	23272 35424	 * 	166.44	ACR|3VULN|3DMG	12CGEN|3MBVNT|489DMG|5RCR|67aVULN
152	26324 63223	   	166.44	ACR|3VULN|3DMG	1aCGEN|246ERES|346DMG|46aBPWR|5RCR|7aAIRHEL|89aVULN
153	43112 21121	   	166.41	DCR|2VULN|2DMG|2CDMG|1ASPD	1VENICY|25DMG|3ASPD|47VULN|6RCR|8CGEN|9aCDMG
154	36513 32613	   	166.31	DCR|2VULN|2DMG|1AART	1LHND|2ERES|3CGEN|4AART|59DMG|6RCR|7RMIN|8aVULN
155	32326 66312	 * 	166.30	ACR|2VULN|2DMG|2CDMG|1ZMB	124LHND|34CDMG|4BPWR|5RCR|67VULN|8ZMB|9aDMG
156	32321 46212	   	166.24	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB|1DUR	124LHND|34CDMG|4BPWR|5DUR|6RCR|7VULN|8DMG|9AART|aZMB
157	21332 23412	   	166.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2LWND|3CDMG|4MLV|5RCR|6VULN|78DMG|9AART|aZMB
158	46143 23122	   	166.07	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1VENICY|2VULN|3DUR|4CDMG|5DMG|6AART|7RCR|8LHND|9ZMB|aASPD
159	36332 23412	   	166.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2ERES|3CDMG|4MLV|5RCR|6VULN|78DMG|9AART|aZMB
160	22326 12521	   	165.92	DCR|3DMG|1AART|1VULN|1ASPD	1CGEN|24TLV|348DMG|4BPWR|5ASPD|6FEWX|7RCR|9AART|aVULN
161	22366 12521	   	165.92	DCR|3DMG|1AART|1VULN|1ASPD	1CGEN|2TLV|348DMG|5ASPD|6FEWX|7RCR|9AART|aVULN
162	26326 12521	   	165.92	DCR|3DMG|1AART|1VULN|1ASPD	1CGEN|24ERES|348DMG|4BPWR|5ASPD|6FEWX|7RCR|9AART|aVULN
163	43212 32142	   	165.92	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|36VULN|45BEXP|7AART|8ZMB|aRCR
164	43225 22142	   	165.92	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|34VULN|5DMSP|6FEWX|7AART|8ZMB|aRCR
165	43221 22322	   	165.82	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|28DMG|34VULN|5ERES|6ZMB|7AART|9MLV|aRCR
166	43221 22542	   	165.82	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|34VULN|5ERES|6ZMB|7AART|8MLV|aRCR
167	43221 22642	   	165.82	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|34VULN|5ERES|6ZMB|7AART|8CGEN|aRCR
