0	Index      	 *	Score 	Summary	Detail	
1	34433 31262	 * 	220.10	ACR|3VULN|3DMG|1AART|2FLTHEA	1AART|29aDMG|3RCR|4LWND|57aVULN|6aFLTHEA|8RPLT|aBPWR
18	34363 53111	   	195.84	ACR|4VULN|2DMG|1AART|1SELL	1AART|27DMG|3SELL|4RCR|567aVULN|7BPWR|8FEWX|9LHND
19	34363 53121	   	195.39	ACR|3VULN|2DMG|1AART|1CDMG|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|8FEWX|9LIT|aCDMG
20	34423 23411	   	195.39	ACR|3VULN|2DMG|1AART|1ZMB	1AART|28DMG|3RCR|4ERES|58CGEN|678VULN|8BPWR|9ZMB|aRMIN
21	34423 23413	   	195.29	ACR|3VULN|2DMG|1AART|1ZMB	1AART|28DMG|3RCR|4aERES|58CGEN|678VULN|8BPWR|9ZMB
22	25263 53111	   	195.24	ACR|4VULN|2DMG|1AART|1SELL	1SELL|2AART|37DMG|4RCR|567aVULN|7BPWR|8FEWX|9LHND
23	25263 53121	   	194.79	ACR|3VULN|2DMG|1AART|1CDMG|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|8FEWX|9LIT|aCDMG
24	34363 33333	 * 	194.48	ACR|2VULN|2DMG|1AART|3ZMB|1SELL	1AART|27DMG|3SELL|4RCR|57VULN|6DMSP|7BPWR|89aZMB
25	34433 31412	   	194.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2DMG|3RCR|4LWND|578VULN|6FLTHEA|9FEWX|aCDMG
26	34433 31422	   	194.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2DMG|3RCR|4LWND|578VULN|6FLTHEA|9LHND|aCDMG
27	25263 33333	 * 	193.88	ACR|2VULN|2DMG|3ZMB|1AART|1SELL	1SELL|2AART|37DMG|4RCR|57VULN|6DMSP|7BPWR|89aZMB
28	34363 33622	   	193.39	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA|1SELL	1AART|27DMG|3SELL|4RCR|57VULN|6DMSP|7BPWR|8CDMG|9LSRICY|aFLTHEA
29	25263 33622	   	192.79	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA|1SELL	1SELL|2AART|37DMG|4RCR|57VULN|6DMSP|7BPWR|8CDMG|9LSRICY|aFLTHEA
30	34363 33341	   	192.75	ACR|3DMG|2VULN|1AART|1ZMB|1SELL	1AART|27aDMG|3SELL|4RCR|57VULN|6DMSP|7BPWR|8ZMB|9LIT
31	34363 53233	   	192.75	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|8CGEN|9ZMB|aRPLT
32	34363 53323	   	192.75	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|8ZMB|9MLV|aRPLT
33	25263 33341	   	192.15	ACR|3DMG|2VULN|1AART|1ZMB|1SELL	1SELL|2AART|37aDMG|4RCR|57VULN|6DMSP|7BPWR|8ZMB|9LIT
34	25263 53233	   	192.15	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|8CGEN|9ZMB|aRPLT
35	25263 53323	   	192.15	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|8ZMB|9MLV|aRPLT
36	12122 15336	 * 	191.61	DCR|3VULN|3DMG|1CDMG	1aLHND|29aVULN|3CDMG|4ASPD|58aDMG|6RCR|7MBVNT|aBPWR
37	34433 31411	   	191.35	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2DMG|3RCR|4LWND|578VULN|6FLTHEA|9FEWX|aZMB
38	34433 31421	   	191.35	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2DMG|3RCR|4LWND|578VULN|6FLTHEA|9LHND|aZMB
39	34423 23423	   	191.33	ACR|3VULN|2DMG|1AART	1AART|28DMG|3RCR|4ERES|58CGEN|678VULN|8BPWR|9FEWX|aASPD
40	34423 23433	   	191.33	ACR|3VULN|2DMG|1AART	1AART|28DMG|3RCR|4ERES|58CGEN|678VULN|8BPWR|9LWND|aASPD
41	12122 16523	 * 	190.21	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|28aVULN|3CDMG|4ASPD|5DMG|6RCR|7AART|9DUR
