0	Index      	 *	Score 	Summary	Detail	
1	51313 13364	 * 	204.76	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aZMB
12	51313 13311	   	191.35	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9FEWX|aRCR
13	51313 13341	   	191.35	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9LWND|aRCR
14	51313 13321	   	191.25	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9DUST|aRCR
15	51313 16433	 * 	188.37	DCR|2AART|2VULN|1DMG|2CDMG|2DUR	19DUR|25CDMG|3aAART|45VULN|5BPWR|6DMG|7LIT|8RCR
16	61153 31533	 * 	188.27	DCR|4VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2568VULN|3ERES|4ASPD|7DMG|9RCR|aAART
17	31282 44428	 * 	187.71	DCR|3VULN|2DMG|3ZMB|1SELL	1RCVC|2MBVNT|3SELL|48aVULN|58LHND|6RCR|78aZMB|8aBPWR|9aDMG
18	61151 31533	 * 	187.19	DCR|3VULN|1AART|1DMG|2CDMG|2ASPD	15CDMG|268VULN|3ERES|45ASPD|5BPWR|7DMG|9RCR|aAART
19	31584 84243	 * 	186.94	ACR|4VULN|3DMG	1RCVC|2MBVNT|37aDMG|4RCR|5789VULN|67AIRHEL|7BPWR
20	51313 13421	   	186.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8LHND|9RCR|aRMIN
21	51313 13423	   	186.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8LHND|9RCR|aBEXP
22	51313 13424	   	186.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8LHND|9RCR|aFEWX
23	65313 32236	 * 	186.77	DCR|3VULN|3ZMB|1AART|2CDMG	19CDMG|2TLV|3LEGI|459ZMB|689VULN|7RCR|9BPWR|aAART
24	51313 13121	   	186.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8DUST|9RCR|aRMIN
25	51313 13124	   	186.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8DUST|9RCR|aFEWX
26	51313 13125	   	186.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8DUST|9RCR|aBEXP
27	51313 13422	   	186.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8LHND|9RCR|aDUST
28	51313 13122	   	186.62	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8aDUST|9RCR
29	51313 13123	   	186.62	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8DUST|9RCR|aTLV
30	53323 33542	 * 	185.47	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	1DUR|2DLOT|3RCR|49AART|56VULN|7DMG|8ZMB|aASPD
31	41313 14225	   	184.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1FEWX|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aDUR
32	51313 14221	   	184.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aRMIN
33	51313 14224	   	184.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aFEWX
34	51313 14225	   	184.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aBEXP
35	31874 44428	 * 	184.77	DCR|2VULN|2DMG|3CDMG|2ZMB	1RCVC|2MBVNT|38aCDMG|4aLHND|58VULN|6RCR|78ZMB|8aBPWR|9aDMG
36	51313 14222	   	184.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|25CDMG|3AART|458VULN|5BPWR|6DMG|7aDUST|9RCR
37	51313 14223	   	184.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aTLV
38	61315 22332	   	184.49	DCR|3VULN|3ZMB|1AART|1CDMG|1ASPD	1CDMG|246VULN|3AART|569ZMB|6BPWR|7LHND|8ASPD|aRCR
39	61315 26332	   	184.49	DCR|3VULN|3ZMB|1AART|1CDMG|1ASPD	1CDMG|246VULN|3AART|569ZMB|6BPWR|7BEXP|8ASPD|aRCR
40	51313 13441	   	184.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8LHND|9DUST|aRCR
41	61315 24211	   	184.09	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|246VULN|3AART|56ZMB|6BPWR|7DMG|8BEXP|9FEWX|aRCR
42	61315 24221	   	183.99	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|246VULN|3AART|56ZMB|6BPWR|7DMG|8BEXP|9DUST|aRCR
43	31548 13218	 * 	183.87	DCR|3DMG|2VULN|2CDMG|1ASPD	1RCVC|2MBVNT|34aDMG|4aBPWR|5ASPD|6DMSP|7RCR|8aVULN|9aCDMG
44	31581 44611	 * 	183.59	ACR|3VULN|2DMG|1AART	1RCVC|2MBVNT|38DMG|4RCR|5AART|68LIT|78aVULN|8BPWR|9BELT
45	31584 44821	   	183.15	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2MBVNT|3DMG|4RCR|57aVULN|6AART|8ZMB|9DUR
46	61113 42325	   	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|259VULN|3ERES|4ZMB|6LHND|7RCR|8DMG|aAART
47	31784 44364	 * 	182.99	ACR|3VULN|2AART|3CDMG	1RCVC|2MBVNT|389CGEN|4RCR|589VULN|6aAART|789CDMG|89BPWR
48	43323 43121	 * 	182.98	ACR|2VULN|2DMG|1AART|3DUR	1aFEWX|2DLOT|3RCR|4AART|5aVULN|678DUR|9aDMG|aBPWR
49	53322 41121	   	182.98	ACR|2VULN|2DMG|1AART|3DUR	168DUR|2DLOT|3RCR|4AART|5aLHND|7aVULN|9aDMG|aBPWR
50	31513 31358	 * 	182.97	DCR|3VULN|2DMG|1AART	1RCVC|2MBVNT|3aDMG|4LIT|5aERES|6RCR|78aVULN|9AART|aBPWR
51	61315 52113	   	182.87	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|24VULN|37AART|5ZMB|6ASPD|8DMG|9RMIN|aRCR
52	61315 52133	   	182.87	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|24VULN|37AART|5ZMB|6ASPD|8DMG|9CGEN|aRCR
53	53326 33121	   	182.78	ACR|2VULN|2DMG|1AART|3DUR	178DUR|2DLOT|3RCR|4AART|5aDUST|6aVULN|9aDMG|aBPWR
54	53326 41121	   	182.78	ACR|2VULN|2DMG|1AART|3DUR	168DUR|2DLOT|3RCR|4AART|5aDUST|7aVULN|9aDMG|aBPWR
55	51313 16412	   	182.63	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7LIT|8RCR|9RPLT|aZMB
56	53225 21121	 * 	182.56	DCR|2VULN|2DMG|1AART|3DUR	158DUR|2DLOT|3aLWND|4AART|6RCR|7aVULN|9aDMG|aBPWR
57	31584 48133	 * 	182.19	ACR|2VULN|2DMG|1AART|2ZMB	1RCVC|2MBVNT|3aDMG|4RCR|5aVULN|6AART|7LIT|8MLV|9aZMB|aBPWR
58	24212 45231	 * 	181.95	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1RPLT|28DMG|38BEXP|4RCR|5DUR|6ZMB|78CDMG|8BPWR|9AART|aVULN
59	31584 84224	 * 	181.84	ACR|3VULN|2DMG|1CDMG|1ZMB	1RCVC|2MBVNT|37DMG|4RCR|578VULN|67AIRHEL|7BPWR|9ZMB|aCDMG
60	31581 13534	 * 	181.76	ACR|2AART|2DMG|1VULN|2CDMG	1RCVC|2MBVNT|38DMG|4RCR|5aAART|68LWND|78CDMG|8BPWR|9VULN
61	51313 12361	   	181.46	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aRMIN
62	31581 11227	 * 	181.39	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2MBVNT|3aDMG|4RCR|5AART|6LWND|7aVULN|8aASPD|9LEGI|aBPWR
63	51313 12362	   	181.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aDLOT
64	51313 12363	   	181.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aSNIHEL
65	51313 12365	   	181.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aDUST
66	51313 12366	   	181.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aTLV
67	61431 44428	   	180.77	DCR|2VULN|2DMG|3CDMG|2ZMB	18aCDMG|2aVULN|38LHND|4MBVNT|5DMSP|6RCR|78ZMB|8aBPWR|9aDMG
68	51313 16431	   	180.74	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	19aDUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7LIT|8RCR
69	41313 11364	   	180.23	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1ASPD	17FEWX|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aZMB
70	31581 11112	 * 	179.90	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|5AART|6LWND|789aVULN
71	31581 31112	   	179.90	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|5AART|6FEWX|789aVULN
72	31581 81112	   	179.90	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|5AART|6BEXP|789aVULN
73	31581 11111	 * 	179.45	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|5AART|6LWND|789VULN|aCDMG
74	31581 31111	   	179.45	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|5AART|6FEWX|789VULN|aCDMG
75	31581 81111	   	179.45	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|5AART|6BEXP|789VULN|aCDMG
76	31581 44238	 * 	179.38	ACR|2AART|2DMG|2VULN	1RCVC|2MBVNT|3aDMG|4RCR|58AART|6LIT|7aVULN|9aCGEN|aBPWR
77	31584 44412	   	179.30	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|579aVULN|6AART|8LWND
78	31584 44712	   	179.30	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|579aVULN|6AART|8LHND
79	31584 45112	   	179.30	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|589aVULN|6AART|7BEXP
80	31584 46112	   	179.30	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|589aVULN|6AART|7LHND
81	61113 31533	   	179.21	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2568VULN|3ERES|4ZMB|7ASPD|9RCR|aAART
82	31584 44512	   	179.20	ACR|4VULN|1AART|1DMG	1RCVC|2MBVNT|3DMG|4RCR|579aVULN|6AART|8DUST
83	12114 33246	   	179.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LIT|27DMG|3CDMG|46VULN|5RPLT|8RCR|9AART|aDUR
84	24133 33246	   	179.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|27DMG|3LIT|4CDMG|56VULN|8RCR|9AART|aDUR
85	31581 44248	   	179.18	ACR|2VULN|2DMG|2AART	1RCVC|2MBVNT|3aDMG|4RCR|58AART|6LIT|7aVULN|9aERES|aBPWR
86	31584 44152	   	179.08	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2MBVNT|3DMG|4RCR|579VULN|6AART|8ASPD|aDUR
87	31584 44121	   	179.08	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2MBVNT|3DMG|4RCR|57aVULN|6AART|8ASPD|9DUR
88	51313 12311	   	179.06	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9FEWX|aRCR
89	51313 12341	   	179.06	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9LWND|aRCR
90	51313 12321	   	178.96	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9DUST|aRCR
91	51313 14351	   	178.96	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	19DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7DUST|8ASPD|aRCR
92	61134 53331	 * 	178.90	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|26VULN|36ERES|4RPLT|5RCR|6BPWR|78DMG|9AART
93	31584 44411	   	178.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|579VULN|6AART|8LWND|aCDMG
94	31584 44711	   	178.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|579VULN|6AART|8LHND|aCDMG
95	31584 45111	   	178.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|589VULN|6AART|7BEXP|aCDMG
96	31584 46111	   	178.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|589VULN|6AART|7LHND|aCDMG
97	65341 32232	 * 	178.77	DCR|3VULN|2DMG|3CDMG	19aCDMG|24TLV|3LEGI|59DMG|689VULN|7RCR|9BPWR
98	31584 44511	   	178.75	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2MBVNT|3DMG|4RCR|579VULN|6AART|8DUST|aCDMG
99	31841 24345	 * 	178.72	DCR|2DMG|3ZMB|1AART|2CDMG	1RCVC|2MBVNT|39CDMG|4ERES|59DMG|6RCR|79aZMB|8AART|9BPWR
100	53323 32345	   	178.53	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2DLOT|3RCR|49AART|56VULN|7CGEN|8DMG|aZMB
101	53323 33541	   	178.53	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2DLOT|3RCR|49AART|56VULN|7DMG|8ZMB|aBEXP
102	43323 33542	   	178.53	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1FEWX|2DLOT|3RCR|49AART|56VULN|7DMG|8ZMB|aASPD
103	31874 44422	   	178.53	DCR|2VULN|2DMG|2CDMG|2ZMB	1RCVC|2MBVNT|38CDMG|4LHND|58VULN|6RCR|78ZMB|8BPWR|9aDMG
104	31784 44361	   	178.48	ACR|3VULN|3CDMG|1AART|1DUR	1RCVC|2MBVNT|389CGEN|4RCR|589VULN|6AART|789CDMG|89BPWR|aDUR
105	61323 14225	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|258VULN|3AART|45BEXP|5BPWR|6DMG|7DUST|9RCR|aDUR
106	63313 14225	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|25BEXP|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aDUR
107	53323 33145	   	178.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2DLOT|3RCR|49AART|56VULN|7DMG|8ERES|aZMB
108	61311 14225	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|248VULN|3AART|5FEWX|6DMG|7DUST|9RCR|aDUR
109	61323 42326	   	178.14	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|258VULN|3AART|45BEXP|58BPWR|6FEWX|78CGEN|9RCR|aDMG
110	31588 34223	   	178.11	ACR|2VULN|2DMG|1AART|1ZMB	16RCVC|2MBVNT|37DMG|4RCR|5ZMB|89VULN|aAART
111	61311 42326	   	178.04	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|248VULN|3AART|5FEWX|6BEXP|78CGEN|8BPWR|9RCR|aDMG
112	61113 51322	   	178.04	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|25VULN|3ERES|4ZMB|6RCR|7ASPD|8DUR|9aDMG
113	31584 47131	   	178.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2MBVNT|38DMG|4RCR|5aVULN|6AART|7CANHEL|9ZMB
114	43331 32341	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	178FEWX|2DLOT|3RCR|4aDMG|5aVULN|6AART|9aDUR|aBPWR
115	53363 32331	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2DLOT|3RCR|478FEWX|5aDMG|6AART|9aVULN|aBPWR
116	61315 25311	   	177.90	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR|1ASPD	1CDMG|246VULN|3AART|56ZMB|6BPWR|7DUR|8ASPD|9FEWX|aRCR
117	41313 14221	   	177.84	DCR|3VULN|1AART|1DMG|2CDMG	1FEWX|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aRMIN
118	41313 14224	   	177.84	DCR|3VULN|1AART|1DMG|2CDMG	1FEWX|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aBELT
119	61315 25321	   	177.80	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR|1ASPD	1CDMG|246VULN|3AART|56ZMB|6BPWR|7DUR|8ASPD|9DUST|aRCR
120	41313 14222	   	177.74	DCR|3VULN|1AART|1DMG|2CDMG	1FEWX|25CDMG|3AART|458VULN|5BPWR|6DMG|7aDUST|9RCR
121	41313 14223	   	177.74	DCR|3VULN|1AART|1DMG|2CDMG	1FEWX|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aTLV
122	41313 14226	   	177.74	DCR|3VULN|1AART|1DMG|2CDMG	1FEWX|25CDMG|3AART|458VULN|5BPWR|6DMG|7DUST|9RCR|aNUKE
123	51313 15311	   	177.73	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7ERES|8ZMB|9MLV|aRCR
124	51313 15321	   	177.73	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7ERES|8ZMB|9RMIN|aRCR
125	61111 42325	 * 	177.64	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB	15CDMG|29VULN|3ERES|45ZMB|5BPWR|6LHND|7RCR|8DMG|aAART
126	51313 15331	   	177.63	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7ERES|8ZMB|9TLV|aRCR
127	34111 63253	 * 	177.50	DCR|2VULN|2DMG|2AART|1ASPD	1RCVC|29DMG|39CGEN|4ASPD|5ERES|69VULN|78AART|9BPWR|aRCR
128	24333 23323	   	177.37	DCR|3VULN|2DMG|1AART	1RPLT|29DMG|356LWND|46aVULN|6BPWR|7RCR|8AART
129	12113 36542	   	177.17	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1LIT|2DMG|3CDMG|4aVULN|5SELL|6RCR|7ASPD|8ZMB|9AART
130	51313 16432	   	176.92	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	19DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|7LIT|8RCR|aLHND
131	34323 61533	   	176.90	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC|1ASPD	13RCVC|2DMG|4CDMG|5ZMB|68VULN|7ASPD|9RCR|aAART
132	31581 11141	   	176.81	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2MBVNT|3DMG|4RCR|5AART|6LWND|78aVULN|9ZMB
133	53323 32135	   	176.78	ACR|4VULN|1AART|1ZMB|1DUR	1DUR|2DLOT|3RCR|4AART|5689VULN|7CGEN|aZMB
134	12113 33442	   	176.72	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1LIT|27DMG|3CDMG|4aVULN|5SELL|6RCR|8DUST|9AART
135	53323 34135	   	176.68	ACR|4VULN|1AART|1ZMB|1DUR	1DUR|2DLOT|3RCR|4AART|5689VULN|7ERES|aZMB
136	31584 44441	   	176.21	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2MBVNT|3DMG|4RCR|57aVULN|6AART|8LWND|9ZMB
137	31584 44832	   	176.21	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2MBVNT|3DMG|4RCR|57aVULN|6AART|8ZMB|9CGEN
138	41313 16422	   	176.14	DCR|2AART|2VULN|1DMG|2CDMG	19FEWX|25CDMG|3aAART|45VULN|5BPWR|6DMG|7LIT|8RCR
139	31584 44841	   	176.11	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2MBVNT|3DMG|4RCR|57aVULN|6AART|8ZMB|9DUST
140	31584 47331	   	176.11	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2MBVNT|3DMG|4RCR|58aVULN|6AART|7CANHEL|9ZMB
141	61153 31633	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|256VULN|3ERES|4ASPD|7DMG|8RCVC|9RCR|aAART
142	62313 14261	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|25LWND|3AART|458VULN|5BPWR|6DMG|7DUST|9DUR|aRCR
143	34511 52223	   	175.99	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|26DMG|34ASPD|5RCR|7BEXP|89VULN|aAART
144	31588 44223	   	175.74	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2MBVNT|37DMG|4RCR|5ZMB|6DMSP|89VULN|aAART
145	31528 11272	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2MBVNT|39DMG|49LHND|5ZMB|6MGNSTR|7RCR|89VULN|9BPWR|aAART
146	24413 12131	   	175.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RPLT|23DMG|4RCR|5DUR|6BEXP|7CDMG|8ZMB|9AART|aVULN
147	61111 31533	   	175.37	DCR|3VULN|1AART|2CDMG|2ZMB|1ASPD	15CDMG|268VULN|3ERES|45ZMB|5BPWR|7ASPD|9RCR|aAART
148	61323 12526	 * 	175.27	DCR|2VULN|1AART|3CDMG|1DMG|1DUR	18aCDMG|25VULN|3AART|45BEXP|5BPWR|6DMG|7DUR|9RCR
149	63313 12526	   	175.27	DCR|2VULN|1AART|3CDMG|1DMG|1DUR	18aCDMG|25BEXP|3AART|45VULN|5BPWR|6DMG|7DUR|9RCR
150	31584 84222	   	175.13	ACR|3VULN|2DMG|1ZMB|1ASPD	1RCVC|2MBVNT|37DMG|4RCR|578VULN|67AIRHEL|7BPWR|9ZMB|aASPD
151	31584 84223	   	175.13	ACR|3VULN|2DMG|1ZMB|1DUR	1RCVC|2MBVNT|37DMG|4RCR|578VULN|67AIRHEL|7BPWR|9ZMB|aDUR
152	31841 21345	   	174.88	DCR|2DMG|1AART|2CDMG|2ASPD|1ZMB	1RCVC|2MBVNT|39CDMG|4ERES|59DMG|6RCR|79ASPD|8AART|9BPWR|aZMB
