0	Index      	 *	Score 	Summary	Detail	
1	12613 43513	 * 	178.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9CDMG|aDUR
52	32112 62222	 * 	168.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1RMIN|234DUR|5AART|6DMG|7CDMG|89VULN|aRCR
53	32132 62222	   	168.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1RMIN|234DUR|4BPWR|5AART|6DMG|7CDMG|89VULN|aRCR
54	16213 15223	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	16LIT|2CDMG|3AART|4RPLT|5ASPD|7RCR|8aVULN|9DMG
55	15612 22135	   	167.56	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LIT|2FEWX|3RCR|49DMG|5ASPD|68VULN|7DUR|aCDMG
56	33152 62361	   	167.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2LHND|3DUR|4RCR|5VULN|6aDMG|7AART|8RCVC|9CDMG
57	31235 24431	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2DLOT|3DUR|4RPLT|5VULN|6RCR|7AART|8CDMG|9aDMG
58	12613 41315	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DUST|3RCR|4DMG|56VULN|7FEWX|8AART|9ASPD|aCDMG
59	12613 42315	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DUST|3RCR|4DMG|56VULN|7BEXP|8AART|9ASPD|aCDMG
60	36316 33133	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|28TLV|3FEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|9VULN|aLWND
61	36316 33134	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|28TLV|3aFEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|9VULN
62	36316 33135	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|28TLV|3FEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|9VULN|aBEXP
63	36316 33131	   	166.89	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|28TLV|3FEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|9VULN|aDUST
64	15612 23353	   	166.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2FEWX|3RCR|4DMG|5ASPD|6aVULN|7ZMB|8AART|9RCVC
65	11612 22523	   	166.33	ACR|2VULN|2AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|69AART|7ERES|8aVULN
66	64122 12222	   	166.20	DCR|2VULN|1AART|3DUR|1CDMG|1ZMB|1ASPD	136DUR|2ZMB|4ASPD|5AART|7CDMG|89VULN|aRCR
67	11612 26123	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2LHND|3RCR|4aDMG|5ASPD|6AART|7BELT|8ZMB|9VULN
68	16211 21526	   	165.88	DCR|2DMG|1AART|1VULN|1CDMG	1LIT|2CDMG|3AART|47RPLT|5RCVC|6RCR|89DMG|aVULN
69	16211 22521	   	165.88	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2CDMG|3AART|4RPLT|5RCVC|6RCR|7FEWX|8aVULN|9DMG
70	11622 42125	 * 	165.84	ACR|2DMG|1VULN|2CDMG|2DUR|1ZMB	1LIT|2LHND|3RCR|4aDUR|5aCDMG|6ZMB|7aDMG|8VULN|9BEXP|aBPWR
71	16211 24521	   	165.78	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2CDMG|3AART|4RPLT|5RCVC|6RCR|7DUST|8aVULN|9DMG
72	16251 31143	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LIT|2CDMG|3AART|46DUR|5DMG|78VULN|9CGEN|aRCR
73	11613 23523	   	165.63	ACR|2VULN|2DMG|1AART	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7CGEN|8aVULN
74	16251 31123	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LIT|2CDMG|3AART|46DUR|5DMG|78VULN|9TLV|aRCR
75	11613 21221	   	165.53	ACR|2VULN|2DMG|1AART	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7LEGI|8aVULN
76	11613 22523	   	165.53	ACR|2VULN|2DMG|1AART	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7TLV|8aVULN
77	11613 25523	   	165.53	ACR|2VULN|2DMG|1AART	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7ERES|8aVULN
78	11623 13131	   	164.91	ACR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1LIT|2LHND|3RCR|4DUR|58VULN|6ASPD|7ZMB|9aDMG
79	23412 23368	 * 	164.88	DCR|3VULN|1AART|2CDMG	1DUST|2RCVC|38aVULN|45CDMG|6RCR|7MBVNT|9AART
80	15612 23333	   	164.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2FEWX|3RCR|4DMG|5ASPD|6aVULN|7ZMB|8AART|9BEXP
81	15612 23363	   	164.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2FEWX|3RCR|4DMG|5ASPD|6aVULN|7ZMB|8AART|9DMSP
82	15612 52333	   	164.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2FEWX|3RCR|4DMG|5ASPD|6ZMB|7aVULN|8AART|9BEXP
83	11663 24111	 * 	164.68	ACR|2AART|2VULN|1CDMG|1ZMB	1LIT|2LHND|3RCR|4CDMG|57AART|6ZMB|8aVULN|9RPLT
84	12663 24111	   	164.58	ACR|2AART|2VULN|1CDMG|1ZMB	1LIT|2DUST|3RCR|4CDMG|57AART|6ZMB|8aVULN|9RPLT
85	36316 33162	 * 	164.41	DCR|2DMG|2AART|3CDMG	1RMIN|28TLV|3FEWX|489CDMG|58DMG|6RCR|7aAART|8BPWR
86	32123 26323	   	164.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1RMIN|23DUR|4ASPD|5DMG|6AART|7RCR|8CGEN|9aVULN
87	12613 13443	   	164.33	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|4aDMG|59VULN|6BELT|7BEXP|8AART
88	12613 41322	   	164.33	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|49DMG|56VULN|7FEWX|8AART|aBEXP
89	12613 41326	   	164.33	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|49DMG|56VULN|7FEWX|8AART|aLHND
90	12613 42322	   	164.33	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|49DMG|56VULN|7aBEXP|8AART
91	12613 42323	   	164.33	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|49DMG|56VULN|7BEXP|8AART|aFEWX
92	12613 42326	   	164.33	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|49DMG|56VULN|7BEXP|8AART|aLHND
93	12613 41321	   	164.23	ACR|2VULN|2DMG|1AART	1LIT|2aDUST|3RCR|49DMG|56VULN|7FEWX|8AART
94	12613 41323	   	164.23	ACR|2VULN|2DMG|1AART	1LIT|2DUST|3RCR|49DMG|56VULN|7FEWX|8AART|aERES
95	12613 42321	   	164.23	ACR|2VULN|2DMG|1AART	1LIT|2aDUST|3RCR|49DMG|56VULN|7BEXP|8AART
96	12663 33153	   	164.10	ACR|3VULN|1AART|2CDMG	1LIT|26DUST|3RCR|46CDMG|5AART|6BPWR|78aVULN|9RPLT
97	12663 33162	   	164.10	ACR|3VULN|1AART|2CDMG	1LIT|26DUST|3RCR|46CDMG|5AART|6BPWR|789VULN|aLHND
98	24321 21515	 * 	163.84	ACR|2VULN|2DMG|2ZMB|1CDMG	1DUST|2aZMB|37BEXP|4FEWX|5RCR|6aDMG|8CDMG|9aVULN|aBPWR
99	11613 24231	   	163.70	ACR|3VULN|1AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78aVULN|9LWND
100	11613 24241	   	163.70	ACR|3VULN|1AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78aVULN|9BEXP
101	23464 34462	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2RCVC|3VULN|4MBVNT|5AART|6DMG|7RCR|8ASPD|9CDMG|aZMB
102	12613 32323	   	163.26	ACR|2VULN|2DMG|2DUR|1ZMB	1LIT|2DUST|3RCR|4aDMG|5aVULN|6ERES|7aDUR|8MLV|9ZMB|aBPWR
103	32613 36331	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|3CGEN|4CDMG|5RCR|69VULN|7AART|8FEWX|aDMG
104	32613 36631	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|3CGEN|4CDMG|5RCR|69VULN|7AART|8LHND|aDMG
105	12613 44333	   	163.13	ACR|2VULN|2DMG|1AART	19LIT|2DUST|3RCR|49DMG|56VULN|7CGEN|89LSRHEA|9BPWR|aAART
106	16214 15233	   	163.11	DCR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|3AART|4RPLT|58aVULN|6ERES|7RCR|9ASPD
107	12613 12536	 * 	163.10	ACR|4VULN|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|578aVULN|6BELT|9ZMB
108	12613 43362	   	163.10	ACR|4VULN|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|568aVULN|7ZMB|9RPLT
109	33152 62611	   	162.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2LHND|3DUR|4RCR|5aVULN|6DMG|7AART|8ZMB|9RPLT
110	23464 34331	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5AART|6aDMG|7RCR|8CGEN|9CDMG
111	23464 34644	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5AART|69DMG|7RCR|8LHND|aCDMG
112	23464 34231	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5AART|6aDMG|7RCR|8ERES|9CDMG
113	12613 43333	   	162.88	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1LIT|2DUST|3RCR|4DMG|568VULN|7ZMB|9DUR|aASPD
114	16235 21363	 * 	162.70	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1LIT|2CDMG|37AART|4ERES|5ZMB|69VULN|8DUR|aRCR
115	34421 33133	   	162.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2ERES|35VULN|45LIT|5BPWR|6AART|7CDMG|8ZMB|9DMG|aRCR
116	12613 12515	   	162.52	ACR|3VULN|2DMG|1DUR	1LIT|2DUST|3RCR|49DMG|578VULN|6BELT|aDUR
117	12613 12516	   	162.52	ACR|3VULN|2DMG|1ASPD	1LIT|2DUST|3RCR|49DMG|578VULN|6BELT|aASPD
118	12613 41333	   	162.40	ACR|3VULN|1AART|1DMG	1LIT|2DUST|3RCR|4DMG|56aVULN|7FEWX|8AART|9LWND
119	12613 41351	   	162.40	ACR|3VULN|1AART|1DMG	1LIT|2DUST|3RCR|4DMG|56aVULN|7FEWX|8AART|9MLV
120	12613 41363	   	162.40	ACR|3VULN|1AART|1DMG	1LIT|2DUST|3RCR|4DMG|56aVULN|7FEWX|8AART|9BEXP
121	12613 42333	   	162.40	ACR|3VULN|1AART|1DMG	1LIT|2DUST|3RCR|4DMG|56aVULN|7BEXP|8AART|9LWND
122	12613 42351	   	162.40	ACR|3VULN|1AART|1DMG	1LIT|2DUST|3RCR|4DMG|56aVULN|7BEXP|8AART|9MLV
123	12663 33421	   	162.37	ACR|2AART|1VULN|1DMG|2CDMG	1LIT|26DUST|3RCR|46CDMG|59AART|6BPWR|7VULN|8BELT|aDMG
124	11663 61221	   	162.29	ACR|2VULN|1AART|1DMG|1CDMG	17LIT|2LHND|3RCR|4CDMG|5AART|6aVULN|8RPLT|9DMG
125	12663 61221	   	162.19	ACR|2VULN|1AART|1DMG|1CDMG	17LIT|2DUST|3RCR|4CDMG|5AART|6aVULN|8RPLT|9DMG
126	11663 33136	   	162.12	ACR|1AART|1DMG|2CDMG|1VULN|1ZMB	1LIT|267LHND|3RCR|46CDMG|5AART|6BPWR|8ZMB|9DMG|aVULN
127	11612 26124	   	162.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|7BELT|8ZMB|9VULN|aCDMG
128	12663 31136	   	161.92	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB	1LIT|26DUST|3RCR|46CDMG|5AART|6BPWR|7DMSP|8ZMB|9DMG|aVULN
129	11612 24343	   	161.92	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|7aVULN|8DUR|9FEWX
130	11613 26234	 * 	161.89	ACR|2DMG|1AART|1VULN|1FLTHEA	18LIT|2LHND|3RCR|48DMG|58MLV|6AART|7BELT|8BPWR|9VULN|aFLTHEA
131	11622 62125	   	161.78	ACR|2DMG|1VULN|2CDMG|2DUR|1ASPD	1LIT|2LHND|3RCR|4aDUR|5aCDMG|6ASPD|7aDMG|8VULN|9BEXP|aBPWR
132	11613 24211	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	1aLIT|2LHND|3RCR|4DMG|5MLV|6AART|78VULN|9CDMG
133	11613 24212	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78VULN|9CDMG|aRMIN
134	11613 24216	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78VULN|9CDMG|aLWND
135	11613 24235	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78VULN|9LWND|aCDMG
136	24121 23615	   	161.69	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1DUST|2ZMB|3DUR|4FEWX|5RCR|6DMG|7ASPD|8VULN|9FLTHEA|aAART
137	11614 31325	   	161.68	ACR|2DMG|1VULN|2CDMG|2DUR|1ASPD	1LIT|2LHND|3RCR|4aDMG|5aCDMG|6VULN|7aDUR|8DUST|9ASPD|aBPWR
138	11623 11325	 * 	161.68	ACR|2VULN|1DMG|2CDMG|2DUR|1ASPD	1LIT|2LHND|3RCR|4aDUR|5aVULN|6ASPD|7aCDMG|8DUST|9DMG|aBPWR
139	11613 21225	   	161.59	ACR|2DMG|1AART|1VULN|1CDMG	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7LEGI|8VULN|aCDMG
140	11613 24215	   	161.59	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78VULN|9CDMG|aERES
141	16211 23525	   	161.54	DCR|1AART|1VULN|1DMG|2CDMG|1DUR	1LIT|2aCDMG|3AART|4RPLT|5RCVC|6RCR|7DUR|8VULN|9DMG
142	16211 25523	 * 	161.54	DCR|2DMG|1AART|1FLTHEA|1CDMG	1LIT|2CDMG|3AART|4RPLT|57RCVC|6RCR|89DMG|aFLTHEA
143	11612 22513	   	161.49	ACR|2VULN|1AART|1DMG|2ASPD	1LIT|2LHND|3RCR|4DMG|59ASPD|6AART|7ERES|8aVULN
144	11615 41112	   	161.49	ACR|2DMG|1AART|1VULN|1CDMG	1LIT|2LHND|3RCR|4aDMG|5AIRHEA|6AART|7TLV|8VULN|9CDMG
145	23424 26321	   	161.48	DCR|3VULN|1AART|1DMG	1DUST|2RCVC|36aVULN|45LIT|7AART|8RCR|9DMG
146	36421 53333	   	161.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2TLV|35VULN|45LIT|5BPWR|6CDMG|7ZMB|8AART|9DMG|aRCR
147	16211 55233	   	161.36	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|3AART|4RPLT|5RCVC|6ZMB|7RCR|8aVULN|9ASPD
148	31255 43331	   	161.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|2DLOT|3DUR|4LWND|5RCR|6AART|7ZMB|8VULN|9aDMG
149	31265 43331	   	161.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|2DLOT|3DUR|4LHND|5RCR|6AART|7ZMB|8VULN|9aDMG
150	11663 24133	   	160.97	ACR|2AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1LIT|2LHND|3RCR|4CDMG|57AART|6ZMB|8VULN|9ASPD|aDUR
151	12663 21432	   	160.87	ACR|2AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2DUST|3RCR|4CDMG|5aAART|6ZMB|7DUR|8ASPD|9VULN
152	12663 24133	   	160.87	ACR|2AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2DUST|3RCR|4CDMG|57AART|6ZMB|8VULN|9ASPD|aDUR
153	25152 62331	   	160.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2DUR|3CGEN|4RCR|5VULN|6ZMB|7AART|8RCVC|9CDMG|aDMG
154	26152 62331	   	160.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2CGEN|3DUR|4RCR|5VULN|6ZMB|7AART|8RCVC|9CDMG|aDMG
155	11613 24222	   	160.80	ACR|2VULN|2AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|69AART|78VULN|aRCVC
156	22513 63411	 * 	160.77	DCR|2AART|2VULN|1DMG	1DUST|2LSRICY|35AART|4LIT|6RCR|7RPLT|8aVULN|9DMG
157	12613 23513	   	160.75	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	16LIT|2DUST|3RCR|4DMG|5VULN|7ZMB|8AART|9CDMG|aDUR
158	16243 21622	   	160.71	DCR|3VULN|1AART|1CDMG|1DUR	1LIT|2CDMG|3AART|4LSRHEA|56aVULN|7DUR|8RCR|9FEWX
159	15612 21135	   	160.62	ACR|2VULN|2DMG|1CDMG|1ASPD	1LIT|2FEWX|3RCR|49DMG|5ASPD|68VULN|7LWND|aCDMG
160	33252 62151	   	160.60	ACR|2DMG|1AART|1VULN|1CDMG	1RMIN|2LHND|3FEWX|4RCR|5VULN|6aDMG|7AART|8RCVC|9CDMG
161	24132 26483	   	160.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4MBVNT|58VULN|6DMG|7RCR|9BELT|aAART
162	15612 22134	   	160.52	ACR|2VULN|2DMG|2ASPD|1DUR	1LIT|2FEWX|3RCR|49DMG|5aASPD|68VULN|7DUR
163	65113 21321	   	160.48	ACR|3VULN|1AART|1CDMG|1DUR|1SELL	1DUR|2RCVC|3LHND|4CDMG|5RCR|678VULN|9SELL|aAART
