0	Index      	 *	Score 	Summary	Detail	
1	12261 51622	 * 	195.92	DCR|2AART|2VULN|2DMG|2CDMG	14CDMG|2ERES|39AART|5aDMG|68VULN|7RCR
46	61484 47134	   	181.20	DCR|2VULN|2DMG|2AART|1DUR	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|69AART|7RCR|8LWND|aDUR
47	61484 47421	   	181.20	DCR|2VULN|2DMG|2AART|1ASPD	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|69AART|7RCR|8LIT|aASPD
48	12214 53521	   	181.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3AART|4DUR|5RCR|69aVULN|7DMG|8RPLT
49	21331 16651	   	181.01	DCR|4VULN|1AART|2ZMB|2DUR	19DUR|25RMIN|39ZMB|469aVULN|7RCR|8AART|9BPWR
50	61484 42151	   	180.61	DCR|3DMG|2VULN|1AART|1DUR	1DMSP|2MBVNT|35VULN|458DMG|5BPWR|6AART|7MLV|9RCR|aDUR
51	61484 43151	   	180.51	DCR|3DMG|2VULN|1AART|1DUR	1DMSP|2MBVNT|35VULN|458DMG|5BPWR|6AART|7ERES|9RCR|aDUR
52	12261 51422	   	180.24	DCR|2AART|2DMG|1VULN|2CDMG	14CDMG|2ERES|39AART|5aDMG|6VULN|7RCR|8RCVC
53	11551 13221	 * 	180.17	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1CDMG|25VULN|3FLTHEA|4RCVC|6DMG|7RCR|8DUR|9LIT|aAART
54	24164 23321	   	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2RPLT|3TLV|4AART|56aVULN|7DMG|8RCR|9CDMG
55	22233 15126	   	180.07	ACR|2VULN|2DMG|1AART|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8aDMG|9LHND
56	22233 15136	   	180.07	ACR|2VULN|2DMG|1AART|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8aDMG|9BEXP
57	12232 41651	 * 	180.07	DCR|3VULN|2AART|3CDMG	19aCDMG|29aERES|34AART|5BEXP|6TLV|7RCR|89aVULN|9aBPWR
58	12233 41651	   	179.97	DCR|3VULN|2AART|3CDMG	19aCDMG|29aERES|34AART|5DUST|6TLV|7RCR|89aVULN|9aBPWR
59	22233 15141	 * 	179.95	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	129DUR|3RCR|46VULN|5RCVC|7AART|8DMG|aCDMG
60	12261 11662	 * 	179.87	DCR|2DMG|1AART|3CDMG|1VULN|1ASPD	148CDMG|2ERES|3AART|58DMG|68CANHEL|7RCR|8BPWR|9ASPD|aVULN
61	11214 41233	   	179.74	DCR|2VULN|2AART|1DMG|2CDMG	13CDMG|29VULN|4RCVC|5LWND|6aAART|7RCR|8DMG
62	11551 13252	 * 	179.56	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1CDMG|25aVULN|3FLTHEA|4RCVC|6DMG|7RCR|8DUR|9ASPD
63	22133 23143	   	179.32	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	12DUR|378DMG|4ZMB|5BEXP|6AART|9RCR|aVULN
64	22224 35521	 * 	179.28	ACR|2VULN|2DMG|1AART|3DUR	125DUR|3RCR|4CGEN|68VULN|79DMG|aAART
65	22134 23143	   	179.22	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	12DUR|378DMG|4ZMB|5DUST|6AART|9RCR|aVULN
66	22213 25521	   	179.18	ACR|2VULN|2DMG|1AART|3DUR	126DUR|3RCR|4ERES|58VULN|79DMG|aAART
67	22214 35521	   	179.18	ACR|2VULN|2DMG|1AART|3DUR	125DUR|3RCR|4ERES|68VULN|79DMG|aAART
68	12231 51563	   	178.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2ERES|34AART|5DMG|69VULN|7RCR|8FEWX|aASPD
69	12231 51246	   	178.86	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1CDMG|2ERES|34AART|5aDMG|6VULN|7RCR|8NUKE|9DUR
70	61484 47121	   	178.47	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6AART|7RCR|8LWND|9LHND
71	61484 47221	   	178.47	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6AART|7RCR|8BEXP|9LWND
72	61484 47412	   	178.47	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|359VULN|45DMG|5BPWR|6AART|7RCR|8LIT|aCGEN
73	61484 47413	   	178.47	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|359VULN|45DMG|5BPWR|6AART|7RCR|8LIT|aRPLT
74	22231 32253	   	178.47	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|3RCR|4VULN|5RMIN|6ASPD|79DMG|8CDMG|aAART
75	24462 32221	 * 	178.43	ACR|2AART|2VULN|3DUR|1CDMG|1ZMB	137DUR|2RPLT|4RCR|58AART|67VULN|7BPWR|9CDMG|aZMB
76	61484 47141	   	178.37	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6AART|7RCR|8LWND|9DUST
77	61484 47241	   	178.37	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6AART|7RCR|8BEXP|9DUST
78	12231 11653	   	178.34	DCR|2AART|2DMG|1VULN|2CDMG	18CDMG|2ERES|34AART|58DMG|68CANHEL|7RCR|8BPWR|9LIT|aVULN
79	12231 11665	   	178.34	DCR|2AART|2DMG|1VULN|2CDMG	18CDMG|2ERES|34AART|58DMG|68CANHEL|7RCR|8BPWR|9CGEN|aVULN
80	12231 51562	   	178.34	DCR|2AART|2VULN|2CDMG|1DMG	1aCDMG|2ERES|34AART|5DMG|69VULN|7RCR|8FEWX
81	12231 51616	   	178.34	DCR|2AART|2VULN|2CDMG|1DMG	1aCDMG|2ERES|34AART|5DMG|68VULN|7RCR|9CGEN
82	12261 51613	   	178.34	DCR|2AART|2VULN|2CDMG|1DMG	14CDMG|2ERES|3aAART|5DMG|68VULN|7RCR|9CGEN
83	12261 51621	   	178.34	DCR|2AART|2VULN|1DMG|2CDMG	14CDMG|2ERES|39AART|5DMG|68VULN|7RCR|aLIT
84	12261 51623	   	178.34	DCR|2AART|2VULN|2CDMG|1DMG	14CDMG|2ERES|39AART|5DMG|68VULN|7RCR|aCGEN
85	12265 51233	   	178.34	DCR|2AART|2VULN|2CDMG|1DMG	14CDMG|2ERES|3aAART|5RMIN|69VULN|7RCR|8DMG
86	12261 51233	   	178.24	DCR|2AART|2VULN|2CDMG|1DMG	14CDMG|2ERES|3aAART|5DMG|69VULN|7RCR|8NUKE
87	12231 51425	   	178.20	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|349AART|5DMG|6aVULN|7RCR|8RCVC
88	22233 15161	   	178.14	ACR|3VULN|1AART|1DMG|2DUR	12DUR|3RCR|469VULN|5RCVC|7AART|8DMG|aMLV
89	22233 15166	   	178.14	ACR|3VULN|1AART|1DMG|2DUR	12DUR|3RCR|469VULN|5RCVC|7AART|8DMG|aFEWX
90	22233 15162	   	178.04	ACR|3VULN|1AART|1DMG|2DUR	12DUR|3RCR|469VULN|5RCVC|7AART|8DMG|aDUST
91	22233 15165	   	178.04	ACR|3VULN|1AART|1DMG|2DUR	12DUR|3RCR|469VULN|5RCVC|7AART|8DMG|aTLV
92	24164 23312	   	177.97	DCR|3VULN|2AART|1DMG|1DUR	1DUR|2RPLT|3TLV|4aAART|569VULN|7DMG|8RCR
93	11551 13211	   	177.91	DCR|3VULN|1DMG|1CDMG|1FLTHEA|2DUR	1CDMG|259VULN|3FLTHEA|4RCVC|6DMG|7RCR|8aDUR
94	12261 51122	   	177.89	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	14CDMG|2ERES|3AART|5DMG|69VULN|7RCR|8BELT|aZMB
95	12261 51331	   	177.89	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	14CDMG|2ERES|3AART|5DMG|69VULN|7RCR|8ZMB|aFEWX
96	12261 51334	   	177.89	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	14CDMG|2ERES|3AART|5DMG|69VULN|7RCR|8ZMB|aMLV
97	12261 51335	   	177.89	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	14CDMG|2ERES|3AART|5DMG|69VULN|7RCR|8ZMB|aDMSP
98	12261 51332	   	177.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	14CDMG|2ERES|3AART|5DMG|69VULN|7RCR|8ZMB|aDUST
99	22233 15332	   	177.61	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|59RCVC|7AART|8CDMG|aDMG
100	12214 53352	   	177.34	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2ERES|3aAART|4DUR|5RCR|6VULN|7DMG|8ZMB|9ASPD
101	35236 13253	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ERES|2RMIN|3RCR|4ZMB|59DMG|6VULN|7ASPD|8CDMG|aAART
102	61138 22234	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|3LHND|45VULN|6RCR|7aDMG|8CDMG|9AART
103	61431 22234	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|34VULN|5LHND|6RCR|7aDMG|8CDMG|9AART
104	61478 22234	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|4LHND|6RCR|7aDMG|8CDMG|9AART
105	12214 53212	   	176.88	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2ERES|3aAART|4DUR|5RCR|69VULN|7DMG|8MBVNT
106	12214 52413	 * 	176.84	ACR|3VULN|3AART|1CDMG|1DUR	1CDMG|2ERES|39aAART|4DUR|5RCR|678VULN
107	21331 22253	   	176.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|25RMIN|3ZMB|4VULN|6RCR|79DMG|8CDMG|aAART
108	11551 13621	   	176.68	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1CDMG|259VULN|3FLTHEA|4RCVC|6DMG|7RCR|8LIT|aZMB
109	12231 51312	   	176.65	DCR|3AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|349AART|5DMG|6VULN|7RCR|8ZMB|aDUR
110	22156 25123	   	176.65	DCR|2VULN|2DMG|1AART|2DUR	12DUR|38DMG|45ERES|6RCR|7AART|9aVULN
111	11434 41233	   	176.64	DCR|2VULN|2AART|1DMG|2CDMG	14CDMG|29VULN|3DMSP|5LWND|6aAART|7RCR|8DMG
112	12214 53321	   	176.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3AART|4DUR|5RCR|6VULN|7aDMG|8ZMB|9LHND
113	61484 47124	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6AART|7RCR|8LWND|9LHND|aCDMG
114	61484 47224	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6AART|7RCR|8BEXP|9LWND|aCDMG
115	61484 47442	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6AART|7RCR|8LIT|9FEWX|aCDMG
116	12214 53214	   	176.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3AART|4DUR|5RCR|69VULN|7DMG|8MBVNT|aZMB
117	12214 62336	   	176.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|26ERES|3AART|4DUR|5RCR|7aDMG|8ZMB|9VULN
118	35236 23423	   	176.44	ACR|2VULN|2DMG|1AART|1ZMB	18ERES|2RMIN|3RCR|4ZMB|57DMG|6AART|9aVULN
119	35236 23511	   	176.44	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|6AART|89VULN|aTLV
120	61433 22263	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|34VULN|5BEXP|6RCR|79DMG|8CDMG|aAART
121	61484 47144	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6AART|7RCR|8LWND|9DUST|aCDMG
122	61484 47244	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6AART|7RCR|8BEXP|9DUST|aCDMG
123	12231 51613	   	176.30	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|34aAART|5DMG|68VULN|7RCR|9CGEN
124	12231 51621	   	176.30	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|349AART|5DMG|68VULN|7RCR|aBEXP
125	12231 51622	   	176.30	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|349AART|5DMG|68VULN|7RCR|aRMIN
126	12231 51624	   	176.30	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|349AART|5DMG|68VULN|7RCR|aLWND
127	12235 51233	   	176.30	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|34aAART|5RMIN|69VULN|7RCR|8DMG
128	12231 51233	   	176.20	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|34aAART|5DMG|69VULN|7RCR|8NUKE
129	12231 51626	   	176.20	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|349AART|5DMG|68VULN|7RCR|aTLV
130	12231 51643	   	176.20	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|34aAART|5DMG|68VULN|7RCR|9NUKE
131	11264 41231	   	176.19	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	13CDMG|29VULN|4ZMB|5MLV|6AART|7RCR|8DMG|aFEWX
132	22231 12255	 * 	176.14	ACR|2VULN|2DMG|2CDMG|3DUR	12aDUR|3RCR|4aVULN|5RMIN|6ERES|79DMG|8aCDMG|aBPWR
133	22233 15151	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8DMG|9CDMG|aFEWX
134	22233 15153	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8DMG|9CDMG|aDMSP
135	22233 15154	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8DMG|9CDMG|aMLV
136	22233 15341	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8CDMG|9DMG|aFEWX
137	22233 15343	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8CDMG|9DMG|aDMSP
138	22233 15344	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8CDMG|9DMG|aMLV
139	11264 41232	   	176.09	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	13CDMG|29VULN|4ZMB|5MLV|6AART|7RCR|8DMG|aDUST
140	22233 15152	   	176.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8DMG|9CDMG|aDUST
141	22233 15342	   	176.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|7AART|8CDMG|9DMG|aDUST
142	12261 51313	 * 	176.02	DCR|3AART|1VULN|2CDMG|1DMG|1ZMB	14CDMG|2ERES|39aAART|5DMG|6VULN|7RCR|8ZMB
143	22233 15254	   	175.99	ACR|4VULN|1AART|3DUR	129DUR|3RCR|469aVULN|5RCVC|7AART|89DUST|9BPWR
144	12214 32651	 * 	175.88	ACR|3VULN|1AART|3CDMG|1DUR	19aCDMG|29aERES|3AART|4DUR|5RCR|6MLV|7RCVC|89aVULN|9aBPWR
145	22236 62351	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	12DUR|3RCR|49aVULN|5DUST|6AART|7DMG|8LHND
146	22231 31611	   	175.71	ACR|4VULN|1AART|2DUR|1ASPD	12DUR|3RCR|479aVULN|5RMIN|6ASPD|8AART
147	12261 51353	 * 	175.60	DCR|2AART|1VULN|2CDMG|1DMG|2ZMB	14CDMG|2ERES|3aAART|5DMG|6VULN|7RCR|89ZMB
148	62232 62214	   	175.53	ACR|3VULN|1AART|1DMG|2DUR	1DMSP|28DUR|3RCR|489VULN|58BEXP|6RPLT|7AART|8BPWR|aDMG
149	35136 25123	   	175.42	DCR|2VULN|2DMG|1AART|1ZMB	15ERES|2RMIN|38DMG|4ZMB|6RCR|7AART|9aVULN
150	12231 51432	   	175.40	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2ERES|34AART|5aDMG|6VULN|7RCR|89RCVC
151	66233 15322	   	175.35	ACR|2VULN|2AART|1DMG|1CDMG	1DMSP|2FEWX|3RCR|46VULN|5RCVC|79AART|8CDMG|aDMG
152	35236 12611	   	175.24	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|69VULN|8AART|aTLV
153	12214 52431	   	175.23	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2ERES|3AART|4DUR|5RCR|6789VULN|aFEWX
154	12214 52432	   	175.13	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2ERES|3AART|4DUR|5RCR|6789VULN|aDUST
155	22234 13453	   	174.98	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3RCR|47aVULN|5LWND|6CDMG|8ZMB|9DMG
156	12231 51634	   	174.80	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2ERES|34AART|5DMG|68VULN|7RCR|9aRCVC
157	62233 15126	   	174.78	ACR|2VULN|2DMG|1AART|1DUR	1DMSP|2DUR|3RCR|46VULN|5RCVC|7AART|8aDMG|9LHND
158	62233 15136	   	174.78	ACR|2VULN|2DMG|1AART|1DUR	1DMSP|2DUR|3RCR|46VULN|5RCVC|7AART|8aDMG|9BEXP
159	25234 12253	   	174.73	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	15DUR|25FEWX|3RCR|4RCVC|5BPWR|6VULN|79DMG|8CDMG|aAART
160	35236 12323	   	174.64	ACR|2VULN|2DMG|1AART|1ZMB	18ERES|2RMIN|3RCR|4ZMB|57DMG|6aVULN|9AART
161	35236 12421	   	174.64	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|68VULN|9AART|aTLV
162	11244 41333	   	174.52	DCR|2VULN|2AART|2CDMG|1ZMB|1ASPD	13CDMG|29VULN|4ASPD|5MLV|6aAART|7RCR|8ZMB
163	23362 61236	   	174.52	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|24AART|3ZMB|5VULN|6aDMG|7BASHEA|8RCR|9FEWX
164	45233 31613	   	174.48	ACR|4VULN|1AART|1ZMB|1ASPD	1CGEN|2RMIN|3RCR|4ZMB|579aVULN|6ASPD|8AART
165	12214 52133	   	174.48	ACR|3VULN|2AART|1CDMG|1DUR	1CDMG|2ERES|3aAART|4DUR|5RCR|679VULN|8RCVC
166	25263 12253	   	174.43	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	14DUR|24FEWX|3RCR|4BPWR|5RCVC|6VULN|79DMG|8CDMG|aAART
167	61433 22243	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1DMSP|2MBVNT|349VULN|5BEXP|6RCR|7DMG|8CDMG|aAART
168	25211 12314	 * 	174.35	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|2FEWX|3RCR|4BEXP|59VULN|68CDMG|7AART|aDMG
169	25251 12314	   	174.35	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|2FEWX|3RCR|4LWND|59VULN|68CDMG|7AART|aDMG
170	11214 41236	 * 	174.33	DCR|2VULN|3CDMG|1AART|1DMG	13aCDMG|29VULN|4RCVC|5LWND|6AART|7RCR|8DMG
