0	Index      	 *	Score 	Summary	Detail	
1	16432 13216	 * 	205.09	DCR|3VULN|2DMG|1AART|2CDMG|2ZMB	1RPLT|29ZMB|346VULN|59CDMG|79DMG|8AART|9BPWR|aRCR
12	54241 31123	   	195.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2aBEXP|34CDMG|5aDMG|6RCR|7DUST|8DUR|9aVULN|aBPWR
13	56241 31123	   	195.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2aLHND|34CDMG|5aDMG|6RCR|7DUST|8DUR|9aVULN|aBPWR
14	53232 44223	   	194.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|58FEWX|6RCR|7BEXP|9aVULN|aBPWR
15	53232 46223	   	194.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|5FEWX|6RCR|7RCVC|8LHND|9aVULN|aBPWR
16	53224 41223	   	193.81	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|479VULN|5DMG|6RCR|8LHND|aASPD
17	53236 41223	   	193.81	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|4DMG|579VULN|6RCR|8LHND|aASPD
18	52222 64223	   	193.09	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1AART|2ZMB|3CGEN|4ASPD|59DMG|6RCR|7aVULN|8DUR
19	56232 42323	   	192.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aLHND|3CDMG|4aDMG|5FEWX|6RCR|7NUKE|8ZMB|9aVULN|aBPWR
20	45133 42223	   	190.08	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB|1ASPD	1LEGI|2aZMB|3LHND|4aCDMG|5AART|6RCR|7DMG|8ASPD|9aVULN|aBPWR
21	45333 42223	   	190.08	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB|1ASPD	1LEGI|2aZMB|3LWND|4aCDMG|5AART|6RCR|7DMG|8ASPD|9aVULN|aBPWR
22	32263 62423	 * 	189.00	ACR|3VULN|3DMG|3ASPD	17aVULN|2CGEN|3BELT|4RCR|58aASPD|69aDMG|aBPWR
23	54232 42323	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2aBEXP|3CDMG|4aDMG|5FEWX|6RCR|7NUKE|8ASPD|9aVULN|aBPWR
24	53241 34222	   	188.53	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1AART|2DUR|34CDMG|5DMG|6RCR|79VULN|8LHND|aZMB
25	53224 41311	   	188.43	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1AART|2DUR|38CDMG|47VULN|5DMG|6RCR|9BASHEA|aZMB
26	53236 41311	   	188.43	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1AART|2DUR|38CDMG|4DMG|57VULN|6RCR|9BASHEA|aZMB
27	52222 14423	   	188.29	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1AART|2ZMB|3CGEN|4ASPD|59DMG|6DUR|7aVULN|8RCR
28	54241 31323	   	188.28	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2aBEXP|34CDMG|5aDMG|6RCR|7DUST|8LHND|9aVULN|aBPWR
29	56241 31323	   	188.28	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2aLHND|34CDMG|5aDMG|6RCR|7DUST|8LWND|9aVULN|aBPWR
30	35111 51431	   	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	15VULN|2FEWX|3VENICY|48DMG|6RCR|7CDMG|9AART|aZMB
31	31111 51431	   	187.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	15VULN|2DUST|3VENICY|48DMG|6RCR|7CDMG|9AART|aZMB
32	53224 42333	   	187.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2aDUR|3CDMG|4aVULN|5DMG|6RCR|7RMIN|8ZMB|9aLHND|aBPWR
33	53236 42333	   	187.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1AART|2aDUR|3CDMG|4aDMG|5VULN|6RCR|7RMIN|8ZMB|9aLHND|aBPWR
34	53233 34222	   	187.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8LHND|aZMB
35	53233 34622	   	187.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8BEXP|aZMB
36	53224 41111	   	187.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|28DUR|3CDMG|47VULN|5DMG|6RCR|9BASHEA|aZMB
37	53236 41111	   	187.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|28DUR|3CDMG|4DMG|57VULN|6RCR|9BASHEA|aZMB
38	53233 34134	   	187.26	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1ASPD	1AART|258DUR|3CDMG|4DMG|6RCR|79VULN|aASPD
39	53233 34113	   	187.26	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1ASPD	1AART|258DUR|3CDMG|4DMG|6RCR|7aVULN|9ASPD
40	53233 34116	   	187.26	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1ASPD	1AART|258DUR|3CDMG|4aDMG|6RCR|7VULN|9ASPD
41	12221 22661	   	187.21	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|2BELT|3AART|48aVULN|58ERES|68DMG|7RCR|8BPWR|9DUR
42	12221 22666	 * 	187.21	DCR|3DMG|2VULN|1AART|1DUR	1RPLT|2BELT|3AART|48VULN|58ERES|68aDMG|7RCR|8BPWR|9DUR
43	12221 22632	   	187.21	DCR|3DMG|2VULN|1AART|1DUR	1RPLT|2BELT|3AART|48VULN|58ERES|689DMG|7RCR|8BPWR|aDUR
44	12221 22625	 * 	187.06	DCR|2AART|2VULN|2DMG|1ZMB	1RPLT|2BELT|3aAART|48VULN|58ERES|68DMG|7RCR|8BPWR|9ZMB
45	16422 11111	   	186.99	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1RPLT|24ZMB|369VULN|5CDMG|7RCR|8DMG|aAART
46	16432 11114	 * 	186.86	DCR|5VULN|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|3469aVULN|5CDMG|7RCR|8DMG
47	53224 41221	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|479VULN|5DMG|6RCR|8LHND|aDUST
48	53236 41221	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4DMG|579VULN|6RCR|8LHND|aDUST
49	53224 41331	 * 	186.64	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|29aDUR|38CDMG|47VULN|5DMG|6RCR
50	53236 41331	   	186.64	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|29aDUR|38CDMG|4DMG|57VULN|6RCR
51	13453 11111	   	186.23	DCR|4VULN|1AART|1DMG|1CDMG	1RPLT|2CGEN|3569VULN|4CDMG|7RCR|8DMG|aAART
52	52222 61513	   	186.16	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2ZMB|3CGEN|4ASPD|58DMG|6RCR|7BEXP|9aVULN
53	52222 64323	   	186.16	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2ZMB|3CGEN|4ASPD|59DMG|6RCR|7aVULN|8LWND
54	53224 42322	   	186.07	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1AART|2DUR|3CDMG|49VULN|5DMG|6RCR|7RMIN|8aZMB
55	53236 42322	   	186.07	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1AART|2DUR|3CDMG|4DMG|59VULN|6RCR|7RMIN|8aZMB
56	53241 34223	   	184.47	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|2DUR|34CDMG|5DMG|6RCR|79VULN|8LHND|aASPD
57	53224 41322	   	184.37	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|2DUR|38CDMG|47VULN|5DMG|6RCR|9DUST|aASPD
58	53236 41322	   	184.37	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|2DUR|38CDMG|4DMG|57VULN|6RCR|9DUST|aASPD
59	31111 51435	   	183.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2DUST|3VENICY|48DMG|6RCR|7CDMG|9AART|aDUR
60	53233 34223	   	183.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8LHND|aASPD
61	53233 34623	   	183.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8BEXP|aASPD
62	16432 13226	   	183.45	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	1RPLT|2ZMB|346VULN|59CDMG|7DMG|8AART|aRCR
63	53224 41122	   	183.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|28DUR|3CDMG|47VULN|5DMG|6RCR|9DUST|aASPD
64	53236 41122	   	183.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|28DUR|3CDMG|4DMG|57VULN|6RCR|9DUST|aASPD
65	53214 32323	   	183.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|2aDUR|3CDMG|4aDUST|5DMG|6RCR|7NUKE|8ASPD|9aVULN|aBPWR
66	16431 31326	   	182.92	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RPLT|26ZMB|34VULN|57DMG|8AART|9CDMG|aRCR
67	53224 41333	   	182.82	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|29DUR|38CDMG|47VULN|5DMG|6RCR|aLIT
68	53236 41333	   	182.82	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|29DUR|38CDMG|4DMG|57VULN|6RCR|aLIT
69	53233 34226	   	182.82	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|25DUR|3aCDMG|4DMG|6RCR|79VULN|8LHND
70	32263 62223	   	182.69	ACR|3VULN|3DMG|2ASPD	17aVULN|2CGEN|3BELT|4RCR|5aASPD|69aDMG|8RCVC|aBPWR
71	12221 22621	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RPLT|2BELT|3AART|48VULN|58ERES|68DMG|7RCR|8BPWR|9ZMB|aASPD
72	12223 26451	   	182.28	DCR|2VULN|2DMG|1AART|2CDMG	1RPLT|2BELT|3AART|4aVULN|5NUKE|6aDMG|7aCDMG|8RCR|9RCVC|aBPWR
73	53224 41232	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|47VULN|5DMG|6RCR|89LHND|aZMB
74	53224 42323	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|49VULN|5DMG|6RCR|7RMIN|8ZMB|aLIT
75	53224 42332	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4aVULN|5DMG|6RCR|7RMIN|8ZMB|9LHND
76	53236 41232	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4DMG|57VULN|6RCR|89LHND|aZMB
77	53236 42323	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4DMG|59VULN|6RCR|7RMIN|8ZMB|aLIT
78	53236 42332	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4DMG|5aVULN|6RCR|7RMIN|8ZMB|9LHND
79	53232 41222	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4DMG|58FEWX|6RCR|79VULN|aZMB
80	56233 41122	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|28LHND|3CDMG|4DMG|5DUR|6RCR|79VULN|aZMB
81	56233 41222	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2LHND|3CDMG|4DMG|5DUR|6RCR|79VULN|8RCVC|aZMB
82	32336 44311	 * 	182.21	DCR|4VULN|1AART|2ZMB|2DUR	1789VULN|2CGEN|38ZMB|4RMIN|58DUR|6RCR|8BPWR|aAART
83	53224 42321	   	182.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|49VULN|5DMG|6RCR|7RMIN|8ZMB|aDUST
84	53236 42321	   	182.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4DMG|59VULN|6RCR|7RMIN|8ZMB|aDUST
85	51611 34122	   	182.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2ERES|3MLV|4CDMG|5DMG|6RCR|79VULN|8DUR|aZMB
86	56233 42322	   	182.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2LHND|3CDMG|4DMG|5DUR|6RCR|7NUKE|8ZMB|9aVULN
87	33332 26114	 * 	181.39	ACR|3VULN|3DMG|2ZMB	16aVULN|2ERES|3aZMB|4RMIN|5RCR|78aDMG|9DLOT|aBPWR
88	53233 34253	   	180.53	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	1AART|25aDUR|3CDMG|4aDMG|6RCR|7VULN|8LHND|9aFEWX|aBPWR
89	53233 34633	   	180.53	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	1AART|25aDUR|3CDMG|4aDMG|6RCR|7VULN|8BEXP|9aLHND|aBPWR
90	16414 32133	   	180.51	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1RPLT|26ZMB|3aVULN|4BEXP|56DMG|6BPWR|7ASPD|8RCR|9AART
91	16522 15111	 * 	180.46	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	1RPLT|24ZMB|3RCR|57CDMG|69VULN|8DMG|aAART
92	16432 11113	 * 	180.34	DCR|4VULN|1DMG|2CDMG|1ZMB	1RPLT|2ZMB|3469VULN|5aCDMG|7RCR|8DMG
93	16534 12323	 * 	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RPLT|2ZMB|3RCR|479VULN|5DMG|6ERES|8AART|aASPD
94	53224 41132	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|289DUR|3CDMG|47VULN|5DMG|6RCR|aBELT
95	53236 41132	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|289DUR|3CDMG|4DMG|57VULN|6RCR|aBELT
96	53233 34121	   	180.33	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	1AART|258DUR|3CDMG|4aDMG|6RCR|7VULN|9LWND
97	53233 34123	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|7aVULN|9LWND
98	53233 34132	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|79VULN|aBELT
99	53233 34135	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|79VULN|aRCVC
100	53233 34136	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|79VULN|aLWND
101	53233 34151	   	180.33	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	1AART|258DUR|3CDMG|4aDMG|6RCR|7VULN|9FEWX
102	53233 34153	   	180.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|7aVULN|9FEWX
103	12221 22633	   	180.27	DCR|3DMG|2VULN|1AART	1RPLT|2BELT|3AART|48VULN|58ERES|689DMG|7RCR|8BPWR|aMLV
104	12221 22636	   	180.27	DCR|3DMG|2VULN|1AART	1RPLT|2aBELT|3AART|48VULN|58ERES|689DMG|7RCR|8BPWR
105	53224 41131	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|289DUR|3CDMG|47VULN|5DMG|6RCR|aCANSTR
106	53224 41133	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|289DUR|3CDMG|47VULN|5DMG|6RCR|aDUST
107	53236 41131	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|289DUR|3CDMG|4DMG|57VULN|6RCR|aCANSTR
108	53236 41133	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|289DUR|3CDMG|4DMG|57VULN|6RCR|aDUST
109	53233 31131	   	180.23	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	1AART|258DUR|3CDMG|4aDMG|6RCR|7DUST|9VULN
110	53233 31133	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|7DUST|9aVULN
111	53233 34131	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|79VULN|aCANSTR
112	53233 34133	   	180.23	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1AART|258DUR|3CDMG|4DMG|6RCR|79VULN|aDUST
113	12221 22611	   	180.17	DCR|3VULN|2DMG|1AART	1RPLT|2BELT|3AART|48aVULN|58ERES|68DMG|7RCR|8BPWR|9DUST
114	12221 22616	   	180.17	DCR|3DMG|2VULN|1AART	1RPLT|2BELT|3AART|48VULN|58ERES|68aDMG|7RCR|8BPWR|9DUST
115	12221 22631	   	180.17	DCR|3DMG|2VULN|1AART	1RPLT|2BELT|3AART|48VULN|58ERES|689DMG|7RCR|8BPWR|aDUST
116	12221 22635	   	180.17	DCR|3DMG|2VULN|1AART	1RPLT|2BELT|3AART|48VULN|58aERES|689DMG|7RCR|8BPWR
117	52222 61613	   	180.02	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	18AART|2ZMB|3CGEN|4ASPD|5DMG|6RCR|7BEXP|9aVULN
118	56232 41333	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3CDMG|4DMG|5FEWX|6RCR|79aVULN|8ERES
119	32336 22311	   	179.81	DCR|4VULN|1AART|2ZMB|2DUR	1689VULN|2CGEN|38ZMB|4RMIN|58DUR|7RCR|8BPWR|aAART
120	34441 33322	 * 	179.73	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	19VULN|2LWND|3SELL|4RCR|57DMG|6DUR|8AART|aZMB
121	45133 42222	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2ZMB|3LHND|4CDMG|5AART|6RCR|7DMG|8ASPD|9aVULN
122	45333 42222	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2ZMB|3LWND|4CDMG|5AART|6RCR|7DMG|8ASPD|9aVULN
123	12232 53451	   	179.64	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB	1RPLT|2BELT|3AART|4aCDMG|5DMG|6aVULN|7aZMB|8RCR|9RCVC|aBPWR
124	52222 64111	   	179.36	DCR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1AART|28ZMB|3CGEN|4ASPD|5DMG|6RCR|79VULN|aDUR
125	33512 23415	   	179.17	DCR|3VULN|2DMG|1AART	17aVULN|27ERES|3aCGEN|4LSRHEA|57LWND|6RCR|7aBPWR|8aDMG|9AART
126	51222 64132	 * 	179.03	DCR|2VULN|1AART|1DMG|2ZMB|2ASPD	1AART|29ERES|3CGEN|49ASPD|5DMG|6RCR|7aVULN|89ZMB|9BPWR
127	33511 23415	   	178.97	DCR|3VULN|2DMG|1AART	17aVULN|2aERES|37CGEN|47LSRHEA|5LEGI|6RCR|7aBPWR|8aDMG|9AART
128	51211 34125	 * 	178.62	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	19AART|2ERES|3CGEN|4CDMG|5DMG|6RCR|7VULN|8DUR|aFLTHEA
129	13456 11111	   	178.44	DCR|3VULN|1AART|1DMG|2CDMG	1RPLT|2CGEN|369VULN|45CDMG|7RCR|8DMG|aAART
130	16531 14313	   	178.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|3RCR|4aVULN|5DUR|6CDMG|7LIT|8AART|9DMG
131	12232 52451	 * 	178.34	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1RPLT|2BELT|3AART|4aCDMG|5DMG|6aVULN|7aASPD|8RCR|9RCVC|aBPWR
132	53224 41233	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|47VULN|5DMG|6RCR|89LHND|aASPD
133	53236 41233	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|4DMG|57VULN|6RCR|89LHND|aASPD
134	53232 41223	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|4DMG|58FEWX|6RCR|79VULN|aASPD
135	56233 41123	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|28LHND|3CDMG|4DMG|5DUR|6RCR|79VULN|aASPD
136	56233 41223	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2LHND|3CDMG|4DMG|5DUR|6RCR|79VULN|8RCVC|aASPD
137	53232 42322	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|4DMG|5FEWX|6RCR|7NUKE|8ASPD|9aVULN
138	51611 34123	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2ERES|3MLV|4CDMG|5DMG|6RCR|79VULN|8DUR|aASPD
139	54233 42322	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2BEXP|3CDMG|4DMG|5DUR|6RCR|7NUKE|8ASPD|9aVULN
140	16431 52122	   	177.96	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RPLT|2ZMB|349VULN|5DMG|6ASPD|7AART|8DUR|aRCR
141	53214 32322	   	177.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DUR|3CDMG|4DUST|5DMG|6RCR|7NUKE|8ASPD|9aVULN
142	16422 11114	 * 	177.88	DCR|4VULN|1DMG|2ZMB|1CDMG	1RPLT|24ZMB|369aVULN|5CDMG|7RCR|8DMG
143	53232 41226	   	177.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|3aCDMG|4DMG|58FEWX|6RCR|79VULN
144	16431 24323	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RPLT|2ZMB|349VULN|5DMG|6TLV|7RCR|8AART|aASPD
145	53224 41313	   	177.43	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|38CDMG|47VULN|5DMG|6RCR|9BASHEA|aBEXP
146	53236 41313	   	177.43	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|38CDMG|4DMG|57VULN|6RCR|9BASHEA|aBEXP
147	53241 31222	   	177.43	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|34CDMG|5DMG|6RCR|7DUST|8LHND|9aVULN
148	53241 34221	   	177.43	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|34CDMG|5DMG|6RCR|79VULN|8LHND|aDUST
149	54241 31122	   	177.43	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2BEXP|34CDMG|5DMG|6RCR|7DUST|8DUR|9aVULN
150	56241 31122	   	177.43	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2LHND|34CDMG|5DMG|6RCR|7DUST|8DUR|9aVULN
151	53224 41321	   	177.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|38CDMG|47VULN|5DMG|6RCR|9aDUST
152	53236 41321	   	177.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|2DUR|38CDMG|4DMG|57VULN|6RCR|9aDUST
153	52162 61311	 * 	177.13	DCR|2AART|2DMG|1VULN|2ZMB	15AART|28ZMB|3aFEWX|48DMG|6RCR|78BEXP|8BPWR|9VULN
154	52162 61312	   	177.13	DCR|2AART|2DMG|1VULN|2ZMB	15AART|28ZMB|3FEWX|48DMG|6RCR|78BEXP|8BPWR|9VULN|aLHND
155	52162 61322	   	177.13	DCR|2AART|2DMG|1VULN|2ZMB	15AART|28ZMB|3FEWX|48DMG|6RCR|78BEXP|8BPWR|9RPLT|aVULN
156	53241 33223	   	177.06	DCR|2VULN|2DMG|1AART|2CDMG|2DUR|1MSE	1AART|2aDUR|34CDMG|5aDMG|6RCR|7MSE|8LHND|9aVULN|aBPWR
157	35111 51433	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2FEWX|3VENICY|48DMG|6RCR|7CDMG|9AART|aBEXP
158	31111 51433	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2DUST|3VENICY|48DMG|6RCR|7CDMG|9AART|aBEXP
