0	Index      	 *	Score 	Summary	Detail	
1	15623 53322	 * 	264.68	橙3易伤2伤害1矿等1攻速1平台	1平台24雷电346易伤46序列升级56伤害7时间8矿等9攻速a核
22	62453 12222	 * 	238.67	橙4易伤2暴击1攻速	1导弹对绿2578易伤3时间49暴击6核a攻速
23	63236 22334	 * 	238.57	橙2易伤2攻速1伤害1矿等1全技能1平台	1a导弹对绿2伤害3平台4a易伤5矿等6全技能7核8金币生成9a攻速a序列升级
24	63236 22134	   	238.47	橙2易伤2攻速1伤害1矿等1全技能1平台	1a导弹对绿2伤害3平台4a易伤5矿等6全技能7核8技能点9a攻速a序列升级
25	31224 21366	 * 	238.23	橙3易伤2矿等1暴击1攻速	1a雷电2a矿等3攻速4技能5暴击6双倍秒伤78a易伤9核a序列升级
26	66351 21141	   	238.08	橙橙1易伤1暴击	1导弹对绿2赏金塔3加一4暴击5赏金邻近6易伤79核8最后敌人a核弹
27	62123 53115	   	237.66	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4等级5随机矿6雷电7赏金邻近8a核9低血量敌人
28	62123 53135	   	237.66	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4等级5随机矿6雷电7赏金邻近8a核9敌人爆炸
29	62136 23115	   	237.66	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4随机矿5雷电6金币生成7赏金塔8a核9低血量敌人
30	62136 23135	   	237.66	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4随机矿5雷电6金币生成7赏金塔8a核9敌人爆炸
31	32125 43453	   	237.56	橙橙1易伤1伤害	1雷电2等级3敌人爆炸4易伤5基地爆炸6加一7爆破对壮8伤害9a核
32	32325 43453	   	237.56	橙橙1易伤1伤害	1雷电2等级3基地爆炸4易伤5敌人爆炸6加一7爆破对壮8伤害9a核
33	62133 53115	   	237.56	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4随机矿5技能点6雷电7赏金邻近8a核9低血量敌人
34	62133 53135	   	237.56	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4随机矿5技能点6雷电7赏金邻近8a核9敌人爆炸
35	62123 53125	   	237.56	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4等级5随机矿6雷电7赏金邻近8a核9挖尘
36	62136 23125	   	237.56	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4随机矿5雷电6金币生成7赏金塔8a核9挖尘
37	62311 53733	   	237.46	橙橙1易伤1伤害	1导弹对绿2易伤3基地爆炸4技能点5低血量敌人6加一7伤害8a核9雷电
38	63633 44733	   	237.46	橙橙1易伤1伤害	1导弹对绿2伤害3加一4挖青5敌人爆炸6等级7易伤8a核9雷电
39	22551 46243	   	237.46	橙橙1易伤1伤害	1金币生成2挖尘3加一4易伤5基地爆炸6雷电7散射对喷气8a核9伤害
40	62133 53125	   	237.46	橙橙1易伤1伤害	1导弹对绿2易伤3伤害4随机矿5技能点6雷电7赏金邻近8a核9挖尘
41	62312 53733	   	237.36	橙橙1易伤1伤害	1导弹对绿2易伤3基地爆炸4技能点5挖尘6加一7伤害8a核9雷电
42	62123 12266	 * 	237.36	橙2易伤2矿等1伤害2时间1暴击	1导弹对绿2a易伤3伤害4等级5随机矿6a时间7核8暴击9a矿等a序列升级
43	62125 12243	   	237.14	橙3易伤1伤害1矿等1暴击	1导弹对绿278易伤3伤害4等级5暴击6核9时间a矿等
44	62453 12212	   	236.24	橙4易伤1矿等1暴击	1导弹对绿2578易伤3时间4暴击6核9随机矿a矿等
45	14531 26221	   	235.86	橙橙1矿等2平台1全技能	18平台2时间3全技能4敌人爆炸5矿等69核7赏金塔a双倍秒伤
46	14531 26222	   	235.86	橙橙1矿等2平台1全技能1挖怪	18平台2时间3全技能4敌人爆炸5矿等69核7赏金塔a挖怪
47	14531 26223	   	235.86	橙橙1矿等2平台1全技能	18平台2时间3全技能4敌人爆炸5矿等69核7赏金塔a爆破对壮
48	23413 25313	   	235.42	橙橙1易伤1全技能1策反	19金币生成2全技能3赏金塔4策反5技能68核7时间a易伤
49	23413 25353	   	235.42	橙橙1易伤1全技能1策反	1金币生成2全技能3赏金塔4策反5技能68核7时间9立即金币a易伤
50	14221 63314	   	235.34	橙2易伤2伤害1矿等2时间1平台	1平台2a时间3低血量敌人4a易伤5矿等6核7双倍秒伤8金币生成9a伤害a序列升级
51	14221 63214	   	235.24	橙2易伤2伤害1矿等2时间1平台	1平台2a时间3低血量敌人4a易伤5矿等6核7双倍秒伤8掉矿9a伤害a序列升级
52	44212 12333	   	234.88	橙橙1易伤1矿等1卖塔	1敌人爆炸2加农对甲3卖塔4a金币生成5矿等69核7易伤8最后敌人
53	44212 12334	   	234.88	橙橙1易伤1矿等1卖塔	1a敌人爆炸2加农对甲3卖塔4金币生成5矿等69核7易伤8最后敌人
54	44212 12335	   	234.88	橙橙1易伤1矿等1卖塔	1敌人爆炸2加农对甲3卖塔4金币生成5矿等69核7易伤8最后敌人a喷火对甲
55	61212 12333	   	234.88	橙橙1易伤1矿等1卖塔	1导弹对绿2敌人爆炸3卖塔4a金币生成5矿等69核7易伤8最后敌人
56	61212 12334	   	234.88	橙橙1易伤1矿等1卖塔	1导弹对绿2a敌人爆炸3卖塔4金币生成5矿等69核7易伤8最后敌人
57	61212 12335	   	234.88	橙橙1易伤1矿等1卖塔	1导弹对绿2敌人爆炸3卖塔4金币生成5矿等69核7易伤8最后敌人a喷火对甲
