0	Index      	 *	Score 	Summary	Detail	
1	15317 42246	 * 	276.84	橙橙2易伤2矿等	1双倍秒伤25易伤3加一4等级6a核7最后敌人89矿等
22	12133 32645	 * 	256.56	橙橙2伤害3时间1攻速	1双倍秒伤278时间35技能点45伤害5序列升级6a核9攻速
23	15232 52644	 * 	256.10	紫橙4易伤	1双倍秒伤257a易伤3低血量敌人49核6加一8基地爆炸
24	14533 32411	   	255.64	橙橙2伤害1矿等2时间	1双倍秒伤2矿等35伤害45最后敌人5序列升级6a核79时间8额外掉落
25	14633 32211	   	255.64	橙橙2伤害1矿等2时间	1双倍秒伤2矿等35基地爆炸45伤害5序列升级6a核79时间8额外掉落
26	12421 52342	   	255.52	橙橙1易伤1伤害1全技能	1双倍秒伤2时间3激光减费4立即金币5基地爆炸68核7全技能9伤害a易伤
27	11533 33342	   	255.34	橙橙2伤害1易伤	1双倍秒伤2等级35伤害45最后敌人5序列升级69核78技能a易伤
28	33265 32325	   	255.19	橙橙1易伤1伤害1矿等	1基地爆炸2挖尘3敌人爆炸4技能5金币生成6a核7易伤8伤害9矿等
29	11514 33225	   	255.09	橙橙1易伤1伤害1矿等	14双倍秒伤2等级3伤害5易伤6a核7技能8基地爆炸9矿等
30	33266 32325	   	255.09	橙橙1易伤1伤害1矿等	1基地爆炸2挖尘3敌人爆炸4技能5掉矿6a核7易伤8伤害9矿等
31	11233 32315	   	255.04	橙橙2伤害1易伤	1双倍秒伤2等级35挖尘45伤害5序列升级6a核7易伤8核弹9赏金邻近
32	11233 32345	   	255.04	橙橙2伤害1易伤	1双倍秒伤2等级35挖尘45伤害5序列升级6a核7易伤8核弹9赏金塔
33	33245 32325	   	254.94	橙橙1易伤1伤害1矿等1策反	1基地爆炸2挖尘3敌人爆炸4策反5金币生成6a核7易伤8伤害9矿等
34	43311 32325	   	254.94	橙橙1易伤1伤害1矿等1策反	1低血量敌人2挖尘3策反4随机矿5基地爆炸6a核7易伤8伤害9矿等
35	11514 31325	   	254.89	橙橙1易伤1伤害1矿等	14双倍秒伤2等级3伤害5易伤6a核7挖尘8核弹9矿等
36	33334 35325	   	254.84	橙橙1易伤1伤害1矿等1策反	1基地爆炸2挖尘3策反4掉矿5易伤6a核7敌人爆炸8伤害9矿等
37	22111 51325	   	254.84	橙橙1易伤1伤害1矿等1策反	1挖青2策反3易伤4随机矿5基地爆炸6a核7挖尘8伤害9矿等
38	33246 32325	   	254.84	橙橙1易伤1伤害1矿等1策反	1基地爆炸2挖尘3敌人爆炸4策反5掉矿6a核7易伤8伤害9矿等
39	14233 31115	   	253.89	橙橙2伤害1矿等1暴击1卖塔	1双倍秒伤2矿等357挖尘45伤害5序列升级6a核8暴击9卖塔
40	15321 46174	   	253.16	橙橙2易伤1全技能	1双倍秒伤29易伤3加一4双倍矿5掉矿6a核7电塔对甲8全技能
41	22635 47332	   	253.11	橙橙2易伤1平台1策反	1挖青2策反3加一45易伤6a核7平台8赏金塔9雷电
42	12421 52332	   	252.99	橙橙1易伤1矿等1全技能	1双倍秒伤2时间3激光减费4立即金币5基地爆炸68核7全技能9矿等a易伤
43	11514 32411	   	252.41	橙橙1易伤1伤害2时间	14双倍秒伤2等级3伤害5易伤6a核79时间8额外掉落
44	15236 12325	   	252.39	紫橙2易伤1伤害1矿等	1双倍秒伤27易伤3低血量敌人4a核5随机矿6伤害8核弹9矿等
45	15233 12525	   	252.24	紫橙2易伤1伤害1矿等1策反	1双倍秒伤27易伤3低血量敌人4a核5金币生成6伤害8策反9矿等
46	15236 22325	   	252.24	紫橙2易伤1伤害1矿等1策反	1双倍秒伤27易伤3低血量敌人4a核5随机矿6策反8伤害9矿等
47	15324 44816	   	251.90	橙橙2易伤	1双倍秒伤28易伤3加一4双倍矿5技能点6a核7时间9赏金邻近
48	22146 33151	   	251.76	橙橙2易伤1策反	1挖青2策反34易伤5额外掉落6a核7时间8技能点9最后敌人
49	22146 33351	   	251.76	橙橙2易伤1策反	1挖青2策反34易伤5额外掉落6a核7时间8敌人爆炸9掉矿
50	22146 31161	   	251.66	橙橙2易伤1策反	1挖青2策反34易伤5额外掉落6a核7挖尘8技能点9时间
51	24162 33335	   	251.21	橙橙1易伤1伤害1攻速	1挖青2金币生成3易伤4赏金邻近5最后敌人6挖尘7a核8伤害9攻速
52	24243 13335	   	251.21	橙橙1易伤1伤害1攻速	1挖青2金币生成3最后敌人4易伤5挖尘6赏金塔7a核8伤害9攻速
53	15312 42246	   	250.63	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4等级5立即金币6a核7最后敌人89矿等
54	15328 42246	   	250.63	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4双倍矿5等级6a核7最后敌人89矿等
55	15362 42246	   	250.63	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4金币生成5立即金币6a核7最后敌人89矿等
56	15321 42246	   	250.53	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4双倍矿5掉矿6a核7最后敌人89矿等
57	15324 42246	   	250.53	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4双倍矿5技能点6a核7最后敌人89矿等
58	32661 32411	   	249.98	橙橙1易伤1矿等2时间	1基地爆炸29时间3挖尘4技能5矿等6a核7易伤8额外掉落
59	32641 32411	   	249.74	橙橙1易伤1矿等2时间1策反	1基地爆炸29时间3挖尘4策反5矿等6a核7易伤8额外掉落
60	14533 33343	   	249.09	橙橙2伤害1矿等	1双倍秒伤2矿等35伤害45最后敌人5序列升级69核78技能a时间
61	26111 51325	   	248.58	橙橙1易伤1矿等1攻速	1挖青2攻速3易伤4随机矿5基地爆炸6a核7挖尘8核弹9矿等
