0	Index      	 *	Score 	Summary	Detail	
1	45313 13116	 * 	291.73	DCR|3LIT|4VULN|1DMG	1AART|25aLIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG
51	21533 26131	   	266.96	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1ERES|26LIT|3CDMG|4ASPD|5MLV|7aVULN|8FEWX|9RCR
52	45313 12232	 * 	266.50	DCR|2LIT|2VULN|1DMG|1NUKE|1ASPD|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9ASPD|aNUKE
53	45313 14284	   	266.06	DCR|3LIT|3VULN|1CDMG	1AART|258LIT|3MBVNT|459VULN|5BPWR|6RCR|7ERES|aCDMG
54	45313 12511	   	265.91	DCR|3LIT|3VULN|1ASPD|1SELL	1AART|258LIT|3MBVNT|458VULN|58BPWR|6RCR|7SELL|9LHND|aASPD
55	45313 12542	   	265.91	DCR|3LIT|3VULN|1ASPD|1SELL	1AART|258LIT|3MBVNT|458VULN|58BPWR|6RCR|7SELL|9ASPD|aFEWX
56	45313 12544	   	265.91	DCR|3LIT|3VULN|1ASPD|1SELL	1AART|258LIT|3MBVNT|458VULN|58BPWR|6RCR|7SELL|9ASPD|aBEXP
57	45313 12541	   	265.81	DCR|3LIT|3VULN|1ASPD|1DUR|1SELL	1AART|258LIT|3MBVNT|458VULN|58BPWR|6RCR|7SELL|9ASPD|aDUR
58	45313 12543	   	265.81	DCR|3LIT|3VULN|1ASPD|1SELL	1AART|258LIT|3MBVNT|458VULN|58BPWR|6RCR|7SELL|9ASPD|aCANARM
59	45313 13421	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8RPLT|9RMIN|aMLV
60	45313 13614	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8LHND|9RPLT|aMLV
61	45313 13732	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8RMIN|9LWND|aMLV
62	45313 15121	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7RPLT|8DMG|9RMIN|aMLV
63	45313 13332	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9LHND|aMLV
64	45313 13441	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8RPLT|9NUKE|aMLV
65	45313 13622	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8LHND|9ERES|aMLV
66	45313 13822	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8FEWX|9ERES|aMLV
67	45313 15141	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7RPLT|8DMG|9NUKE|aMLV
68	45313 12121	   	264.88	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8CGEN|9MLV|aDMG
69	45313 12224	   	264.88	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV|aBEXP
70	45313 12225	   	264.88	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV|aLHND
71	45313 12228	   	264.88	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV|aFEWX
72	45313 12223	   	264.78	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV|aERES
73	45313 12226	   	264.78	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1aAART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV
74	45313 12321	   	264.78	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8ERES|9MLV|aDMG
75	41522 12342	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1AART|2VULN|3ERES|4DMG|5MLV|6CDMG|7RCR|89LIT|aASPD
76	45313 13434	   	264.37	DCR|2LIT|2VULN|2DMG|1ASPD	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|8RPLT|aASPD
77	45313 15134	   	264.37	DCR|2LIT|2VULN|2DMG|1ASPD	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7RPLT|89DMG|aASPD
78	21331 66324	   	264.37	DCR|3LIT|4VULN|1DUR	18ERES|258LIT|3FEWX|4DUR|6789VULN|8BPWR|aRCR
79	21622 31336	   	264.37	DCR|3LIT|4VULN	158ERES|248LIT|3678VULN|8BPWR|9BEXP|aRCR
80	45313 13231	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ASPD|aFEWX
81	45313 13232	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ASPD|aLHND
82	45313 13234	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ASPD|aRPLT
83	45313 13236	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ASPD|aCGEN
84	45313 13237	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ASPD|aTLV
85	45313 13263	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9TLV|aASPD
86	45313 13273	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9RMIN|aASPD
87	45313 17221	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7ASPD|9DMG|aFEWX
88	45313 17222	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7ASPD|9DMG|aLHND
89	45313 17224	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7ASPD|9DMG|aRPLT
90	45313 13253	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ERES|aASPD
91	45313 14223	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7ERES|9DMG|aASPD
92	26211 51163	 * 	263.75	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG|1DUR	1ERES|2CDMG|3FEWX|4DUR|5MLV|6FLTARM|7VULN|8RCR|9LIT|aDMG
93	45313 13235	   	263.74	DCR|3LIT|2VULN|1DMG|1ASPD|1SELL	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9ASPD|aSELL
94	12433 24423	   	262.57	DCR|2LIT|2VULN|2DMG|1CDMG	1RMIN|2DMSP|35VULN|45DMG|5BPWR|6aLIT|7RCR|8CDMG|9MBVNT
95	45313 11624	   	262.46	DCR|3LIT|2VULN|1MLV	1AART|25aLIT|3MBVNT|45VULN|5BPWR|6RCR|7LHND|8BEXP|9MLV
96	45313 11824	   	262.46	DCR|3LIT|2VULN|1MLV	1AART|25aLIT|3MBVNT|45VULN|5BPWR|6RCR|7LHND|8FEWX|9MLV
97	26312 24241	   	262.33	DCR|2LIT|2VULN|2DMG|1CDMG|1SELL	18ERES|2CDMG|3RMIN|48DMG|5SELL|68LIT|7RCR|8BPWR|9aVULN
98	12433 24411	   	261.84	DCR|3VULN|1LIT|2DMG|1CDMG	1RMIN|2DMSP|35aVULN|45DMG|5BPWR|6LIT|7RCR|8CDMG|9ERES
