0	Index      	 *	Score 	Summary	Detail	
1	23221 24245	 * 	241.66	橙3易伤1等级1伤害1矿等1时间	1敌人爆炸2头目3等级4时间5伤害679易伤8矿等a核
66	23321 24323	   	215.45	橙3易伤1伤害1矿等1时间	18敌人爆炸2头目3矿等4时间5伤害679易伤a核
67	23321 24123	   	215.35	橙3易伤1伤害1矿等1时间	1敌人爆炸2头目3矿等4时间5伤害679易伤8烈焰减费a核
68	63321 24123	   	215.35	橙3易伤1伤害1矿等1时间	1低血量敌人2头目3矿等4时间5伤害679易伤8烈焰减费a核
69	43311 31441	 * 	215.30	橙3伤害2等级2时间1暴击	1赏金邻近2赏金塔36a伤害4暴击5a等级7a时间8额外掉落9核a序列升级
70	33221 24245	   	215.25	橙3易伤1伤害1矿等1时间	1技能点2头目3挖尘4时间5伤害679易伤8矿等a核
71	33621 22257	   	215.25	橙3易伤1伤害1矿等1时间	1技能点2头目369易伤4时间5伤害7加一8矿等a核
72	23323 24223	   	214.62	橙3易伤2矿等1时间	1敌人爆炸2头目38矿等4时间5攻速679易伤a核
73	63323 24223	   	214.62	橙3易伤2矿等1时间	1低血量敌人2头目38矿等4时间5攻速679易伤a核
74	25611 13433	   	214.35	橙4易伤1矿等1时间	1敌人爆炸2双倍秒伤345a易伤6核7技能点8矿等9时间
75	25616 21133	   	214.35	橙4易伤1矿等1时间	1敌人爆炸2双倍秒伤348a易伤5技能点6矿等7核9时间
76	33621 62242	   	213.40	橙3易伤1伤害1时间1暴击	1技能点2头目39a易伤4时间5伤害6暴击7核8雷电
77	53222 53253	   	212.90	橙2易伤1等级1矿等1全技能1暴击	1狙击对毒2寒冰对冰3全技能48易伤5矿等6防空对甲7等级9暴击a核
78	23223 24123	   	212.83	橙3易伤1等级1时间	1敌人爆炸2头目3等级4时间5攻速679易伤8烈焰减费a核
79	63223 24123	   	212.83	橙3易伤1等级1时间	1低血量敌人2头目3等级4时间5攻速679易伤8烈焰减费a核
80	23323 24245	   	212.54	橙2易伤2矿等1伤害1时间	1敌人爆炸2头目38矿等4时间5攻速67易伤9伤害a核
81	25611 12633	   	212.20	橙3易伤1等级1伤害	19敌人爆炸2双倍秒伤345易伤6核7暴雪减费8伤害a等级
82	33621 25123	 * 	212.20	橙3易伤2时间1伤害	1技能点2头目367易伤48时间5伤害9基地爆炸a核
83	33621 25163	   	212.20	橙3易伤2时间1伤害	1技能点2头目367易伤48时间5伤害9敌人爆炸a核
