0	Index      	 *	Score 	Summary	Detail	
1	53533 33312	 * 	307.76	DCR|2TLV|2LIT|2MLV|1VULN|1RPLT|2AART	19TLV|2RPLT|38AART|49MLV|59LIT|6RCR|7RMIN|9BPWR|aVULN
24	53533 33112	   	285.61	DCR|3LIT|2TLV|2MLV|1RPLT	19TLV|2RPLT|3AART|49MLV|589LIT|6RCR|7RMIN|9BPWR|aCGEN
25	53533 33113	   	285.61	DCR|3LIT|2TLV|2MLV|1RPLT	19TLV|2RPLT|3AART|49MLV|589LIT|6RCR|7RMIN|9BPWR|aBEXP
26	53533 33115	   	285.61	DCR|3LIT|2TLV|2MLV|1RPLT	19TLV|2RPLT|3AART|49MLV|589LIT|6RCR|7aRMIN|9BPWR
27	53533 33111	   	285.51	DCR|3LIT|2TLV|2MLV|1RPLT	19TLV|2RPLT|3AART|49MLV|589LIT|6RCR|7RMIN|9BPWR|aDUST
28	56236 32231	   	284.64	DCR|3VULN|2TLV|2LIT	1aTLV|24aVULN|3aLIT|5RCVC|6AAC|7MDPS|8RPLT|9RCR|aBPWR
29	14231 21251	 * 	284.26	ACR|DCR|2TLV|2LIT|1VULN	1VULN|2LWND|3MDPS|49TLV|57RCR|6aLIT|8BBNT
30	62151 21251	   	284.26	ACR|DCR|2TLV|2LIT|1VULN	1MDPS|2VULN|39TLV|4LWND|57RCR|6aLIT|8BBNT
31	14231 21235	   	283.26	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	19VULN|2LWND|3MDPS|4TLV|57RCR|6LIT|8BBNT|aASPD
32	56121 21235	   	283.26	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	1TLV|29VULN|3LHND|4MDPS|57RCR|6LIT|8BBNT|aASPD
33	62151 21235	   	283.26	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	1MDPS|29VULN|3TLV|4LWND|57RCR|6LIT|8BBNT|aASPD
34	62231 21235	   	283.26	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	1MDPS|29VULN|3LHND|4TLV|57RCR|6LIT|8BBNT|aASPD
35	53631 15131	 * 	283.17	DCR|3MLV|2TLV|1LIT|1VULN|1RPLT	1aTLV|2RPLT|345MLV|6RCR|7LIT|8VULN|9BEXP
36	14231 21261	 * 	281.50	ACR|DCR|3LIT|1TLV|1VULN	1VULN|2LWND|3MDPS|4TLV|57RCR|69aLIT|8BBNT
37	62151 21261	   	281.50	ACR|DCR|3LIT|1TLV|1VULN	1MDPS|2VULN|3TLV|4LWND|57RCR|69aLIT|8BBNT
38	53533 33315	   	281.23	DCR|2TLV|2LIT|2MLV|1RPLT|2AART	19TLV|2RPLT|38AART|49MLV|59LIT|6RCR|7RMIN|9BPWR|aTBNT
39	52132 26235	 * 	280.82	DCR|3TLV|2VULN|2LIT|2DUR	124TLV|2aBPWR|3aDUR|5LHND|6aVULN|7aLIT|8BBNT|9RCR
40	11553 22331	 * 	280.62	DCR|3VULN|2LIT|1TLV|1MLV	167VULN|28LIT|3MLV|4BBNT|5AME|9TLV|aRCR
41	53412 11613	 * 	280.53	DCR|2TLV|2MLV|1VULN|2ASPD|1RPLT	1aTLV|2RPLT|3aASPD|4BEXP|5VULN|6RCR|7aMLV|8TBNT|9BBNT|aBPWR
42	12121 21164	   	280.39	ACR|DCR|2VULN|2TLV|1LIT	19VULN|2ERES|3LHND|4MDPS|57RCR|6LIT|8aTLV
43	14231 21151	   	280.16	ACR|DCR|2TLV|2LIT|1VULN	1VULN|2LWND|3MDPS|49TLV|57RCR|6aLIT|8TBNT
44	62151 21151	   	280.16	ACR|DCR|2TLV|2LIT|1VULN	1MDPS|2VULN|39TLV|4LWND|57RCR|6aLIT|8TBNT
45	53533 33211	   	279.90	DCR|3MLV|2TLV|2LIT|1RPLT	19TLV|2RPLT|3AART|489MLV|59LIT|6RCR|7aRMIN|9BPWR
46	53533 33212	   	279.90	DCR|3MLV|2TLV|2LIT|1RPLT	19TLV|2RPLT|3AART|489MLV|59LIT|6RCR|7RMIN|9BPWR|aLHND
47	53533 33214	   	279.90	DCR|3MLV|2TLV|2LIT|1RPLT	19TLV|2RPLT|3AART|489MLV|59LIT|6RCR|7RMIN|9BPWR|aLWND
48	53533 33216	   	279.90	DCR|3MLV|2TLV|2LIT|1RPLT	19TLV|2RPLT|3AART|489MLV|59LIT|6RCR|7RMIN|9BPWR|aZMB
49	53533 33213	   	279.80	DCR|3MLV|2TLV|2LIT|1RPLT	19TLV|2RPLT|3AART|489MLV|59LIT|6RCR|7RMIN|9BPWR|aERES
50	14231 21135	   	279.16	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	19VULN|2LWND|3MDPS|4TLV|57RCR|6LIT|8TBNT|aASPD
51	56121 21135	   	279.16	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	1TLV|29VULN|3LHND|4MDPS|57RCR|6LIT|8TBNT|aASPD
52	62151 21135	   	279.16	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	1MDPS|29VULN|3TLV|4LWND|57RCR|6LIT|8TBNT|aASPD
53	62231 21135	   	279.16	ACR|DCR|2VULN|1TLV|1LIT|1ASPD	1MDPS|29VULN|3LHND|4TLV|57RCR|6LIT|8TBNT|aASPD
54	14231 21211	 * 	278.84	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1VULN|2LWND|3MDPS|4TLV|57RCR|6LIT|8BBNT|9MLV|aDMG
55	54151 21211	   	278.84	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1TLV|2MDPS|3VULN|4LWND|57RCR|6LIT|8BBNT|9MLV|aDMG
56	56121 21211	   	278.84	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1TLV|2VULN|3LHND|4MDPS|57RCR|6LIT|8BBNT|9MLV|aDMG
57	62151 21211	   	278.84	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1MDPS|2VULN|3TLV|4LWND|57RCR|6LIT|8BBNT|9MLV|aDMG
58	62231 21211	   	278.84	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1MDPS|2VULN|3LHND|4TLV|57RCR|6LIT|8BBNT|9MLV|aDMG
59	63151 21251	   	278.84	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1MDPS|2MLV|3VULN|4LWND|57RCR|6LIT|8BBNT|9TLV|aDMG
60	12415 51323	   	278.66	DCR|DCR|2VULN|1TLV	14VULN|2ERES|3BEXP|5RPLT|6MDPS|7aRCR|8TLV|9TBNT
61	12615 51323	   	278.66	DCR|DCR|2VULN|1TLV	14VULN|2ERES|3FEWX|5RPLT|6MDPS|7aRCR|8TLV|9TBNT
62	32515 51323	   	278.66	DCR|DCR|2VULN|1TLV	1FEWX|2ERES|34VULN|5RPLT|6MDPS|7aRCR|8TLV|9TBNT
63	53612 13623	   	277.80	DCR|2VULN|2TLV|1MLV|1DMG|1RPLT	19TLV|2RPLT|3MLV|4BEXP|5aVULN|6RCR|7DMG|8TBNT
