0	Index      	 *	Score 	Summary	Detail	
1	13413 63522	 * 	300.20	DCR|3VULN|2TLV|2LIT|1RPLT	19TLV|2RPLT|3BELT|46LIT|56aVULN|6BPWR|7TBNT|8RCR
30	24621 22235	   	283.60	DCR|2VULN|1TLV|2DMG|1RPLT|2DUR|1CDMG	18VULN|2RPLT|38DUR|4BBNT|5TBNT|68DMG|7RCR|8BPWR|9CDMG|aTLV
31	12632 12151	   	283.39	DCR|4VULN|2TLV|1LIT	15TLV|2DLOT|359aVULN|4RPLT|5BPWR|6RCR|7CGEN|8LIT
32	31134 22422	   	282.93	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1FEWX|2ERES|3MLV|4TLV|5VULN|6DUR|7TBNT|8aRCR|9CDMG
33	13413 62311	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8LWND|9RCR|aDUR
34	13413 62315	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8LWND|9RCR|aBBNT
35	13413 62611	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8BEXP|9RCR|aDUR
36	13332 31645	 * 	282.07	DCR|2TLV|2MLV|2DMG|1LIT|1RPLT|1SELL	1aTLV|2RPLT|3aDMG|4TBNT|5AEFBLL|6LIT|7SELL|8aMLV|9RCR|aBPWR
37	13153 31164	   	282.00	DCR|2VULN|2TLV|1MLV|1DMG|1RPLT	16TLV|2RPLT|35AAC|46VULN|6BPWR|7RCR|8DUR|9DMG|aMLV
38	13413 61311	   	281.58	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8ERES|9RCR|aDUR
39	13413 61315	   	281.58	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8ERES|9RCR|aBBNT
40	13413 61631	   	281.58	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8RCR|9AME|aDUR
41	11632 52622	 * 	281.57	ACR|DCR|2VULN|2TLV|1CDMG	18TLV|2aRCR|3DUST|48LHND|5CDMG|6DUR|78VULN|8BPWR|9BBNT
42	34153 23231	   	281.56	DCR|3TLV|2VULN|2MLV|1RPLT	1FEWX|2RPLT|357TLV|45VULN|5BPWR|6CGEN|8aMLV|9RCR
43	12632 12165	   	279.83	DCR|2VULN|2TLV|1LIT|1MLV	15TLV|2DLOT|35VULN|4RPLT|5BPWR|6RCR|7CGEN|8LIT|9TBNT|aMLV
44	13413 63532	   	279.65	DCR|3VULN|2LIT|1TLV|1RPLT	1TLV|2RPLT|3BELT|46LIT|56aVULN|6BPWR|7TBNT|8RCR|9DMSP
45	63351 31212	   	279.61	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1BELT|23TLV|3BPWR|4LIT|5LHND|6aVULN|7MLV|8CDMG|9RCR
46	13413 63236	   	279.55	DCR|3VULN|2LIT|1TLV|1RPLT	1TLV|2RPLT|3BELT|46LIT|569VULN|6BPWR|7TBNT|8DUST|aRCR
47	23422 32422	   	279.53	DCR|DCR|1TLV|1VULN|2DUR|1CDMG	1VULN|2LWND|3BBNT|4TLV|57DUR|6FEWX|8aRCR|9CDMG
48	13153 31364	 * 	279.51	DCR|3VULN|3TLV|1MLV|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9MLV|aTBNT
49	11123 13163	 * 	278.57	ACR|4VULN|2TLV|2MLV|1ASPD|1CDMG	1aTLV|2RCR|356aVULN|4CDMG|7ASPD|8aMLV|9MDPS|aBPWR
50	11512 16531	 * 	278.42	ACR|DCR|2VULN|2TLV|1DMG	19TLV|28RCR|3BBNT|4DMG|5AAC|69BEXP|79VULN|9BPWR|aLHND
51	11512 16532	   	278.42	ACR|DCR|2VULN|2TLV|1DMG	19TLV|28RCR|3BBNT|4DMG|5AAC|69aBEXP|79VULN|9BPWR
52	11512 36532	   	278.42	ACR|DCR|2VULN|2TLV|1DMG	19TLV|28RCR|3BBNT|4DMG|5AAC|69LHND|79VULN|9BPWR|aFEWX
53	11512 36533	   	278.42	ACR|DCR|2VULN|2TLV|1DMG	19TLV|28RCR|3BBNT|4DMG|5AAC|69LHND|79VULN|9BPWR|aBEXP
54	11512 16533	   	278.32	ACR|DCR|2VULN|2TLV|1DMG	19TLV|28RCR|3BBNT|4DMG|5AAC|69BEXP|79VULN|9BPWR|aERES
55	11512 36531	   	278.32	ACR|DCR|2VULN|2TLV|1DMG	19TLV|28RCR|3BBNT|4DMG|5AAC|69LHND|79VULN|9BPWR|aLEGI
56	11511 52623	 * 	278.06	ACR|2VULN|2TLV|2LIT|1DMG|2DUR|1CDMG	17TLV|2RCR|3BBNT|4DMG|57VULN|67DUR|7BPWR|8aLIT|9CDMG
57	13413 62313	   	278.06	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8LWND|9RCR|aTBNT
58	13413 62613	   	278.06	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8BEXP|9RCR|aTBNT
59	13413 63523	   	278.06	DCR|2VULN|2TLV|2LIT|1RPLT	19TLV|2RPLT|3aBELT|46LIT|56VULN|6BPWR|7TBNT|8RCR
60	13413 53522	   	277.96	DCR|2VULN|2TLV|2LIT|1RPLT	19TLV|2RPLT|3BELT|46LIT|5aVULN|7TBNT|8RCR
61	13413 63521	   	277.96	DCR|2VULN|2TLV|2LIT|1RPLT	19TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7TBNT|8RCR|aAME
62	22323 13326	 * 	277.85	DCR|3LIT|2TLV|1VULN|1MLV	1VULN|2RCVC|3MLV|4MGNSTR|568LIT|7aTLV|9RCR
63	22353 13326	   	277.75	DCR|3LIT|2TLV|1VULN|1MLV	1VULN|2RCVC|3MLV|4GSSFST|568LIT|7aTLV|9RCR
64	22415 13326	   	277.75	DCR|3LIT|2TLV|1VULN|1MLV	1VULN|2RCVC|368LIT|4SNIHEL|5MLV|7aTLV|9RCR
65	22435 13326	   	277.75	DCR|3LIT|2TLV|1VULN|1MLV	1VULN|2RCVC|368LIT|4BASARM|5MLV|7aTLV|9RCR
66	22463 32511	   	277.60	DCR|2VULN|2TLV|2LIT|1CDMG	1aVULN|2RCVC|3aLIT|4CDMG|5BELT|6DUR|7RMIN|8aTLV|9RCR|aBPWR
67	22463 32522	   	277.60	DCR|2VULN|2TLV|2LIT|1CDMG	19VULN|2RCVC|39LIT|4CDMG|5BELT|6DUR|7RMIN|89TLV|9BPWR|aRCR
68	13413 61313	   	277.48	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8ERES|9RCR|aTBNT
69	13413 61633	   	277.48	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8RCR|9AME|aTBNT
70	13156 31362	 * 	276.55	DCR|3VULN|3TLV|1MLV|2RPLT	168TLV|25RPLT|3AAC|468VULN|68BPWR|7RCR|9MLV|aMGNSTR
71	13156 31361	   	276.45	DCR|3VULN|3TLV|1MLV|2RPLT	168TLV|25RPLT|3AAC|468VULN|68BPWR|7RCR|9MLV|aDUST
72	13156 31363	   	276.45	DCR|3VULN|3TLV|1MLV|2RPLT	168TLV|25RPLT|3AAC|468VULN|68BPWR|7RCR|9MLV|aDLOT
73	13156 31342	   	276.36	DCR|3VULN|3TLV|1LIT|2RPLT	168TLV|25RPLT|3AAC|468VULN|68BPWR|7RCR|9LIT|aERES
74	63333 11625	 * 	276.07	DCR|3VULN|2TLV|1MLV|1DMG	1BELT|23TLV|3BPWR|4MLV|58aVULN|6RCR|7DMSP|9DMG
75	63333 13163	   	276.07	DCR|3VULN|2TLV|1MLV|1DMG	1BELT|23TLV|3BPWR|4MLV|589VULN|6RCR|7LHND|aDMG
76	63333 15163	   	276.07	DCR|3VULN|2TLV|1MLV|1DMG	1BELT|23TLV|3BPWR|4MLV|589VULN|6RCR|7FEWX|aDMG
77	63353 61123	   	275.88	DCR|3VULN|2TLV|1LIT|1DMG	1BELT|23TLV|3BPWR|4LIT|5AME|689VULN|7DMG|aRCR
78	12236 12631	   	275.77	DCR|DCR|1TLV|1VULN|1CDMG	1TLV|2DLOT|3TBNT|4RPLT|5MBVNT|6VULN|7CDMG|8aRCR|9BBNT
79	63263 31512	   	275.38	DCR|2VULN|2TLV|1LIT|1MLV|1SELL	1BELT|25TLV|3DUR|4LIT|6aVULN|7MLV|8SELL|9RCR
80	63333 42333	 * 	275.17	DCR|4VULN|2TLV|1MLV	1BELT|23TLV|3BPWR|4MLV|5789VULN|6BEXP|aRCR
81	63333 13165	   	275.17	DCR|4VULN|2TLV|1MLV	1BELT|23TLV|3BPWR|4MLV|589aVULN|6RCR|7LHND
82	13463 23523	 * 	274.97	DCR|DCR|1TLV|1LIT|1RPLT	1TLV|2RPLT|3BELT|4AART|5RMIN|6aRCR|7DUR|8BASHEA|9LIT
83	14423 34481	 * 	274.80	DCR|3TLV|2MLV|3ASPD|1LIT	178TLV|289ASPD|3LIT|49MLV|5MBVNT|689LWND|89BPWR|aRCR
84	63313 32326	 * 	274.51	DCR|DCR|2TLV|1DMG|1ASPD|1CDMG	1BELT|23TLV|3BPWR|4CGEN|5CDMG|6ASPD|7DMG|8DUST|9aRCR
85	34153 43123	   	274.32	DCR|3VULN|2TLV|1LIT|1RPLT	1aFEWX|2RPLT|35TLV|458VULN|5BPWR|6BEXP|7RCR|9LIT
86	34153 63121	   	274.22	DCR|3VULN|2TLV|1LIT|1RPLT	1FEWX|2RPLT|35TLV|458VULN|5BPWR|6DUST|7RCR|9LIT|aBEXP
87	34153 63123	   	274.22	DCR|3VULN|2TLV|1LIT|1RPLT	1aFEWX|2RPLT|35TLV|458VULN|5BPWR|6DUST|7RCR|9LIT
88	13153 31362	   	273.95	DCR|3VULN|3TLV|1MLV|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9MLV|aMGNSTR
89	13153 31366	   	273.95	DCR|3VULN|3TLV|1MLV|1RPLT	168TLV|2RPLT|35aAAC|468VULN|68BPWR|7RCR|9MLV
90	15462 21232	   	273.93	DCR|2VULN|2TLV|1LIT|1MLV|1SELL	17TLV|2MDPS|3MLV|4SELL|57BLASTR|67VULN|7BPWR|8RCR|9LIT|aRPLT
91	13153 31345	   	273.86	DCR|3VULN|3TLV|1LIT|1RPLT	168TLV|2RPLT|35aAAC|468VULN|68BPWR|7RCR|9LIT
92	13153 31346	   	273.86	DCR|3VULN|3TLV|1LIT|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9LIT|aLWND
93	13153 31361	   	273.85	DCR|3VULN|3TLV|1MLV|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9MLV|aDUST
94	13153 31363	   	273.85	DCR|3VULN|3TLV|1MLV|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9MLV|aDLOT
95	13153 31365	   	273.85	DCR|3VULN|3TLV|1MLV|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9MLV|aAME
96	13253 43533	   	273.84	DCR|3VULN|1TLV|1LIT|1DMG|1RPLT	1TLV|2RPLT|35FEWX|45aVULN|5BPWR|6BEXP|7RCR|8LIT|9DMG
97	12112 46325	   	273.79	DCR|3VULN|2TLV|1LIT	18TLV|2DLOT|3LIT|4RPLT|579VULN|6BBNT|aRCR
98	13153 31342	   	273.76	DCR|3VULN|3TLV|1LIT|1RPLT	168TLV|2RPLT|35AAC|468VULN|68BPWR|7RCR|9LIT|aERES
99	13253 63533	   	273.74	DCR|3VULN|1TLV|1LIT|1DMG|1RPLT	1TLV|2RPLT|35FEWX|45aVULN|5BPWR|6DUST|7RCR|8LIT|9DMG
100	11122 46241	 * 	273.60	ACR|DCR|2VULN|1TLV|1LIT|1CDMG	1TLV|28RCR|3aVULN|4CDMG|5RMIN|6LIT|7BEXP|9AEFBLL
101	11122 54241	   	273.60	ACR|DCR|2VULN|1TLV|1LIT|1CDMG	1TLV|28RCR|3aVULN|4CDMG|5RMIN|6FEWX|7LIT|9AEFBLL
102	11122 41221	   	273.50	ACR|DCR|2VULN|1TLV|1LIT|1CDMG	1TLV|28RCR|3aVULN|4CDMG|5RMIN|6LIT|79DUST
103	11122 41241	   	273.50	ACR|DCR|2VULN|1TLV|1LIT|1CDMG	1TLV|28RCR|3aVULN|4CDMG|5RMIN|6LIT|7DUST|9AEFBLL
104	31134 32422	   	273.27	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1FEWX|2ERES|3MLV|4TLV|5VULN|6LWND|7TBNT|8aRCR|9CDMG
105	11122 54135	 * 	272.75	ACR|2VULN|2TLV|2LIT|1MLV|1CDMG	18TLV|2RCR|38VULN|4CDMG|5RMIN|6FEWX|78LIT|8BPWR|9DUR|aMLV
106	13413 62316	   	272.50	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8LWND|9RCR|aAAC
107	13413 62312	   	272.40	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8LWND|9RCR|aMDPS
108	13413 62612	   	272.40	DCR|2VULN|2TLV|2LIT|1RPLT	17TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|8BEXP|9RCR|aMDPS
109	13153 31264	   	272.34	DCR|2VULN|2TLV|1MLV|1DMG|1RPLT	16TLV|2RPLT|35AAC|46VULN|6BPWR|7RCR|8BEXP|9DMG|aMLV
110	13532 24141	   	272.32	DCR|DCR|1TLV|1VULN|1RPLT	1TLV|2RPLT|38CGEN|4TBNT|5BBNT|6BELT|7aRCR|9VULN
111	13156 31122	   	272.21	DCR|2VULN|2TLV|1LIT|2RPLT|2DUR	16TLV|25RPLT|3AAC|46VULN|6BPWR|7RCR|8aDUR|9LIT
112	13413 61621	   	272.02	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8RCR|9BEXP|aCGEN
113	13413 61623	   	272.02	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8RCR|9BEXP|aLHND
114	14422 61232	 * 	272.00	DCR|2TLV|2MLV|1LIT|1VULN|1ASPD	17TLV|2ASPD|3LIT|46MLV|5TBNT|8VULN|9RMIN|aRCR
115	12632 63242	   	271.96	DCR|2VULN|2TLV|2LIT	15TLV|2DLOT|35VULN|4RPLT|5BPWR|69LIT|7MDPS|8BBNT|aRCR
116	12634 22234	   	271.96	DCR|2VULN|2TLV|2LIT	1aTLV|2DLOT|3aVULN|4RPLT|5AIRHEA|6ERES|7RCR|8BBNT|9aLIT|aBPWR
117	13153 31165	   	271.96	DCR|3VULN|2TLV|1DMG|1RPLT	16TLV|2RPLT|35AAC|46aVULN|6BPWR|7RCR|8DUR|9DMG
118	13413 61316	   	271.92	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8ERES|9RCR|aAAC
119	13235 16433	   	271.82	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3FEWX|45LIT|6DUST|7RCR|8aVULN|9DMG
120	13235 36433	   	271.82	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3FEWX|45LIT|6LEGI|7RCR|8aVULN|9DMG
121	13413 61312	   	271.82	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8ERES|9RCR|aMDPS
122	13413 61632	   	271.82	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46LIT|56VULN|6BPWR|7DMG|8RCR|9AME|aMDPS
123	23422 35422	   	271.76	DCR|DCR|1TLV|1VULN|1CDMG	1VULN|2LWND|3BBNT|4TLV|5DUR|67FEWX|8aRCR|9CDMG
124	12632 15523	   	271.71	DCR|2VULN|2TLV|1LIT|1DMG	15TLV|2DLOT|35VULN|4RPLT|5BPWR|6RCR|7SNITOX|8DUR|9LIT|aDMG
125	31332 24422	   	271.66	DCR|DCR|1TLV|1VULN|1CDMG	1FEWX|2ERES|3BBNT|4VULN|5DUR|6CGEN|7TLV|8aRCR|9CDMG
126	25222 23422	   	271.56	DCR|DCR|1TLV|1VULN|1CDMG	1VULN|2DUST|3BBNT|4TLV|5DUR|6CGEN|7ERES|8aRCR|9CDMG
127	25222 13422	   	271.46	DCR|DCR|1TLV|1VULN|1CDMG	1VULN|2DUST|3BBNT|4TLV|5DUR|6AME|7ERES|8aRCR|9CDMG
128	11121 15136	 * 	270.97	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1TLV|29RCR|3VULN|4CDMG|5AART|6MLV|7AME|8MDPS|aLIT
129	13362 26432	 * 	270.75	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1RPLT	1TLV|2RPLT|3DMG|4LHND|59LIT|6MLV|7RCR|8VULN|aDUR
130	13362 26512	   	270.75	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1RPLT	1TLV|2RPLT|3DMG|4LHND|58LIT|6MLV|7RCR|9VULN|aDUR
131	34153 31135	   	270.60	DCR|3VULN|2TLV|1DMG|1RPLT	1FEWX|2RPLT|35TLV|459VULN|5BPWR|6LWND|7AART|8DMG|aRCR
132	34153 31511	   	270.60	DCR|3VULN|2TLV|1DMG|1RPLT	1FEWX|2RPLT|35TLV|45aVULN|5BPWR|6LWND|7AART|8RCR|9DMG
133	34212 23166	   	270.50	DCR|DCR|1TLV|1VULN|1RPLT|1CDMG|1SELL	1FEWX|2RPLT|3LHND|4BEXP|5SELL|6CDMG|7aRCR|8VULN|9TLV
134	11123 56241	 * 	270.31	ACR|3VULN|3TLV|2MLV|1CDMG	19aTLV|2RCR|359VULN|4CDMG|6ERES|79MLV|8RPLT|9BPWR
