0	Index      	 *	Score 	Summary	Detail	
1	31541 25724	 * 	206.41	紫1基础对甲1易伤1伤害1全技能1基地爆炸1暴击	1基地爆炸2技能3加一4雷电5核6暴击7全技能8基础对甲9易伤a伤害
20	61421 24113	   	193.95	紫2易伤1基础对甲3基地爆炸	1双倍秒伤2立即金币37技能点47易伤5核679基地爆炸7序列升级8低血量敌人a基础对甲
21	61421 24213	   	193.95	紫2易伤1基础对甲3基地爆炸	1双倍秒伤2立即金币37技能点47易伤5核679基地爆炸7序列升级8时间a基础对甲
22	34224 22432	   	193.37	紫1基础对甲2基地爆炸1易伤1暴击1卖塔	14基地爆炸2卖塔3核4序列升级5敌人爆炸6防空对直升7技能8易伤9基础对甲a暴击
23	34222 22132	   	193.37	紫1基础对甲2基地爆炸1易伤1暴击1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7技能8敌人爆炸9基础对甲a暴击
24	31541 25723	   	192.89	紫1基础对甲1易伤1全技能1基地爆炸1暴击2技能	1基地爆炸2a技能3加一4雷电5核6暴击7全技能8基础对甲9易伤
25	32553 13622	 * 	190.85	橙2易伤3攻速3基地爆炸1全技能	127基地爆炸27序列升级379攻速4加一5全技能67易伤8平台a核
26	13421 24113	   	190.41	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3矿等47易伤5核679基地爆炸7序列升级8低血量敌人a基础对甲
27	13421 24313	   	190.41	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3矿等47易伤5核679基地爆炸7序列升级8时间a基础对甲
28	13321 24113	   	190.31	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3掉矿47易伤5核679基地爆炸7序列升级8低血量敌人a基础对甲
29	13321 24313	   	190.31	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3掉矿47易伤5核679基地爆炸7序列升级8时间a基础对甲
30	13321 24643	   	190.31	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3掉矿47易伤5核678基地爆炸7序列升级9低血量敌人a基础对甲
31	13421 24613	   	190.31	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3矿等47易伤5核678基地爆炸7序列升级9挖尘a基础对甲
32	13621 24113	   	190.31	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3技能点47易伤5核679基地爆炸7序列升级8低血量敌人a基础对甲
33	13621 24313	   	190.31	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3技能点47易伤5核679基地爆炸7序列升级8时间a基础对甲
34	13321 24613	   	190.21	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3掉矿47易伤5核678基地爆炸7序列升级9挖尘a基础对甲
35	13621 24613	   	190.21	紫2易伤1基础对甲3基地爆炸	17最后敌人2挖青3技能点47易伤5核678基地爆炸7序列升级9挖尘a基础对甲
36	34222 22131	   	189.66	紫1基础对甲3基地爆炸1易伤1卖塔	14a基地爆炸2卖塔3核4序列升级5易伤6激光对冰7技能8敌人爆炸9基础对甲
37	34224 22431	   	189.66	紫1基础对甲3基地爆炸1易伤1卖塔	14a基地爆炸2卖塔3核4序列升级5敌人爆炸6防空对直升7技能8易伤9基础对甲
38	34222 26133	   	189.55	紫2易伤2基地爆炸1攻速1全技能1技能1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7全技能9攻速a技能
39	34222 22334	   	188.60	紫1基础对甲2易伤2基地爆炸1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7技能9基础对甲a双倍矿
40	34222 22335	   	188.60	紫1基础对甲2易伤2基地爆炸1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7技能9基础对甲a时间
41	34222 22332	   	188.50	紫1基础对甲2易伤2基地爆炸1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7技能9基础对甲a双倍秒伤
42	34222 22336	   	188.50	紫1基础对甲2易伤2基地爆炸1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7技能9基础对甲a挖尘
43	35321 26323	   	188.31	紫1基础对甲3基地爆炸1易伤1技能	168基地爆炸27最后敌人3掉矿4易伤5核9技能a基础对甲
44	35321 22323	   	188.21	紫1基础对甲3基地爆炸1易伤1技能	168基地爆炸2最后敌人37掉矿4易伤5核9技能a基础对甲
45	13421 24423	   	187.35	紫2易伤1基础对甲2基地爆炸1技能	17最后敌人2挖青3矿等47易伤5核67基地爆炸7序列升级8双倍秒伤9技能a基础对甲
46	34221 16621	 * 	187.31	紫1基础对甲2基地爆炸1攻速1全技能2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6最后敌人8基础对甲9低血量敌人a攻速
47	13321 24423	   	187.25	紫2易伤1基础对甲2基地爆炸1技能	17最后敌人2挖青3掉矿47易伤5核67基地爆炸7序列升级8双倍秒伤9技能a基础对甲
48	13621 24423	   	187.25	紫2易伤1基础对甲2基地爆炸1技能	17最后敌人2挖青3技能点47易伤5核67基地爆炸7序列升级8双倍秒伤9技能a基础对甲
49	34221 16631	 * 	187.21	紫1基础对甲2基地爆炸1伤害1全技能2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6最后敌人8基础对甲9伤害a掉矿
50	34221 16633	 * 	187.21	紫1基础对甲2基地爆炸1伤害1全技能2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6最后敌人8基础对甲9伤害a核弹
51	34221 26621	 * 	187.21	紫1基础对甲2基地爆炸1攻速1全技能2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6挖青8基础对甲9低血量敌人a攻速
52	34221 26631	 * 	187.11	紫1基础对甲2基地爆炸1伤害1全技能2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6挖青8基础对甲9伤害a掉矿
53	34221 26633	 * 	187.11	紫1基础对甲2基地爆炸1伤害1全技能2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6挖青8基础对甲9伤害a核弹
54	12141 63133	   	186.40	紫1基础对甲2伤害1易伤	123最后敌人2序列升级4核57伤害6金币生成8易伤9立即金币a基础对甲
55	15141 63133	   	186.40	紫1基础对甲2伤害1易伤	123最后敌人4核57伤害6金币生成8易伤9立即金币a基础对甲
56	12141 63123	   	185.64	紫1基础对甲2伤害1易伤	123最后敌人2序列升级4核57伤害69金币生成8易伤a基础对甲
57	15141 63123	   	185.64	紫1基础对甲2伤害1易伤	123最后敌人4核57伤害69金币生成8易伤a基础对甲
58	12141 63413	   	185.54	紫1基础对甲2伤害1易伤	123最后敌人2序列升级4核57伤害6金币生成8火球减费9易伤a基础对甲
59	12141 13413	   	185.44	紫1基础对甲2伤害1易伤	123最后敌人2序列升级4核57伤害6技能点8火球减费9易伤a基础对甲
60	15141 13413	   	185.44	紫1基础对甲2伤害1易伤	123最后敌人4核57伤害6技能点8火球减费9易伤a基础对甲
61	12141 13113	   	185.44	紫1基础对甲2伤害1易伤	123最后敌人2序列升级4核57伤害69技能点8易伤a基础对甲
62	15141 13113	   	185.44	紫1基础对甲2伤害1易伤	123最后敌人4核57伤害69技能点8易伤a基础对甲
63	52641 13113	   	185.44	紫1基础对甲2伤害1易伤	123敌人爆炸2序列升级4核57伤害69技能点8易伤a基础对甲
64	34212 26533	   	185.04	紫1基础对甲1易伤1伤害1基地爆炸1卖塔	1基地爆炸2卖塔3核4最后敌人5低血量敌人6时间7散射对绿8易伤9基础对甲a伤害
65	31541 25722	   	184.95	紫1基础对甲1易伤1全技能1基地爆炸1暴击	1基地爆炸2技能3加一4雷电5核6暴击7全技能8基础对甲9易伤a狙击对黄
66	34222 52116	 * 	184.66	紫3易伤3基地爆炸1攻速1卖塔	146基地爆炸2卖塔3核4序列升级589易伤7随机矿a攻速
67	31413 13144	 * 	183.90	橙2易伤2伤害2基地爆炸1攻速1全技能	17基地爆炸2技能3攻速47伤害5全技能67易伤7序列升级8等级9平台a核
68	31413 13435	   	183.90	橙2易伤2伤害2基地爆炸1攻速1全技能	17基地爆炸2技能3攻速47伤害5全技能67易伤7序列升级8火球减费9金币生成a核
69	31413 13531	   	183.90	橙2易伤2伤害2基地爆炸1攻速1全技能	17基地爆炸2技能3攻速47伤害5全技能67易伤7序列升级8额外掉落9技能点a核
70	31413 13551	   	183.90	橙2易伤2伤害2基地爆炸1攻速1全技能	17基地爆炸2技能3攻速47伤害5全技能67易伤7序列升级8额外掉落9掉矿a核
71	31413 13425	   	183.80	橙2易伤2伤害2基地爆炸1攻速1全技能	17基地爆炸2技能3攻速47伤害5全技能67易伤7序列升级8火球减费9掉矿a核
72	61411 21113	   	183.64	紫1基础对甲3基地爆炸1易伤	1双倍秒伤2立即金币3技能点469基地爆炸5核7易伤8低血量敌人a基础对甲
73	61411 21213	   	183.64	紫1基础对甲3基地爆炸1易伤	1双倍秒伤2立即金币3技能点469基地爆炸5核7易伤8时间a基础对甲
74	61321 22523	   	183.54	紫1基础对甲3基地爆炸1易伤	1双倍秒伤2立即金币3挖尘4技能点5核678基地爆炸9易伤a基础对甲
75	61411 26323	   	183.54	紫1基础对甲3基地爆炸1易伤	1双倍秒伤2立即金币3技能点467基地爆炸5核8挖尘9易伤a基础对甲
76	61321 23613	   	183.54	紫1基础对甲3基地爆炸1易伤	1双倍秒伤2立即金币3挖尘4技能点5核689基地爆炸7易伤a基础对甲
77	54222 22433	   	182.64	紫1基础对甲2易伤1伤害1卖塔	14敌人爆炸2卖塔3核4序列升级58易伤6激光对冰7技能9基础对甲a伤害
78	31541 83833	   	181.96	紫2伤害2基地爆炸1攻速1易伤	18基地爆炸2技能3加一48雷电5核6挖青78伤害8序列升级9攻速a易伤
79	34221 13651	 * 	181.91	紫3基地爆炸2伤害1全技能1卖塔	149基地爆炸2卖塔3核49序列升级5全技能6最后敌人79伤害89金币生成a时间
80	34221 13652	 * 	181.91	紫3基地爆炸2伤害1全技能1卖塔	149基地爆炸2卖塔3核49序列升级5全技能6最后敌人79伤害89金币生成a策反
81	34221 13653	 * 	181.81	紫3基地爆炸2伤害1全技能1卖塔	149基地爆炸2卖塔3核49序列升级5全技能6最后敌人79伤害89金币生成a火球减费
82	34221 23651	 * 	181.81	紫3基地爆炸2伤害1全技能1卖塔	149基地爆炸2卖塔3核49序列升级5全技能6挖青79伤害89金币生成a时间
83	34221 23652	 * 	181.81	紫3基地爆炸2伤害1全技能1卖塔	149基地爆炸2卖塔3核49序列升级5全技能6挖青79伤害89金币生成a策反
84	34231 35241	 * 	181.72	紫1易伤2全技能1伤害1暴击1基地爆炸1卖塔	1基地爆炸2卖塔3核4易伤5时间6策反7伤害8a全技能9暴击
85	34233 53241	 * 	181.72	紫1易伤2全技能1伤害1暴击1基地爆炸1卖塔	1基地爆炸2卖塔3核4易伤5随机矿6伤害7时间8a全技能9暴击
86	34221 13256	 * 	181.71	紫3基地爆炸2伤害1全技能1卖塔	14a基地爆炸2卖塔3核4a序列升级5全技能6最后敌人7a伤害8随机矿9a激光对绿
87	34221 23653	 * 	181.71	紫3基地爆炸2伤害1全技能1卖塔	149基地爆炸2卖塔3核49序列升级5全技能6挖青79伤害89金币生成a火球减费
88	34221 23256	 * 	181.61	紫3基地爆炸2伤害1全技能1卖塔	14a基地爆炸2卖塔3核4a序列升级5全技能6挖青7a伤害8随机矿9a激光对绿
89	34232 63326	 * 	181.56	紫1易伤2基地爆炸3暴击1攻速1卖塔	18基地爆炸2卖塔3核4易伤58低血量敌人689暴击7技能8序列升级a攻速
90	34233 53261	   	181.35	紫2易伤2基地爆炸1伤害1全技能1卖塔	1a基地爆炸2卖塔3核49易伤5随机矿6伤害7时间8全技能
91	34222 26134	   	181.25	紫2易伤2基地爆炸1攻速1全技能1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7全技能9攻速a矿等
92	34222 26136	   	181.25	紫2易伤2基地爆炸1攻速1全技能1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7全技能9攻速a低血量敌人
93	34222 26131	   	181.15	紫2易伤2基地爆炸1攻速1全技能1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6激光对冰7全技能9攻速a技能点
94	34224 23223	   	181.14	紫1基础对甲2基地爆炸1全技能1卖塔	14基地爆炸2卖塔3核4序列升级5敌人爆炸6防空对直升7雷电8金币生成9全技能a基础对甲
95	34221 16113	   	180.89	紫1基础对甲2基地爆炸1全技能1暴击2卖塔	14基地爆炸27卖塔3核4序列升级5全技能68最后敌人9暴击a基础对甲
96	34221 26623	   	180.79	紫1基础对甲2基地爆炸1全技能1暴击2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6挖青8基础对甲9低血量敌人a暴击
97	33421 26623	   	180.75	紫1基础对甲3基地爆炸1易伤	167基地爆炸2低血量敌人3矿等4易伤5核8双倍秒伤9立即金币a基础对甲
98	35421 23363	   	180.75	紫1基础对甲3基地爆炸1易伤	168基地爆炸2最后敌人3矿等4易伤5核7技能9立即金币a基础对甲
99	64351 22323	   	180.75	紫1基础对甲3基地爆炸1易伤	1双倍秒伤246基地爆炸3金币生成5核7易伤8低血量敌人9立即金币a基础对甲
100	62151 13613	   	180.65	紫2伤害2基地爆炸1攻速1全技能	1双倍秒伤2随机矿34基地爆炸5核6雷电79伤害8全技能a攻速
101	31541 25623	 * 	180.65	紫2攻速2基地爆炸2暴击1全技能	1a基地爆炸2技能3加一4雷电5核6a暴击7全技能8额外掉落9a攻速a序列升级
102	31541 83832	   	180.65	紫2伤害2基地爆炸1攻速1全技能	18基地爆炸2技能3加一48雷电5核6挖青78伤害8序列升级9攻速a全技能
103	35321 24363	   	180.65	紫1基础对甲3基地爆炸1易伤	168基地爆炸2最后敌人3掉矿4易伤5核7技能9立即金币a基础对甲
104	35621 23363	   	180.65	紫1基础对甲3基地爆炸1易伤	168基地爆炸2最后敌人3技能点4易伤5核7技能9立即金币a基础对甲
105	16421 24313	   	180.30	紫1基础对甲3基地爆炸1易伤	17最后敌人27低血量敌人3矿等4易伤5核679基地爆炸7序列升级8敌人爆炸a基础对甲
106	33421 64313	   	180.30	紫1基础对甲3基地爆炸1易伤	179基地爆炸27低血量敌人3矿等4易伤5核67最后敌人7序列升级8敌人爆炸a基础对甲
107	16321 24313	   	180.20	紫1基础对甲3基地爆炸1易伤	17最后敌人27低血量敌人3掉矿4易伤5核679基地爆炸7序列升级8敌人爆炸a基础对甲
108	16421 24113	   	180.20	紫1基础对甲3基地爆炸1易伤	17最后敌人27低血量敌人3矿等4易伤5核679基地爆炸7序列升级8挖青a基础对甲
109	33321 64313	   	180.20	紫1基础对甲3基地爆炸1易伤	179基地爆炸27低血量敌人3掉矿4易伤5核67最后敌人7序列升级8敌人爆炸a基础对甲
110	33421 64113	   	180.20	紫1基础对甲3基地爆炸1易伤	179基地爆炸27低血量敌人3矿等4易伤5核67最后敌人7序列升级8挖青a基础对甲
111	55321 24113	   	180.20	紫1基础对甲3基地爆炸1易伤	17敌人爆炸27最后敌人3掉矿4易伤5核679基地爆炸7序列升级8低血量敌人a基础对甲
112	55321 24313	   	180.20	紫1基础对甲3基地爆炸1易伤	17敌人爆炸27最后敌人3掉矿4易伤5核679基地爆炸7序列升级8时间a基础对甲
113	34233 53212	   	180.16	紫2伤害1易伤1全技能1基地爆炸1技能1卖塔	1基地爆炸2卖塔3核4易伤5随机矿6a伤害7时间8全技能9技能
114	34234 53212	   	180.16	紫2伤害1易伤1基地爆炸1全技能1技能1卖塔	1基地爆炸2卖塔3核4易伤5金币生成6a伤害7时间8全技能9技能
115	16321 24113	   	180.10	紫1基础对甲3基地爆炸1易伤	17最后敌人27低血量敌人3掉矿4易伤5核679基地爆炸7序列升级8挖青a基础对甲
116	16321 24613	   	180.10	紫1基础对甲3基地爆炸1易伤	17最后敌人27低血量敌人3掉矿4易伤5核678基地爆炸7序列升级9挖尘a基础对甲
117	33321 64113	   	180.10	紫1基础对甲3基地爆炸1易伤	179基地爆炸27低血量敌人3掉矿4易伤5核67最后敌人7序列升级8挖青a基础对甲
118	33321 64613	   	180.10	紫1基础对甲3基地爆炸1易伤	178基地爆炸27低血量敌人3掉矿4易伤5核67最后敌人7序列升级9挖尘a基础对甲
119	53321 24613	   	180.10	紫1基础对甲3基地爆炸1易伤	17敌人爆炸27低血量敌人3掉矿4易伤5核678基地爆炸7序列升级9挖尘a基础对甲
120	34231 15212	   	180.06	紫2伤害1易伤1基地爆炸1全技能1技能1卖塔	1基地爆炸2卖塔3核4易伤5时间6技能点7a伤害8全技能9技能
121	34231 65212	   	180.06	紫2伤害1易伤1全技能1基地爆炸1技能1卖塔	1基地爆炸2卖塔3核4易伤5时间6掉矿7a伤害8全技能9技能
122	34235 53212	   	180.06	紫2伤害1易伤1全技能1基地爆炸1技能1卖塔	1基地爆炸2卖塔3核4易伤5掉矿6a伤害7时间8全技能9技能
123	34212 63113	   	180.05	紫1基础对甲1全技能1暴击1基地爆炸1卖塔	1基地爆炸2卖塔3核4最后敌人58低血量敌人6暴击7时间9全技能a基础对甲
124	33321 26313	   	180.00	紫1基础对甲3基地爆炸1易伤	169基地爆炸2低血量敌人3掉矿4易伤5核7最后敌人8敌人爆炸a基础对甲
125	33321 26653	   	180.00	紫1基础对甲3基地爆炸1易伤	168基地爆炸2低血量敌人3掉矿4易伤5核7最后敌人9敌人爆炸a基础对甲
126	55321 23113	   	180.00	紫1基础对甲3基地爆炸1易伤	1敌人爆炸2最后敌人3掉矿4易伤5核679基地爆炸8低血量敌人a基础对甲
127	55321 23313	   	180.00	紫1基础对甲3基地爆炸1易伤	1敌人爆炸2最后敌人3掉矿4易伤5核679基地爆炸8时间a基础对甲
128	62151 23623	   	180.00	紫1基础对甲3基地爆炸1易伤	1双倍秒伤2随机矿346基地爆炸5核7金币生成8策反9易伤a基础对甲
129	64351 21323	   	180.00	紫1基础对甲3基地爆炸1易伤	1双倍秒伤246基地爆炸3金币生成5核78低血量敌人9易伤a基础对甲
130	35421 26113	   	180.00	紫1基础对甲3基地爆炸1易伤	167基地爆炸2最后敌人3矿等4易伤5核8策反9火球减费a基础对甲
131	33321 26113	   	179.90	紫1基础对甲3基地爆炸1易伤	169基地爆炸2低血量敌人3掉矿4易伤5核7最后敌人8挖青a基础对甲
132	33321 26613	   	179.90	紫1基础对甲3基地爆炸1易伤	168基地爆炸2低血量敌人3掉矿4易伤5核7最后敌人9挖尘a基础对甲
133	33321 26643	   	179.90	紫1基础对甲3基地爆炸1易伤	168基地爆炸2低血量敌人3掉矿4易伤5核7最后敌人9挖青a基础对甲
134	35621 26113	   	179.90	紫1基础对甲3基地爆炸1易伤	167基地爆炸2最后敌人3技能点4易伤5核8策反9火球减费a基础对甲
135	53321 23613	   	179.90	紫1基础对甲3基地爆炸1易伤	1敌人爆炸2低血量敌人3掉矿4易伤5核678基地爆炸9挖尘a基础对甲
136	55321 23613	   	179.90	紫1基础对甲3基地爆炸1易伤	1敌人爆炸2最后敌人3掉矿4易伤5核678基地爆炸9挖尘a基础对甲
137	53621 26323	   	179.90	紫1基础对甲3基地爆炸1易伤	1敌人爆炸2低血量敌人367基地爆炸4技能点5核8挖尘9易伤a基础对甲
138	64351 23323	   	179.90	紫1基础对甲3基地爆炸1易伤	1双倍秒伤246基地爆炸37金币生成5核8挖尘9易伤a基础对甲
139	35421 23313	   	179.90	紫1基础对甲3基地爆炸1易伤	168基地爆炸2最后敌人3矿等4易伤5核7技能9火球减费a基础对甲
140	53621 21613	   	179.90	紫1基础对甲3基地爆炸1易伤	1敌人爆炸2低血量敌人368基地爆炸4技能点5核7易伤9挖尘a基础对甲
141	35321 24313	   	179.80	紫1基础对甲3基地爆炸1易伤	168基地爆炸2最后敌人3掉矿4易伤5核7技能9火球减费a基础对甲
142	35621 23313	   	179.80	紫1基础对甲3基地爆炸1易伤	168基地爆炸2最后敌人3技能点4易伤5核7技能9火球减费a基础对甲
143	12141 16163	   	179.59	紫1基础对甲2易伤1伤害	123最后敌人2序列升级4核5伤害6技能点7立即金币89易伤a基础对甲
144	21635 32153	   	179.32	紫2基地爆炸1攻速1伤害1易伤1全技能	1雷电2攻速3额外掉落4技能5核6伤害78基地爆炸9全技能a易伤
145	13421 24163	   	179.04	紫2易伤1基础对甲2基地爆炸	17最后敌人2挖青3矿等47易伤5核67基地爆炸7序列升级8低血量敌人9双倍秒伤a基础对甲
146	13421 24433	   	179.04	紫2易伤1基础对甲2基地爆炸	17最后敌人2挖青3矿等47易伤5核67基地爆炸7序列升级8双倍秒伤9策反a基础对甲
147	34222 21264	 * 	178.98	紫3基地爆炸1易伤1攻速1全技能1卖塔	148基地爆炸2卖塔3核4序列升级5易伤6激光对冰7最后敌人9攻速a全技能
148	13321 24163	   	178.94	紫2易伤1基础对甲2基地爆炸	17最后敌人2挖青3掉矿47易伤5核67基地爆炸7序列升级8低血量敌人9双倍秒伤a基础对甲
149	13321 24433	   	178.94	紫2易伤1基础对甲2基地爆炸	17最后敌人2挖青3掉矿47易伤5核67基地爆炸7序列升级8双倍秒伤9策反a基础对甲
150	13621 24163	   	178.94	紫2易伤1基础对甲2基地爆炸	17最后敌人2挖青3技能点47易伤5核67基地爆炸7序列升级8低血量敌人9双倍秒伤a基础对甲
151	13621 24433	   	178.94	紫2易伤1基础对甲2基地爆炸	17最后敌人2挖青3技能点47易伤5核67基地爆炸7序列升级8双倍秒伤9策反a基础对甲
152	61521 26113	   	178.93	紫1基础对甲1伤害1易伤1基地爆炸	1双倍秒伤2立即金币3时间4技能点5核6基地爆炸7伤害8敌人爆炸9易伤a基础对甲
153	34211 15215	   	178.85	紫2伤害2基地爆炸1全技能1技能1卖塔	1a基地爆炸2卖塔3核4a最后敌人5时间6技能点7a伤害8全技能9技能a序列升级
154	34222 11542	   	178.76	紫2易伤2基地爆炸1伤害1暴击1卖塔	14基地爆炸2卖塔3核4序列升级58易伤6掉矿7双倍秒伤9伤害a暴击
155	34223 51351	   	178.75	紫1基础对甲3基地爆炸1卖塔	146基地爆炸2卖塔3核4序列升级5低血量敌人78金币生成9基础对甲a双倍物品
156	34212 26532	   	178.63	紫1基础对甲1易伤1基地爆炸1暴击1卖塔	1基地爆炸2卖塔3核4最后敌人5低血量敌人6时间7散射对绿8易伤9基础对甲a暴击
157	34212 64313	   	178.63	紫1基础对甲1易伤1基地爆炸1暴击1卖塔	1基地爆炸2卖塔3核4最后敌人5低血量敌人6暴击7双倍秒伤8金币生成9易伤a基础对甲
158	34212 64113	   	178.53	紫1基础对甲1易伤1基地爆炸1暴击1卖塔	1基地爆炸2卖塔3核4最后敌人5低血量敌人6暴击7双倍秒伤8等级9易伤a基础对甲
159	34222 25111	   	178.49	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7敌人爆炸8最后敌人9基础对甲a额外掉落
160	34222 25113	   	178.49	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7敌人爆炸8最后敌人9基础对甲a矿等
161	34222 25114	   	178.49	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7敌人爆炸8最后敌人9基础对甲a低血量敌人
162	34222 25116	   	178.49	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7a敌人爆炸8最后敌人9基础对甲
163	34222 22134	   	178.39	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7技能8敌人爆炸9基础对甲a最后敌人
164	34222 22135	   	178.39	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7技能8a敌人爆炸9基础对甲
165	34222 22136	   	178.39	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7技能8敌人爆炸9基础对甲a时间
166	34222 25112	   	178.39	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7敌人爆炸8最后敌人9基础对甲a掉矿
167	34222 25115	   	178.39	紫1基础对甲2基地爆炸1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7敌人爆炸8最后敌人9基础对甲a火球减费
168	31541 83173	 * 	178.27	紫3基地爆炸2伤害1攻速	189基地爆炸2技能3加一49雷电5核6挖青79伤害9序列升级a攻速
169	33421 35162	 * 	178.12	紫1易伤2基地爆炸1伤害1基础对冰1全技能	17基地爆炸27低血量敌人3矿等4易伤5核67等级7序列升级8全技能9基础对冰a伤害
170	12141 61163	   	178.08	紫1基础对甲2易伤1伤害	123最后敌人2序列升级4核5伤害67金币生成89易伤a基础对甲
171	12141 62163	   	178.08	紫1基础对甲2易伤1伤害	123最后敌人2序列升级4核5伤害6金币生成7双倍矿89易伤a基础对甲
