0	Index      	 *	Score 	Summary	Detail	
1	33432 15413	 * 	246.67	紫1基础对甲2攻速2伤害2暴击1全技能1技能	1全技能2a攻速3基础对甲4平台5核6技能7加一8a暴击9a伤害a序列升级
18	33432 65323	   	222.66	紫1基础对甲2攻速1伤害1基地爆炸1全技能1技能	1全技能29攻速3基础对甲4平台5核6基地爆炸7额外掉落8技能a伤害
19	33432 15412	   	222.56	紫1基础对甲2攻速1伤害1暴击1全技能1技能	1全技能2a攻速3基础对甲4平台5核6技能7加一8暴击9伤害
20	33432 61216	   	221.20	紫1基础对甲2攻速1伤害1基地爆炸1全技能	1全技能2a攻速3基础对甲4平台5核6基地爆炸7挖尘8易伤9伤害
21	33432 24223	   	220.40	紫1基础对甲3基地爆炸2攻速1全技能	1全技能28攻速3基础对甲4平台5核68激光对冰78a基地爆炸8序列升级9敌人爆炸
22	33432 62333	   	220.35	紫1基础对甲3基地爆炸2攻速1全技能1卖塔	1全技能2a攻速3基础对甲4平台5核68a基地爆炸7a低血量敌人9卖塔a序列升级
23	33432 63333	   	220.35	紫1基础对甲3基地爆炸2攻速1全技能1卖塔	1全技能2a攻速3基础对甲4平台5核68a基地爆炸7a最后敌人9卖塔a序列升级
24	33432 15116	 * 	219.29	紫2基础对甲3攻速1全技能1技能	1全技能29a攻速3a基础对甲4平台5核6技能7加一8a最后敌人a序列升级
25	33432 15216	   	219.09	紫2基础对甲3攻速1全技能1技能	1全技能29a攻速3a基础对甲4平台5核6技能7加一8a挖尘a序列升级
26	33432 62214	   	218.55	紫1基础对甲2基地爆炸1攻速1伤害1全技能	1全技能2攻速3基础对甲4平台5核6a基地爆炸7低血量敌人8易伤9伤害
27	33432 63214	   	218.55	紫1基础对甲2基地爆炸1攻速1伤害1全技能	1全技能2攻速3基础对甲4平台5核6a基地爆炸7最后敌人8易伤9伤害
28	33432 62362	   	218.55	紫1基础对甲2基地爆炸1攻速1伤害1全技能	1全技能2攻速3基础对甲4平台5核68基地爆炸7低血量敌人9伤害a易伤
29	33432 63362	   	218.55	紫1基础对甲2基地爆炸1攻速1伤害1全技能	1全技能2攻速3基础对甲4平台5核68基地爆炸7最后敌人9伤害a易伤
30	36116 12411	 * 	218.04	紫3伤害1基础对甲1全技能	1全技能2核3平台479挖尘567伤害7序列升级8易伤a基础对甲
31	23332 22323	   	217.54	紫1基础对甲2攻速2基础对冰1暴击1技能	19金币生成2技能3挖青49攻速5核6低血量敌人7暴击89基础对冰9序列升级a基础对甲
32	23332 32323	   	217.54	紫1基础对甲2攻速2基础对冰1暴击1技能	19金币生成2技能3挖青49攻速5核6时间7暴击89基础对冰9序列升级a基础对甲
33	36523 21226	   	217.50	紫1基础对甲2伤害1全技能1基地爆炸1技能	1全技能2核3技能4金币生成5基地爆炸6低血量敌人7掉矿89伤害a基础对甲
34	33432 24211	   	217.44	紫1基础对甲2攻速2基地爆炸1全技能1技能	1全技能28攻速3基础对甲4a平台5核68激光对冰78基地爆炸8序列升级9技能
35	33432 24213	   	217.44	紫1基础对甲2攻速2基地爆炸1全技能1技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9技能a敌人爆炸
36	23332 12323	   	217.44	紫1基础对甲2攻速2基础对冰1暴击1技能	19金币生成2技能3挖青49攻速5核6挖尘7暴击89基础对冰9序列升级a基础对甲
37	23332 42323	   	217.44	紫1基础对甲2攻速2基础对冰1暴击1技能	19金币生成2技能3挖青49攻速5核6暴击7挖尘89基础对冰9序列升级a基础对甲
38	33432 24212	   	217.34	紫1基础对甲2攻速2基地爆炸1全技能1技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9技能a双倍秒伤
39	33432 24215	   	217.34	紫1基础对甲2攻速2基地爆炸1全技能1技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9技能a激光对绿
40	33432 14411	   	217.19	紫2基础对甲2攻速1全技能1基地爆炸1技能	1全技能28攻速38基础对甲4平台5核6技能78等级8序列升级9随机矿a基地爆炸
41	33432 62216	 * 	216.73	紫1基础对甲2易伤1攻速1伤害1基地爆炸1全技能	1全技能2攻速3基础对甲4平台5核6基地爆炸7低血量敌人8a易伤9伤害
42	33432 63216	   	216.73	紫1基础对甲2易伤1攻速1伤害1全技能1基地爆炸	1全技能2攻速3基础对甲4平台5核6基地爆炸7最后敌人8a易伤9伤害
