0	Index      	 *	Score 	Summary	Detail	
1	42522 36331	 * 	237.36	紫3基础对甲2攻速2伤害	13a基础对甲2技能3a序列升级4核5时间6a伤害7加一8a攻速9双倍秒伤
14	41343 31633	   	212.58	紫2基础对甲2易伤2攻速	18基础对甲2敌人爆炸35火球减费4核68攻速78易伤8序列升级9技能点a额外掉落
15	41343 31632	   	212.48	紫2基础对甲2易伤2攻速	18基础对甲2敌人爆炸35火球减费4核68攻速78易伤8序列升级9a技能点
16	42523 21334	   	212.44	紫2基础对甲1伤害1易伤1全技能1暴击	13基础对甲2技能3序列升级4核5金币生成6伤害7最后敌人8暴击9易伤a全技能
17	42522 33334	   	212.34	紫2基础对甲1伤害1易伤1全技能1暴击	13基础对甲2技能3序列升级4核5时间6伤害7掉矿8暴击9易伤a全技能
18	41242 34211	   	211.61	紫1基础对甲1易伤1攻速1基地爆炸1全技能1暴击	1基础对甲2敌人爆炸3双倍矿4核5金币生成6全技能7暴击8基地爆炸9易伤a攻速
19	41342 34211	   	211.51	紫1基础对甲1易伤1攻速1基地爆炸1全技能1暴击	1基础对甲2敌人爆炸3火球减费4核5金币生成6全技能7暴击8基地爆炸9易伤a攻速
20	42242 34211	   	211.51	紫1基础对甲1易伤1攻速1基地爆炸1暴击1全技能	1基础对甲2技能3随机矿4核5金币生成6全技能7暴击8基地爆炸9易伤a攻速
21	46523 33223	 * 	210.36	橙3基础对甲3伤害1易伤1暴击	178基础对甲278导弹对毒3雷电4双倍秒伤5暴击678伤害78序列升级9易伤a核
22	42523 26333	   	209.84	紫2基础对甲1伤害1易伤1基地爆炸1暴击	13基础对甲2技能3序列升级4核5金币生成6伤害7基地爆炸8暴击9易伤a最后敌人
23	42523 26332	   	209.74	紫2基础对甲1伤害1易伤1基地爆炸1暴击	13基础对甲2技能3序列升级4核5金币生成6伤害7基地爆炸8暴击9易伤a掉矿
24	35236 11533	   	209.25	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1暴击23攻速4时间5核6随机矿7基地爆炸8额外掉落9易伤a基础对甲
25	35226 11533	   	209.15	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1暴击23攻速4挖尘5核6随机矿7基地爆炸8额外掉落9易伤a基础对甲
26	35236 41313	   	209.13	紫1基础对甲2攻速2基地爆炸1暴击	1暴击23攻速4时间5核6敌人爆炸7最后敌人89基地爆炸a基础对甲
27	42523 21336	   	208.64	紫2基础对甲2易伤1伤害1暴击	13基础对甲2技能3序列升级4核5金币生成6伤害7最后敌人8暴击9a易伤
28	42522 33336	   	208.54	紫2基础对甲2易伤1伤害1暴击	13基础对甲2技能3序列升级4核5时间6伤害7掉矿8暴击9a易伤
29	42241 31232	   	208.32	紫1基础对甲2易伤1攻速1伤害2技能	1基础对甲29技能3随机矿4核5时间6攻速78易伤a伤害
30	42246 31232	   	208.22	紫1基础对甲2易伤1攻速1伤害2技能	1基础对甲29技能3随机矿4核5挖青6攻速78易伤a伤害
31	44612 23233	   	208.08	紫1基础对甲1攻速1伤害1基础对冰1暴击	1基础对甲2时间3基础对冰4核5低血量敌人6额外掉落7激光对冰8暴击9攻速a伤害
32	44612 31212	   	208.08	紫1基础对甲1易伤1攻速1伤害1基础对冰	1基础对甲2时间3基础对冰4核5低血量敌人6技能点7易伤8伤害9攻速a金币生成
33	44612 31213	   	208.08	紫1基础对甲1易伤1攻速1伤害1基础对冰	1基础对甲2时间3基础对冰4核5低血量敌人6技能点7易伤8伤害9攻速a最后敌人
34	42523 23432	 * 	207.97	紫2基础对甲2伤害1易伤2技能	13基础对甲29技能3序列升级4核5金币生成6a伤害7低血量敌人8易伤
35	42522 33432	   	207.87	紫2基础对甲2伤害1易伤2技能	13基础对甲29技能3序列升级4核5时间6a伤害7掉矿8易伤
36	42522 36214	   	207.87	紫2基础对甲2伤害1易伤2技能	13基础对甲2a技能3序列升级4核5时间69伤害7加一8易伤
37	42522 32152	   	207.83	紫2基础对甲2易伤1伤害1基地爆炸	13基础对甲2技能3序列升级4核5时间6伤害7立即金币8基地爆炸9a易伤
