0	Index      	 *	Score 	Summary	Detail	
1	23353 16123	 * 	188.72	DCR|3VULN|2DMG|1AART|3DUR	179DUR|2LWND|369VULN|4AART|5RMIN|89DMG|9BPWR|aRCR
28	23351 33166	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2LWND|3aVULN|4AART|5LIT|6ASPD|7RCR|8DMG|9CDMG
29	25211 23216	   	173.82	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2LIT|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR|aRCVC
30	26121 31512	   	173.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD|1SELL	1DUR|2SELL|39VULN|4CDMG|5ASPD|6RCR|7MLV|8AART|aDMG
31	26121 34512	   	173.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD|1SELL	1DUR|2SELL|39VULN|4CDMG|5ASPD|6RCR|7TLV|8AART|aDMG
32	46313 16123	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	1LIT|2ASPD|3RCR|4BELT|5AART|6aVULN|7LWND|89DMG
33	23353 26123	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	179DUR|26LWND|39VULN|4AART|5RMIN|89DMG|9BPWR|aRCR
34	33353 13143	   	172.67	DCR|3VULN|2DMG|1AART	19FEWX|27LWND|369VULN|4AART|5RMIN|89DMG|9BPWR|aRCR
35	46321 26313	   	172.57	ACR|2VULN|2DMG|1AART|1ASPD	1LIT|2ASPD|3RCR|4BEXP|57DMG|6AART|8LWND|9aVULN
36	25211 23213	   	172.51	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2aLIT|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR
37	25211 23214	   	172.51	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2LIT|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR|aBEXP
38	25211 23215	   	172.51	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2LIT|39ZMB|4aFEWX|5DMG|6AART|7RCR|89VULN|9BPWR
39	43211 23211	   	172.51	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19LIT|2aDUR|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR
40	25632 23211	   	172.48	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	19aDUR|2LIT|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
41	42332 23211	   	172.48	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	19LIT|2BEXP|39aDUR|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
42	46321 26213	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LIT|2ASPD|3RCR|4BEXP|57DMG|6AART|8DUST|9aVULN
43	63353 13143	   	172.47	DCR|3VULN|2DMG|1AART	19DUST|27LWND|369VULN|4AART|5RMIN|89DMG|9BPWR|aRCR
44	33351 33116	   	172.46	DCR|2VULN|2DMG|1AART|1ASPD	19FEWX|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aRCVC
45	25211 23212	   	172.41	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2LIT|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR|aDUST
46	36744 11472	 * 	172.03	DCR|3VULN|1AART|1DMG|1CDMG	13FEWX|2MBVNT|469VULN|5CDMG|7RCR|8DMG|aAART
47	46311 14123	   	171.97	ACR|2VULN|2DMG|1AART|1ASPD	1LIT|2ASPD|3RCR|4BELT|5aVULN|6LHND|7AART|89DMG
48	23443 28481	 * 	171.63	ACR|3VULN|1AART|1DMG|2DUR	15DUR|2LWND|3MBVNT|4RCR|67aVULN|8DMG|9AART
49	46313 11533	   	171.24	ACR|3VULN|1AART|2CDMG|1ASPD	19LIT|2ASPD|3RCR|4BELT|5AART|689VULN|79CDMG|9BPWR|aTLV
50	33351 33112	   	171.15	DCR|2VULN|2DMG|1AART|1ASPD	19FEWX|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aRMIN
51	33351 33114	   	171.15	DCR|2VULN|2DMG|1AART|1ASPD	19FEWX|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aBEXP
52	33351 33115	   	171.15	DCR|2VULN|2DMG|1AART|1ASPD	19aFEWX|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR
53	23322 43242	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|3aVULN|4FEWX|5LIT|6RCR|79DMG|8AART
54	46361 22123	 * 	170.90	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	17LIT|27ASPD|3RCR|4CGEN|5VULN|67DMG|7BPWR|8AIRHEA|9AART|aZMB
55	46321 24213	   	170.84	ACR|3VULN|1AART|1DMG|1ASPD	19LIT|2ASPD|3RCR|49BEXP|5DMG|6AART|7LWND|89aVULN|9BPWR
56	26123 13162	 * 	170.46	DCR|4VULN|1AART|1CDMG|1DUR|1SELL	1DUR|2SELL|3679VULN|4CDMG|5RPLT|8RCR|aAART
57	23441 27147	 * 	170.29	ACR|4VULN|1DMG|1CDMG|1DUR	1DUR|2LWND|3MBVNT|4RCR|5789VULN|6CDMG|aDMG
58	25632 23216	   	169.97	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19DUR|2LIT|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aRCVC
59	34332 42136	 * 	169.34	ACR|3VULN|3DMG	127FEWX|39aVULN|4RCR|579LIT|679DMG|79BPWR|8BELT
60	23356 22112	   	169.15	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2LWND|37VULN|4AART|5CDMG|6FEWX|8ASPD|9RCR|aDMG
61	23354 32341	 * 	169.15	3VULN|3DMG|2AART|3DUR|1ASPD	19aDUR|2LWND|39aVULN|45AART|6ASPD|7AIRHEL|89aDMG|9aBPWR
62	23353 16133	   	169.05	DCR|2VULN|2DMG|1AART|2DUR	17DUR|2LWND|36VULN|4AART|5RMIN|89DMG|aRCR
63	23322 43232	   	169.02	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2LWND|39aVULN|4FEWX|5LIT|6RCR|7DMG|8AART
64	43334 33224	   	168.78	DCR|3DMG|1VULN|3DUR|1CDMG	1LIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9CDMG|aRCVC
65	31632 11221	   	168.67	DCR|4VULN|1AART|2ZMB	19FEWX|2BEXP|39ZMB|4AART|5MBVNT|679aVULN|8RCR|9BPWR
66	25632 23213	   	168.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19DUR|2aLIT|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
67	25632 23214	   	168.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19DUR|2LIT|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aBEXP
68	25632 23215	   	168.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19DUR|2LIT|39aFEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
69	42332 23213	   	168.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19aLIT|2BEXP|39DUR|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
70	42332 23214	   	168.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19LIT|2aBEXP|39DUR|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
71	43632 23211	   	168.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19LIT|2aDUR|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
72	25632 23212	   	168.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19DUR|2LIT|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aDUST
73	42332 23212	   	168.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19LIT|2BEXP|39DUR|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aDUST
74	42332 23215	   	168.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	19LIT|2BEXP|39DUR|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aVENICY
75	43211 23216	   	168.52	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19LIT|2DUR|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR|aRCVC
76	61632 11221	   	168.47	DCR|4VULN|1AART|2ZMB	19DUST|2BEXP|39ZMB|4AART|5MBVNT|679aVULN|8RCR|9BPWR
77	25651 23211	   	168.41	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19aDUR|2LIT|39FEWX|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR
78	42351 23211	   	168.41	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19LIT|2BEXP|39aDUR|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR
79	31632 18224	   	168.30	DCR|3VULN|3ZMB|1AART	19aFEWX|27BEXP|39aZMB|4AART|5MBVNT|69aVULN|8RCR|9aBPWR
80	34333 31223	   	168.24	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	129FEWX|39VULN|4RCR|5AART|6ASPD|7BEXP|89ZMB|9BPWR|aDMG
81	26123 13532	 * 	168.06	DCR|4VULN|1AART|1CDMG|1DUR|1SELL	1DUR|2SELL|3678VULN|4CDMG|5RPLT|9RCR|aAART
82	42651 23213	   	168.02	DCR|3VULN|1AART|1DMG|1ASPD	19LIT|2BEXP|39FEWX|4ASPD|5DMG|6AART|7RCR|89aVULN|9BPWR
83	46621 23213	   	168.02	DCR|3VULN|1AART|1DMG|1ASPD	19LIT|2ASPD|39FEWX|4BEXP|5DMG|6AART|7RCR|89aVULN|9BPWR
84	43334 33221	   	167.48	DCR|3DMG|1VULN|3DUR|1CDMG	1LIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9CDMG|aBEXP
85	43334 33223	   	167.48	DCR|3DMG|1VULN|3DUR|1CDMG	1aLIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9CDMG
86	43334 33222	   	167.38	DCR|3DMG|1VULN|3DUR|1CDMG	1LIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9CDMG|aMBVNT
87	43334 33236	 * 	167.38	DCR|3DMG|1VULN|3DUR|2ASPD	1LIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9aASPD
88	23351 33164	   	167.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2LWND|3VULN|4AART|5LIT|6ASPD|7RCR|8DMG|9CDMG|aZMB
89	43211 23213	   	167.22	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19aLIT|2DUR|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR
90	43211 23214	   	167.22	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19LIT|2DUR|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR|aBEXP
91	43211 23215	   	167.22	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19LIT|2DUR|39ZMB|4aFEWX|5DMG|6AART|7RCR|89VULN|9BPWR
92	43211 23212	   	167.12	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19LIT|2DUR|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR|aDUST
93	23353 16153	   	167.11	DCR|3VULN|1AART|1DMG|2DUR	17DUR|2LWND|369VULN|4AART|5RMIN|8DMG|aRCR
94	33351 33166	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2LWND|3aVULN|4AART|5LIT|6ASPD|7RCR|8DMG|9CDMG
95	66121 31512	   	166.67	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1DUST|2SELL|39VULN|4CDMG|5ASPD|6RCR|7MLV|8AART|aDMG
96	23441 27128	   	166.24	ACR|3VULN|1AART|2CDMG|1DUR	1DUR|2LWND|3MBVNT|4RCR|578VULN|6aCDMG|9AART
97	31632 11223	 * 	166.02	DCR|3VULN|2AART|2ZMB	19FEWX|2BEXP|39ZMB|4aAART|5MBVNT|679VULN|8RCR|9BPWR
98	23353 16523	 * 	165.92	DCR|3VULN|1AART|3DUR|2ZMB	179DUR|2LWND|369VULN|4AART|5RMIN|89ZMB|9BPWR|aRCR
99	23312 43526	 * 	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2LWND|3VULN|4BEXP|5LIT|6RCR|78DMG|9CDMG|aAART
100	23322 43526	   	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2LWND|3VULN|4FEWX|5LIT|6RCR|78DMG|9CDMG|aAART
101	46361 23223	   	165.39	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1aLIT|2ASPD|3RCR|4CGEN|5VULN|68DMG|7AART|9ZMB
102	46361 23313	   	165.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1aLIT|2ASPD|3RCR|4CGEN|59VULN|6DMG|7AART|8ZMB
103	26321 45221	 * 	165.35	DCR|3VULN|1AART|2ASPD|2DUR|1SELL	19DUR|2SELL|3RMIN|4AART|59aVULN|6RPLT|79ASPD|8RCR|9BPWR
104	46361 23221	   	165.29	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2ASPD|3RCR|4CGEN|5VULN|68DMG|7AART|9ZMB|aDUST
105	46361 23311	   	165.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|3RCR|4CGEN|59VULN|6DMG|7AART|8ZMB|aDUST
106	23441 27123	   	165.22	ACR|3VULN|1AART|1CDMG|2DUR	1aDUR|2LWND|3MBVNT|4RCR|578VULN|6CDMG|9AART
107	23445 27123	   	165.22	ACR|3VULN|1AART|1CDMG|2DUR	1aDUR|2LWND|3MBVNT|4RCR|5CDMG|678VULN|9AART
108	42211 64122	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2BEXP|3ZMB|4BELT|5VULN|6RCR|7AART|89DMG|aDUR
109	23353 16122	 * 	164.97	4VULN|3DMG|1AART|3DUR	179DUR|2aLWND|369aVULN|4AART|5RMIN|89aDMG|9aBPWR
110	26121 32316	   	164.96	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR|1SELL	1DUR|2SELL|378VULN|4CDMG|5ASPD|6RCR|9RPLT|aDMG
111	23453 38221	 * 	164.90	DCR|3VULN|1AART|2ASPD|2DUR	19DUR|24LWND|3MBVNT|5AART|69ASPD|79aVULN|8RCR|9BPWR
112	23453 26221	   	164.90	DCR|3VULN|1AART|2ASPD|2DUR	19DUR|24LWND|3MBVNT|5AART|69aVULN|79ASPD|8RCR|9BPWR
113	43334 33243	   	164.83	DCR|3DMG|1VULN|3DUR|1ZMB	1LIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9FEWX|aZMB
114	43632 23216	   	164.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19LIT|2DUR|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aRCVC
115	25651 23213	   	164.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19DUR|2aLIT|39FEWX|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR
116	42351 23213	   	164.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19aLIT|2BEXP|39DUR|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR
117	42351 23214	   	164.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19LIT|2aBEXP|39DUR|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR
118	43651 23211	   	164.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19LIT|2aDUR|39FEWX|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR
119	25651 23212	   	164.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19DUR|2LIT|39FEWX|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR|aDUST
120	42351 23212	   	164.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19LIT|2BEXP|39DUR|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR|aDUST
121	42351 23215	   	164.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19LIT|2BEXP|39DUR|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR|aVENICY
122	26121 32333	 * 	164.49	DCR|4VULN|1CDMG|2DUR|1ASPD|1SELL	1aDUR|2SELL|378aVULN|4CDMG|5ASPD|6RCR|9aLHND|aBPWR
123	26121 32343	 * 	164.49	DCR|4VULN|1CDMG|2DUR|1ASPD|1SELL	1aDUR|2SELL|378aVULN|4CDMG|5ASPD|6RCR|9aLWND|aBPWR
124	23151 33534	   	164.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	19DUR|23LWND|49TLV|5ASPD|6RCR|7DMG|89VULN|9BPWR|aAART
125	23322 43236	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|39VULN|4FEWX|5LIT|6RCR|7DMG|8AART|aZMB
126	23322 43246	   	164.37	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3VULN|4FEWX|5LIT|6RCR|79DMG|8AART|aZMB
127	23322 43255	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3aVULN|4FEWX|5LIT|6RCR|7DMG|8AART|9ZMB
128	34333 31231	   	164.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	12FEWX|3aVULN|4RCR|5AART|6ASPD|7BEXP|8ZMB|9DMG
129	31632 11236	   	164.17	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2BEXP|3ZMB|4AART|5MBVNT|67aVULN|8RCR|9CDMG
130	46361 11223	   	164.09	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|3RCR|4CGEN|56VULN|7CANSTR|8DMG|9AART|aZMB
131	61632 11236	   	164.07	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5MBVNT|67aVULN|8RCR|9CDMG
132	33312 44242	   	164.01	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3aVULN|4BEXP|5LIT|6RCR|79DMG|8AART
133	31632 11371	 * 	163.98	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2BEXP|3ZMB|4aAART|5MBVNT|67VULN|8DMG|9RCR
134	61632 11371	   	163.88	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|2BEXP|3ZMB|4aAART|5MBVNT|67VULN|8DMG|9RCR
135	31535 23232	   	163.84	ACR|2VULN|2DMG|1AART	1aFEWX|23BEXP|4RCR|5BELT|6aDMG|7RCVC|8aVULN|9AART|aBPWR
136	21633 42521	 * 	163.80	DCR|2VULN|3ZMB|1AART|3DUR	169DUR|29BEXP|358ZMB|4AART|79VULN|9BPWR|aRCR
137	23353 13133	   	163.75	DCR|2VULN|2DMG|1AART|1DUR	1DUR|27LWND|36VULN|4AART|5RMIN|89DMG|aRCR
138	61535 23232	   	163.64	ACR|2VULN|2DMG|1AART	1aDUST|23BEXP|4RCR|5BELT|6aDMG|7RCVC|8aVULN|9AART|aBPWR
139	36748 43332	   	163.62	DCR|2VULN|2DMG|1AART	13aFEWX|2MBVNT|4aVULN|5BELT|6RCVC|7RCR|8aDMG|9AART|aBPWR
140	61235 23232	   	163.54	ACR|2VULN|2DMG|1AART	13aDUST|2BEXP|4RCR|5BELT|6aDMG|7RCVC|8aVULN|9AART|aBPWR
141	64235 23232	   	163.54	ACR|2VULN|2DMG|1AART	13aDUST|2FEWX|4RCR|5BELT|6aDMG|7RCVC|8aVULN|9AART|aBPWR
142	34332 22352	   	163.43	ACR|2VULN|2DMG|1AART	129FEWX|3aVULN|4RCR|5aLIT|6AART|7RMIN|8aDMG|aBPWR
143	66123 13162	 * 	163.42	DCR|4VULN|1AART|1CDMG|1SELL	1DUST|2SELL|3679VULN|4CDMG|5RPLT|8RCR|aAART
144	43632 23213	   	163.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19aLIT|2DUR|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
145	43632 23214	   	163.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19LIT|2DUR|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aBEXP
146	43632 23215	   	163.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19LIT|2DUR|39aFEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR
147	43632 23212	   	163.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19LIT|2DUR|39FEWX|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aDUST
148	25211 23235	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LIT|3ZMB|4FEWX|5aDMG|6AART|7RCR|8VULN|9RPLT
149	25211 23245	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LIT|3ZMB|4FEWX|5DMG|6AART|7RCR|8aVULN|9LWND
150	25211 23265	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LIT|3ZMB|4FEWX|5DMG|6AART|7RCR|8aVULN|9LHND
151	25211 23662	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LIT|3ZMB|4FEWX|5DMG|6AART|7RCR|8MLV|9aVULN
152	25632 23235	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LIT|3FEWX|4aDMG|5ZMB|6AART|7RCR|8VULN|9RPLT
153	42332 23235	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2BEXP|3DUR|4aDMG|5ZMB|6AART|7RCR|8VULN|9RPLT
154	42332 23245	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2BEXP|3DUR|4DMG|5ZMB|6AART|7RCR|8aVULN|9LWND
155	42332 23265	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2BEXP|3DUR|4DMG|5ZMB|6AART|7RCR|8aVULN|9LHND
156	43211 23235	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2DUR|3ZMB|4FEWX|5aDMG|6AART|7RCR|8VULN|9RPLT
157	43211 23245	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2DUR|3ZMB|4FEWX|5DMG|6AART|7RCR|8aVULN|9LWND
158	43211 23265	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2DUR|3ZMB|4FEWX|5DMG|6AART|7RCR|8aVULN|9LHND
