0	Index      	 *	Score 	Summary	Detail	
1	23262 13135	 * 	201.98	ACR|3VULN|2DMG|1AART|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|689VULN|8BPWR|aAART
24	44232 13125	   	188.93	ACR|3VULN|2DMG|1AART|1DUR	178CGEN|2RCR|38DMG|4ERES|5DUR|68aVULN|8BPWR|9AART
25	61143 11115	 * 	188.83	ACR|5VULN|1AART|1DMG	1AART|2348aVULN|5RCR|6LHND|7DMG|9BEXP
26	61143 21115	   	188.83	ACR|5VULN|1AART|1DMG	1AART|2348aVULN|5RCR|6LWND|7DMG|9BEXP
27	23262 62125	   	188.52	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19ASPD|2RCR|37DMG|4CGEN|5DUR|6AART|8aVULN
28	61113 63313	 * 	188.47	DCR|4VULN|2DMG|1AART	1AART|2368VULN|456LIT|6BPWR|79DMG|aRCR
29	61433 11253	 * 	187.92	DCR|3VULN|2DMG|1AART|2ASPD	1AART|279VULN|3RMIN|49DMG|5DUST|6LWND|89ASPD|9BPWR|aRCR
30	23322 62625	 * 	187.88	ACR|2DMG|2AART|1VULN|2ASPD|2DUR	18ASPD|2RCR|35BEXP|48DUR|6aAART|78DMG|8BPWR|9VULN
31	61143 62213	   	187.78	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|234VULN|5RCR|6CDMG|7aDUR|8DMG|9LHND
32	23262 13154	   	187.77	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|68VULN|8BPWR|9CDMG|aZMB
33	23261 13134	   	187.49	ACR|3VULN|3DMG|2ASPD	18ASPD|2RCR|38aDMG|47CGEN|5BEXP|689VULN|8BPWR
34	23265 13134	   	187.49	ACR|3VULN|3DMG|2ASPD	18ASPD|2RCR|38aDMG|47CGEN|5LWND|689VULN|8BPWR
35	23342 12614	   	187.15	ACR|2VULN|2DMG|2CDMG|2ASPD|1ZMB	18ASPD|2RCR|3BEXP|48DMG|5CGEN|69VULN|78CDMG|8BPWR|aZMB
36	61143 63311	   	187.00	ACR|3VULN|2AART|1DMG|1CDMG	18AART|234VULN|5RCR|6CDMG|7FEWX|9DMG|aLWND
37	61143 63313	   	187.00	ACR|3VULN|2AART|1DMG|1CDMG	18AART|234VULN|5RCR|6CDMG|7FEWX|9DMG|aLHND
38	61326 12335	 * 	186.87	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2VULN|39CGEN|4CDMG|58aDMG|6RCR|7DUR
39	23232 16614	 * 	186.82	ACR|3VULN|2DMG|2ZMB|1DUR|1ASPD	1ASPD|2RCR|3aDMG|4ERES|5DUR|69aVULN|7DUST|8aZMB|aBPWR
40	61245 41124	 * 	186.60	DCR|5VULN|1AART|1CDMG	1AART|25789VULN|3DUST|4MBVNT|6RCR|aCDMG
41	61231 33367	   	186.50	DCR|3VULN|2DMG|1AART|2DUR	1AART|249VULN|34DUST|49BPWR|59DMG|6MBVNT|79DUR|8RCVC|aRCR
42	23262 13115	   	186.32	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|68VULN|8BPWR|9RCVC|aAART
43	23262 13124	   	186.22	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|68VULN|8BPWR|9DUST|aAART
44	61242 24447	 * 	186.18	ACR|2AART|2VULN|2DMG|1ZMB	1aAART|28VULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|9ZMB
45	61242 24463	   	186.18	ACR|2AART|2VULN|2DMG|1ZMB	19AART|28VULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|aZMB
46	23231 12513	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|2RCR|38DMG|4ERES|5BEXP|69VULN|7CDMG|aAART
47	23261 13136	   	185.94	ACR|4VULN|2DMG|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5BEXP|689aVULN|8BPWR
48	61323 61162	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|28aVULN|3CGEN|4CDMG|5LIT|6DUR|7RCR|9DMG
49	62323 61162	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2ERES|38aVULN|4CDMG|5LIT|6DUR|7RCR|9DMG
50	61143 11236	   	184.25	ACR|3VULN|2AART|1DMG|1ZMB	19AART|234VULN|5RCR|6LHND|7DMG|8DUST|aZMB
51	61143 21236	   	184.25	ACR|3VULN|2AART|1DMG|1ZMB	19AART|234VULN|5RCR|6LWND|7DMG|8DUST|aZMB
52	23626 62232	   	184.07	ACR|3VULN|2DMG|2ASPD|2DUR	17ASPD|2RCR|3RPLT|4CGEN|57DUR|67DMG|7BPWR|89aVULN
53	23652 13383	   	183.97	ACR|3VULN|2DMG|2ASPD|2DUR	1aASPD|2RCR|3RPLT|45DUR|68aVULN|7MBVNT|9aDMG|aBPWR
54	63142 31264	 * 	183.24	ACR|4VULN|1AART|2ASPD|1CDMG	1AART|29LWND|3679VULN|4MBVNT|5RCR|89ASPD|9BPWR|aCDMG
55	23262 13155	   	183.08	ACR|2VULN|2DMG|2CDMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|68VULN|8BPWR|9aCDMG
56	23342 12616	   	183.08	ACR|2VULN|2DMG|2CDMG|2ASPD|1DUR	18ASPD|2RCR|3BEXP|48DMG|5CGEN|69VULN|78CDMG|8BPWR|aDUR
57	23342 12652	   	183.08	ACR|2VULN|2DMG|2CDMG|2ASPD|1DUR	18ASPD|2RCR|3BEXP|48DMG|5CGEN|6aVULN|78CDMG|8BPWR|9DUR
58	23222 61513	   	182.96	ACR|3DMG|2VULN|1ZMB|1ASPD|1DUR	1ASPD|2RCR|367DMG|4DUR|5BEXP|8ZMB|9aVULN
59	61143 11132	   	182.94	ACR|4VULN|1AART|1DMG|1DUR	1AART|2348VULN|5RCR|6LHND|7DMG|9CGEN|aDUR
60	61143 21132	   	182.94	ACR|4VULN|1AART|1DMG|1DUR	1AART|2348VULN|5RCR|6LWND|7DMG|9CGEN|aDUR
61	23235 25125	 * 	182.88	ACR|2AART|2VULN|1DMG|2ASPD|1DUR	19ASPD|2RCR|3DMG|4ERES|56AART|7DUR|8aVULN
62	61143 51132	   	182.84	ACR|4VULN|1AART|1DMG|1DUR	1AART|2348VULN|5RCR|6DUST|7DMG|9CGEN|aDUR
63	32234 33243	 * 	182.72	DCR|2AART|2DMG|2VULN|2ZMB	19LWND|2RCVC|37ZMB|49DMG|56AART|89VULN|9BPWR|aRCR
64	61143 11612	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|234VULN|5RCR|69LHND|7DMG|8CDMG|aASPD
65	61143 21613	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6LWND|7DMG|8CDMG|9LHND|aDUR
66	61143 21623	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6LWND|7DMG|8CDMG|9BEXP|aDUR
67	61143 62211	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6CDMG|7DUR|8DMG|9LHND|aCGEN
68	61143 62212	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6CDMG|7DUR|8DMG|9LHND|aFEWX
69	61143 62221	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6CDMG|7DUR|8DMG|9BEXP|aCGEN
70	61143 62222	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6CDMG|7DUR|8DMG|9BEXP|aFEWX
71	61143 11225	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|234VULN|5RCR|6LHND|7DMG|8DUST|9ASPD|aCDMG
72	61143 11633	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|234VULN|5RCR|6LHND|7DMG|8CDMG|9DUST|aDUR
73	61143 21225	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|234VULN|5RCR|6LWND|7DMG|8DUST|9ASPD|aCDMG
74	61113 63353	 * 	182.33	DCR|4VULN|2AART|1DMG	19AART|2368VULN|456LIT|6BPWR|7DMG|aRCR
75	63142 31124	   	182.32	ACR|5VULN|1AART|1CDMG	1AART|2LWND|36789VULN|4MBVNT|5RCR|aCDMG
76	61115 62111	 * 	182.29	DCR|5VULN|2AART	19AART|2356aVULN|46LIT|6BPWR|7RCR|8MLV
77	23342 12615	 * 	182.18	ACR|2VULN|2DMG|3CDMG|2ASPD	18ASPD|2RCR|3BEXP|48DMG|5CGEN|69VULN|78aCDMG|8BPWR
78	61242 24462	   	182.12	ACR|2AART|2VULN|2DMG|1DUR	19AART|28VULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|aDUR
79	23262 13156	   	182.06	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18ASPD|2RCR|38DMG|47CGEN|5aDUR|68VULN|8BPWR|9CDMG
80	23262 62115	   	181.91	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2RCR|37DMG|4CGEN|5DUR|6AART|8aVULN|9BEXP
81	23262 62134	   	181.91	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2RCR|37DMG|4CGEN|5DUR|6AART|8aVULN|9RPLT
82	23261 12613	   	181.76	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18ASPD|2RCR|3DMG|48CGEN|5BEXP|69VULN|78CDMG|8BPWR|aAART
83	23363 62613	   	181.76	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18ASPD|2RCR|3BEXP|48CGEN|59VULN|6DMG|78CDMG|8BPWR|aAART
84	61242 24446	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|28VULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|9ZMB|aASPD
85	61242 24448	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|28VULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|9ZMB|aDUR
86	62326 11253	   	181.66	DCR|2VULN|2DMG|1AART|1CDMG	1AART|27ERES|39VULN|4CDMG|58DMG|6RCR|aLWND
87	63131 53214	   	181.57	DCR|3VULN|2DMG|1AART	1AART|246LWND|34aVULN|4aBPWR|5aDMG|7RCR|8LEGI|9RPLT
88	62326 11252	   	181.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|27ERES|39VULN|4CDMG|58DMG|6RCR|aDUST
89	23631 21245	   	181.54	ACR|2VULN|2DMG|1AART|2ASPD|1SELL	1aASPD|2RCR|35RPLT|4BELT|6AART|7aDMG|8SELL|9aVULN|aBPWR
90	61431 25121	   	181.47	DCR|3VULN|2DMG|1AART	1AART|289VULN|3RMIN|45DMG|6LWND|7RCR|aCGEN
91	61431 25123	   	181.47	DCR|3VULN|2DMG|1AART	1AART|289VULN|3RMIN|45DMG|6LWND|7RCR|aFEWX
92	61212 22256	   	181.33	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	1AART|269VULN|3DUST|49FEWX|5ZMB|7DMG|89ASPD|9BPWR|aRCR
93	23341 42313	   	181.08	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2RCR|3BEXP|4aDMG|5BELT|6CGEN|7AART|8BASHEA|9aVULN|aBPWR
94	61143 63331	 * 	181.04	ACR|4VULN|2AART|1CDMG	18AART|234aVULN|5RCR|6CDMG|79FEWX
95	23541 42313	   	180.98	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2RCR|3DUST|4aDMG|5BELT|6CGEN|7AART|8BASHEA|9aVULN|aBPWR
96	23232 12514	   	180.86	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2RCR|38DMG|4ERES|5DUR|69VULN|7CDMG|aZMB
97	23261 13154	   	180.83	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	18ASPD|2RCR|38DMG|47CGEN|5BEXP|68VULN|8BPWR|9CDMG|aZMB
98	61143 62322	   	180.71	ACR|3VULN|2AART|1CDMG|1DUR|1ASPD	18AART|234VULN|5RCR|6CDMG|7DUR|9ERES|aASPD
99	61143 61332	   	180.59	ACR|4VULN|1AART|1CDMG|1ZMB	1AART|2348VULN|5RCR|6CDMG|7LIT|9ZMB|aBEXP
100	61143 61333	   	180.49	ACR|4VULN|1AART|1CDMG|1ZMB	1AART|2348VULN|5RCR|6CDMG|7LIT|9ZMB|aDUST
101	23235 55113	 * 	180.48	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1ASPD|2RCR|36aDMG|46ERES|5AART|6BPWR|7DUR|8VULN|9BEXP
102	21143 22156	   	180.44	ACR|4VULN|1AART|1DMG|1ASPD	1ASPD|2DLOT|368aVULN|4RCR|5LWND|7DMG|9AART
103	54235 12212	 * 	180.29	ACR|3DMG|2AART|1VULN|1DUR	1FEWX|237DMG|4RCR|5aAART|6DUR|8VULN|9BEXP
104	54235 12222	   	180.29	ACR|3DMG|2AART|1VULN|1DUR	1FEWX|237DMG|4RCR|5aAART|6DUR|8VULN|9LHND
105	23322 62622	 * 	180.24	ACR|2DMG|1AART|1VULN|3DUR|2ASPD	18ASPD|2RCR|35BEXP|48aDUR|6AART|78DMG|8BPWR|9VULN
106	54235 12322	   	180.19	ACR|3DMG|2AART|1VULN|1DUR	1FEWX|237DMG|4RCR|5aAART|6DUR|8DUST|9VULN
107	63142 31164	 * 	180.11	ACR|5VULN|2AART	19AART|2LWND|3678aVULN|4MBVNT|5RCR
108	21143 22151	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DLOT|368VULN|4RCR|5LWND|7DMG|9AART|aCDMG
109	23262 62113	   	179.98	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2RCR|37aDMG|4CGEN|5DUR|6AART|8VULN|9BEXP
110	23231 16614	   	179.88	ACR|3VULN|2DMG|2ZMB|1ASPD	1ASPD|2RCR|3aDMG|4ERES|5BEXP|69aVULN|7DUST|8aZMB|aBPWR
111	43233 65131	 * 	179.87	ACR|2VULN|3ZMB|1AART|2CDMG|1DUR	17CGEN|237ZMB|4AART|5RCR|67VULN|7BPWR|89CDMG|aDUR
112	61323 61161	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|28VULN|3CGEN|4CDMG|5LIT|6DUR|7RCR|9DMG|aZMB
113	62326 11225	   	179.73	DCR|3DMG|1AART|1VULN|1CDMG	1AART|27ERES|3VULN|4CDMG|58aDMG|6RCR|9FEWX
114	62323 61161	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2ERES|38VULN|4CDMG|5LIT|6DUR|7RCR|9DMG|aZMB
115	54232 62212	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	1FEWX|237DMG|4RCR|5DUR|6aAART|8VULN|9BEXP
116	54232 62222	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	1FEWX|237DMG|4RCR|5DUR|6aAART|8VULN|9LHND
117	62326 11235	   	179.63	DCR|3DMG|1AART|1VULN|1CDMG	1AART|27ERES|3VULN|4CDMG|58aDMG|6RCR|9DUST
118	54232 62322	   	179.59	ACR|3DMG|2AART|1VULN|1DUR	1FEWX|237DMG|4RCR|5DUR|6aAART|8DUST|9VULN
119	54235 32221	 * 	179.49	ACR|3DMG|2VULN|1AART	1FEWX|237DMG|4RCR|5AART|6BEXP|89VULN|aBELT
120	54235 32222	   	179.49	ACR|3DMG|2VULN|1AART	1FEWX|237DMG|4RCR|5AART|6BEXP|89VULN|aCGEN
121	54235 32223	   	179.49	ACR|3DMG|2VULN|1AART	1FEWX|237DMG|4RCR|5AART|6BEXP|89VULN|aLHND
122	61143 11213	   	179.39	ACR|3VULN|2DMG|1AART	1AART|234VULN|5RCR|6LHND|7aDMG|8DUST|9BEXP
123	61143 21213	   	179.39	ACR|3VULN|2DMG|1AART	1AART|234VULN|5RCR|6LWND|7aDMG|8DUST|9BEXP
124	61242 24424	   	179.39	ACR|3VULN|2DMG|1AART	1AART|28aVULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|9LIT
125	64142 24424	   	179.39	ACR|3VULN|2DMG|1AART	1AART|28DUST|38aVULN|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|9LIT
126	44231 13153	   	179.38	ACR|2VULN|2DMG|1AART|1CDMG	178CGEN|2RCR|38DMG|4ERES|5BEXP|68VULN|8BPWR|9CDMG|aAART
127	23261 13115	   	179.38	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5BEXP|68VULN|8BPWR|9RCVC|aAART
128	23265 13111	   	179.38	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5LWND|68VULN|8BPWR|9RCVC|aAART
129	23265 13161	   	179.38	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|47CGEN|59LWND|68VULN|8BPWR|aAART
130	44313 33153	   	179.38	ACR|2VULN|2DMG|1AART|1CDMG	178CGEN|2RCR|3BEXP|4NUKE|58VULN|68DMG|8BPWR|9CDMG|aAART
131	23363 63135	   	179.38	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38BEXP|47CGEN|59VULN|68DMG|8BPWR|aAART
132	61431 25222	   	179.36	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2aVULN|3RMIN|45DMG|6LWND|7RCR|89ASPD
133	23234 52115	   	179.28	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|4ERES|5CGEN|6RMIN|78VULN|8BPWR|9RCVC|aAART
134	23261 13124	   	179.28	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5BEXP|68VULN|8BPWR|9DUST|aAART
135	23234 52124	   	179.18	ACR|2VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|4ERES|5CGEN|6RMIN|78VULN|8BPWR|9DUST|aAART
136	54231 62221	   	178.89	ACR|3DMG|2VULN|1AART	1FEWX|237DMG|4RCR|5BEXP|6AART|89VULN|aBELT
137	54231 62222	   	178.89	ACR|3DMG|2VULN|1AART	1FEWX|237DMG|4RCR|5BEXP|6AART|89VULN|aCGEN
138	54231 62223	   	178.89	ACR|3DMG|2VULN|1AART	1FEWX|237DMG|4RCR|5BEXP|6AART|89VULN|aLHND
139	61113 42531	   	178.84	DCR|3VULN|1AART|2CDMG|2ZMB	1AART|23aVULN|45LIT|6DMSP|7RCR|8aCDMG|9aZMB|aBPWR
140	54232 13314	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1FEWX|23DMG|4RCR|5DUR|68VULN|7CGEN|9ZMB|aAART
141	23262 13114	   	178.77	ACR|3DMG|2VULN|2ASPD|1DUR	18ASPD|2RCR|38aDMG|47CGEN|5DUR|68VULN|8BPWR|9RCVC
142	23262 13116	   	178.77	ACR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|68aVULN|8BPWR|9RCVC
143	23262 13131	   	178.77	ACR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|689VULN|8BPWR|aDMSP
144	23262 13132	   	178.77	ACR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|689VULN|8BPWR|aLSRICY
145	23262 13133	   	178.77	ACR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|689VULN|8BPWR|aBEXP
146	23265 13133	   	178.77	ACR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5LWND|689VULN|8BPWR|aDUR
147	44223 61221	   	178.67	ACR|3DMG|2VULN|2ASPD|1DUR	1CGEN|2RCR|36aDMG|4DUR|5BEXP|7aASPD|8DUST|9aVULN|aBPWR
148	61115 62212	   	178.08	DCR|4VULN|1AART|1DMG	1AART|2356VULN|46LIT|6BPWR|7RCR|8FEWX|9RCVC|aDMG
149	61115 62312	   	178.08	DCR|4VULN|1AART|1DMG	1AART|2356VULN|46LIT|6BPWR|7RCR|8RCVC|9LHND|aDMG
150	62326 13352	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2ERES|38VULN|4CDMG|5DMG|6RCR|7DUR|9RCVC|aASPD
151	23515 21151	   	178.00	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1SELL	19ASPD|2RCR|39DUST|4SELL|5AART|6CDMG|7DMG|89VULN|9BPWR|aRMIN
152	23515 21152	   	178.00	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1SELL	19ASPD|2RCR|39DUST|4SELL|5AART|6CDMG|7DMG|89VULN|9BPWR|aBEXP
153	23515 21153	   	178.00	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1SELL	19ASPD|2RCR|39DUST|4SELL|5AART|6CDMG|7DMG|89VULN|9BPWR|aCGEN
154	61141 62212	   	177.98	DCR|4VULN|1AART|1DMG	1AART|2348VULN|5BEXP|6LIT|7RCR|9RCVC|aDMG
155	63342 42121	   	177.85	ACR|3VULN|1AART|1DMG|2ASPD	1AART|2LWND|35ASPD|4RCR|689VULN|7DMG|aCGEN
156	63342 42123	   	177.85	ACR|3VULN|1AART|1DMG|2ASPD	1AART|2LWND|35ASPD|4RCR|689VULN|7DMG|aFEWX
157	61115 62132	   	177.79	DCR|5VULN|1AART|1DUR	1AART|23569VULN|46LIT|6BPWR|7RCR|8MLV|aDUR
158	61142 25121	   	177.69	DCR|5VULN|1AART|1DUR	1AART|23489VULN|5DUR|6LWND|7RCR|aMGNLIT
159	61142 25122	   	177.69	DCR|5VULN|1AART|1DUR	1AART|23489VULN|5DUR|6LWND|7RCR|aRPLT
160	61142 25123	   	177.69	DCR|5VULN|1AART|1DUR	1AART|23489VULN|5DUR|6LWND|7RCR|aRCVC
161	61111 62163	   	177.62	DCR|4VULN|1AART|1DMG|1DUR	1AART|2369VULN|4LIT|5DUR|7ERES|8DMG|aRCR
162	61242 24417	   	177.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|28VULN|38DUST|4MBVNT|5RCR|6RMIN|78DMG|8BPWR|9ASPD|aDUR
163	61323 11162	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1AART|28aVULN|3CGEN|4CDMG|5LIT|6BEXP|7RCR|9DMG
164	61423 11162	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1AART|28aVULN|3RMIN|4CDMG|5LIT|6BEXP|7RCR|9DMG
165	61423 31162	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1AART|28aVULN|3RMIN|4CDMG|5LIT|6FEWX|7RCR|9DMG
166	61523 11162	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1AART|28aVULN|3MLV|4CDMG|5LIT|6BEXP|7RCR|9DMG
167	24253 31383	   	177.52	DCR|3VULN|2DMG|2ASPD|1ZMB	1aASPD|2RMIN|3ZMB|4RPLT|58aVULN|6MBVNT|7RCR|9aDMG|aBPWR
168	23212 65121	   	177.45	ACR|3DMG|2VULN|2DUR|1ASPD	1ASPD|2RCR|36aDMG|4LHND|5BEXP|7aDUR|8CGEN|9aVULN|aBPWR
169	23342 13135	   	177.45	ACR|3VULN|1AART|1DMG|2ASPD	18ASPD|2RCR|38BEXP|4DMG|57CGEN|689VULN|8BPWR|aAART
170	62323 11162	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2ERES|38aVULN|4CDMG|5LIT|6BEXP|7RCR|9DMG
