0	Index      	 *	Score 	Summary	Detail	
1	15384 83342	 * 	193.07	DCR|4VULN|2DMG|1AART	1LIT|2MBVNT|345aVULN|6RCR|78DMG|9AART
14	12365 21222	   	181.90	DCR|4VULN|2DMG|2DUR	1aLIT|24DUR|348aVULN|4aBPWR|5CGEN|6RCR|7BEXP|9aDMG
15	15384 83324	   	181.82	DCR|3VULN|3DMG|1ZMB	1LIT|2MBVNT|345VULN|6RCR|789DMG|aZMB
16	24351 13113	   	181.53	ACR|3VULN|2DMG|1AART|1DUR	127VULN|3LHND|47DMG|5RCR|678DUST|7BPWR|9AART|aDUR
17	23513 51431	 * 	181.42	DCR|3DMG|2VULN|1AART|1SELL	19VULN|29BEXP|3SELL|4CGEN|5AART|6RCR|7LHND|89aDMG|9BPWR
18	23513 53214	   	181.32	DCR|3VULN|2DMG|1AART|1SELL	17aVULN|2aBEXP|3SELL|4CGEN|5AART|6RCR|8TLV|9aDMG|aBPWR
19	21513 51431	 * 	181.22	DCR|3DMG|2VULN|1AART|1SELL	19VULN|29DUST|3SELL|4CGEN|5AART|6RCR|7LHND|89aDMG|9BPWR
20	21513 53214	   	181.12	DCR|3VULN|2DMG|1AART|1SELL	17aVULN|2aDUST|3SELL|4CGEN|5AART|6RCR|8TLV|9aDMG|aBPWR
21	22623 16136	 * 	181.07	DCR|2VULN|2DMG|1AART|2ASPD	1aVULN|2aASPD|3LHND|4BELT|5RCVC|6RCR|7AART|8ERES|9aDMG|aBPWR
22	14235 21343	   	180.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|25VULN|3AART|4ERES|6RCR|7ZMB|8ASPD|9CDMG|aDMG
23	14236 21343	   	180.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|25VULN|3AART|45ERES|5BPWR|6RCR|7ZMB|8ASPD|9CDMG|aDMG
24	14363 43331	 * 	180.47	DCR|3VULN|2AART|1DMG|1ASPD	14LIT|234VULN|4BPWR|5ERES|6RCR|7ASPD|89AART|aDMG
25	24241 22523	   	180.01	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|3ASPD|4MLV|5LWND|6aDMG|7AART|9RCR
26	15384 83344	   	178.97	DCR|3VULN|2DMG|1AART	1LIT|2MBVNT|345VULN|6RCR|78DMG|9AART|aMLV
27	15383 83342	   	178.97	DCR|3VULN|2DMG|1AART	1LIT|2MBVNT|34aVULN|5DMSP|6RCR|78DMG|9AART
28	15384 83341	   	178.87	DCR|3VULN|2DMG|1AART	1LIT|2MBVNT|345VULN|6RCR|78DMG|9AART|aERES
29	24351 33413	   	178.84	ACR|4VULN|2DMG|1CDMG	1279VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8LIT|aCDMG
30	12365 26322	   	178.80	DCR|3VULN|2DMG|2DUR|1ZMB	1aLIT|24DUR|34aVULN|4aBPWR|5CGEN|6RCR|7ZMB|8RMIN|9aDMG
31	24351 33124	   	178.74	ACR|4VULN|2DMG|1CDMG	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUST|9CDMG
32	12361 26322	   	178.70	DCR|3VULN|2DMG|2DUR|1ZMB	1aLIT|24DUR|34aVULN|4aBPWR|5TLV|6RCR|7ZMB|8RMIN|9aDMG
33	24351 13413	   	178.64	ACR|4VULN|2DMG|1CDMG	1279VULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8LIT|aCDMG
34	15384 83311	   	178.37	DCR|3VULN|2DMG|1AART	1LIT|2MBVNT|345VULN|6RCR|78DMG|9CGEN|aAART
35	15384 83222	   	178.27	DCR|3VULN|2DMG|1AART	1LIT|2MBVNT|345VULN|6RCR|79DMG|8DUST|aAART
36	15384 83331	   	178.27	DCR|3VULN|2DMG|1AART	1LIT|2MBVNT|345VULN|6RCR|78DMG|9ERES|aAART
37	24353 24231	   	177.72	DCR|4VULN|3DMG	128aVULN|3LHND|467DMG|5ERES|9RCR
38	32251 64333	 * 	177.49	ACR|3DMG|2VULN|1AART	18ERES|2LWND|3RMIN|48aDMG|5RCR|68VULN|7AART|8BPWR|9RCVC
39	14222 21165	 * 	176.47	DCR|4VULN|1AART|2ASPD|1ZMB	1LIT|278aVULN|3AART|46ASPD|5ZMB|9RCR
40	12324 25222	   	176.40	DCR|4VULN|2DMG|1DUR	1aLIT|2DUR|378aVULN|4DUST|5CGEN|6RCR|9aDMG|aBPWR
41	24351 33533	   	176.19	ACR|4VULN|2DMG|1ZMB	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8MLV|9ZMB
42	24351 13233	   	175.99	ACR|4VULN|2DMG|1ZMB	127aVULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8CGEN|9ZMB
43	24351 13533	   	175.99	ACR|4VULN|2DMG|1ZMB	127aVULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8MLV|9ZMB
44	14323 65331	   	175.99	ACR|3VULN|2AART|1DMG|1ASPD	1LIT|237VULN|4ERES|5RCR|6ASPD|89AART|aDMG
45	24351 13116	   	175.89	ACR|3VULN|2DMG|1AART	127VULN|3LHND|47DMG|5RCR|678DUST|7BPWR|9AART|aRCVC
46	32251 64311	   	175.89	ACR|3VULN|2DMG|1AART	18ERES|2LWND|3RMIN|48DMG|5RCR|68aVULN|7AART|8BPWR|9FEWX
47	24351 33623	   	175.74	ACR|3VULN|2DMG|1CDMG|1ZMB	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8FEWX|9CDMG|aZMB
48	24351 61223	   	175.69	ACR|3VULN|2DMG|1AART	126VULN|3LHND|48DMG|5RCR|7CGEN|9RCVC|aAART
49	24351 33123	   	175.64	ACR|3VULN|2DMG|1CDMG|1ZMB	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUST|9CDMG|aZMB
50	22664 26142	 * 	175.61	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	19aVULN|29ASPD|3LHND|4MBVNT|5DUR|6RCR|79DMG|8SELL|9BPWR
51	24351 13623	   	175.54	ACR|3VULN|2DMG|1CDMG|1ZMB	127VULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8FEWX|9CDMG|aZMB
52	15384 83431	   	174.88	DCR|4VULN|1AART|1DMG	1LIT|2MBVNT|3459VULN|6RCR|7DMG|8MLV|aAART
53	15384 84331	   	174.88	DCR|4VULN|1AART|1DMG	1LIT|2MBVNT|3459VULN|6RCR|7MLV|8DMG|aAART
54	15384 83212	   	174.78	DCR|4VULN|1AART|1DMG	1LIT|2MBVNT|3459VULN|6RCR|7DMG|8DUST|aAART
55	24151 62113	   	174.69	ACR|3VULN|2DMG|1AART	126VULN|38FEWX|4aDMG|5RCR|7DMSP|9AART
56	24351 13111	   	174.59	ACR|3VULN|2DMG|1AART	127VULN|3LHND|47DMG|5RCR|678DUST|7BPWR|9AART|aCGEN
57	24351 13114	   	174.59	ACR|3VULN|2DMG|1AART	127VULN|3LHND|47DMG|5RCR|678DUST|7BPWR|9AART|aRPLT
58	14235 22343	 * 	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|25VULN|38AART|4ERES|6RCR|7BEXP|9CDMG|aDMG
59	14236 22343	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|25VULN|38AART|45ERES|5BPWR|6RCR|7BEXP|9CDMG|aDMG
60	24351 33523	   	174.29	ACR|3VULN|2DMG|1AART	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8MLV|9RPLT|aAART
61	24351 13523	   	174.09	ACR|3VULN|2DMG|1AART	127VULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8MLV|9RPLT|aAART
62	63325 26233	   	174.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2BEXP|3AART|45VULN|6RCR|7LIT|8CDMG|9DMG|aZMB
63	24313 32543	   	174.03	DCR|3VULN|2AART|1DMG	128VULN|34LHND|5ERES|6RCR|79AART|aDMG
64	24151 11422	   	173.99	ACR|3VULN|2DMG|1AART	127VULN|3FEWX|49DMG|5RCR|6DUST|8LIT|aAART
65	14235 21623	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|25VULN|3AART|4ERES|6RCR|7ZMB|8CDMG|9RMIN|aDMG
66	14236 21623	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|25VULN|3AART|45ERES|5BPWR|6RCR|7ZMB|8CDMG|9RMIN|aDMG
67	14333 52311	 * 	173.74	DCR|3VULN|1AART|1DMG|2CDMG	1LIT|236VULN|46CDMG|5RPLT|6BPWR|7DMSP|8DMG|9RCR|aAART
68	14323 63422	 * 	173.38	ACR|3VULN|3DMG|1ASPD	1LIT|23aVULN|4ERES|5RCR|6ASPD|789DMG
69	12361 24431	   	173.11	DCR|3VULN|1AART|1DMG|2DUR	17LIT|24DUR|349VULN|4BPWR|5TLV|6RCR|8DMG|aAART
70	24311 22523	   	173.07	DCR|3VULN|2DMG|1AART	128VULN|34LHND|5LWND|6aDMG|7AART|9RCR
71	21221 24216	   	173.04	ACR|2VULN|2DMG|1AART|1ZMB	1aVULN|2aDUST|3ZMB|4RCVC|5RCR|6ERES|7BELT|8aDMG|9AART|aBPWR
72	12361 23431	   	173.01	DCR|3VULN|1AART|1DMG|2DUR	1LIT|24DUR|349VULN|4BPWR|57TLV|6RCR|8DMG|aAART
73	23113 55215	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|28BEXP|3CDMG|4CGEN|5AART|6RCR|7ZMB|9DMG
74	23513 51433	   	172.71	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19VULN|29BEXP|3SELL|4CGEN|5AART|6RCR|7LHND|89DMG|9BPWR|aDUR
75	14226 31622	 * 	172.70	DCR|2VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	1LIT|25VULN|3AART|45ASPD|5BPWR|6aDUR|7ZMB|8CDMG|9RCR
76	23253 53223	 * 	172.59	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR|1ASPD	17VULN|2BEXP|37ZMB|4LHND|5ASPD|67DMG|7BPWR|8DUR|9CDMG|aRCR
77	21513 51433	   	172.51	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19VULN|29DUST|3SELL|4CGEN|5AART|6RCR|7LHND|89DMG|9BPWR|aDUR
78	24313 33215	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	12aVULN|34LHND|5ERES|6RCR|7ZMB|8DMG|9AART
79	24541 22123	 * 	172.27	DCR|2VULN|2DMG|1AART|2ZMB	12VULN|38ZMB|4MLV|5LWND|6aDMG|7AART|9RCR
80	24611 22123	   	172.17	DCR|2VULN|2DMG|1AART|2ZMB	12VULN|3TLV|48ZMB|5LWND|6aDMG|7AART|9RCR
81	24351 33214	   	172.12	ACR|4VULN|2DMG|1DUR	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9LWND
82	24351 33231	   	172.12	ACR|4VULN|2DMG|1DUR	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9CGEN
83	24351 33251	   	172.12	ACR|4VULN|2DMG|1DUR	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9MLV
84	24351 33412	   	172.12	ACR|4VULN|2DMG|1DUR	1279VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8LIT|aDUR
85	24351 33241	   	172.02	ACR|4VULN|2DMG|1DUR	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9ERES
86	24351 13412	   	171.92	ACR|4VULN|2DMG|1DUR	1279VULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8LIT|aDUR
87	24351 33222	   	171.67	ACR|3VULN|2DMG|1CDMG|1DUR	127VULN|3aLHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9CDMG
88	24351 33225	   	171.67	ACR|3VULN|2DMG|1CDMG|1DUR	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9CDMG|aMLV
89	24216 41311	   	171.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	125VULN|3ASPD|4ZMB|6MLV|7LIT|8DMG|9RCR|aAART
90	24351 33221	   	171.57	ACR|3VULN|2DMG|1CDMG|1DUR	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9CDMG|aTLV
91	41531 62333	   	171.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RPLT|23VULN|4AART|5ASPD|6FEWX|7CDMG|8RCR|9DUR|aDMG
92	41533 32333	   	171.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RPLT|23VULN|4AART|5BEXP|6ASPD|7CDMG|8RCR|9DUR|aDMG
93	14323 42633	 * 	171.25	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|239VULN|4ERES|5RCR|6CDMG|7RMIN|8AART|aDMG
94	24351 11115	 * 	171.00	ACR|4VULN|1AART|1DMG	127aVULN|3LHND|4DMG|5RCR|68DUST|9AART
95	15384 83321	   	170.82	DCR|3VULN|3DMG	1LIT|2MBVNT|345VULN|6RCR|789DMG|aLWND
96	15384 83323	   	170.82	DCR|3VULN|3DMG	1LIT|2MBVNT|345VULN|6RCR|789DMG|aRPLT
97	15383 83322	   	170.82	DCR|3VULN|3DMG	1LIT|2MBVNT|34aVULN|5DMSP|6RCR|789DMG
98	14223 25422	   	170.78	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LIT|2aVULN|3AART|46ASPD|5DMG|7ZMB|8RCR|9RCVC
99	24154 31113	   	170.71	DCR|3DMG|2VULN|1ZMB|1ASPD	12VULN|3FEWX|46aDMG|5DLOT|7RCR|8ZMB|9ASPD
100	24151 11412	   	170.50	ACR|4VULN|1AART|1DMG	1279VULN|3FEWX|4DMG|5RCR|6DUST|8LIT|aAART
101	15383 83343	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2MBVNT|34VULN|5DMSP|6RCR|78DMG|9AART|aDUR
102	24611 22125	 * 	170.24	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|3TLV|48ZMB|5LWND|6DMG|7AART|9RCR
103	14331 12211	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|237VULN|4CDMG|5RCVC|6DMG|8RPLT|9RCR|aAART
104	14331 43311	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|236VULN|4CDMG|5RCVC|7RPLT|8DMG|9RCR|aAART
105	63325 31221	   	170.11	DCR|3VULN|1AART|1DMG|2DUR	1FEWX|2BEXP|3AART|45aVULN|6DMG|78DUR|9RCR
106	63325 22522	   	170.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2BEXP|3AART|45VULN|6RCR|7LWND|8DMG|9DUR|aCDMG
107	61325 31221	   	170.01	DCR|3VULN|1AART|1DMG|2DUR	1FEWX|2DUST|3AART|45aVULN|6DMG|78DUR|9RCR
108	61325 21522	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DUST|3AART|45VULN|6RCR|7BEXP|8DMG|9DUR|aCDMG
109	61325 22522	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DUST|3AART|45VULN|6RCR|7LWND|8DMG|9DUR|aCDMG
110	24311 22525	   	169.58	DCR|4VULN|1AART|1DMG	128aVULN|34LHND|5LWND|6DMG|7AART|9RCR
111	14235 21631	   	169.57	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|259VULN|3AART|4ERES|6RCR|7ZMB|8CDMG|aFEWX
112	14236 21631	   	169.57	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|259VULN|3AART|45ERES|5BPWR|6RCR|7ZMB|8CDMG|aFEWX
113	14235 21632	   	169.47	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|259VULN|3AART|4aERES|6RCR|7ZMB|8CDMG
114	14236 21632	   	169.47	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|259VULN|3AART|45aERES|5BPWR|6RCR|7ZMB|8CDMG
115	21223 26525	   	169.39	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2DUST|3ZMB|4RCVC|5ERES|6DMG|7AART|9RCR
116	15384 81422	   	169.37	DCR|4VULN|2DMG	1aLIT|2MBVNT|345aVULN|6RCR|7LWND|8ERES|9aDMG|aBPWR
117	15384 84222	   	169.37	DCR|4VULN|2DMG	1aLIT|2MBVNT|345aVULN|6RCR|7MLV|8DUST|9aDMG|aBPWR
118	15761 33143	 * 	169.10	DCR|2AART|1VULN|2CDMG|1DMG|2ZMB	1LIT|2MBVNT|35CDMG|45ZMB|5BPWR|67AART|8VULN|9RCR|aDMG
119	21233 26525	   	169.09	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2DUST|3ZMB|4ERES|5RCVC|6DMG|7AART|9RCR
120	14323 25331	   	169.05	ACR|3VULN|2AART|1DMG	1LIT|237VULN|4ERES|5RCR|6RMIN|89AART|aDMG
121	22153 62523	   	169.03	DCR|3VULN|1AART|1DMG|2ASPD	168VULN|25ASPD|3LWND|4LHND|7AART|9RCR|aDMG
122	24351 33334	   	168.93	ACR|3VULN|2DMG|1ZMB|1DUR	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8ERES|9ZMB|aDUR
123	24351 13234	   	168.83	ACR|3VULN|2DMG|1ZMB|1DUR	127VULN|3LHND|47DMG|5RCR|67DUST|7BPWR|8CGEN|9ZMB|aDUR
124	23135 51421	   	168.79	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2BEXP|39CDMG|4AART|5CGEN|6RCR|7LHND|8aDMG
125	23135 53421	   	168.79	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2BEXP|39CDMG|4AART|5CGEN|6RCR|7FEWX|8aDMG
126	43532 22323	 * 	168.77	DCR|3DMG|1AART|1VULN|1DUR|1SELL	1RPLT|2DUR|3VULN|4LWND|5SELL|6RCR|79aDMG|8AART
127	15323 84511	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1aLIT|2MBVNT|3aVULN|4DUST|5DUR|6RPLT|7RCR|8AART|9aDMG|aBPWR
128	24611 22423	   	168.22	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|38TLV|4ZMB|5LWND|6aDMG|7AART|9RCR
129	23113 51421	   	168.19	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2BEXP|39CDMG|4CGEN|5AART|6RCR|7LHND|8aDMG
130	23113 53421	   	168.19	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2BEXP|39CDMG|4CGEN|5AART|6RCR|7FEWX|8aDMG
131	24351 61222	   	168.14	ACR|3VULN|3DMG	126VULN|3LHND|48aDMG|5RCR|7CGEN|9RCVC
132	21113 51421	   	168.09	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2DUST|39CDMG|4CGEN|5AART|6RCR|7LHND|8aDMG
133	21113 53421	   	168.09	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2DUST|39CDMG|4CGEN|5AART|6RCR|7FEWX|8aDMG
134	23113 56421	   	168.09	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2BEXP|39CDMG|4CGEN|5AART|6RCR|7LEGI|8aDMG
135	21113 56421	   	167.99	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2DUST|39CDMG|4CGEN|5AART|6RCR|7LEGI|8aDMG
136	24351 31224	   	167.99	ACR|4VULN|1DMG|1CDMG|1DUR	127aVULN|3LHND|4DMG|5RCR|6BEXP|8DUR|9CDMG
137	15362 23137	 * 	167.92	DCR|3VULN|2DMG|2ZMB	1aLIT|2MBVNT|36aVULN|4BELT|56ZMB|6aBPWR|7RCR|8MLV|9aDMG
138	41234 38238	   	167.82	DCR|3VULN|2DMG|2ZMB	1RPLT|25aVULN|3MBVNT|48LWND|6aZMB|7RCR|9aDMG|aBPWR
139	22162 53353	   	167.82	DCR|3VULN|1AART|1DMG|1ASPD	179VULN|2ASPD|3LWND|4RPLT|5LHND|6RCR|8DMG|aAART
140	12365 24322	   	167.80	DCR|3VULN|2DMG|2DUR	17aLIT|24DUR|34aVULN|4aBPWR|5CGEN|6RCR|8FEWX|9aDMG
141	14235 21315	   	167.79	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1LIT|25VULN|3AART|4ERES|6RCR|7ZMB|8ASPD|9DUR|aCDMG
142	14236 21315	   	167.79	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1LIT|25VULN|3AART|45ERES|5BPWR|6RCR|7ZMB|8ASPD|9DUR|aCDMG
143	12345 21222	   	167.70	DCR|3VULN|2DMG|2DUR	1aLIT|24DUR|38aVULN|5CGEN|6RCR|7BEXP|9aDMG|aBPWR
144	12361 24322	   	167.70	DCR|3VULN|2DMG|2DUR	17aLIT|24DUR|34aVULN|4aBPWR|5TLV|6RCR|8BEXP|9aDMG
145	12361 24622	   	167.70	DCR|3VULN|2DMG|2DUR	17aLIT|24DUR|34aVULN|4aBPWR|5TLV|6RCR|8LWND|9aDMG
146	12324 25422	   	167.60	DCR|3VULN|2DMG|2DUR	1aLIT|28DUR|37aVULN|4DUST|5CGEN|6RCR|9aDMG|aBPWR
147	12361 23322	   	167.60	DCR|3VULN|2DMG|2DUR	1aLIT|24DUR|34aVULN|4aBPWR|57TLV|6RCR|8BEXP|9aDMG
148	12361 23622	   	167.60	DCR|3VULN|2DMG|2DUR	1aLIT|24DUR|34aVULN|4aBPWR|57TLV|6RCR|8LWND|9aDMG
149	15384 64311	   	167.58	DCR|4VULN|1AART|1DMG	1LIT|2MBVNT|3456VULN|7TLV|8DMG|9RCR|aAART
150	12322 25422	   	167.50	DCR|3VULN|2DMG|2DUR	1aLIT|28DUR|37aVULN|4DUST|5TLV|6RCR|9aDMG|aBPWR
151	12361 42161	   	167.47	DCR|3VULN|1DMG|2CDMG|2DUR	1LIT|24DUR|348VULN|4BPWR|5TLV|69CDMG|7RCR|aDMG
152	14226 31623	   	167.40	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	1LIT|25VULN|3AART|45ASPD|5BPWR|6DUR|7ZMB|8CDMG|9RCR|aCGEN
153	63325 22343	   	167.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2BEXP|3AART|45VULN|6RCR|7LWND|8ZMB|9ASPD|aDMG
154	63325 22523	   	167.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2BEXP|3AART|45VULN|6RCR|7LWND|8DMG|9DUR|aZMB
155	14363 43333	   	167.34	DCR|3VULN|2AART|1ASPD|1DUR	14LIT|234VULN|4BPWR|5ERES|6RCR|7ASPD|89AART|aDUR
156	14336 62211	   	167.33	DCR|3VULN|1AART|1DMG|1CDMG	16LIT|237VULN|4CDMG|5DMG|8RPLT|9RCR|aAART
157	14235 21134	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|25VULN|3AART|4ERES|6RCR|7ZMB|8RPLT|9DMG|aDUR
158	14236 21134	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|25VULN|3AART|45ERES|5BPWR|6RCR|7ZMB|8RPLT|9DMG|aDUR
159	61325 21523	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2DUST|3AART|45VULN|6RCR|7BEXP|8DMG|9DUR|aZMB
160	61325 22343	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2DUST|3AART|45VULN|6RCR|7LWND|8ZMB|9ASPD|aDMG
161	61325 22523	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2DUST|3AART|45VULN|6RCR|7LWND|8DMG|9DUR|aZMB
162	23513 51432	   	167.07	DCR|2VULN|2DMG|1AART|1SELL	19VULN|29BEXP|3SELL|4CGEN|5AART|6RCR|7LHND|89DMG|9BPWR|aRCVC
163	22162 51326	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2ASPD|3LWND|4RPLT|5LHND|6RCR|7CDMG|8AART|9DMG
164	22362 51326	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2ASPD|3BEXP|4RPLT|5LHND|6RCR|7CDMG|8AART|9DMG
165	63325 22533	   	166.91	DCR|2VULN|2DMG|1AART	1FEWX|2BEXP|3AART|45VULN|6RCR|7LWND|8aDMG|9ERES
166	21513 51432	   	166.87	DCR|2VULN|2DMG|1AART|1SELL	19VULN|29DUST|3SELL|4CGEN|5AART|6RCR|7LHND|89DMG|9BPWR|aRCVC
167	61325 21533	   	166.81	DCR|2VULN|2DMG|1AART	1FEWX|2DUST|3AART|45VULN|6RCR|7BEXP|8aDMG|9ERES
168	61325 22533	   	166.81	DCR|2VULN|2DMG|1AART	1FEWX|2DUST|3AART|45VULN|6RCR|7LWND|8aDMG|9ERES
169	14222 23161	   	166.78	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	17LIT|28VULN|3AART|46ASPD|5ZMB|9RCR|aDMG
170	24351 33421	   	166.74	ACR|3VULN|3DMG	127VULN|3LHND|479DMG|5RCR|67BEXP|7BPWR|8LIT|aMLV
171	24623 32336	 * 	166.67	DCR|4VULN|1AART|1CDMG	129aVULN|3TLV|4RPLT|5AART|6LWND|7CDMG|8RCR
172	24351 33133	   	166.64	ACR|3VULN|3DMG	127VULN|3LHND|47aDMG|5RCR|67BEXP|7BPWR|8DUST|9CGEN
