0	Index      	 *	Score 	Summary	Detail	
1	31212 45353	 * 	205.69	ACR|3DMG|2VULN|1AART|2ASPD|1CDMG	1aVULN|2LIT|35aDMG|4RCR|6CDMG|7AART|8FEWX|9aASPD|aBPWR
23	32314 42323	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1257VULN|2BPWR|3DMG|4RCR|6FEWX|8AART|9DUR|aCDMG
24	36314 42323	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1257VULN|3DMG|4RCR|6FEWX|8AART|9DUR|aCDMG
25	31211 33336	   	194.69	ACR|4VULN|2DMG|2ASPD|1CDMG	167aVULN|2LIT|3aDMG|4RCR|5ERES|8CDMG|9aASPD|aBPWR
26	31211 36536	   	194.69	ACR|4VULN|2DMG|2ASPD|1CDMG	168aVULN|2LIT|3aDMG|4RCR|5ERES|7CDMG|9aASPD|aBPWR
27	34612 13143	   	193.90	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8RCVC|9ZMB|aAART
28	32314 61126	   	193.19	ACR|4VULN|2DMG|1AART	125aVULN|2aBPWR|3aDMG|4RCR|6AART|7LWND|8LIT|9aCGEN
29	32314 61136	   	193.19	ACR|4VULN|2DMG|1AART	125aVULN|2aBPWR|3aDMG|4RCR|6AART|7LWND|8LIT|9aMLV
30	31122 42626	   	192.77	DCR|4VULN|2DMG|1AART	189aVULN|2aLIT|3LWND|4CGEN|5aDMG|6AART|7RCR|aBPWR
31	32314 42322	   	192.59	ACR|4VULN|2AART|1DMG|1DUR	1257VULN|2BPWR|3DMG|4RCR|6FEWX|8aAART|9DUR
32	36314 42322	   	192.59	ACR|4VULN|2AART|1DMG|1DUR	1257VULN|3DMG|4RCR|6FEWX|8aAART|9DUR
33	11213 63224	 * 	192.54	ACR|3VULN|3DMG|1AART	179BEXP|2LIT|379DMG|4RCR|5RPLT|679VULN|79BPWR|8DMSP|aAART
34	31213 13224	   	192.54	ACR|3VULN|3DMG|1AART	179VULN|2LIT|379DMG|4RCR|5RPLT|679FEWX|79BPWR|8DMSP|aAART
35	31216 23224	   	192.54	ACR|3VULN|3DMG|1AART	179VULN|2LIT|379DMG|4RCR|579FEWX|6RPLT|79BPWR|8DMSP|aAART
36	41213 63224	   	192.54	ACR|3VULN|3DMG|1AART	179FEWX|2LIT|379DMG|4RCR|5RPLT|679VULN|79BPWR|8DMSP|aAART
37	31261 33336	   	192.39	ACR|4VULN|2DMG|2ASPD|1CDMG	167aVULN|2LIT|3aDMG|4CGEN|5RCR|8CDMG|9aASPD|aBPWR
38	31215 42353	   	192.24	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	1aVULN|2LIT|3aDMG|4RCR|5RCVC|6CDMG|7LHND|8AART|9aASPD|aBPWR
39	32314 22523	   	192.14	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1257VULN|2BPWR|3DMG|4RCR|6LHND|8AART|9DUR|aZMB
40	36314 22523	   	192.14	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1257VULN|3DMG|4RCR|6LHND|8AART|9DUR|aZMB
41	32312 14126	   	191.99	ACR|4VULN|2DMG|1AART	129aVULN|2aBPWR|3aDMG|4RCR|5LIT|6LWND|7aCGEN|8AART
42	32312 15126	   	191.99	ACR|4VULN|2DMG|1AART	129aVULN|2aBPWR|3aDMG|4RCR|5LIT|6LWND|7aMLV|8AART
43	32312 64126	   	191.99	ACR|4VULN|2DMG|1AART	129aVULN|2aBPWR|3aDMG|4RCR|5LIT|6LHND|7aCGEN|8AART
44	32312 65126	   	191.99	ACR|4VULN|2DMG|1AART	129aVULN|2aBPWR|3aDMG|4RCR|5LIT|6LHND|7aMLV|8AART
45	36312 14126	   	191.99	ACR|4VULN|2DMG|1AART	129aVULN|3aDMG|4RCR|5LIT|6LWND|7aCGEN|8AART|aBPWR
46	36312 15126	   	191.99	ACR|4VULN|2DMG|1AART	129aVULN|3aDMG|4RCR|5LIT|6LWND|7aMLV|8AART|aBPWR
47	31212 45132	   	191.84	ACR|3DMG|2VULN|1AART|1CDMG	19VULN|2LIT|35aDMG|4RCR|6CDMG|7AART|8TLV
48	32312 45132	   	191.84	ACR|3VULN|2DMG|1AART|1CDMG	129VULN|2BPWR|3aDMG|4RCR|5LIT|6CDMG|7AART|8TLV
49	36312 45132	   	191.84	ACR|3VULN|2DMG|1AART|1CDMG	129VULN|3aDMG|4RCR|5LIT|6CDMG|7AART|8TLV
50	32312 16126	   	191.79	ACR|4VULN|2DMG|1AART	129aVULN|2aBPWR|3aDMG|4RCR|5LIT|6LWND|7aERES|8AART
51	32312 66126	   	191.79	ACR|4VULN|2DMG|1AART	129aVULN|2aBPWR|3aDMG|4RCR|5LIT|6LHND|7aERES|8AART
52	32314 22516	   	191.79	ACR|4VULN|2DMG|1AART	1257VULN|2BPWR|3aDMG|4RCR|6LHND|8AART|9BEXP
53	32314 42316	   	191.79	ACR|4VULN|2DMG|1AART	1257VULN|2BPWR|3aDMG|4RCR|6FEWX|8AART|9BEXP
54	36312 16126	   	191.79	ACR|4VULN|2DMG|1AART	129aVULN|3aDMG|4RCR|5LIT|6LWND|7aERES|8AART|aBPWR
55	32314 13524	   	191.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	125VULN|2BPWR|3DMG|4RCR|6MLV|7ZMB|8AART|9DUR|aCDMG
56	32311 22555	   	191.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3DMG|4RCR|5ASPD|6CGEN|8AART|9CDMG|aZMB
57	32311 32555	   	191.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3DMG|4RCR|5ASPD|6TLV|8AART|9CDMG|aZMB
58	32311 22526	   	191.56	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	127VULN|2BPWR|3aDMG|4RCR|5ASPD|6CGEN|8AART|9DUR
59	36311 22526	   	191.56	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	127VULN|3aDMG|4RCR|5ASPD|6CGEN|8AART|9DUR
60	32311 32526	   	191.46	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	127VULN|2BPWR|3aDMG|4RCR|5ASPD|6TLV|8AART|9DUR
61	32311 42526	   	191.46	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	127VULN|2BPWR|3aDMG|4RCR|5ASPD|6ERES|8AART|9DUR
62	36311 32526	   	191.46	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	127VULN|3aDMG|4RCR|5ASPD|6TLV|8AART|9DUR
63	34612 13232	   	191.39	ACR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	17aVULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8ASPD|9ZMB
64	32314 11321	   	191.39	ACR|4VULN|2DMG|1AART	125aVULN|2aBPWR|37DMG|4RCR|6aMLV|8aLWND|9AART
65	36314 11321	   	191.39	ACR|4VULN|2DMG|1AART	125aVULN|37DMG|4RCR|6aMLV|8aLWND|9AART|aBPWR
66	32314 51321	   	191.19	ACR|4VULN|2DMG|1AART	125aVULN|2aBPWR|37DMG|4RCR|6aERES|8aLHND|9AART
67	36314 51321	   	191.19	ACR|4VULN|2DMG|1AART	125aVULN|37DMG|4RCR|6aERES|8aLHND|9AART|aBPWR
68	32314 65111	   	190.69	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	125VULN|2BPWR|3DMG|4RCR|6aAART|7BELT|8DUR|9ZMB
69	32314 63312	   	190.56	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUST|9RCVC
70	36314 63312	   	190.56	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|3DMG|4RCR|6AART|7CDMG|8DUST|9RCVC
71	32314 62111	 * 	190.23	ACR|3VULN|2DMG|2AART	125VULN|2BPWR|3aDMG|4RCR|68AART|7ERES|9CGEN
72	32314 66131	   	190.23	ACR|3VULN|2DMG|2AART	125VULN|2BPWR|3aDMG|4RCR|68AART|7CGEN|9TLV
73	36314 62111	   	190.23	ACR|3VULN|2DMG|2AART	125VULN|3aDMG|4RCR|68AART|7ERES|9CGEN
74	32314 62161	   	190.13	ACR|3VULN|2DMG|2AART	125VULN|2BPWR|3aDMG|4RCR|68AART|7ERES|9TLV
75	34612 13133	   	189.84	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8RCVC|9ASPD|aAART
76	32642 31316	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	123VULN|2BPWR|4RCVC|5DUR|6RCR|7aDMG|8AART|9BEXP
77	32643 31326	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	123VULN|2BPWR|4RCVC|5BEXP|6RCR|7aDMG|8AART|9DUR
78	32642 31335	   	189.61	DCR|3VULN|2DMG|1AART|1DUR	123VULN|2BPWR|4RCVC|5DUR|6RCR|7aDMG|8AART|9SNIHEL
79	32116 74354	 * 	189.22	DCR|3VULN|2DMG|1AART|2ZMB	12aVULN|2aBPWR|3RPLT|4MBVNT|5RMIN|6aDMG|7aZMB|8RCR|9AART
80	34612 13136	   	189.10	ACR|3VULN|2DMG|2CDMG|2ASPD	17aVULN|2RMIN|3aLIT|4RCR|57DMG|67CDMG|7aBPWR|8RCVC|9aASPD
81	32314 63121	   	189.05	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8BEXP|9LWND
82	36314 63121	   	189.05	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|3DMG|4RCR|6AART|7CDMG|8BEXP|9LWND
83	32314 63135	   	188.95	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8BEXP|9ERES
84	32314 63321	   	188.95	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUST|9LWND
85	36314 63321	   	188.95	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|3DMG|4RCR|6AART|7CDMG|8DUST|9LWND
86	32314 63335	   	188.85	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUST|9ERES
87	32314 13516	   	188.69	ACR|3VULN|2DMG|1AART|1ZMB	125VULN|2BPWR|3aDMG|4RCR|6MLV|7ZMB|8AART|9BEXP
88	35314 62121	   	188.68	ACR|3VULN|2AART|1DMG|2DUR	15aVULN|2RCVC|3DMG|4RCR|68AART|7aERES|9aDUR|aBPWR
89	32314 63326	   	188.50	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	125VULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUST|9LWND|aFLTHEA
90	32314 22326	 * 	188.46	ACR|4VULN|1AART|1DMG|2ZMB	1257VULN|2BPWR|3DMG|4RCR|6LHND|8aZMB|9AART
91	36314 22326	   	188.46	ACR|4VULN|1AART|1DMG|2ZMB	1257VULN|3DMG|4RCR|6LHND|8aZMB|9AART
92	32642 31323	   	188.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	123VULN|2BPWR|4RCVC|59DUR|6RCR|7DMG|8AART|aZMB
93	36642 31323	   	188.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	123VULN|4RCVC|59DUR|6RCR|7DMG|8AART|aZMB
94	11212 45153	   	188.10	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG	1aBEXP|2LIT|35aDMG|4RCR|6CDMG|7AART|8VULN|9aASPD|aBPWR
95	32312 45353	   	188.10	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	12aVULN|2aBPWR|3DMG|4RCR|5aLIT|6CDMG|7AART|8FEWX|9aASPD
96	32314 51326	   	187.99	ACR|3VULN|2DMG|1AART|1ZMB	125VULN|2BPWR|37DMG|4RCR|6ERES|8LHND|9AART|aZMB
97	34612 13322	   	187.93	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8DUR|9CGEN|aAART
98	34612 13332	   	187.93	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8DUR|9FEWX|aAART
99	34612 13342	   	187.93	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8DUR|9BEXP|aAART
100	34612 13362	   	187.93	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8DUR|9MLV|aAART
101	32314 22514	   	187.85	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|2BPWR|3DMG|4RCR|6LHND|8AART|9BEXP|aCDMG
102	32314 22536	   	187.85	ACR|4VULN|1AART|1DMG|1FLTHEA	1257VULN|2BPWR|3DMG|4RCR|6LHND|8AART|9RPLT|aFLTHEA
103	32314 42313	   	187.85	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|2BPWR|3DMG|4RCR|6FEWX|8AART|9BEXP|aCDMG
104	32314 42336	   	187.85	ACR|4VULN|1AART|1DMG|1FLTHEA	1257VULN|2BPWR|3DMG|4RCR|6FEWX|8AART|9RPLT|aFLTHEA
105	36314 42313	   	187.85	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|3DMG|4RCR|6FEWX|8AART|9BEXP|aCDMG
106	34612 13352	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8DUR|9TLV|aAART
107	32311 22524	   	187.63	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	127VULN|2BPWR|3DMG|4RCR|5ASPD|6CGEN|8AART|9DUR|aCDMG
108	32311 22552	   	187.63	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	127VULN|2BPWR|3DMG|4RCR|5ASPD|6CGEN|8AART|9CDMG|aDUR
109	36311 22524	   	187.63	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	127VULN|3DMG|4RCR|5ASPD|6CGEN|8AART|9DUR|aCDMG
110	36311 22552	   	187.63	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	127VULN|3DMG|4RCR|5ASPD|6CGEN|8AART|9CDMG|aDUR
111	32314 62411	   	187.53	ACR|4VULN|1AART|1DMG|2DUR	125aVULN|2aBPWR|3DMG|4RCR|6AART|79aERES|8aDUR
112	32311 32524	   	187.53	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	127VULN|2BPWR|3DMG|4RCR|5ASPD|6TLV|8AART|9DUR|aCDMG
113	32311 32552	   	187.53	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	127VULN|2BPWR|3DMG|4RCR|5ASPD|6TLV|8AART|9CDMG|aDUR
114	32311 42524	   	187.53	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	127VULN|2BPWR|3DMG|4RCR|5ASPD|6ERES|8AART|9DUR|aCDMG
115	32311 42552	   	187.53	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	127VULN|2BPWR|3DMG|4RCR|5ASPD|6ERES|8AART|9CDMG|aDUR
116	36311 32524	   	187.53	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	127VULN|3DMG|4RCR|5ASPD|6TLV|8AART|9DUR|aCDMG
117	36311 32552	   	187.53	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	127VULN|3DMG|4RCR|5ASPD|6TLV|8AART|9CDMG|aDUR
118	32312 42353	   	187.50	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	12aVULN|2aBPWR|3DMG|4RCR|5aLIT|6CDMG|7LHND|8AART|9aASPD
119	36312 42353	   	187.50	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	12aVULN|3DMG|4RCR|5aLIT|6CDMG|7LHND|8AART|9aASPD|aBPWR
120	51212 43353	   	187.50	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG	1aLHND|2LIT|35aDMG|4RCR|6CDMG|7VULN|8AART|9aASPD|aBPWR
121	31212 45215	   	187.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|2LIT|35DMG|4RCR|6CDMG|7AART|8RPLT|9ZMB
122	32314 63612	   	187.18	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	125VULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8aDUR|9BELT
123	32314 23165	   	187.15	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|2BPWR|3DMG|4RCR|6LHND|7ERES|8CDMG|9AART
124	32314 22531	 * 	187.03	ACR|5VULN|1AART|1DMG	1257aVULN|2BPWR|3DMG|4RCR|6LHND|8AART|9RPLT
125	32314 42331	   	187.03	ACR|5VULN|1AART|1DMG	1257aVULN|2BPWR|3DMG|4RCR|6FEWX|8AART|9RPLT
126	36314 22531	   	187.03	ACR|5VULN|1AART|1DMG	1257aVULN|3DMG|4RCR|6LHND|8AART|9RPLT
127	36314 42331	   	187.03	ACR|5VULN|1AART|1DMG	1257aVULN|3DMG|4RCR|6FEWX|8AART|9RPLT
128	32314 42343	   	186.93	ACR|5VULN|1AART|1DMG	1257aVULN|2BPWR|3DMG|4RCR|6FEWX|8AART|9BASHEA
129	32314 62114	   	186.75	ACR|4VULN|2AART|1DMG	125aVULN|2BPWR|3DMG|4RCR|68AART|7ERES|9CGEN
130	32314 62151	   	186.65	ACR|4VULN|2AART|1DMG	125aVULN|2aBPWR|3DMG|4RCR|68AART|7aERES|9aDUST
131	32135 24532	   	186.47	DCR|4VULN|2DMG|1AART	1278VULN|28BPWR|3RPLT|4AART|58DMG|68DUST|9ERES|aRCR
132	32314 22522	   	186.43	ACR|4VULN|1AART|1DMG|2DUR	1257VULN|2BPWR|3DMG|4RCR|6LHND|8AART|9aDUR
133	36314 22522	   	186.43	ACR|4VULN|1AART|1DMG|2DUR	1257VULN|3DMG|4RCR|6LHND|8AART|9aDUR
134	32314 22421	   	186.43	ACR|5VULN|1AART|1DMG	1257aVULN|2aBPWR|3DMG|4RCR|6aLHND|8aTLV|9AART
135	36314 22421	   	186.43	ACR|5VULN|1AART|1DMG	1257aVULN|3DMG|4RCR|6aLHND|8aTLV|9AART|aBPWR
136	32314 66111	   	186.40	ACR|3VULN|2AART|1DMG|1CDMG	125VULN|2BPWR|3DMG|4RCR|68AART|79CGEN|aCDMG
137	34612 13113	   	186.35	ACR|3VULN|2DMG|2CDMG|1ZMB	179VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8RCVC|aZMB
138	32314 61243	   	186.30	ACR|4VULN|1AART|1DMG|1ZMB	1259VULN|2BPWR|3DMG|4RCR|6AART|7LWND|8LSRHEA|aZMB
139	32314 62131	   	186.20	ACR|3VULN|2AART|1DMG|1CDMG	125VULN|2BPWR|3DMG|4RCR|68AART|79ERES|aCDMG
140	36314 62131	   	186.20	ACR|3VULN|2AART|1DMG|1CDMG	125VULN|3DMG|4RCR|68AART|79ERES|aCDMG
141	32642 31334	   	186.12	DCR|4VULN|1AART|1DMG|1DUR	123aVULN|2BPWR|4RCVC|5DUR|6RCR|7DMG|8AART|9SNIHEL
142	32118 43441	 * 	186.07	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	128VULN|28BPWR|3RPLT|4MBVNT|5ZMB|68CDMG|78DMG|9RCR|aASPD
143	32118 76441	   	186.07	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	128VULN|28BPWR|3RPLT|4MBVNT|5ZMB|68DMG|78CDMG|9RCR|aASPD
144	36118 43441	   	186.07	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	128VULN|3RPLT|4MBVNT|5ZMB|68CDMG|78DMG|8BPWR|9RCR|aASPD
145	32312 56433	 * 	186.00	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	128VULN|28BPWR|3DMG|4RCR|58LIT|6RMIN|78CDMG|9ASPD|aAART
146	32314 63152	   	185.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8BEXP|9RMIN|aZMB
147	32624 26233	 * 	185.95	DCR|5VULN|3CDMG|1AART	12389VULN|268BPWR|468CDMG|568TLV|7AART|aRCR
148	32314 22323	   	185.91	ACR|4VULN|1AART|1DMG|1ZMB	1257VULN|2BPWR|3DMG|4RCR|6LHND|8ZMB|9AART|aRCVC
149	36314 22323	   	185.91	ACR|4VULN|1AART|1DMG|1ZMB	1257VULN|3DMG|4RCR|6LHND|8ZMB|9AART|aRCVC
150	32314 63132	   	185.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8BEXP|9ERES|aZMB
151	32314 63352	   	185.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUST|9RMIN|aZMB
152	36314 63132	   	185.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|3DMG|4RCR|6AART|7CDMG|8BEXP|9ERES|aZMB
153	32642 31313	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|2BPWR|4RCVC|5DUR|6RCR|7DMG|8AART|9BEXP|aCDMG
154	36642 31313	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|4RCVC|5DUR|6RCR|7DMG|8AART|9BEXP|aCDMG
155	32643 31323	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|2BPWR|4RCVC|5BEXP|6RCR|7DMG|8AART|9DUR|aCDMG
156	36643 31323	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|4RCVC|5BEXP|6RCR|7DMG|8AART|9DUR|aCDMG
157	32314 63332	   	185.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUST|9ERES|aZMB
158	36314 63332	   	185.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|3DMG|4RCR|6AART|7CDMG|8DUST|9ERES|aZMB
159	32644 31323	   	185.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|2BPWR|4RCVC|5DUST|6RCR|7DMG|8AART|9DUR|aCDMG
160	32314 42312	   	185.65	ACR|4VULN|2AART|1DMG	1257VULN|2BPWR|3DMG|4RCR|6FEWX|8aAART|9BEXP
161	36314 42312	   	185.65	ACR|4VULN|2AART|1DMG	1257VULN|3DMG|4RCR|6FEWX|8aAART|9BEXP
162	32312 45215	   	185.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	12aVULN|2BPWR|3DMG|4RCR|5LIT|6CDMG|7AART|8RPLT|9ZMB
163	32314 22316	   	185.33	ACR|4VULN|2DMG|1ZMB|1DUR	1257VULN|2BPWR|3aDMG|4RCR|6LHND|8ZMB|9DUR
164	32314 42216	   	185.33	ACR|4VULN|2DMG|1ZMB|1DUR	1257VULN|2BPWR|3aDMG|4RCR|6FEWX|8ZMB|9DUR
165	36314 22316	   	185.33	ACR|4VULN|2DMG|1ZMB|1DUR	1257VULN|3aDMG|4RCR|6LHND|8ZMB|9DUR
166	32314 13531	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	125aVULN|2BPWR|3DMG|4RCR|6MLV|7ZMB|8AART|9RPLT
167	36314 13531	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	125aVULN|3DMG|4RCR|6MLV|7ZMB|8AART|9RPLT
168	32118 43448	 * 	185.17	DCR|3VULN|2DMG|3CDMG|1ZMB	128VULN|28BPWR|3RPLT|4MBVNT|5ZMB|68aCDMG|78DMG|9RCR
