0	Index      	 *	Score 	Summary	Detail	
1	36323 33222	 * 	212.37	DCR|2AART|2DMG|2VULN|2CDMG|1ZMB|1DUR	17DMG|29AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|aDUR
27	36323 33243	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LSRICY|aMLV
28	36323 33244	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LSRICY|aRPLT
29	36323 33245	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LSRICY|aFEWX
30	36323 33246	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LSRICY|aLIT
31	36323 33261	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LHND|aRMIN
32	36323 33264	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4aCGEN|5ZMB|67VULN|7BPWR|8RCR|9LHND
33	36323 33213	   	193.88	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LWND|aDUST
34	36323 33233	   	193.88	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9BEXP|aDUST
35	36323 33263	   	193.88	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LHND|aDUST
36	35622 33314	   	192.92	ACR|3DMG|2VULN|3ZMB|1CDMG	126DMG|3MBVNT|467ZMB|5RCR|6BPWR|89VULN|aCDMG
37	35313 16116	 * 	192.89	DCR|3DMG|2VULN|3ASPD|2CDMG	128DMG|3MLV|48CDMG|568ASPD|7RCR|8BPWR|9aVULN
38	36622 41211	 * 	192.67	DCR|4VULN|2DMG|1AART	17DMG|2AART|3BELT|4ERES|579aVULN|67LHND|7BPWR|8RCR
39	32622 86324	   	192.40	ACR|2VULN|2DMG|3ZMB|1AART	17DMG|2aRCVC|3MBVNT|478ZMB|5RCR|67VULN|7BPWR|9AART
40	35622 22414	 * 	191.74	ACR|4VULN|3DMG|1ZMB	128DMG|3MBVNT|4ZMB|5RCR|68MLV|789aVULN|8BPWR
41	36323 33531	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNLIT|9RCR|aBEXP
42	36323 33533	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNLIT|9RCR|aMLV
43	36323 33534	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNLIT|9RCR|aRPLT
44	36323 33535	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNLIT|9RCR|aFEWX
45	36323 33536	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNLIT|9RCR|aLIT
46	36323 33631	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNSTR|9RCR|aBEXP
47	36323 33633	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNSTR|9RCR|aMLV
48	36323 33634	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNSTR|9RCR|aRPLT
49	36323 33635	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNSTR|9RCR|aFEWX
50	36323 33636	   	191.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNSTR|9RCR|aLIT
51	35622 22412	   	191.29	ACR|3VULN|3DMG|1CDMG|1ZMB	128DMG|3MBVNT|4ZMB|5RCR|68MLV|789VULN|8BPWR|aCDMG
52	32622 86322	   	191.22	ACR|2VULN|2DMG|3ZMB|1AART	17DMG|2RCVC|3MBVNT|478ZMB|5RCR|67VULN|7BPWR|9AART|aFEWX
53	32622 86323	   	191.22	ACR|2VULN|2DMG|3ZMB|1AART	17DMG|2RCVC|3MBVNT|478ZMB|5RCR|67VULN|7BPWR|9AART|aCGEN
54	36642 21211	   	190.90	DCR|3VULN|2DMG|1AART|2DUR	17DMG|2AART|3BELT|49aVULN|57DUR|67CGEN|7BPWR|8RCR
55	36125 23511	   	190.05	DCR|2AART|2DMG|2VULN|1FLTHEA|1ASPD	13DMG|27AART|46VULN|5ASPD|8FLTHEA|9CGEN|aRCR
56	36125 23521	   	190.05	DCR|2AART|2VULN|2DMG|1FLTHEA|1ASPD	13DMG|27AART|46VULN|5ASPD|8FLTHEA|9MLV|aRCR
57	36123 53332	   	189.82	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|2AART|48VULN|5LEGI|68CGEN|7RPLT|8BPWR|9RCR|aCDMG
58	36334 33125	   	189.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17DMG|2AART|37CDMG|4aVULN|5TLV|67MLV|7BPWR|8RCR|9DUR
59	36531 53332	   	189.72	DCR|3DMG|2VULN|1AART|1CDMG	158DMG|2AART|3RPLT|4CGEN|68VULN|78DUST|8BPWR|9RCR|aCDMG
60	36324 32142	   	189.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19DMG|2AART|39CDMG|4CGEN|57ERES|69VULN|8RCR|9BPWR|aDUR
61	32631 82824	   	189.49	DCR|3DMG|2VULN|1CDMG|2DUR|1ASPD	189DMG|2RCVC|3MBVNT|4ASPD|58DUR|68VULN|7RCR|8BPWR|aCDMG
62	33526 52332	   	189.32	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|2RPLT|3AART|4BEXP|58VULN|68CGEN|8BPWR|9RCR|aCDMG
63	33531 51352	   	189.32	DCR|3DMG|2VULN|1AART|1CDMG	158DMG|2RPLT|3AART|4CGEN|68VULN|78LHND|8BPWR|9RCR|aCDMG
64	35622 81222	   	189.19	ACR|3DMG|2VULN|2ASPD|1CDMG|1ZMB	12aDMG|3MBVNT|4ZMB|5RCR|6aVULN|7CDMG|8FEWX|9aASPD|aBPWR
65	33531 53332	   	189.12	DCR|3DMG|2VULN|1AART|1CDMG	158DMG|2RPLT|3AART|4CGEN|68VULN|78DUST|8BPWR|9RCR|aCDMG
66	36332 63621	   	188.77	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1DMG|29AART|3CDMG|48VULN|5FEWX|6RCR|7FLTHEA|aBEXP
67	36332 63623	   	188.77	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1DMG|29AART|3CDMG|48VULN|5FEWX|6RCR|7FLTHEA|aMLV
68	33236 52332	   	188.72	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|2RPLT|3FEWX|4AART|58VULN|68CGEN|8BPWR|9RCR|aCDMG
69	36332 63522	   	188.50	DCR|2AART|1VULN|1DMG|2CDMG|1FLTHEA|1ZMB	1DMG|29AART|3aCDMG|4VULN|5FEWX|6RCR|7FLTHEA|8ZMB
70	36332 63511	   	188.33	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1DMG|2AART|3CDMG|4aVULN|5FEWX|6RCR|7FLTHEA|8ZMB|9LIT
71	33434 22332	   	188.12	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|2RPLT|3CGEN|48FEWX|5AART|68VULN|8BPWR|9RCR|aCDMG
72	33424 22332	   	187.92	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|2RPLT|3CGEN|48DUST|5AART|68VULN|8BPWR|9RCR|aCDMG
73	33531 55331	   	187.90	DCR|3DMG|2VULN|1AART|2DUR	158DMG|2RPLT|3AART|4aCGEN|68VULN|78DUR|8BPWR|9RCR
74	33531 55333	   	187.90	DCR|3DMG|2VULN|1AART|2DUR	158DMG|2RPLT|3AART|4CGEN|68VULN|78DUR|8BPWR|9RCR|aFEWX
75	35211 21364	 * 	187.78	DCR|3DMG|2VULN|2CDMG|2ZMB	129DMG|3aZMB|49CDMG|5LHND|6TLV|7RCR|89VULN|9BPWR
76	36332 62315	   	187.58	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2AART|38CDMG|4aVULN|5FEWX|6RCR|78ERES|8BPWR|9BELT
77	36332 62334	   	187.58	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2AART|38CDMG|4aVULN|5FEWX|6RCR|78ERES|8BPWR|9LHND
78	35123 56232	   	187.32	DCR|3DMG|2VULN|1AART|2ZMB	127DMG|37VULN|47ZMB|5MBVNT|6LEGI|7BPWR|8AART|9RCR|aCGEN
79	35123 56233	   	187.32	DCR|3DMG|2VULN|1AART|2ZMB	127DMG|37VULN|47ZMB|5MBVNT|6LEGI|7BPWR|8AART|9RCR|aLWND
80	36331 33141	   	187.28	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5CGEN|679MLV|79BPWR|8RCR|aLWND
81	36331 33142	   	187.28	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5CGEN|679MLV|79BPWR|8RCR|aDMSP
82	36331 33145	   	187.28	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5CGEN|679MLV|79BPWR|8RCR|aBEXP
83	35632 22412	   	187.23	ACR|3VULN|3DMG|1CDMG|1ASPD	128DMG|3MBVNT|4ASPD|5RCR|68MLV|789VULN|8BPWR|aCDMG
84	36334 33141	   	187.18	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5TLV|679MLV|79BPWR|8RCR|aLWND
85	36334 33142	   	187.18	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5TLV|679MLV|79BPWR|8RCR|aDMSP
86	36331 33143	   	187.18	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5CGEN|679MLV|79BPWR|8RCR|aAIRHEA
87	36123 43332	   	187.17	DCR|3DMG|2VULN|1AART|1ZMB	138DMG|2AART|48VULN|5LEGI|68MLV|7RPLT|8BPWR|9RCR|aZMB
88	36123 53336	   	187.17	DCR|3DMG|2VULN|1AART|1ZMB	138DMG|2AART|48VULN|5LEGI|68CGEN|7RPLT|8BPWR|9RCR|aZMB
89	36334 33143	   	187.08	DCR|3DMG|1AART|3CDMG|1VULN	179DMG|2AART|379CDMG|4VULN|5TLV|679MLV|79BPWR|8RCR|aAIRHEA
90	36123 33332	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	138DMG|2AART|48VULN|5LEGI|68ERES|7RPLT|8BPWR|9RCR|aZMB
91	35313 51361	   	186.90	DCR|3DMG|2VULN|2CDMG|1DUR|1ASPD	129DMG|3MLV|49CDMG|5ASPD|6DUR|7RCR|89VULN|9BPWR|aRPLT
92	35313 51362	   	186.90	DCR|3DMG|2VULN|2CDMG|1DUR|1ASPD	129DMG|3MLV|49CDMG|5ASPD|6DUR|7RCR|89VULN|9BPWR|aRMIN
93	35132 65112	   	186.86	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	127DMG|39VULN|4ASPD|5ZMB|6RCR|8LWND|aCDMG
94	32621 82824	   	186.84	DCR|3VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|2RCVC|3MBVNT|4ZMB|58DUR|68aVULN|7RCR|8BPWR|9ASPD
95	31413 51361	   	186.80	DCR|3DMG|2VULN|2CDMG|1DUR|1ASPD	139DMG|23ERES|39BPWR|49CDMG|5ASPD|6DUR|7RCR|89VULN|aRPLT
96	31413 51362	   	186.80	DCR|3DMG|2VULN|2CDMG|1DUR|1ASPD	139DMG|23ERES|39BPWR|49CDMG|5ASPD|6DUR|7RCR|89VULN|aRMIN
97	35313 51363	   	186.80	DCR|3DMG|2VULN|2CDMG|1DUR|1ASPD	129DMG|3MLV|49CDMG|5ASPD|6DUR|7RCR|89VULN|9BPWR|aLEGI
98	31413 51363	   	186.70	DCR|3DMG|2VULN|2CDMG|1ASPD|1DUR	139DMG|23ERES|39BPWR|49CDMG|5ASPD|6DUR|7RCR|89VULN|aLEGI
99	33531 53336	   	186.47	DCR|3DMG|2VULN|1AART|1ZMB	158DMG|2RPLT|3AART|4CGEN|68VULN|78DUST|8BPWR|9RCR|aZMB
100	35632 38313	 * 	186.40	ACR|3VULN|3DMG|3ASPD	126DMG|3MBVNT|467ASPD|5RCR|6BPWR|89aVULN
101	33541 53332	   	186.37	DCR|3DMG|2VULN|1AART|1ZMB	158DMG|2RPLT|3AART|4ERES|68VULN|78DUST|8BPWR|9RCR|aZMB
102	35622 33412	   	186.21	ACR|3DMG|2VULN|3ZMB|1DUR	126DMG|3MBVNT|467ZMB|5RCR|6BPWR|8DUR|9aVULN
103	33231 26332	   	186.17	DCR|3DMG|2VULN|1AART|1ZMB	158DMG|2RPLT|35FEWX|4AART|58BPWR|68MLV|78VULN|9RCR|aZMB
104	33236 52336	   	186.07	DCR|3DMG|2VULN|1AART|1ZMB	178DMG|2RPLT|3FEWX|4AART|58VULN|68CGEN|8BPWR|9RCR|aZMB
105	33231 62332	   	185.97	DCR|3DMG|2VULN|1AART|1ZMB	158DMG|2RPLT|35FEWX|4AART|58BPWR|68VULN|78ERES|9RCR|aZMB
106	33334 16362	   	185.72	DCR|3DMG|2VULN|1AART|1CDMG	189DMG|2RPLT|3CDMG|479LIT|5AART|69VULN|9BPWR|aRCR
107	35225 36332	   	185.67	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	12DMG|3ZMB|4CGEN|5FLTHEA|6AART|7VULN|8CDMG|9RCR|aASPD
108	36622 41213	   	185.51	DCR|3VULN|2DMG|1AART|1ASPD	17DMG|2AART|3BELT|4ERES|579VULN|67LHND|7BPWR|8RCR|aASPD
109	33434 22336	   	185.47	DCR|3DMG|2VULN|1AART|1ZMB	178DMG|2RPLT|3CGEN|48FEWX|5AART|68VULN|8BPWR|9RCR|aZMB
110	36126 13211	   	185.31	DCR|3VULN|2DMG|1AART|1DUR	13DMG|2AART|49aVULN|5BELT|6DUR|7TLV|8RCR
111	33214 22332	   	185.27	DCR|3DMG|2VULN|1AART|1ZMB	178DMG|2RPLT|3FEWX|48TLV|5AART|68VULN|8BPWR|9RCR|aZMB
112	33424 22336	   	185.27	DCR|3DMG|2VULN|1AART|1ZMB	178DMG|2RPLT|3CGEN|48DUST|5AART|68VULN|8BPWR|9RCR|aZMB
113	32123 52881	 * 	185.07	DCR|3VULN|2DMG|2ZMB|1FLTHEA	18DMG|2RCVC|38aVULN|48ZMB|5MBVNT|6LEGI|7RCR|8BPWR|9FLTHEA
114	35632 32254	   	184.90	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG	126DMG|3MBVNT|46ASPD|5RCR|6BPWR|7LWND|8AART|9CDMG|aVULN
115	35622 33348	   	184.89	ACR|3DMG|3ZMB|1AART|1VULN	126DMG|3MBVNT|467ZMB|5RCR|6BPWR|8VULN|9LIT|aAART
116	35632 22413	   	184.58	ACR|3VULN|3DMG|1ZMB|1ASPD	128DMG|3MBVNT|4ASPD|5RCR|68MLV|789VULN|8BPWR|aZMB
117	35632 22274	 * 	184.50	ACR|3DMG|2VULN|2CDMG|2ASPD	129DMG|3MBVNT|49ASPD|5RCR|6MLV|7aVULN|89CDMG|9BPWR
118	33334 21353	   	184.33	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	18DMG|2RPLT|3CDMG|4LIT|57AART|6RCR|9ZMB|aVULN
119	35632 34345	   	184.30	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG	126DMG|3MBVNT|46ASPD|5RCR|6BPWR|7MLV|8CDMG|9AART|aVULN
120	32622 81522	   	184.18	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	1aDMG|2RCVC|3MBVNT|4ZMB|5RCR|6aVULN|7CDMG|8DUR|9aASPD|aBPWR
121	35211 61361	   	184.03	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5LHND|6CGEN|7RCR|89VULN|9BPWR|aRPLT
122	35211 61362	   	184.03	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5LHND|6CGEN|7RCR|89VULN|9BPWR|aRMIN
123	35211 61363	   	184.03	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5LHND|6CGEN|7RCR|89VULN|9BPWR|aDMSP
124	36331 15313	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2AART|3CDMG|48VULN|5CGEN|6DUST|78DUR|8BPWR|9FEWX|aRCR
125	36331 15323	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2AART|3CDMG|48VULN|5CGEN|6DUST|78DUR|8BPWR|9LHND|aRCR
126	36331 15361	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2AART|3CDMG|48VULN|5CGEN|6DUST|78DUR|8BPWR|9RMIN|aRCR
127	35211 21361	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5LHND|6TLV|7RCR|89VULN|9BPWR|aRPLT
128	35211 21362	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5LHND|6TLV|7RCR|89VULN|9BPWR|aRMIN
129	35211 21363	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5LHND|6TLV|7RCR|89VULN|9BPWR|aDMSP
130	35211 21366	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5aLHND|6TLV|7RCR|89VULN|9BPWR
131	35216 21361	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5ERES|6FEWX|7RCR|89VULN|9BPWR|aRPLT
132	35216 21362	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5ERES|6FEWX|7RCR|89VULN|9BPWR|aRMIN
133	36331 15341	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2AART|3CDMG|48VULN|5CGEN|6DUST|78DUR|8BPWR|9NUKE|aRCR
134	36334 15313	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2AART|3CDMG|48VULN|5TLV|6DUST|78DUR|8BPWR|9FEWX|aRCR
135	36334 15323	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2AART|3CDMG|48VULN|5TLV|6DUST|78DUR|8BPWR|9LHND|aRCR
136	35216 21363	   	183.83	DCR|3DMG|2VULN|2CDMG|1ZMB	129DMG|3ZMB|49CDMG|5ERES|6FEWX|7RCR|89VULN|9BPWR|aLEGI
137	32621 82842	 * 	183.72	DCR|3VULN|2DMG|3DUR|1ZMB	18DMG|2RCVC|3MBVNT|4ZMB|589DUR|68aVULN|7RCR|8BPWR
138	36332 63632	   	183.64	DCR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1DMG|2AART|3aCDMG|48VULN|5FEWX|6RCR|7FLTHEA|9CGEN
139	33516 31423	   	183.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2RPLT|3AART|4LWND|57VULN|67DUR|7BPWR|8CDMG|9CGEN|aRCR
140	36125 23222	   	183.34	DCR|2AART|2VULN|2DMG|1ASPD|1DUR	13DMG|27AART|46VULN|5ASPD|8DUR|9CGEN|aRCR
141	32622 32345	   	183.18	ACR|3DMG|2VULN|3ZMB	16aDMG|2RCVC|3MBVNT|468ZMB|5RCR|6aBPWR|7aBEXP|9aVULN
142	36634 82231	   	183.17	DCR|3VULN|2DMG|1AART	19DMG|2AART|3BELT|4MBVNT|5RMIN|6RCR|78aVULN
143	32123 52884	   	183.07	DCR|2VULN|2DMG|2ZMB|1CDMG|1FLTHEA	18DMG|2RCVC|38VULN|48ZMB|5MBVNT|6LEGI|7RCR|8BPWR|9FLTHEA|aCDMG
144	32622 86142	   	182.98	ACR|3DMG|2VULN|3ZMB	17aDMG|2RCVC|3MBVNT|479ZMB|5RCR|67VULN|7BPWR|8ERES
145	36334 33115	   	182.88	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|2AART|37CDMG|4aVULN|5TLV|67MLV|7BPWR|8RCR|9LWND
146	36324 32141	   	182.78	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2AART|39CDMG|4CGEN|57ERES|69VULN|8RCR|9BPWR|aLIT
147	36324 32143	   	182.68	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2AART|39CDMG|4CGEN|57ERES|69VULN|8RCR|9BPWR|aDUST
148	35622 84232	   	182.58	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	12aDMG|3MBVNT|4ZMB|5RCR|6aVULN|7ASPD|8CDMG|9aLHND|aBPWR
149	35143 33531	   	182.57	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA|1SELL	12DMG|39VULN|4SELL|5DUST|6AART|7FLTHEA|8CDMG|aRCR
150	32622 86314	   	182.55	ACR|2VULN|2DMG|3ZMB|1CDMG	17DMG|29RCVC|3MBVNT|478ZMB|5RCR|67VULN|7BPWR|aCDMG
151	35622 84212	   	182.38	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	12aDMG|3MBVNT|4ZMB|5RCR|6aVULN|7ASPD|8CDMG|9aDUST|aBPWR
152	35622 84412	   	182.38	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	128DMG|3MBVNT|4ZMB|5RCR|69VULN|7ASPD|aCDMG
