0	Index      	 *	Score 	Summary	Detail	
1	63132 62133	 * 	211.78	DCR|3VULN|3DMG|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67aVULN|7BPWR|9RCR
33	63135 12114	   	191.81	DCR|3DMG|2VULN|1AART|1ZMB|1ASPD	147DMG|2AART|3ASPD|57CGEN|67VULN|7BPWR|8MLV|9ZMB|aRCR
34	63232 64331	   	191.71	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	148DMG|2AART|34VULN|4BPWR|5RCVC|6LWND|7DUR|9ZMB|aRCR
35	63133 32426	   	191.70	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2DUR|1ASPD	14DMG|2AART|3ASPD|56DUR|7FLTHEA|8RCR|9VULN|aCDMG
36	63233 24431	   	191.61	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	148DMG|2AART|34VULN|4BPWR|5CGEN|6ERES|7DUR|9ZMB|aRCR
37	63231 64331	   	191.51	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	148DMG|2AART|34VULN|4BPWR|5ERES|6TLV|7DUR|9ZMB|aRCR
38	43233 13512	 * 	190.54	DCR|5VULN|2AART|1CDMG	14CGEN|28AART|3456aVULN|4BPWR|7CDMG|9RCR
39	63135 12633	   	190.15	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	147DMG|2AART|3ASPD|57CGEN|67VULN|7BPWR|8DUR|9RCR|aBELT
40	63211 63234	 * 	190.00	DCR|2AART|2DMG|2VULN|1ZMB|1DUR	17DMG|26AART|37VULN|47LHND|5RPLT|7BPWR|8DUR|9RCR|aZMB
41	63235 22353	   	189.82	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|2AART|345VULN|4BPWR|6CDMG|7CGEN|8RMIN|9RCR|aFEWX
42	63135 12531	   	189.72	DCR|3DMG|2VULN|1AART|2ASPD	147DMG|2AART|3aASPD|57CGEN|67VULN|7BPWR|8DUST|9RCR
43	63235 22351	   	189.72	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|2AART|345VULN|4BPWR|6CDMG|7CGEN|8RMIN|9RCR|aTLV
44	63236 22231	   	189.52	DCR|3VULN|3DMG|1AART	149DMG|2AART|349VULN|49BPWR|5LWND|6NUKE|7MLV|89CGEN|aRCR
45	63231 16631	   	189.22	DCR|3VULN|3DMG|1AART	148DMG|2AART|347VULN|4BPWR|5ERES|6RPLT|9DUST|aRCR
46	21146 11325	 * 	189.17	DCR|4VULN|3DMG|1CDMG	18LWND|2478VULN|3DUST|5CDMG|689DMG|8BPWR|aRCR
47	31146 11325	   	189.17	DCR|4VULN|3DMG|1CDMG	18FEWX|2478VULN|3DUST|5CDMG|689DMG|8BPWR|aRCR
48	63133 32424	   	189.05	DCR|2DMG|1AART|1VULN|1FLTHEA|2DUR|1ZMB|1ASPD	14DMG|2AART|3ASPD|56DUR|7FLTHEA|8RCR|9VULN|aZMB
49	63326 41232	 * 	188.43	ACR|2AART|2VULN|2DMG|2ASPD	1aDMG|27AART|34BEXP|5RCR|6aVULN|8BELT|9aASPD|aBPWR
50	63336 41232	   	188.43	ACR|2AART|2VULN|2DMG|2ASPD	1aDMG|27AART|3BEXP|4RCVC|5RCR|6aVULN|8BELT|9aASPD|aBPWR
51	63211 23165	   	188.07	DCR|4VULN|2DMG|1AART	17DMG|2AART|3679VULN|4678LHND|5RPLT|67BPWR|aRCR
52	63211 33165	   	187.97	DCR|4VULN|2DMG|1AART	17DMG|2AART|3679VULN|478LHND|5RPLT|7BPWR|aRCR
53	63235 11132	   	187.87	DCR|4VULN|2DMG|1AART	14DMG|2AART|3456VULN|4BPWR|7RCVC|8CGEN|9LIT|aRCR
54	63235 51232	   	187.87	DCR|4VULN|2DMG|1AART	14DMG|2AART|3458VULN|4BPWR|67CGEN|9LIT|aRCR
55	63215 23631	   	187.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|37VULN|4LHND|5CDMG|67FEWX|7BPWR|8RCR|9ZMB|aRPLT
56	63215 23633	   	187.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|37VULN|4LHND|5CDMG|67FEWX|7BPWR|8RCR|9ZMB|aBEXP
57	63225 23631	   	187.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|37VULN|4BEXP|5CDMG|67FEWX|7BPWR|8RCR|9ZMB|aRPLT
58	63225 23633	   	187.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|37VULN|4aBEXP|5CDMG|67FEWX|7BPWR|8RCR|9ZMB
59	63132 62234	   	187.42	DCR|3DMG|2VULN|1AART|2ASPD	147DMG|2AART|37ASPD|5RCVC|67VULN|7BPWR|8CGEN|9FEWX|aRCR
60	63235 26232	   	187.42	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|2AART|345VULN|4BPWR|6CDMG|78BEXP|9BELT|aRCR
61	63232 22636	   	187.42	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|2AART|349VULN|4BPWR|5RCVC|6CDMG|7CGEN|8LIT|aRCR
62	63211 23334	   	187.37	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|2AART|367VULN|467LHND|5RPLT|67BPWR|8FEWX|9RCR|aZMB
63	63211 23434	   	187.27	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|2AART|367VULN|467LHND|5RPLT|67BPWR|8DUST|9RCR|aZMB
64	63211 33334	   	187.27	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|2AART|367VULN|47LHND|5RPLT|7BPWR|8FEWX|9RCR|aZMB
65	63211 33434	   	187.17	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|2AART|367VULN|47LHND|5RPLT|7BPWR|8DUST|9RCR|aZMB
66	63215 33331	   	186.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8CGEN|9RCR|aRPLT
67	63215 33336	   	186.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8CGEN|9RCR|aBEXP
68	63132 32426	   	186.40	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR|1ASPD	14DMG|2AART|3ASPD|5RCVC|6DUR|7FLTHEA|8RCR|9VULN|aCDMG
69	63215 33333	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8CGEN|9RCR|aDUST
70	63215 33334	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8CGEN|9RCR|aTLV
71	63131 32432	   	186.01	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	148DMG|2AART|3ASPD|5VULN|6DUR|7CGEN|9RCR|aCDMG
72	65512 31333	   	185.97	DCR|3VULN|3DMG|2ZMB	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7MLV|89ZMB|aERES
73	63131 24332	   	185.91	DCR|3DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	148DMG|2AART|3ASPD|5VULN|6ERES|7DUR|9RCR|aCDMG
74	63131 64332	   	185.91	DCR|3DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	148DMG|2AART|3ASPD|5VULN|6TLV|7DUR|9RCR|aCDMG
75	65512 33333	   	185.87	DCR|3VULN|3DMG|2ZMB	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7TLV|89ZMB|aERES
76	63232 26252	   	185.61	DCR|2AART|2VULN|2DMG|1CDMG	14DMG|2aAART|34VULN|4BPWR|5RCVC|6CDMG|78BEXP|9RCR
77	63232 22354	   	185.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|2AART|34VULN|4BPWR|5RCVC|6CDMG|7CGEN|8RMIN|9RCR|aZMB
78	63231 11365	 * 	185.11	DCR|3VULN|2AART|2DMG	14DMG|28AART|349VULN|4BPWR|5ERES|6RPLT|7CGEN|aRCR
79	63133 36315	   	184.86	DCR|2AART|2DMG|1VULN|2ASPD|2DUR	14DMG|28AART|39ASPD|56DUR|7RCR|aVULN
80	65511 31333	   	184.67	DCR|3VULN|3DMG|2ASPD	149DMG|249VULN|3BELT|49BPWR|5LWND|6RCR|7MLV|89ASPD|aERES
81	65512 31233	   	184.67	DCR|3VULN|3DMG|2ASPD	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7MLV|89ASPD|aERES
82	65512 33233	   	184.57	DCR|3VULN|3DMG|2ASPD	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7TLV|89ASPD|aERES
83	63232 23661	 * 	184.12	DCR|2VULN|2DMG|1AART|3CDMG	14DMG|2AART|34VULN|4BPWR|5RCVC|679CDMG|8RPLT|aRCR
84	63235 23152	 * 	184.03	DCR|3VULN|2AART|2DMG|2CDMG|1MSE	14DMG|2aAART|345VULN|4BPWR|67CDMG|8MSE|9RCR
85	65522 31331	   	183.97	DCR|3VULN|2DMG|2ZMB|1CDMG	19DMG|249VULN|3BELT|5BEXP|6RCR|7MLV|89ZMB|9BPWR|aCDMG
86	65522 33331	   	183.87	DCR|3VULN|2DMG|2ZMB|1CDMG	19DMG|249VULN|3BELT|5BEXP|6RCR|7TLV|89ZMB|9BPWR|aCDMG
87	63221 14334	   	183.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|2AART|37VULN|48BEXP|5RPLT|68DUR|8BPWR|9RCR|aZMB
88	63221 35334	   	183.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|2AART|36VULN|48BEXP|5RPLT|78DUR|8BPWR|9RCR|aZMB
89	63132 32424	   	183.76	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR|1ASPD	14DMG|2AART|3ASPD|5RCVC|6DUR|7FLTHEA|8RCR|9VULN|aZMB
90	43233 12365	   	183.74	DCR|5VULN|1AART|1CDMG|1DUR	147CGEN|2AART|34567VULN|47BPWR|8DUR|9CDMG|aRCR
91	34232 23532	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	14FEWX|2RCR|39DMG|5DUR|68VULN|7ZMB|aAART
92	34234 33532	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	14FEWX|2RCR|39DMG|5ZMB|68VULN|7DUR|aAART
93	63111 51613	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19DMG|2AART|3ASPD|4CDMG|5LHND|6aVULN|7CGEN|8RCR
94	63113 51613	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19DMG|2AART|3ASPD|4CDMG|5FEWX|6aVULN|7CGEN|8RCR
95	63215 31613	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2AART|3aVULN|47LHND|5CDMG|6DUR|8RCR
96	63211 23232	   	183.31	DCR|3VULN|2DMG|1AART|1DUR	17DMG|2AART|367VULN|467LHND|5RPLT|67BPWR|8DUR|9RCR|aLWND
97	63211 23233	   	183.31	DCR|3VULN|2DMG|1AART|1DUR	17DMG|2AART|367VULN|467LHND|5RPLT|67BPWR|8DUR|9RCR|aRCVC
98	63112 52613	   	183.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19DMG|2AART|3ASPD|4CDMG|5ERES|6aVULN|7FEWX|8RCR
99	63211 33232	   	183.21	DCR|3VULN|2DMG|1AART|1DUR	17DMG|2AART|367VULN|47LHND|5RPLT|7BPWR|8DUR|9RCR|aLWND
100	63211 33233	   	183.21	DCR|3VULN|2DMG|1AART|1DUR	17DMG|2AART|367VULN|47LHND|5RPLT|7BPWR|8DUR|9RCR|aRCVC
101	63211 23236	   	183.21	DCR|3VULN|2DMG|1AART|1DUR	17DMG|2AART|367VULN|467LHND|5RPLT|67BPWR|8DUR|9RCR|aDUST
102	65511 33311	   	183.12	DCR|4VULN|2DMG|1CDMG	14DMG|2489VULN|3BELT|4BPWR|5LWND|6RCR|7BEXP|aCDMG
103	65512 32311	   	183.12	DCR|4VULN|2DMG|1CDMG	14DMG|2489VULN|3BELT|4BPWR|5BEXP|6RCR|7LHND|aCDMG
104	63135 12533	   	183.11	DCR|3DMG|2VULN|1AART|1ASPD	147DMG|2AART|3ASPD|57CGEN|67VULN|7BPWR|8DUST|9RCR|aBELT
105	63235 33251	   	183.11	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|2AART|345VULN|4BPWR|6LIT|7ASPD|8CGEN|9RCR|aBEXP
106	63235 33253	   	183.11	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|2AART|345VULN|4BPWR|6LIT|7ASPD|8CGEN|9RCR|aFEWX
107	63211 33236	   	183.11	DCR|3VULN|2DMG|1AART|1DUR	17DMG|2AART|367VULN|47LHND|5RPLT|7BPWR|8DUR|9RCR|aDUST
108	63211 63334	   	183.06	DCR|2AART|2DMG|2VULN|1ZMB	17DMG|26AART|37VULN|47LHND|5RPLT|7BPWR|8FEWX|9RCR|aZMB
109	43234 23352	   	183.06	DCR|3VULN|2DMG|1AART|1DUR|1SELL	147CGEN|2AART|347VULN|47BPWR|5SELL|67DMG|8MLV|9RCR|aDUR
110	65511 32311	   	183.02	DCR|4VULN|2DMG|1CDMG	14DMG|2489VULN|3BELT|4BPWR|5LWND|6RCR|7LEGI|aCDMG
111	63231 12126	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	14aDMG|2AART|34VULN|4BPWR|5ERES|6RPLT|7LWND|8DUR|9RCR
112	63231 13126	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	14aDMG|2AART|34VULN|4BPWR|5ERES|6RPLT|7FEWX|8DUR|9RCR
113	63235 33252	   	183.01	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|2AART|345VULN|4BPWR|6LIT|7ASPD|8CGEN|9RCR|aERES
114	63236 22331	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	148DMG|2AART|34VULN|4BPWR|5LWND|6NUKE|7MLV|9RCR|aASPD
115	63236 22332	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	148DMG|2AART|34VULN|4BPWR|5LWND|6NUKE|7MLV|9RCR|aDUR
116	63341 34333	   	183.01	DCR|3VULN|2DMG|1AART|1DUR	18DMG|2AART|3BEXP|48DUST|5RPLT|678VULN|8BPWR|9RCR|aDUR
117	63236 23331	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	148DMG|2AART|34VULN|4BPWR|5LWND|6NUKE|7TLV|9RCR|aASPD
118	63236 23332	   	182.91	DCR|3DMG|2VULN|1AART|1DUR	148DMG|2AART|34VULN|4BPWR|5LWND|6NUKE|7TLV|9RCR|aDUR
119	63236 26331	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	148DMG|2AART|34VULN|4BPWR|5LWND|6NUKE|7ERES|9RCR|aASPD
120	63236 26332	   	182.91	DCR|3DMG|2VULN|1AART|1DUR	148DMG|2AART|34VULN|4BPWR|5LWND|6NUKE|7ERES|9RCR|aDUR
121	63215 23336	   	182.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|37VULN|4LHND|5CDMG|67FEWX|7BPWR|8BEXP|9ZMB|aRCR
122	63225 23136	   	182.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|37VULN|4BEXP|5CDMG|67FEWX|7BPWR|8LHND|9ZMB|aRCR
123	63231 31166	   	182.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|2AART|34VULN|4BPWR|5ERES|6RCVC|7CGEN|8ZMB|9CDMG|aRCR
124	63233 21166	   	182.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|2AART|34VULN|4BPWR|57CGEN|6ERES|8ZMB|9CDMG|aRCR
125	63233 23166	   	182.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|2AART|34VULN|4BPWR|5CGEN|6ERES|7RCVC|8ZMB|9CDMG|aRCR
126	65521 31331	   	182.66	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|249VULN|3BELT|5LWND|6RCR|7MLV|89ASPD|9BPWR|aCDMG
127	65522 31231	   	182.66	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|249VULN|3BELT|5BEXP|6RCR|7MLV|89ASPD|9BPWR|aCDMG
128	26423 11513	   	182.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|2DMSP|3CDMG|4RCR|5DUR|69DMG|7aVULN|8AART
129	63231 21166	   	182.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|2AART|34VULN|4BPWR|56ERES|7CGEN|8ZMB|9CDMG|aRCR
130	65522 33231	   	182.56	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|249VULN|3BELT|5BEXP|6RCR|7TLV|89ASPD|9BPWR|aCDMG
131	42423 11513	   	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2ERES|3CDMG|4RCR|5DUR|69DMG|7aVULN|8AART
132	63133 36343	 * 	182.52	DCR|3AART|2DMG|1VULN|2DUR|1ASPD	14DMG|289AART|3ASPD|56DUR|7RCR|aVULN
133	63133 36216	   	182.45	DCR|3DMG|1AART|1VULN|2DUR|1ASPD	149DMG|2AART|3ASPD|56DUR|7RCR|8RPLT|aVULN
134	24222 23562	 * 	182.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	14LWND|2RCR|3DMG|5DUR|68aVULN|7ZMB|9AART
