0	Index      	 *	Score 	Summary	Detail	
1	21215 21153	 * 	199.50	DCR|5VULN|2DMG|1AART	1LWND|2456aVULN|36DMG|6BPWR|7RCVC|8AART|9RCR
100	45361 31132	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|7MBVNT|89VULN|aLEGI
101	15331 33535	   	180.39	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	18DUST|2DMG|3AART|49RCVC|58CDMG|6RCR|78VULN|8BPWR|aZMB
102	45361 33321	   	180.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1FEWX|24DMG|3AART|5aCDMG|6RCR|7VULN|8LWND|9ZMB
103	15361 31132	   	180.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|7MBVNT|89VULN|aLEGI
104	15361 31611	   	180.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|7MBVNT|8AIRHEA|9aVULN
105	15361 33152	   	180.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9MBVNT|aLEGI
106	15361 33321	   	180.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1DUST|24DMG|3AART|5aCDMG|6RCR|7VULN|8LWND|9ZMB
107	15361 35121	   	180.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1DUST|24DMG|3AART|5aCDMG|6RCR|7LHND|8VULN|9ZMB
108	25126 32521	   	180.12	DCR|3VULN|2DMG|1CDMG|1ZMB	18LWND|28DMG|3RCVC|4ZMB|5MLV|6RCR|78aVULN|8BPWR|9CDMG
109	25122 32161	 * 	180.02	DCR|3VULN|2DMG|2ASPD|1ZMB	1aLWND|2aDMG|3RCVC|4ZMB|58ASPD|6RCR|79aVULN|aBPWR
110	25222 32161	   	180.02	DCR|3VULN|2DMG|2ASPD|1ZMB	13aLWND|2aDMG|4ZMB|58ASPD|6RCR|79aVULN|aBPWR
111	25122 32631	   	180.02	DCR|3VULN|2DMG|2ASPD|1ZMB	1aLWND|2aDMG|3RCVC|4ZMB|59ASPD|6RCR|78aVULN|aBPWR
112	25123 32521	   	180.02	DCR|3VULN|2DMG|1CDMG|1ZMB	18LWND|28DMG|3RCVC|4ZMB|5ERES|6RCR|78aVULN|8BPWR|9CDMG
113	25222 32631	   	180.02	DCR|3VULN|2DMG|2ASPD|1ZMB	13aLWND|2aDMG|4ZMB|59ASPD|6RCR|78aVULN|aBPWR
114	25223 32553	   	180.02	DCR|3VULN|2DMG|1CDMG|1ZMB	138LWND|28DMG|4ZMB|5ERES|6RCR|789VULN|8BPWR|aCDMG
115	61171 37212	 * 	179.92	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD|1SELL	1SELL|2FLTHEA|3MBVNT|4ASPD|569VULN|7RCR|8AART|aDMG
116	21215 44122	   	179.52	DCR|4VULN|1AART|1DMG|1ASPD	1LWND|2459VULN|3DMG|6BEXP|7RCR|8ASPD|aAART
117	45331 33115	   	178.73	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|2DMG|3AART|4RCVC|5CDMG|6RCR|78aVULN|9LIT
118	45331 33225	   	178.73	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|2DMG|3AART|4RCVC|5CDMG|6RCR|79aVULN|8LIT
119	21214 22321	   	178.71	DCR|3DMG|2VULN|1AART|1DUR	1LWND|24VULN|389DMG|5AART|6DUST|7DUR|aRCR
120	55214 22321	   	178.71	DCR|3DMG|2VULN|1AART|1DUR	14VULN|289DMG|3LWND|5AART|6DUST|7DUR|aRCR
121	15331 33115	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCVC|5CDMG|6RCR|78aVULN|9LIT
122	15331 33225	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCVC|5CDMG|6RCR|79aVULN|8LIT
123	15361 31721	   	178.53	DCR|3DMG|1AART|1VULN|1CDMG	1DUST|248DMG|3AART|5CDMG|6RCR|7MBVNT|9LWND|aVULN
124	15361 31731	   	178.53	DCR|3DMG|1AART|1VULN|1CDMG	1DUST|248DMG|3AART|5CDMG|6RCR|7MBVNT|9LHND|aVULN
125	15363 33413	 * 	177.84	DCR|3DMG|1AART|1VULN|3ASPD	18DUST|246DMG|3AART|568ASPD|68BPWR|78FEWX|9RCR|aVULN
126	25123 32533	 * 	177.77	DCR|2VULN|2DMG|1AART|2ZMB	18LWND|28DMG|3RCVC|49ZMB|5ERES|6RCR|78VULN|8BPWR|aAART
127	11453 33114	   	177.52	DCR|4VULN|1AART|2CDMG|1DUR	1DUST|246aVULN|36CDMG|5DLOT|6BPWR|7DUR|8RCR|9AART
128	52212 24522	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	148VULN|2LHND|38DMG|58TLV|6RMIN|7RCR|8BPWR|9CDMG|aZMB
129	11215 14622	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	1DUST|248VULN|36DMG|5LWND|7RCR|9CDMG|aZMB
130	21216 14622	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|248VULN|36DMG|5DUST|7RCR|9CDMG|aZMB
131	22416 22341	   	177.39	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1LWND|2FEWX|3aCDMG|4DMG|59VULN|6RCR|7ZMB|8AART
132	22416 22361	   	177.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1LWND|2FEWX|3aCDMG|49DMG|5VULN|6RCR|7ZMB|8AART
133	11313 55621	 * 	177.34	ACR|4VULN|1AART|1DMG|1DUR	1DUST|2479VULN|3ERES|5RCR|6DUR|8DMG|aAART
134	11414 22341	   	177.29	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1DUST|29VULN|3aCDMG|4DMG|5LWND|6RCR|7ZMB|8AART
135	11414 22361	   	177.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1DUST|2VULN|3aCDMG|49DMG|5LWND|6RCR|7ZMB|8AART
136	11416 22341	   	177.29	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1DUST|29VULN|3aCDMG|4DMG|5LHND|6RCR|7ZMB|8AART
137	11416 22361	   	177.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1DUST|2VULN|3aCDMG|49DMG|5LHND|6RCR|7ZMB|8AART
138	61511 61321	 * 	177.10	ACR|3VULN|1AART|1DMG|1FLTHEA|1SELL	1SELL|2FLTHEA|3RCR|49aVULN|5LHND|6AART|7DMG|8LWND
139	15342 41322	   	176.97	DCR|2VULN|2DMG|1AART|2ZMB	1DUST|29DMG|3AART|46ZMB|5aVULN|7MLV|8RCR
140	15361 31116	   	176.75	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|7MBVNT|8VULN|9DUR|aASPD
141	15361 31481	 * 	176.43	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1DUST|24DMG|3AART|5CDMG|6RCR|7MBVNT|8TLV|9FLTHEA|aVULN
142	15361 33351	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUST|24DMG|3AART|59CDMG|6RCR|7VULN|8LWND|aDUR
143	15361 33421	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUST|24DMG|3AART|59CDMG|6RCR|7VULN|8BEXP|aDUR
144	15361 36121	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUST|24DMG|3AART|59CDMG|6RCR|7FEWX|8VULN|aDUR
145	15331 33551	   	176.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	18DUST|2DMG|3AART|4RCVC|58CDMG|6RCR|78VULN|8BPWR|9MBVNT|aDUR
146	45361 31121	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1FEWX|24DMG|3AART|59CDMG|6RCR|7MBVNT|8VULN|aDUR
147	22232 62254	   	176.17	DCR|3DMG|2VULN|1AART	1LWND|24FEWX|348DMG|4BPWR|59VULN|6RPLT|7RCR|aAART
148	15361 31121	   	176.13	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUST|24DMG|3AART|59CDMG|6RCR|7MBVNT|8VULN|aDUR
149	41215 14322	   	176.07	DCR|3VULN|2DMG|1AART	1FEWX|249VULN|36DMG|5LWND|7RCR|8RMIN|aAART
150	11215 14322	   	175.97	DCR|3VULN|2DMG|1AART	1DUST|249VULN|36DMG|5LWND|7RCR|8RMIN|aAART
151	11215 14422	   	175.97	DCR|3DMG|2VULN|1AART	1DUST|24VULN|369DMG|5LWND|7RCR|8FEWX|aAART
152	11216 14321	   	175.97	DCR|3VULN|2DMG|1AART	1DUST|249VULN|36DMG|5FEWX|7RCR|8RMIN|aAART
153	21216 14322	   	175.97	DCR|3VULN|2DMG|1AART	1LWND|249VULN|36DMG|5DUST|7RCR|8RMIN|aAART
154	21216 14422	   	175.97	DCR|3DMG|2VULN|1AART	1LWND|24VULN|369DMG|5DUST|7RCR|8FEWX|aAART
155	41215 14223	   	175.97	DCR|3VULN|2DMG|1AART	1FEWX|249VULN|36DMG|5LWND|7RCR|8TLV|aAART
156	52212 24513	   	175.97	DCR|3VULN|2DMG|1AART	148VULN|2LHND|38DMG|58TLV|6RMIN|7RCR|8BPWR|9MBVNT|aAART
157	52216 14322	   	175.97	DCR|3VULN|2DMG|1AART	149VULN|2LHND|36DMG|5DUST|7RCR|8RMIN|aAART
158	41225 52323	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1FEWX|26VULN|39DMG|4ZMB|5DUR|7MLV|8RCR|aAART
159	54315 12323	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14VULN|2ZMB|3DUR|5LWND|69DMG|7MLV|8RCR|aAART
160	54316 12323	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14VULN|2ZMB|3DUR|5FEWX|69DMG|7MLV|8RCR|aAART
161	55323 32323	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|29DMG|3DUR|4ZMB|6FEWX|7MLV|8RCR|aAART
162	11215 14223	   	175.87	DCR|3VULN|2DMG|1AART	1DUST|249VULN|36DMG|5LWND|7RCR|8TLV|aAART
163	11215 14613	   	175.87	DCR|3VULN|2DMG|1AART	1DUST|248VULN|36DMG|5LWND|7RCR|9MBVNT|aAART
164	11216 14221	   	175.87	DCR|3VULN|2DMG|1AART	1DUST|249VULN|36DMG|5FEWX|7RCR|8TLV|aAART
165	21216 14223	   	175.87	DCR|3VULN|2DMG|1AART	1LWND|249VULN|36DMG|5DUST|7RCR|8TLV|aAART
166	21216 14613	   	175.87	DCR|3VULN|2DMG|1AART	1LWND|248VULN|36DMG|5DUST|7RCR|9MBVNT|aAART
167	52216 14223	   	175.87	DCR|3VULN|2DMG|1AART	149VULN|2LHND|36DMG|5DUST|7RCR|8TLV|aAART
168	21222 55323	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|27VULN|39DMG|4ZMB|5ERES|6DUR|8RCR|aAART
169	41222 55323	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1FEWX|27VULN|39DMG|4ZMB|5ERES|6DUR|8RCR|aAART
170	52222 55323	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|2LHND|39DMG|4ZMB|5ERES|6DUR|8RCR|aAART
171	55323 12323	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|29DMG|3DUR|4ZMB|6LHND|7ERES|8RCR|aAART
172	55323 34323	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|29DMG|3DUR|4ZMB|6FEWX|7ERES|8RCR|aAART
173	11222 55323	   	175.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|27VULN|39DMG|4ZMB|5ERES|6DUR|8RCR|aAART
