0	Index      	 *	Score 	Summary	Detail	
1	41611 22363	 * 	190.07	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD|1DUR	13CDMG|2ASPD|4ZMB|5DMG|6RCR|79VULN|8DUR|aAART
18	41611 21231	   	172.18	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8VULN|9AART|aLHND
19	41611 21233	   	172.18	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8VULN|9AART|aCGEN
20	41611 21234	   	172.18	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8VULN|9AART|aBEXP
21	41611 21236	   	172.18	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8VULN|9AART|aRPLT
22	41611 22143	   	172.15	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB	13CDMG|29ASPD|4ZMB|5DMG|6RCR|7VULN|8LHND|aAART
23	41611 21232	   	172.08	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8VULN|9AART|aERES
24	16133 13226	 * 	172.01	DCR|3VULN|1AART|1DMG|2DUR	1MGNLIT|24aVULN|34DUR|4BPWR|5MLV|6LWND|7RCR|8AART|9DMG
25	16134 13226	   	172.01	DCR|3VULN|1AART|1DMG|2DUR	1MGNLIT|24aVULN|34DUR|4BPWR|5CGEN|6LWND|7RCR|8AART|9DMG
26	16131 13226	   	171.91	DCR|3VULN|1AART|1DMG|2DUR	1MGNLIT|24aVULN|34DUR|4BPWR|5TLV|6LWND|7RCR|8AART|9DMG
27	52323 25161	 * 	171.02	DCR|3VULN|3DMG	19aTLV|29aVULN|3RMIN|4BEXP|5MLV|6RCR|7DMSP|89aDMG|9aBPWR
28	52312 25161	   	170.92	DCR|3VULN|3DMG	19aTLV|29aVULN|3RMIN|4MLV|5DUST|6RCR|7DMSP|89aDMG|9aBPWR
29	41611 22362	 * 	170.72	DCR|2VULN|1DMG|2CDMG|2ZMB|1ASPD|1DUR	13CDMG|2ASPD|4aZMB|5DMG|6RCR|79VULN|8DUR
30	23631 33452	 * 	170.39	ACR|4VULN|1DMG|1CDMG|1ASPD	1LIT|2LWND|3ASPD|4RCR|569aVULN|7CDMG|8DMG
31	12336 44222	   	169.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MGNLIT|2ZMB|3CDMG|45VULN|6AART|7DMG|8DUR|9BELT|aRCR
32	41611 23223	 * 	169.40	DCR|1AART|1VULN|2CDMG|1DMG|2ZMB|1ASPD	13CDMG|2ASPD|48ZMB|5DMG|6RCR|7LHND|9VULN|aAART
33	41611 22532	   	169.30	DCR|1AART|1VULN|1DMG|2CDMG|2ZMB|1ASPD	13CDMG|2ASPD|49ZMB|5DMG|6RCR|7VULN|8TLV|aAART
34	62133 63326	   	168.34	ACR|2VULN|2AART|1DMG|1CDMG	1CGEN|23VULN|4RPLT|5RCR|6aAART|7BEXP|8DMG|9CDMG
35	16622 52131	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1MGNLIT|289VULN|3RCR|4LWND|5BEXP|6DMG|7DUR|aAART
36	16621 52131	   	168.14	ACR|3VULN|1AART|1DMG|1DUR	1MGNLIT|289VULN|3RCR|4LWND|5DUST|6DMG|7DUR|aAART
37	11225 24631	   	167.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MGNLIT|2CGEN|3LIT|4RCR|5ZMB|6CDMG|79VULN|8DMG|aAART
38	62133 25326	   	167.74	ACR|2VULN|2AART|1DMG|1CDMG	1CGEN|23VULN|4RPLT|5RCR|6BEXP|7aAART|8DMG|9CDMG
39	62133 35326	   	167.64	ACR|2VULN|2AART|1DMG|1CDMG	1CGEN|23VULN|4RPLT|5RCR|6DUST|7aAART|8DMG|9CDMG
40	62356 23133	   	167.45	DCR|3VULN|2DMG|2DUR|1SELL	1aCGEN|25aVULN|3BEXP|47DUR|6RCR|8aDMG|9SELL|aBPWR
41	41611 22321	   	166.87	DCR|2VULN|1DMG|2CDMG|1ZMB|1ASPD|1DUR	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7aVULN|8DUR|9LHND
42	41611 22332	   	166.87	DCR|2VULN|1DMG|2CDMG|1ZMB|1DUR|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7aVULN|8DUR|9CGEN
43	62133 63216	 * 	166.79	ACR|4VULN|1AART|1CDMG	18CGEN|238aVULN|4RPLT|5RCR|6AART|78BEXP|8BPWR|9CDMG
44	41611 22511	   	166.77	DCR|2VULN|1DMG|2CDMG|1ZMB|1DUR|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|79VULN|8TLV|aDUR
45	41611 22633	   	166.74	DCR|2VULN|1DMG|2CDMG|2ASPD|1ZMB	13CDMG|2aASPD|4ZMB|5DMG|6RCR|7aVULN|8FEWX|9aCGEN|aBPWR
46	16521 13226	   	166.72	DCR|3VULN|1AART|1DMG|1DUR	13MGNLIT|23aVULN|3BPWR|4MLV|5DUR|6LWND|7RCR|8AART|9DMG
47	16153 13226	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1MGNLIT|24aVULN|3DUR|5MLV|6LWND|7RCR|8AART|9DMG
48	16151 13226	   	166.52	DCR|3VULN|1AART|1DMG|1DUR	1MGNLIT|24aVULN|3DUR|5TLV|6LWND|7RCR|8AART|9DMG
49	16643 22232	   	166.49	ACR|3VULN|1AART|1CDMG|1ZMB	1MGNLIT|258VULN|3RCR|45LIT|5BPWR|6CDMG|7LEGI|9AART|aZMB
50	62336 26111	   	166.47	DCR|3VULN|2DMG|1ZMB	1aCGEN|259VULN|3aBEXP|4MLV|6RCR|7ZMB|8aDMG|aBPWR
51	62116 26111	   	166.47	DCR|3VULN|2DMG|1ZMB	1aCGEN|239VULN|4aMLV|5BEXP|6RCR|7ZMB|8aDMG|aBPWR
52	26631 33621	   	166.36	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2DUR|3ASPD|4RCR|569VULN|7CDMG|8RPLT|aAART
53	24631 31521	   	166.34	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2DUST|3ASPD|4RCR|568VULN|7FEWX|9AART|aDMG
54	24633 31521	   	166.34	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2DUST|3ASPD|4RCR|5FEWX|678VULN|9AART|aDMG
55	51421 43211	 * 	166.31	DCR|3VULN|2DMG|1CDMG	18TLV|2DUST|38DMG|48aVULN|5BELT|6LEGI|7RCR|8BPWR|9CDMG
56	52226 26111	   	166.27	DCR|3VULN|2DMG|1ZMB	1aTLV|259VULN|3aCGEN|4BEXP|6RCR|7ZMB|8aDMG|aBPWR
57	62126 26111	   	166.27	DCR|3VULN|2DMG|1ZMB	1aCGEN|239VULN|4aTLV|5BEXP|6RCR|7ZMB|8aDMG|aBPWR
58	62133 25216	   	166.19	ACR|4VULN|1AART|1CDMG	18CGEN|238aVULN|4RPLT|5RCR|68BEXP|7AART|8BPWR|9CDMG
59	41611 24123	   	166.14	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7LIT|8RPLT|9AART|aVULN
60	44611 22333	 * 	166.07	DCR|2DMG|3CDMG|1VULN|1ZMB|1DUR	12aCDMG|3NUKE|4ZMB|5aDMG|6RCR|7VULN|8DUR|9aCGEN|aBPWR
61	52126 26111	   	166.07	DCR|3VULN|2DMG|1ZMB	1aTLV|259VULN|3aERES|4BEXP|6RCR|7ZMB|8aDMG|aBPWR
62	62133 35216	   	165.99	ACR|4VULN|1AART|1CDMG	18CGEN|238aVULN|4RPLT|5RCR|68DUST|7AART|8BPWR|9CDMG
63	41611 21214	 * 	165.97	DCR|2VULN|3CDMG|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8aVULN|9LWND
64	41611 21262	   	165.97	DCR|2VULN|3CDMG|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8aVULN|9MLV
65	46311 22413	 * 	165.88	DCR|2VULN|2DMG|2CDMG|1ZMB	1aCDMG|2RMIN|3ERES|4RCVC|5aDMG|6ZMB|7LHND|8RCR|9aVULN|aBPWR
66	41611 21224	   	165.87	DCR|2VULN|3CDMG|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8aVULN|9DUST
67	41611 21322	   	165.87	DCR|2VULN|3CDMG|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8TLV|9aVULN
68	62133 61124	   	165.70	ACR|2VULN|2AART|1DMG|1ZMB	1CGEN|23VULN|4RPLT|5RCR|67AART|8MLV|9ZMB|aDMG
69	41631 22413	 * 	165.69	DCR|2VULN|1DMG|2CDMG|2ZMB|2ASPD	13CDMG|2aASPD|4TLV|5DMG|6aZMB|7LHND|8RCR|9aVULN|aBPWR
70	41611 23123	   	165.54	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|78LHND|9VULN|aAART
71	41611 22523	   	165.44	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7VULN|8TLV|9RMIN|aAART
72	41611 26333	   	165.44	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7ERES|8VULN|9CGEN|aAART
73	41611 25223	   	165.34	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7TLV|8ERES|9VULN|aAART
74	41611 26313	   	165.34	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7ERES|8VULN|9TLV|aAART
75	44611 21231	   	165.14	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB	127CDMG|3NUKE|4ZMB|5DMG|6RCR|8VULN|9AART|aLHND
76	44611 21233	   	165.14	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB	127CDMG|3NUKE|4ZMB|5DMG|6RCR|8VULN|9AART|aCGEN
77	44611 21232	   	165.04	DCR|3CDMG|1AART|1VULN|1DMG|1ZMB	127CDMG|3NUKE|4ZMB|5DMG|6RCR|8VULN|9AART|aERES
78	16635 32111	   	164.82	ACR|3VULN|1AART|1CDMG|1ASPD	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7LIT|8DUST|9ASPD|aCDMG
79	16635 33321	   	164.30	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9BEXP|aRCVC
80	16635 33322	   	164.30	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9BEXP|aLWND
81	16635 33331	   	164.30	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9RPLT|aBEXP
82	16635 33332	   	164.30	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9RPLT|aLWND
83	16635 33111	   	164.20	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8CANSTR|9BEXP|aDMG
84	16635 33121	   	164.20	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8CANSTR|9LWND|aDMG
85	16635 33213	   	164.20	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|79DUST|8FEWX|aDMG
86	16635 33312	   	164.20	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9CANHEL|aLWND
87	16635 33313	   	164.20	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9CANHEL|aLHND
88	16635 33333	   	164.20	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7aDUST|8DMG|9RPLT
89	16635 33311	   	164.10	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9CANHEL|aERES
90	62533 63323	   	163.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	13CGEN|23VULN|3BPWR|4RPLT|5RCR|6AART|7BEXP|8DMG|9CDMG|aDUR
91	62133 61216	 * 	163.93	ACR|3VULN|2AART|1CDMG	1CGEN|23aVULN|4RPLT|5RCR|67AART|8BEXP|9CDMG
92	16323 66331	   	163.87	DCR|3DMG|2VULN|1ZMB	1MGNLIT|2aVULN|3ZMB|489DMG|5MLV|6RPLT|7RCR
93	62133 63323	   	163.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|23VULN|4RPLT|5RCR|6AART|7BEXP|8DMG|9CDMG|aDUR
94	16641 32112	   	163.83	ACR|2VULN|2DMG|1AART	1MGNLIT|26VULN|3RCR|48LIT|5MLV|7aDMG|9AART
95	16641 32212	   	163.83	ACR|2VULN|2DMG|1AART	1MGNLIT|26VULN|3RCR|4LIT|5MLV|7aDMG|8RCVC|9AART
96	41611 22162	   	163.78	DCR|2VULN|1DMG|2CDMG|2ZMB|1ASPD	13CDMG|2ASPD|4aZMB|5DMG|6RCR|79VULN|8LHND
97	16321 66331	   	163.77	DCR|3DMG|2VULN|1ZMB	1MGNLIT|2aVULN|3ZMB|489DMG|5TLV|6RPLT|7RCR
98	26631 34231	   	163.72	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2DUR|3ASPD|4RCR|568VULN|7BEXP|9ZMB|aAART
99	41611 23335	   	163.57	DCR|2AART|3CDMG|1DMG|1ZMB|1ASPD	138CDMG|2ASPD|4ZMB|5DMG|6RCR|7LHND|9aAART
100	62356 23331	 * 	163.56	DCR|3VULN|1DMG|1FLTHEA|2DUR	1CGEN|258VULN|3BEXP|47DUR|6RCR|9FLTHEA|aDMG
101	64126 23331	   	163.56	DCR|3VULN|1DMG|1FLTHEA|2DUR	1CGEN|27DUR|358VULN|4BEXP|6RCR|9FLTHEA|aDMG
102	62441 22221	   	163.52	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1CGEN|25VULN|3DMG|4LIT|6RCR|7SELL|8DUR|9AART|aZMB
103	16632 11236	   	163.48	ACR|4VULN|1AART|1DUR	14MGNLIT|247aVULN|3RCR|4BPWR|5LWND|6DUST|8AART|9DUR
104	61156 23331	   	163.46	DCR|3VULN|1DMG|1FLTHEA|2DUR	1CGEN|2DUST|358VULN|47DUR|6RCR|9FLTHEA|aDMG
105	64162 23331	   	163.46	DCR|3VULN|1DMG|1FLTHEA|2DUR	1CGEN|27DUR|348VULN|5DUST|6RCR|9FLTHEA|aDMG
106	52441 22221	   	163.42	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1TLV|25VULN|3DMG|4LIT|6RCR|7SELL|8DUR|9AART|aZMB
107	62533 25323	   	163.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	13CGEN|23VULN|3BPWR|4RPLT|5RCR|6BEXP|7AART|8DMG|9CDMG|aDUR
108	12525 32522	   	163.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MGNLIT|2ZMB|3LWND|4DMG|5AART|67VULN|8CDMG|9BELT|aRCR
109	16325 35322	   	163.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MGNLIT|26VULN|3ZMB|4DMG|5AART|7FEWX|8CDMG|9BELT|aRCR
110	62133 15623	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|23VULN|4RPLT|5RCR|6LWND|7AART|8DMG|9CDMG|aDUR
111	62133 25323	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|23VULN|4RPLT|5RCR|6BEXP|7AART|8DMG|9CDMG|aDUR
112	62533 35323	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	13CGEN|23VULN|3BPWR|4RPLT|5RCR|6DUST|7AART|8DMG|9CDMG|aDUR
113	26631 33422	   	163.22	ACR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1LIT|2DUR|3ASPD|4RCR|56aVULN|7CDMG|8DMG|9BEXP
114	26631 33433	   	163.22	ACR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1LIT|2DUR|3ASPD|4RCR|56aVULN|7CDMG|8DMG|9CGEN
115	16325 33522	   	163.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MGNLIT|26VULN|3ZMB|4DMG|5AART|7DUST|8CDMG|9BELT|aRCR
116	62133 35323	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|23VULN|4RPLT|5RCR|6DUST|7AART|8DMG|9CDMG|aDUR
117	41611 22352	 * 	162.93	DCR|1VULN|1DMG|2CDMG|1FLTHEA|1ZMB|1DUR|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7VULN|8DUR|9FLTHEA|aMLV
118	41611 22353	   	162.93	DCR|1VULN|1DMG|2CDMG|1FLTHEA|1ZMB|1DUR|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7VULN|8DUR|9FLTHEA|aRMIN
119	16131 13266	   	162.85	DCR|3VULN|1AART|2DUR|1ZMB	1MGNLIT|249VULN|34DUR|4BPWR|5TLV|6LWND|7RCR|8AART|aZMB
120	16611 31522	 * 	162.82	ACR|3VULN|2DMG|1DUR	1MGNLIT|27aVULN|3RCR|4MLV|5DUR|6aCGEN|8FEWX|9aDMG|aBPWR
121	16611 41212	   	162.82	ACR|3VULN|2DMG|1DUR	1MGNLIT|27aVULN|3RCR|4MLV|5DUR|6aDMG|8CGEN|9aLWND|aBPWR
122	16611 41232	   	162.82	ACR|3VULN|2DMG|1DUR	1MGNLIT|27aVULN|3RCR|4MLV|5DUR|6aDMG|8CGEN|9aBEXP|aBPWR
123	16635 31213	   	162.72	ACR|3VULN|2AART|1ASPD	14MGNLIT|246VULN|3RCR|4BPWR|59AART|7MLV|8RPLT|aASPD
124	16611 31122	   	162.72	ACR|3VULN|2DMG|1DUR	1MGNLIT|27aVULN|3RCR|4MLV|5DUR|6aCGEN|8DUST|9aDMG|aBPWR
125	12336 44122	   	162.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MGNLIT|2ZMB|3CDMG|45VULN|6AART|7DMG|8BEXP|9BELT|aRCR
126	16632 13226	   	162.50	ACR|3VULN|1AART|1DMG	14MGNLIT|24aVULN|3RCR|4BPWR|5LWND|6DUST|7MLV|8AART|9DMG
127	16623 11253	   	162.40	ACR|3VULN|1AART|1DMG	1MGNLIT|279VULN|3RCR|45LWND|6DUST|8AART|aDMG
128	16632 11213	   	162.40	ACR|3VULN|1AART|1DMG	14MGNLIT|247VULN|3RCR|4BPWR|5LWND|69DUST|8AART|aDMG
129	44611 23223	   	162.36	DCR|1AART|1VULN|2CDMG|1DMG|2ZMB	12CDMG|3NUKE|48ZMB|5DMG|6RCR|7LHND|9VULN|aAART
130	26631 33521	   	162.31	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2DUR|3ASPD|4RCR|56VULN|7CDMG|8RMIN|9AART|aZMB
131	16612 11253	   	162.30	ACR|3VULN|1AART|1DMG	1MGNLIT|279VULN|3RCR|4MLV|5ERES|6DUST|8AART|aDMG
132	16652 11213	   	162.30	ACR|3VULN|1AART|1DMG	1MGNLIT|247VULN|3RCR|5LWND|69DUST|8AART|aDMG
133	22212 46151	 * 	162.28	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2BELT|3RCVC|4RCR|5CDMG|68DMG|7aVULN|9ZMB
134	16135 33312	 * 	162.27	DCR|3VULN|3AART|2DUR	1MGNLIT|246VULN|34DUR|4BPWR|589AART|7RMIN|aRCR
135	22416 23531	   	162.23	ACR|4VULN|1DMG|2DUR	138LIT|2BELT|4RCR|5789VULN|68DUR|8BPWR|aDMG
136	62143 26133	   	162.16	DCR|3VULN|2DMG|1DUR|1SELL	14aCGEN|23aVULN|5BEXP|6RCR|7DUR|8aDMG|9SELL|aBPWR
137	51326 26331	   	162.13	DCR|3VULN|1DMG|1FLTHEA|1ZMB	1TLV|2DUST|3RMIN|458VULN|6RCR|7ZMB|9FLTHEA|aDMG
138	11222 25212	   	161.90	ACR|3VULN|1AART|1DMG	1MGNLIT|2CGEN|38LIT|4RCR|5AART|679VULN|aDMG
139	16641 33112	   	161.90	ACR|3VULN|1AART|1DMG	1MGNLIT|267VULN|3RCR|4LIT|5MLV|8RMIN|9AART|aDMG
140	63222 25212	   	161.80	ACR|3VULN|1AART|1DMG	1CGEN|2VENICY|38LIT|4RCR|5AART|679VULN|aDMG
141	53222 25212	   	161.70	ACR|3VULN|1AART|1DMG	1TLV|2VENICY|38LIT|4RCR|5AART|679VULN|aDMG
142	42512 23322	   	161.61	DCR|3VULN|2DMG|1CDMG	1CDMG|2LHND|3FEWX|45aVULN|67DMG|8TLV|9RCR
143	42512 23326	 * 	161.61	DCR|3DMG|2VULN|1CDMG	1CDMG|2LHND|3FEWX|45VULN|67aDMG|8TLV|9RCR
144	45212 23322	   	161.61	DCR|3VULN|2DMG|1CDMG	1CDMG|2BEXP|3LHND|45aVULN|67DMG|8TLV|9RCR
145	45212 23326	   	161.61	DCR|3DMG|2VULN|1CDMG	1CDMG|2BEXP|3LHND|45VULN|67aDMG|8TLV|9RCR
146	52321 13563	 * 	161.61	DCR|2VULN|2DMG|1AART	1aTLV|2aVULN|3RMIN|4BEXP|5BELT|6LHND|7RCR|8AART|9aDMG|aBPWR
147	11221 36363	   	161.53	ACR|2VULN|2DMG|1AART	1MGNLIT|2aCGEN|3LIT|4RCR|5LWND|6aVULN|7ERES|8aDMG|9AART|aBPWR
148	42412 23322	   	161.51	DCR|3VULN|2DMG|1CDMG	1CDMG|2LHND|3DUST|45aVULN|67DMG|8TLV|9RCR
149	42412 23326	   	161.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2LHND|3DUST|45VULN|67aDMG|8TLV|9RCR
150	16323 32641	   	161.47	DCR|3VULN|2DMG|1ZMB	1MGNLIT|269VULN|3ZMB|4aDMG|5MLV|7LHND|8RCR
151	41611 21422	 * 	161.46	DCR|3DMG|3CDMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|59aDMG|6RCR|8CANHEL
152	53221 34363	   	161.33	ACR|2VULN|2DMG|1AART	1TLV|2aVENICY|3LIT|4RCR|5LWND|6aVULN|7CGEN|8aDMG|9AART|aBPWR
153	63221 36363	   	161.33	ACR|2VULN|2DMG|1AART	1CGEN|2aVENICY|3LIT|4RCR|5LWND|6aVULN|7ERES|8aDMG|9AART|aBPWR
154	16642 32312	   	161.33	ACR|3VULN|1DMG|2DUR|1ZMB	1MGNLIT|26aVULN|3RCR|4LIT|5ZMB|7DMG|89DUR
155	16632 11521	   	161.30	ACR|3VULN|1AART|1DMG	14MGNLIT|247VULN|3RCR|4BPWR|5LWND|6DUST|8FEWX|9DMG|aAART
156	16632 31121	   	161.30	ACR|3VULN|1AART|1DMG	14MGNLIT|247VULN|3RCR|4BPWR|5LWND|6FEWX|8DUST|9DMG|aAART
157	16632 43121	   	161.30	ACR|3VULN|1AART|1DMG	14MGNLIT|246VULN|3RCR|4BPWR|5LWND|7BEXP|8DUST|9DMG|aAART
158	16622 51131	   	161.30	ACR|3VULN|1AART|1DMG	1MGNLIT|289VULN|3RCR|4LWND|5BEXP|6DMG|7FEWX|aAART
159	16621 51131	   	161.20	ACR|3VULN|1AART|1DMG	1MGNLIT|289VULN|3RCR|4LWND|5DUST|6DMG|7FEWX|aAART
160	16652 31121	   	161.20	ACR|3VULN|1AART|1DMG	1MGNLIT|247VULN|3RCR|5LWND|6FEWX|8DUST|9DMG|aAART
161	52421 63211	   	161.16	DCR|3VULN|1DMG|1CDMG|2DUR	18TLV|28aVULN|3DMG|4BEXP|5BELT|68DUR|7RCR|8BPWR|9CDMG
162	16611 22632	 * 	161.00	ACR|3CDMG|1AART|1VULN|1DMG|1DUR	1MGNLIT|2VULN|3RCR|4MLV|5DUR|679CDMG|8DMG|aAART
163	62336 23411	 * 	160.99	DCR|5VULN|3DUR	18aCGEN|2589aVULN|3BEXP|4MLV|6RCR|78aDUR|8aBPWR
