0	Index      	 *	Score 	Summary	Detail	
1	32556 32131	 * 	296.97	橙3雷电2等级3攻速1易伤1暴击	13a攻速2掉矿4a等级5暴击6核7易伤89a雷电a序列升级
22	35255 23222	 * 	276.53	橙2等级2矿等1雷电2攻速1伤害	15攻速2挖尘3伤害45等级5序列升级69矿等7时间8核a雷电
23	42323 21255	 * 	276.09	橙橙1等级1雷电1伤害2时间	1挖尘2雷电3最后敌人4伤害5等级69时间7双倍物品8a核
24	65213 32251	   	275.01	橙3易伤2雷电1等级	1时间26a易伤3赏金邻近46雷电5随机矿6序列升级7等级8多重对甲9核
25	65113 32134	   	274.95	橙3雷电2易伤1等级	1时间26易伤3赏金塔468雷电5随机矿6序列升级7等级9核a全技能
26	65113 32131	   	274.42	橙3雷电2易伤1等级2时间	1a时间26易伤3赏金塔468雷电5随机矿6序列升级7等级9核
27	45213 32633	   	273.65	橙3易伤2雷电1等级	1挖尘26a易伤3赏金邻近46雷电5随机矿6序列升级7等级8核9平台
28	65213 32621	 * 	273.52	橙2易伤2等级2雷电	1时间26易伤3赏金邻近46雷电5a随机矿6序列升级79等级8核
29	65213 32622	   	273.52	橙2易伤2等级2雷电	1时间26易伤3赏金邻近46雷电5随机矿6序列升级79等级8核a立即金币
30	45213 32622	   	273.42	橙2易伤2等级2雷电	1挖尘26易伤3赏金邻近46雷电5随机矿6序列升级79等级8核a时间
31	65213 32623	   	273.42	橙2易伤2等级2雷电	1时间26易伤3赏金邻近46雷电5随机矿6序列升级79等级8核a双倍秒伤
32	65333 11411	 * 	271.88	橙2易伤1等级1雷电1矿等1伤害1攻速	1时间29易伤3基础对甲4矿等5等级6攻速7雷电8核a伤害
33	32243 32131	 * 	271.29	橙3雷电1等级1易伤2攻速2暴击	1a攻速2掉矿3a暴击4立即金币5等级6核7易伤89a雷电a序列升级
34	32253 32131	   	271.29	橙3雷电1等级1易伤2攻速2暴击	1a攻速2掉矿3a暴击4双倍矿5等级6核7易伤89a雷电a序列升级
35	32213 32131	   	271.19	橙3雷电1等级1易伤2攻速2暴击	1a攻速24掉矿3a暴击5等级6核7易伤89a雷电a序列升级
36	65113 32251	   	270.91	橙3易伤2雷电1等级	1时间26a易伤3赏金塔46雷电5随机矿6序列升级7等级8多重对甲9核
37	65213 32133	   	270.75	橙3雷电2易伤1等级	1时间26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a敌人爆炸
38	65213 32135	   	270.75	橙3雷电2易伤1等级	1时间26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a最后敌人
39	65213 32136	   	270.75	橙3雷电2易伤1等级	1时间26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a金币生成
40	45213 32131	   	270.65	橙3雷电2易伤1等级	1挖尘26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a时间
41	65213 32215	   	270.65	橙3雷电2易伤1等级	1时间26易伤3赏金邻近469雷电5随机矿6序列升级7等级8多重对甲a核
42	45113 32633	   	269.55	橙3易伤2雷电1等级	1挖尘26a易伤3赏金塔46雷电5随机矿6序列升级7等级8核9平台
43	65113 32621	   	269.41	橙2易伤2等级2雷电	1时间26易伤3赏金塔46雷电5a随机矿6序列升级79等级8核
44	65113 32622	   	269.41	橙2易伤2等级2雷电	1时间26易伤3赏金塔46雷电5随机矿6序列升级79等级8核a立即金币
45	45113 32622	   	269.31	橙2易伤2等级2雷电	1挖尘26易伤3赏金塔46雷电5随机矿6序列升级79等级8核a时间
46	65113 32623	   	269.31	橙2易伤2等级2雷电	1时间26易伤3赏金塔46雷电5随机矿6序列升级79等级8核a双倍秒伤
47	45213 32133	   	269.30	橙3雷电2易伤1等级	1挖尘26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a平台
48	45213 32134	   	269.30	橙3雷电2易伤1等级	1挖尘26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a全技能
49	31515 62322	 * 	268.73	橙橙2易伤1雷电2攻速	13攻速25敌人爆炸45易伤5序列升级69核7低血量敌人8基地爆炸a雷电
50	31515 62122	   	268.63	橙橙2易伤1雷电2攻速	13攻速25敌人爆炸45易伤5序列升级69核7低血量敌人8挖尘a雷电
51	31363 21246	   	268.46	紫橙2等级1易伤2攻速1伤害	16攻速2敌人爆炸3a核4易伤56等级6序列升级7掉矿8伤害9基地爆炸
52	31363 21266	   	268.36	紫橙2等级1易伤2攻速1伤害	16攻速2敌人爆炸3a核4易伤56等级6序列升级7掉矿8伤害9挖尘
53	42323 21245	   	268.22	橙橙1等级1雷电1伤害	1挖尘2雷电3最后敌人4伤害5等级6时间7双倍物品8a核9火球减费
