0	Index      	 *	Score 	Summary	Detail	
1	31122 63124	 * 	247.19	DCR|3VULN|2DMG|2ASPD|1CDMG|1AAC|1ZMB	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB|aCDMG
12	31441 16232	 * 	231.46	DCR|3VULN|3ASPD|1MDPS|1DMG|1CDMG|1DUR	125VULN|3MDPS|45aASPD|5BPWR|6DUR|7RCR|8DMG|9CDMG
13	31441 16212	   	231.30	DCR|3VULN|1MDPS|2ASPD|1AART|1DMG|2DUR	125VULN|3MDPS|45ASPD|5BPWR|69DUR|7RCR|8DMG|aAART
14	31122 63122	   	230.94	DCR|3VULN|2DMG|2ASPD|1AAC|1ZMB	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB|aLWND
15	31122 63123	   	230.94	DCR|3VULN|2DMG|2ASPD|1AAC|1ZMB	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB|aBEXP
16	31122 63126	   	230.84	DCR|3VULN|2DMG|2ASPD|1AAC|1ZMB|1MSE	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB|aMSE
17	31441 36223	 * 	229.89	DCR|4VULN|1MDPS|2ASPD|1DMG|1NUKE	1259VULN|3MDPS|45ASPD|5BPWR|6LWND|7RCR|8DMG|aNUKE
18	31122 63162	   	229.23	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DUR|aRCVC
19	31122 63163	   	228.91	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DUR|aBEXP
20	31122 63164	   	228.91	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DUR|aAME
21	31122 63161	   	228.81	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DUR|aERES
22	31122 63165	   	228.81	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR|1MSE	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DUR|aMSE
23	31122 63166	   	228.81	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DUR|aTLV
24	31441 16213	   	227.59	DCR|3VULN|1MDPS|2ASPD|1DMG|1NUKE|2DUR	125VULN|3MDPS|45ASPD|5BPWR|69DUR|7RCR|8DMG|aNUKE
25	41251 42362	   	226.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1BEXP|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8ZMB|9CDMG|aAART
26	31623 61112	 * 	221.12	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|3AME|46DMG|5AELBLL|7RCR|9ASPD|aAART
27	31623 61152	   	221.12	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|3AME|46DMG|5AELBLL|7RCR|9AART|aASPD
28	31626 61112	   	221.12	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|35AME|46DMG|7RCR|9ASPD|aAART
29	31122 63111	   	220.93	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9AME|aRCVC
30	31122 63151	   	220.93	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9MLV|aRCVC
31	31122 63112	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9AME|aLHND
32	31122 63132	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DMSP|aCGEN
33	31122 63134	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DMSP|aBEXP
34	31122 63135	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DMSP|aLIT
35	31122 63141	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9LIT|aFEWX
36	31122 63144	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9LIT|aRPLT
37	31122 63145	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9LIT|aBEXP
38	31122 63152	   	220.60	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9MLV|aLHND
39	31122 63113	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9AME|aERES
40	31122 63116	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9AME|aMSE
41	31122 63133	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DMSP|aMSE
42	31122 63136	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9DMSP|aTLV
43	31122 63142	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9LIT|aMSE
44	31122 63143	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9LIT|aTLV
45	31122 63153	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9MLV|aERES
46	31122 63156	   	220.50	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9MLV|aMSE
47	32341 24153	 * 	220.37	DCR|3VULN|2AART|2ASPD|1DUR	15aVULN|2aFEWX|3DUR|45ASPD|5aBPWR|69AART|7aLIT|8RCR
48	32341 24152	   	220.17	DCR|3VULN|2AART|2ASPD|1DUR	15aVULN|2FEWX|3DUR|45ASPD|5BPWR|69AART|7LIT|8RCR
49	32341 24123	   	220.14	DCR|4VULN|2ASPD|1AART|1DUR	159aVULN|2aFEWX|3DUR|45ASPD|5aBPWR|6AART|7aLIT|8RCR
50	32341 24122	   	219.94	DCR|4VULN|2ASPD|1AART|1DUR	159aVULN|2FEWX|3DUR|45ASPD|5BPWR|6AART|7LIT|8RCR
51	31623 41112	   	219.48	DCR|4VULN|1AART|1ASPD|1DMG	1268VULN|3AME|4DMG|56AELBLL|6BPWR|7RCR|9ASPD|aAART
52	31623 41152	   	219.48	DCR|4VULN|1AART|1ASPD|1DMG	1268VULN|3AME|4DMG|56AELBLL|6BPWR|7RCR|9AART|aASPD
53	31331 11151	   	218.78	DCR|4VULN|1AART|1ASPD|1CDMG	1248VULN|3RCVC|5ASPD|6ERES|7RCR|9AART|aCDMG
54	31441 16233	   	218.53	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	125VULN|3MDPS|45ASPD|5BPWR|6DUR|7RCR|8DMG|9CDMG|aRPLT
55	31441 16231	   	218.43	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	125VULN|3MDPS|45ASPD|5BPWR|6DUR|7RCR|8DMG|9CDMG|aERES
56	31122 66223	   	218.22	DCR|4VULN|2DMG|1CDMG|1AAC	1289VULN|3AAC|4aDMG|5RMIN|6RCR|7CDMG
57	41251 42422	   	217.75	DCR|3VULN|2ASPD|1AART|1DMG	1BEXP|259VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8LHND|aAART
58	41251 42542	   	217.75	DCR|3VULN|2ASPD|1AART|1DMG	1BEXP|258VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|9LHND|aAART
59	41251 42222	   	217.65	DCR|3VULN|2ASPD|1AART|1DMG	1BEXP|259VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8DUST|aAART
60	41251 42452	 * 	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1BEXP|25VULN|3MBVNT|45ASPD|5BPWR|69DMG|7RCR|8LHND|aAART
61	41251 42252	   	217.41	DCR|2VULN|2DMG|2ASPD|1AART	1BEXP|25VULN|3MBVNT|45ASPD|5BPWR|69DMG|7RCR|8DUST|aAART
62	31623 61151	   	217.31	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3AME|46DMG|5AELBLL|7RCR|9AART|aCDMG
63	41251 42371	   	217.23	DCR|3VULN|3ASPD|1DMG|1ZMB	1BEXP|259VULN|3MBVNT|45aASPD|5BPWR|6DMG|7RCR|8ZMB
