0	Index      	 *	Score 	Summary	Detail	
1	26323 34334	 * 	247.09	DCR|4VULN|3DMG|1ASPD|1CDMG	1237VULN|48aDMG|5CDMG|6RCR|9ASPD
35	22452 36133	 * 	225.00	DCR|4VULN|1AART|2CDMG|1DMG	1358VULN|28TLV|48CDMG|6RCR|7AART|8BPWR|9RPLT|aDMG
36	26363 36121	 * 	225.00	DCR|4VULN|1AART|2CDMG|1ASPD	1238VULN|48ERES|58CDMG|6RCR|7AART|8BPWR|9VENFST|aASPD
37	21443 36122	   	224.90	DCR|4VULN|1AART|2CDMG|1DMG	1389VULN|248ERES|58CDMG|6RCR|7AART|8BPWR|aDMG
38	26363 36112	   	224.90	DCR|4VULN|1AART|2CDMG|1DMG	1238VULN|489ERES|58CDMG|6RCR|7AART|8BPWR|aDMG
39	23221 41111	 * 	224.86	DCR|2VULN|2ASPD|3CDMG|1AART|1DMG	18VULN|278CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9BEXP|aRCR
40	23221 41161	   	224.86	DCR|2VULN|2ASPD|3CDMG|1AART|1DMG	18VULN|278CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9LWND|aRCR
41	23221 41121	   	224.76	DCR|2VULN|2ASPD|3CDMG|1AART|1DMG	18VULN|278CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9DUST|aRCR
42	26323 35261	 * 	224.55	DCR|3VULN|1SPLARM|1AART|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6RCR|7DUR|8SPLARM|9LHND|aAART
43	26252 34333	 * 	224.41	DCR|4VULN|1AART|1DMG|1NUKE|1CDMG	1257VULN|3RMIN|4CDMG|6RCR|8DMG|9NUKE|aAART
44	26323 35262	 * 	224.25	DCR|4VULN|1SPLARM|2CDMG|1DMG|1DUR	123aVULN|4DMG|5aCDMG|6RCR|7DUR|8SPLARM|9aLHND|aBPWR
45	26323 34421	   	224.19	DCR|4VULN|1DMG|1NUKE|1CDMG|1ZMB	1237VULN|4DMG|5CDMG|6RCR|8MLV|9ZMB|aNUKE
46	26323 36133	   	224.19	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1238VULN|4DMG|5CDMG|6RCR|7DMSP|9ASPD|aZMB
47	26423 34133	   	224.19	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1278VULN|3DMSP|4DMG|5CDMG|6RCR|9ASPD|aZMB
48	26152 34321	   	224.19	DCR|4VULN|1DMG|1NUKE|1CDMG|1ZMB	1257VULN|3MLV|4CDMG|6RCR|8DMG|9ZMB|aNUKE
49	22452 34321	   	224.09	DCR|4VULN|1DMG|1NUKE|1CDMG|1ZMB	1357VULN|2TLV|4CDMG|6RCR|8DMG|9ZMB|aNUKE
50	26353 34321	   	224.09	DCR|4VULN|1DMG|1NUKE|1CDMG|1AAC|1ZMB	1237VULN|4AAC|5CDMG|6RCR|8DMG|9ZMB|aNUKE
51	26363 34321	   	224.09	DCR|4VULN|1DMG|1NUKE|1CDMG|1ZMB	1237VULN|4ERES|5CDMG|6RCR|8DMG|9ZMB|aNUKE
52	26323 26261	   	222.55	DCR|3VULN|1SPLARM|1AART|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6DUR|7RCR|8SPLARM|9LHND|aAART
53	26323 26262	   	222.25	DCR|4VULN|1SPLARM|2CDMG|1DMG|1DUR	123aVULN|4DMG|5aCDMG|6DUR|7RCR|8SPLARM|9aLHND|aBPWR
54	26323 35413	   	222.16	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1239VULN|4DMG|5CDMG|6RCR|7DUR|8FEWX|aASPD
55	26323 35313	   	222.06	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1239VULN|4DMG|5CDMG|6RCR|7DUR|8DUST|aASPD
56	23127 61143	 * 	221.82	DCR|2VULN|1MDPS|3CDMG|1ASPD|1DMG|1ZMB	15VULN|245CDMG|3MBVNT|5BPWR|6DMG|7RCR|8ASPD|9ZMB|aMDPS
57	26323 34353	   	221.61	DCR|4VULN|2DMG|1CDMG|1ZMB	1237VULN|48DMG|5CDMG|6RCR|9ERES|aZMB
58	23622 34134	 * 	221.28	DCR|4VULN|2CDMG|1ASPD|1DMG	1578VULN|23CDMG|4MLV|6RCR|9ASPD|aDMG
59	26153 32121	 * 	220.84	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3MLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aLIT
60	26153 32122	   	220.84	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3MLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aCGEN
61	26153 32123	   	220.84	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3aMLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR
62	26153 32126	   	220.84	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3MLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aBELT
63	23127 61144	 * 	220.82	DCR|3VULN|3CDMG|1ASPD|1DMG|1ZMB	15aVULN|245CDMG|3MBVNT|5BPWR|6DMG|7RCR|8ASPD|9ZMB
64	22453 32121	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	138VULN|2TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aLIT
65	22453 32122	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	138VULN|2TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aCGEN
66	22453 32123	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	138VULN|2TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aMLV
67	22453 32126	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	138VULN|2TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aBELT
68	26153 32124	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3MLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aERES
69	26153 32125	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3MLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aDUST
70	26553 32121	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aLIT
71	26553 32122	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aCGEN
72	26553 32123	   	220.74	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	128VULN|3TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aMLV
73	26323 35253	   	220.74	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6RCR|7DUR|8SPLARM|9TLV|aASPD
74	26252 34331	   	220.69	DCR|4VULN|1DMG|1NUKE|1CDMG|1SELL	1257VULN|3RMIN|4CDMG|6RCR|8DMG|9NUKE|aSELL
75	26252 34332	   	220.69	DCR|4VULN|1DMG|1NUKE|1CDMG	1257VULN|3RMIN|4CDMG|6RCR|8DMG|9NUKE|aLWND
76	26323 31245	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|79FEWX|8SPLARM|aMDPS
77	26323 31265	 * 	220.65	DCR|3VULN|1SPLARM|2DMG|1MDPS|1CDMG	123VULN|49DMG|5CDMG|6RCR|7FEWX|8SPLARM|aMDPS
78	26323 32235	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|79BEXP|8SPLARM|aMDPS
79	26323 32263	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|7BEXP|8SPLARM|9LHND|aMDPS
80	26323 33213	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|7LHND|8SPLARM|9DUST|aMDPS
81	26323 33233	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|7LHND|8SPLARM|9BEXP|aMDPS
82	26323 33243	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|7LHND|8SPLARM|9FEWX|aMDPS
83	26323 33265	   	220.65	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	123VULN|4DMG|5CDMG|6RCR|79LHND|8SPLARM|aMDPS
84	22453 32124	   	220.64	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	138VULN|2TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aERES
85	22453 32125	   	220.64	DCR|3VULN|2DMG|1AART|2CDMG|1AAC	138VULN|2TLV|48CDMG|58DMG|6AART|7AAC|8BPWR|9RCR|aDUST
86	26323 35225	 * 	220.30	DCR|3VULN|1SPLARM|2AAC|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6RCR|7DUR|8SPLARM|9aAAC
87	26323 26413	   	220.16	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1239VULN|4DMG|5CDMG|6DUR|7RCR|8FEWX|aASPD
88	26323 26313	   	220.06	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1239VULN|4DMG|5CDMG|6DUR|7RCR|8DUST|aASPD
89	26323 34325	 * 	219.56	DCR|4VULN|2DMG|2CDMG	1237VULN|48DMG|5aCDMG|6RCR|9RCVC
90	26252 31263	   	219.47	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG	125VULN|3RMIN|4CDMG|6RCR|7FEWX|8SPLARM|9DMG|aASPD
91	26152 36112	 * 	219.29	DCR|5VULN|1AART|2CDMG	1258aVULN|38MLV|48CDMG|6RCR|7AART|8BPWR|9ERES
92	22452 36112	   	219.09	DCR|5VULN|1AART|2CDMG	1358aVULN|28TLV|48CDMG|6RCR|7AART|8BPWR|9ERES
93	26322 25347	 * 	218.80	DCR|5VULN|3DMG|1SELL	1237aVULN|48aDMG|5MBVNT|6SELL|9RCR|aBPWR
94	26323 26253	   	218.74	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6DUR|7RCR|8SPLARM|9TLV|aASPD
95	62416 24844	 * 	218.62	DCR|3VULN|3DMG|3CDMG|1AAC	1MBVNT|2AAC|378VULN|4LIT|578CDMG|678DMG|78BPWR|9RCVC|aRCR
96	26323 31261	   	218.36	DCR|3VULN|1SPLARM|2DMG|1CDMG|1DUR	123VULN|49DMG|5CDMG|6RCR|7FEWX|8SPLARM|aDUR
97	26323 26225	   	218.30	DCR|3VULN|1SPLARM|2AAC|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6DUR|7RCR|8SPLARM|9aAAC
98	23221 43536	 * 	217.70	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DMG	18VULN|28CDMG|3AME|4AART|5DMG|68ASPD|7MDPS|8BPWR|9LWND|aRCR
99	23127 61127	   	217.43	DCR|3VULN|3CDMG|1ASPD|1DMG	15aVULN|245CDMG|3MBVNT|5BPWR|6DMG|7RCR|8ASPD|9SPLREG
100	26353 34333	   	217.37	DCR|4VULN|1AART|1DMG|1NUKE|1CDMG|1AAC	1237VULN|4AAC|5CDMG|6RCR|8DMG|9NUKE|aAART
101	26323 35223	   	217.30	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG|1AAC|1DUR	123VULN|4DMG|5CDMG|6RCR|7DUR|8SPLARM|9AAC|aASPD
102	26323 34133	   	217.11	DCR|5VULN|1DMG|1CDMG|1DUR	12378VULN|4DMG|5CDMG|6RCR|9RCVC|aDUR
