0	Index      	 *	Score 	Summary	Detail	
1	31427 18823	 * 	208.04	DCR|3VULN|2ASPD|1AART|1CDMG	18CGEN|2MBVNT|3AART|4AME|578VULN|68ASPD|8BPWR|9CDMG|aRCR
30	13516 21142	   	191.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2LEGI|3RCVC|4ASPD|5ZMB|6DMG|7RCR|8CDMG|9aVULN
31	51225 21154	 * 	191.69	DCR|4VULN|1DMG|1CDMG	1AME|2MBVNT|349aVULN|5CGEN|6DMG|7RCR|8CDMG
32	51242 21155	 * 	191.69	DCR|4VULN|1DMG|1NUKE|1CDMG	15AME|2MBVNT|359aVULN|4NUKE|5BPWR|6DMG|7RCR|8CDMG
33	51241 21155	   	191.59	DCR|4VULN|1DMG|1NUKE|1CDMG	1AME|2MBVNT|359aVULN|4NUKE|6DMG|7RCR|8CDMG
34	31425 47823	   	190.21	DCR|2VULN|2ASPD|1AART|1CDMG	18CGEN|2MBVNT|3AART|4AME|5DMSP|68ASPD|78VULN|8BPWR|9CDMG|aRCR
35	31427 13123	   	190.01	DCR|2VULN|2ASPD|1AART|1CDMG	1CGEN|2MBVNT|3AART|4AME|58VULN|67ASPD|9CDMG|aRCR
36	41427 13123	   	189.91	DCR|2VULN|2ASPD|1AART|1CDMG	1ERES|2MBVNT|3AART|4AME|58VULN|67ASPD|9CDMG|aRCR
37	31435 55214	 * 	189.82	DCR|2VULN|2AART|1ASPD|1DUR	1CGEN|2MBVNT|35AART|4DUR|6aVULN|7RCR|8ERES|9ASPD
38	31618 61421	   	189.76	DCR|4VULN|2ASPD	1aCGEN|2MBVNT|3ERES|4aASPD|568aVULN|7RCR|9DMSP|aBPWR
39	31618 11431	   	189.76	DCR|4VULN|2ASPD	16aCGEN|2MBVNT|3ERES|4aASPD|589aVULN|7RCR|aBPWR
40	51612 61241	   	189.74	DCR|3VULN|3ASPD	1aAME|2MBVNT|3CGEN|49aASPD|5RCVC|68aVULN|7RCR|aBPWR
41	31288 44243	 * 	189.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1CGEN|2MBVNT|3AELBLL|4DMG|5VULN|6CDMG|79ASPD|8AART|aRCR
42	51127 31246	   	189.67	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1AME|2MBVNT|3DUST|4VULN|5aASPD|6ZMB|7RCR|8DMG|9AART
43	31615 61431	   	189.66	DCR|4VULN|2ASPD	1aCGEN|2MBVNT|35ERES|4aASPD|689aVULN|7RCR|aBPWR
44	31618 21431	   	189.66	DCR|4VULN|2ASPD	1aCGEN|2MBVNT|36ERES|4aASPD|589aVULN|7RCR|aBPWR
45	41618 11431	   	189.66	DCR|4VULN|2ASPD	1aERES|2MBVNT|36CGEN|4aASPD|589aVULN|7RCR|aBPWR
46	31312 61241	   	189.64	DCR|3VULN|3ASPD	1aCGEN|2MBVNT|3TLV|49aASPD|5RCVC|68aVULN|7RCR|aBPWR
47	31612 61441	   	189.64	DCR|3VULN|3ASPD	1aCGEN|2MBVNT|3ERES|49aASPD|5RCVC|68aVULN|7RCR|aBPWR
48	51412 61241	   	189.64	DCR|3VULN|3ASPD	1aAME|2MBVNT|3ERES|49aASPD|5RCVC|68aVULN|7RCR|aBPWR
49	41127 31246	   	189.57	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1ERES|2MBVNT|3DUST|4VULN|5aASPD|6ZMB|7RCR|8DMG|9AART
50	41618 21431	   	189.56	DCR|4VULN|2ASPD	16aERES|2MBVNT|3CGEN|4aASPD|589aVULN|7RCR|aBPWR
51	41612 61441	   	189.54	DCR|3VULN|3ASPD	1aERES|2MBVNT|3CGEN|49aASPD|5RCVC|68aVULN|7RCR|aBPWR
52	41312 61241	   	189.44	DCR|3VULN|3ASPD	1aERES|2MBVNT|3TLV|49aASPD|5RCVC|68aVULN|7RCR|aBPWR
53	51242 21121	 * 	189.22	DCR|2VULN|1AART|2CDMG|1DMG|1NUKE	15AME|2MBVNT|35VULN|4NUKE|5BPWR|6DMG|7RCR|89CDMG|aAART
54	51241 21121	   	189.12	DCR|2VULN|1AART|2CDMG|1DMG|1NUKE	1AME|2MBVNT|35VULN|4NUKE|6DMG|7RCR|89CDMG|aAART
55	31427 13831	   	188.88	DCR|3ASPD|2VULN|1AART	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aBEXP
56	31427 13838	   	188.88	DCR|3ASPD|2VULN|1AART	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aLHND
57	31427 13832	   	188.78	DCR|3ASPD|2VULN|1AART	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aDUST
58	31427 13836	   	188.78	DCR|3ASPD|2VULN|1AART	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aERES
59	11116 21142	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2AELBLL|3DUST|4ASPD|5ZMB|6DMG|7RCR|8CDMG|9aVULN
60	61116 21142	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2FEWX|3DUST|4ASPD|5ZMB|6DMG|7RCR|8CDMG|9aVULN
61	62116 21142	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2LWND|3DUST|4ASPD|5ZMB|6DMG|7RCR|8CDMG|9aVULN
62	31458 43453	   	187.73	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CGEN|2MBVNT|3AART|4ZMB|5CDMG|68VULN|7ASPD|9RCVC|aRCR
63	31616 61421	   	186.84	DCR|3VULN|3ASPD	1aCGEN|2MBVNT|3ERES|45aASPD|68aVULN|7RCR|9DMSP|aBPWR
64	31618 11441	   	186.84	DCR|3VULN|3ASPD	16aCGEN|2MBVNT|3ERES|49aASPD|58aVULN|7RCR|aBPWR
65	31615 61441	   	186.74	DCR|3VULN|3ASPD	1aCGEN|2MBVNT|35ERES|49aASPD|68aVULN|7RCR|aBPWR
66	31618 21441	   	186.74	DCR|3VULN|3ASPD	1aCGEN|2MBVNT|36ERES|49aASPD|58aVULN|7RCR|aBPWR
67	41618 11441	   	186.74	DCR|3VULN|3ASPD	1aERES|2MBVNT|36CGEN|49aASPD|58aVULN|7RCR|aBPWR
68	41618 21441	   	186.64	DCR|3VULN|3ASPD	16aERES|2MBVNT|3CGEN|49aASPD|58aVULN|7RCR|aBPWR
69	31458 43423	   	186.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CGEN|2MBVNT|3AART|4ZMB|5CDMG|68VULN|7ASPD|9AELBLL|aRCR
70	41458 43423	   	186.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ERES|2MBVNT|3AART|4ZMB|5CDMG|68VULN|7ASPD|9AELBLL|aRCR
71	41458 43443	   	185.92	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	19ERES|2MBVNT|3AART|4ZMB|5CDMG|68VULN|7ASPD|aRCR
72	31435 53314	   	185.82	DCR|2VULN|2AART|1ASPD|1DUR	1CGEN|2MBVNT|35AART|4DUR|6aVULN|7ASPD|8ERES|9RCR
73	41435 23814	   	185.82	DCR|2VULN|2AART|1ASPD|1DUR	1ERES|2MBVNT|35AART|4DUR|6aVULN|7ASPD|8CGEN|9RCR
74	41435 45114	   	185.82	DCR|2VULN|2AART|1ASPD|1DUR	1ERES|2MBVNT|35AART|4DUR|6ASPD|7CGEN|8aVULN|9RCR
75	51242 21253	   	185.77	DCR|4VULN|1DMG|1NUKE|1ZMB	15AME|2MBVNT|3589VULN|4NUKE|5BPWR|6DMG|7RCR|aZMB
76	51241 21253	   	185.67	DCR|4VULN|1DMG|1NUKE|1ZMB	1AME|2MBVNT|3589VULN|4NUKE|6DMG|7RCR|aZMB
77	33316 21256	 * 	185.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1CGEN|2FEWX|3TLV|4ASPD|5ZMB|69DMG|7RCR|8VULN|aCDMG
78	51221 28171	 * 	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1AME|2MBVNT|34VULN|5LIT|6ASPD|7RCR|8LHND|9AART|aDMG
79	51221 28231	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1AME|2MBVNT|34VULN|5LIT|6ASPD|7RCR|8BEXP|9AART|aDMG
80	51225 21614	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1AME|2MBVNT|34VULN|5CGEN|6DMG|7RCR|8ERES|9ASPD|aAART
81	51242 21615	 * 	185.50	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	15AME|2MBVNT|35VULN|4NUKE|5BPWR|6DMG|7RCR|8ERES|9ASPD|aAART
82	31618 61142	 * 	185.40	DCR|2VULN|2CDMG|1ASPD|1DMG	1CGEN|2MBVNT|3ERES|4ASPD|56VULN|7RCR|8aCDMG|9DMG
83	51241 21615	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AME|2MBVNT|35VULN|4NUKE|6DMG|7RCR|8ERES|9ASPD|aAART
84	13122 14266	 * 	185.17	DCR|3VULN|1MDPS|1AART|1DMG	1FEWX|2LEGI|3ERES|479VULN|5MDPS|6RCR|8AART|aDMG
85	12516 21231	 * 	185.17	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2DUST|3RCVC|4ASPD|5ZMB|6DMG|7RCR|8VULN|9AART|aMDPS
86	13516 21231	   	185.17	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2LEGI|3RCVC|4ASPD|5ZMB|6DMG|7RCR|8VULN|9AART|aMDPS
87	31463 12461	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1CGEN|2MBVNT|3AART|4LWND|5DUR|6ASPD|78DMG|9VULN|aRCR
88	41463 12461	   	185.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ERES|2MBVNT|3AART|4LWND|5DUR|6ASPD|78DMG|9VULN|aRCR
89	51225 21151	   	184.15	DCR|3VULN|1DMG|1CDMG|1DUR	1AME|2MBVNT|349VULN|5CGEN|6DMG|7RCR|8CDMG|aDUR
90	51242 21152	   	184.15	DCR|3VULN|1DMG|1NUKE|1CDMG|1DUR	15AME|2MBVNT|359VULN|4NUKE|5BPWR|6DMG|7RCR|8CDMG|aDUR
91	51241 21152	   	184.05	DCR|3VULN|1DMG|1NUKE|1CDMG|1DUR	1AME|2MBVNT|359VULN|4NUKE|6DMG|7RCR|8CDMG|aDUR
92	51225 21141	   	183.90	DCR|2VULN|2DMG|1CDMG|1DUR	1AME|2MBVNT|34VULN|5CGEN|69DMG|7RCR|8CDMG|aDUR
93	51242 21142	   	183.90	DCR|2VULN|2DMG|1NUKE|1CDMG|1DUR	15AME|2MBVNT|35VULN|4NUKE|5BPWR|69DMG|7RCR|8CDMG|aDUR
94	31458 46433	   	183.89	DCR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2MBVNT|3AART|4ZMB|5CDMG|689VULN|7RMIN|aRCR
95	51241 21142	   	183.80	DCR|2VULN|2DMG|1NUKE|1CDMG|1DUR	1AME|2MBVNT|35VULN|4NUKE|69DMG|7RCR|8CDMG|aDUR
96	31458 47433	   	183.79	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1CGEN|2MBVNT|3AART|4ZMB|5CDMG|689VULN|7AAC|aRCR
97	51127 31248	   	183.76	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AME|2MBVNT|3DUST|4VULN|5ASPD|6ZMB|7RCR|8DMG|9AART|aDUR
98	51225 21238	   	183.75	DCR|4VULN|1DMG|1DUR	1AME|2MBVNT|3489VULN|5CGEN|6DMG|7RCR|aDUR
99	41413 16744	   	183.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3AART|4BEXP|5DUR|6ASPD|7CDMG|8VULN|9DMG|aRCR
100	41414 16544	   	183.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3AART|4BEXP|5VULN|6ASPD|7CDMG|8DUR|9DMG|aRCR
101	41432 16744	   	183.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3AART|4DUR|5FEWX|6ASPD|7CDMG|8VULN|9DMG|aRCR
102	41127 31248	   	183.66	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ERES|2MBVNT|3DUST|4VULN|5ASPD|6ZMB|7RCR|8DMG|9AART|aDUR
103	31123 55834	   	183.59	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2MBVNT|3DUST|48VULN|5CDMG|6RCR|7ERES|9AART|aDMG
104	41123 54834	   	183.59	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2MBVNT|3DUST|48VULN|5CDMG|6RCR|7CGEN|9AART|aDMG
105	41434 16744	   	183.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3AART|4DUR|5DUST|6ASPD|7CDMG|8VULN|9DMG|aRCR
106	41435 23441	   	183.50	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1ERES|2MBVNT|35AART|4DUR|6VULN|7ASPD|8RPLT|9DMG|aRCR
107	41435 47441	   	183.50	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1ERES|2MBVNT|35AART|4DUR|6ASPD|7VULN|8RPLT|9DMG|aRCR
108	51225 21215	   	183.37	DCR|3VULN|1AART|1DMG	1AME|2MBVNT|348VULN|5CGEN|6DMG|7RCR|9FEWX|aAART
109	51225 21264	   	183.37	DCR|3VULN|1AART|1DMG	1AME|2MBVNT|348VULN|5CGEN|6DMG|7RCR|9BELT|aAART
110	51242 21214	   	183.37	DCR|3VULN|1AART|1DMG|1NUKE	15AME|2MBVNT|358VULN|4NUKE|5BPWR|6DMG|7RCR|9BELT|aAART
111	51242 21275	   	183.37	DCR|3VULN|1AART|1DMG|1NUKE	15AME|2MBVNT|358VULN|4NUKE|5BPWR|6DMG|7RCR|9LHND|aAART
112	31464 85214	   	183.37	DCR|3VULN|1AART|1ASPD	1CGEN|2MBVNT|3AART|46LWND|56aVULN|6BPWR|7RCR|8ERES|9ASPD
113	31123 52376	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2MBVNT|3DUST|4VULN|5CDMG|6RCR|7LWND|8DMG|9AART|aASPD
114	31618 61414	   	183.27	DCR|3VULN|1AART|1ASPD	1CGEN|2MBVNT|3ERES|4ASPD|568VULN|7RCR|9FEWX|aAART
115	51241 21214	   	183.27	DCR|3VULN|1AART|1DMG|1NUKE	1AME|2MBVNT|358VULN|4NUKE|6DMG|7RCR|9BELT|aAART
116	51241 21275	   	183.27	DCR|3VULN|1AART|1DMG|1NUKE	1AME|2MBVNT|358VULN|4NUKE|6DMG|7RCR|9LHND|aAART
117	51225 21124	 * 	183.27	DCR|3VULN|2CDMG|1DMG	1AME|2MBVNT|34aVULN|5CGEN|6DMG|7RCR|89CDMG
118	51225 21152	   	183.27	DCR|3VULN|2CDMG|1DMG	1AME|2MBVNT|349VULN|5CGEN|6DMG|7RCR|8aCDMG
119	51242 21125	 * 	183.27	DCR|3VULN|2CDMG|1DMG|1NUKE	15AME|2MBVNT|35aVULN|4NUKE|5BPWR|6DMG|7RCR|89CDMG
120	31618 61124	 * 	183.17	DCR|3VULN|2CDMG|1ASPD	1CGEN|2MBVNT|3ERES|4ASPD|56aVULN|7RCR|89CDMG
121	51241 21125	   	183.17	DCR|3VULN|2CDMG|1DMG|1NUKE	1AME|2MBVNT|35aVULN|4NUKE|6DMG|7RCR|89CDMG
122	51242 21241	   	183.13	DCR|3VULN|1AART|1DMG|1NUKE|1SELL	15AME|2MBVNT|358VULN|4NUKE|5BPWR|6DMG|7RCR|9SELL|aAART
123	51241 21241	   	183.03	DCR|3VULN|1AART|1DMG|1NUKE|1SELL	1AME|2MBVNT|358VULN|4NUKE|6DMG|7RCR|9SELL|aAART
124	51225 21142	 * 	183.03	DCR|2VULN|2DMG|2CDMG	1AME|2MBVNT|34VULN|5CGEN|69DMG|7RCR|8aCDMG
125	11232 15344	 * 	182.91	DCR|2AART|1VULN|2CDMG|1ASPD	1FEWX|2AELBLL|34CDMG|5ASPD|6aAART|7CANARM|8RCR|9VULN
126	31617 21264	   	182.71	DCR|2DMG|1VULN|1AART|1ASPD	1CGEN|2MBVNT|3ERES|4ASPD|5MLV|69DMG|7RCR|8VULN|aAART
127	51415 21264	   	182.71	DCR|2DMG|1VULN|1AART|1ASPD	1AME|2MBVNT|3ERES|4ASPD|5CGEN|69DMG|7RCR|8VULN|aAART
128	31315 21264	   	182.61	DCR|2DMG|1VULN|1AART|1ASPD	1CGEN|2MBVNT|3TLV|4ASPD|5ERES|69DMG|7RCR|8VULN|aAART
129	31315 21854	   	182.61	DCR|2DMG|1VULN|1AART|1ASPD	1CGEN|2MBVNT|3TLV|4ASPD|5ERES|68DMG|7RCR|9VULN|aAART
130	41315 21264	   	182.61	DCR|2DMG|1VULN|1AART|1ASPD	1ERES|2MBVNT|3TLV|4ASPD|5CGEN|69DMG|7RCR|8VULN|aAART
131	41157 41214	   	182.41	DCR|3ASPD|1VULN|1AART|1DUR	1ERES|2MBVNT|3DUST|4DUR|578ASPD|6RCR|9AART|aVULN
132	13516 21214	   	182.17	DCR|1AART|1VULN|1ASPD|1DMG|2ZMB	1FEWX|2LEGI|3RCVC|4ASPD|59ZMB|6DMG|7RCR|8VULN|aAART
133	31464 18611	   	182.17	DCR|2VULN|1MDPS|2ASPD|1AART	17CGEN|2MBVNT|3AART|4LWND|57VULN|67ASPD|7BPWR|8AME|9RCR|aMDPS
134	31464 18341	   	182.16	DCR|2VULN|2ASPD|1AART|1DUR	17CGEN|2MBVNT|3AART|4LWND|57VULN|67ASPD|7BPWR|8DUR|9ERES|aRCR
135	41464 18321	   	182.06	DCR|2VULN|2ASPD|1AART|1DUR	17ERES|2MBVNT|3AART|4LWND|57VULN|67ASPD|7BPWR|8DUR|9CGEN|aRCR
136	31127 31861	   	181.98	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB	1CGEN|2MBVNT|3DUST|49VULN|5ASPD|6ZMB|7RCR|8AART|aMDPS
137	11223 12616	   	181.89	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2AELBLL|3CDMG|45MLV|6AART|7RCR|8aVULN|9DMG
138	61223 12616	   	181.89	DCR|2VULN|1AART|1DMG|1CDMG	1DMSP|2FEWX|3CDMG|45MLV|6AART|7RCR|8aVULN|9DMG
139	51225 21246	 * 	181.85	DCR|3VULN|1ASPD|1DMG|1AAC	1AME|2MBVNT|348VULN|5CGEN|6DMG|7RCR|9ASPD|aAAC
140	51221 28137	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG	1AME|2MBVNT|34VULN|5LIT|6ASPD|7RCR|8LHND|9CDMG|aAART
141	51221 28247	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG	1AME|2MBVNT|34VULN|5LIT|6ASPD|7RCR|8BEXP|9CDMG|aAART
142	11116 21231	   	181.76	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2AELBLL|3DUST|4ASPD|5ZMB|6DMG|7RCR|8VULN|9AART|aMDPS
143	11116 21651	   	181.76	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2AELBLL|3DUST|4ASPD|5ZMB|6DMG|7RCR|8AART|9VULN|aMDPS
144	61116 21231	   	181.76	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1ZMB	1DMSP|2FEWX|3DUST|4ASPD|5ZMB|6DMG|7RCR|8VULN|9AART|aMDPS
145	62116 21231	   	181.76	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1ZMB	1DMSP|2LWND|3DUST|4ASPD|5ZMB|6DMG|7RCR|8VULN|9AART|aMDPS
146	56223 32251	 * 	181.76	DCR|2VULN|2ASPD|2CDMG	1AME|2aCGEN|38CDMG|4TLV|5aASPD|6RCR|7BASFIG|9aVULN|aBPWR
147	31288 11151	   	181.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1CGEN|2MBVNT|3AELBLL|4DMG|59VULN|6AAC|7RCR|8CDMG|aAART
148	41421 57212	   	181.66	DCR|2VULN|2ASPD|1AART	15aERES|2MBVNT|3AART|4AME|6RCR|7aVULN|8DMSP|9aASPD|aBPWR
149	31415 55214	   	181.51	DCR|2VULN|2AART|1ASPD	1CGEN|2MBVNT|35AART|4BEXP|6aVULN|7RCR|8ERES|9ASPD
150	51632 38223	   	181.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2MBVNT|3CGEN|4CDMG|5DMG|6DMSP|7RCR|8AART|9VULN|aASPD
151	31332 38223	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2MBVNT|3TLV|4CDMG|5DMG|6DMSP|7RCR|8AART|9VULN|aASPD
152	31632 48273	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	16CGEN|2MBVNT|3ERES|4CDMG|5DMG|7RCR|8AART|9VULN|aASPD
153	31632 18273	   	181.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2MBVNT|36ERES|4CDMG|5DMG|7RCR|8AART|9VULN|aASPD
154	31335 41284	   	181.17	DCR|3VULN|2CDMG|1DMG	1CGEN|2MBVNT|3TLV|47CDMG|56aVULN|8RCR|9DMG
155	51435 41244	   	181.17	DCR|3VULN|2CDMG|1ASPD	1AME|2MBVNT|3ERES|47CDMG|56aVULN|8RCR|9ASPD
156	51435 41284	   	181.17	DCR|3VULN|2CDMG|1DMG	1AME|2MBVNT|3ERES|47CDMG|56aVULN|8RCR|9DMG
157	51127 41247	   	181.09	DCR|2AART|1VULN|1ASPD|1DMG	1AME|2MBVNT|3DUST|4VULN|5ASPD|6TLV|7RCR|8DMG|9aAART
158	41335 41244	   	181.07	DCR|3VULN|2CDMG|1ASPD	1ERES|2MBVNT|3TLV|47CDMG|56aVULN|8RCR|9ASPD
159	41335 41284	   	181.07	DCR|3VULN|2CDMG|1DMG	1ERES|2MBVNT|3TLV|47CDMG|56aVULN|8RCR|9DMG
160	41334 61814	   	181.03	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1ERES|2MBVNT|3TLV|4CDMG|5SELL|6VULN|7RCR|8DMG|9ASPD|aAART
161	41127 41247	   	180.99	DCR|2AART|1VULN|1ASPD|1DMG	1ERES|2MBVNT|3DUST|4VULN|5ASPD|6TLV|7RCR|8DMG|9aAART
