0	Index      	 *	Score 	Summary	Detail	
1	63223 12232	 * 	219.22	DCR|3VULN|2DMG|1AART|1ASPD	125FEWX|29BPWR|349VULN|6AART|79DMG|8RCR|aASPD
12	23334 12412	   	205.85	DCR|3VULN|1SPLARM|2DMG|1CDMG	1TSLFST|25DMG|369VULN|4DUST|7SPLARM|8RCR|aCDMG
13	12224 36533	 * 	205.58	DCR|4VULN|3ASPD|1MDPS|1AART	178MLV|2RCVC|3AART|467ASPD|5678VULN|678BPWR|9MDPS|aRCR
14	63213 12232	   	204.27	DCR|2VULN|2DMG|1AART|1ASPD	125FEWX|29BPWR|39VULN|4RCVC|6AART|79DMG|8RCR|aASPD
15	23325 12412	 * 	204.21	DCR|4VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2DMG|3469VULN|5BEXP|7SPLARM|8RCR|aCDMG
16	23321 12412	   	204.11	DCR|4VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2DMG|3469VULN|5DUST|7SPLARM|8RCR|aCDMG
17	12435 41232	   	203.69	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2RCVC|3aVULN|4AART|5CDMG|6DMG|7ASPD|8RCR|9BEXP
18	21874 74432	   	203.61	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	19TSLFST|2MBVNT|3AART|49DMG|5MDPS|6CDMG|7ZMB|89VULN|9BPWR|aRCR
19	63223 12252	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	125FEWX|2BPWR|349VULN|6AART|7DMG|8RCR|aASPD
20	14234 12314	   	201.43	DCR|3VULN|1AART|1ASPD|2ZMB|1DUR	1MLV|24ZMB|348VULN|4BPWR|5RPLT|6ASPD|7AART|9RCR|aDUR
21	23132 63622	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD	1TSLFST|26DMG|3LIT|4BEXP|56VULN|6BPWR|7LHND|8RCR|9ASPD|aAART
22	23132 64432	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD	1TSLFST|26DMG|3LIT|4BEXP|56VULN|6BPWR|7ASPD|8RCR|9LHND|aAART
23	23262 63622	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD	1TSLFST|26DMG|3BEXP|4LIT|56VULN|6BPWR|7LHND|8RCR|9ASPD|aAART
24	23321 24461	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD	1TSLFST|2aDMG|34VULN|5DUST|6LIT|7ASPD|8RCR|9AART
25	53613 31113	 * 	199.49	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|2BEXP|36CDMG|56VULN|6BPWR|7ASPD|8LIT|9MLV|aRCR
26	53613 31163	   	199.49	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|2BEXP|36CDMG|56VULN|6BPWR|7ASPD|8LIT|9AME|aRCR
27	55613 31113	   	199.49	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|2FEWX|36CDMG|56VULN|6BPWR|7ASPD|8LIT|9MLV|aRCR
28	53613 31133	   	199.39	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|2BEXP|36CDMG|56VULN|6BPWR|7ASPD|8LIT|9ERES|aRCR
29	53613 31338	   	199.39	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|29BEXP|36CDMG|56VULN|6BPWR|7ASPD|8MBVNT|aRCR
30	55613 31133	   	199.39	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|2FEWX|36CDMG|56VULN|6BPWR|7ASPD|8LIT|9ERES|aRCR
31	21328 41363	   	199.23	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1TSLFST|2MBVNT|3AAC|458VULN|6ASPD|7DMG|9RCR|aAART
32	51212 22314	   	199.22	DCR|3VULN|1AART|1DMG|2ZMB	1AART|248LIT|3DMSP|589VULN|6RCR|78ZMB|8BPWR|aDMG
33	63223 12231	   	199.06	DCR|3VULN|2DMG|1AART	125FEWX|29BPWR|349VULN|6AART|79DMG|8RCR|aERES
34	63223 12233	   	199.06	DCR|3VULN|2DMG|1AART	125FEWX|29BPWR|349VULN|6AART|79DMG|8RCR|aDUST
35	63223 12236	   	199.06	DCR|3VULN|2DMG|1AART|1MSE	125FEWX|29BPWR|349VULN|6AART|79DMG|8RCR|aMSE
36	23132 64532	 * 	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1TSLFST|26DMG|3LIT|4BEXP|56VULN|6BPWR|78ASPD|9RCR|aDUR
37	23224 12411	   	198.01	DCR|3VULN|1SPLARM|2DMG|1DUR	1TSLFST|25DMG|3BEXP|469VULN|7SPLARM|8RCR|aDUR
38	23314 12411	   	198.01	DCR|3VULN|1SPLARM|2DMG|1DUR	1TSLFST|25DMG|369VULN|4FEWX|7SPLARM|8RCR|aDUR
39	23354 12411	   	198.01	DCR|3VULN|1SPLARM|2DMG|1DUR	1TSLFST|25DMG|369VULN|4BEXP|7SPLARM|8RCR|aDUR
40	23334 12411	   	197.91	DCR|3VULN|1SPLARM|2DMG|1DUR	1TSLFST|25DMG|369VULN|4DUST|7SPLARM|8RCR|aDUR
41	56134 23212	 * 	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CGEN|456VULN|7MBVNT|8RCR|9DMG|aCDMG
42	14234 12211	 * 	197.25	DCR|2VULN|1AART|1ASPD|1NUKE|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9NUKE|aFEWX
43	14234 12212	 * 	197.25	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9NUKE|aCDMG
44	14234 12213	   	197.25	DCR|2VULN|1AART|1ASPD|1NUKE|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9NUKE|aDUST
45	14234 12214	   	197.25	DCR|2VULN|1AART|1ASPD|1NUKE|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9NUKE|aDMSP
46	14234 12215	 * 	197.25	DCR|3VULN|1AART|1ASPD|1NUKE|2ZMB	1MLV|24ZMB|34aVULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9NUKE
47	14234 12216	   	197.25	DCR|2VULN|1AART|1ASPD|1NUKE|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9NUKE|aRCVC
48	12435 41213	   	196.71	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1MLV|2RCVC|3aVULN|4AART|5CDMG|6DMG|7ASPD|8RCR|9AAC
49	23325 12411	   	196.27	DCR|4VULN|1SPLARM|1DMG|1DUR	1TSLFST|2DMG|3469VULN|5BEXP|7SPLARM|8RCR|aDUR
50	23321 12411	   	196.17	DCR|4VULN|1SPLARM|1DMG|1DUR	1TSLFST|2DMG|3469VULN|5DUST|7SPLARM|8RCR|aDUR
51	63222 13426	   	196.14	DCR|2VULN|2DMG|2ASPD|1DUR	129FEWX|29BPWR|34VULN|59DMG|6DUST|7DUR|89ASPD|aRCR
52	14234 12232	   	195.87	DCR|3VULN|1AART|1ASPD|2ZMB	1MLV|24ZMB|34aVULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9RCVC
53	21328 41263	 * 	195.62	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1TSLFST|2MBVNT|3AAC|45VULN|68ASPD|7DMG|9RCR|aAART
54	44232 13334	   	195.61	DCR|3VULN|1ASPD|1DMG|2ZMB|1DUR	1CGEN|24ZMB|349VULN|4BPWR|5DMG|6DUST|7DUR|8ASPD|aRCR
55	56213 31423	 * 	195.55	DCR|3VULN|2AART|1ASPD	14AART|2RPLT|36AELBLL|56aVULN|6BPWR|7ASPD|8TLV|9RCR
56	44222 21334	   	195.37	DCR|2VULN|2DMG|1ASPD|2ZMB|1DUR	1CGEN|26ZMB|39VULN|4DUR|56DMG|6BPWR|7DUST|8ASPD|aRCR
57	14234 12252	   	195.12	DCR|3VULN|1AART|1ASPD|2ZMB	1MLV|24ZMB|34aVULN|4BPWR|59RPLT|6ASPD|7AART|8RCR
58	14232 31236	   	194.66	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5DMG|6SPLREG|7MBVNT|8ASPD|9RCR|aCDMG
59	52363 31631	 * 	194.65	DCR|3DMG|1VULN|1AART|1CDMG	1AART|2SPLJET|3LEGI|48aDMG|5CGEN|6CDMG|7RCR|9VULN
60	63213 12234	   	194.54	DCR|2VULN|2DMG|1AART|1ZMB	125FEWX|29BPWR|39VULN|4RCVC|6AART|79DMG|8RCR|aZMB
61	12435 43232	   	193.96	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCVC|3aVULN|4AART|5CDMG|6DMG|7ZMB|8RCR|9BEXP
62	56213 31224	 * 	193.93	DCR|2VULN|2AART|2ASPD	14AART|2RPLT|36AELBLL|56VULN|6BPWR|7aASPD|8RCR|9MBVNT
63	53612 41221	 * 	193.71	DCR|2AART|2ASPD|2CDMG|1DMG	14AART|2aBEXP|3aCDMG|5CGEN|6DMG|7aASPD|8RCR|9RPLT|aBPWR
64	52361 31412	   	193.58	DCR|2VULN|2DMG|1AART|1CDMG	1AART|28SPLJET|3LEGI|48DMG|5CDMG|6LHND|78VULN|8BPWR|9FEWX|aRCR
65	14234 12262	   	193.54	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	1MLV|24ZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9CGEN|aCDMG
66	52361 21412	   	193.48	DCR|2VULN|2DMG|1AART|1CDMG	1AART|28SPLJET|3LEGI|48DMG|5CDMG|6DUST|78VULN|8BPWR|9FEWX|aRCR
67	14234 12311	   	193.12	DCR|3VULN|1AART|1ASPD|2ZMB	1MLV|24ZMB|348VULN|4BPWR|5RPLT|6ASPD|7AART|9RCR|aBELT
68	14234 12313	   	193.12	DCR|3VULN|1AART|1ASPD|2ZMB	1MLV|24ZMB|348VULN|4BPWR|5RPLT|6ASPD|7AART|9RCR|aLHND
69	14234 12316	   	193.12	DCR|3VULN|1AART|1ASPD|2ZMB	1MLV|24ZMB|348VULN|4BPWR|5RPLT|6ASPD|7AART|9RCR|aBEXP
70	23334 62623	 * 	192.73	DCR|3VULN|3DMG	1TSLFST|259DMG|38aVULN|4DUST|6LWND|7RCR
71	14264 12312	   	192.69	DCR|3VULN|1AART|1ASPD|1ZMB	1MLV|2ZMB|38aVULN|4RCVC|5RPLT|6ASPD|7AART|9RCR
72	14432 24312	   	192.69	DCR|3VULN|1AART|1ASPD|1ZMB	1MLV|2ZMB|3RPLT|4RCVC|5ASPD|6AART|78aVULN|9RCR
73	14434 12312	   	192.69	DCR|3VULN|1AART|1ASPD|1ZMB	1MLV|2ZMB|3RPLT|4RCVC|58aVULN|6ASPD|7AART|9RCR
74	42532 22312	   	192.69	DCR|3VULN|1AART|1ASPD|1ZMB	1CGEN|2RPLT|3ZMB|4RCVC|5ASPD|6AART|78aVULN|9RCR
75	44432 22312	   	192.69	DCR|3VULN|1AART|1ASPD|1ZMB	1CGEN|2ZMB|3RPLT|4RCVC|5ASPD|6AART|78aVULN|9RCR
76	11236 35335	 * 	192.26	DCR|3VULN|2ASPD|1CDMG	15MLV|24CGEN|349VULN|4BPWR|6RCR|78ASPD|aCDMG
77	22452 12412	   	192.10	DCR|3VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2RCVC|369VULN|4FEWX|5DMG|7SPLARM|8RCR|aCDMG
78	63223 12245	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	125FEWX|2BPWR|34VULN|6AART|7DMG|8RCR|9ASPD|aDUR
79	22412 12412	   	192.00	DCR|3VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2RCVC|369VULN|4DUST|5DMG|7SPLARM|8RCR|aCDMG
80	21442 42474	 * 	191.83	DCR|1SPLARM|2VULN|2DMG|1ASPD	1TSLFST|2MBVNT|3DMSP|49VULN|5aDMG|6ASPD|7SPLARM|8RCR
81	23325 11236	 * 	191.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1TSLFST|2DMG|346VULN|5BEXP|7MBVNT|8ASPD|9RCR|aCDMG
82	63223 12254	   	191.80	DCR|3VULN|1AART|1DMG|1ZMB	125FEWX|2BPWR|349VULN|6AART|7DMG|8RCR|aZMB
83	23321 11236	   	191.71	DCR|3VULN|1ASPD|1DMG|1CDMG	1TSLFST|2DMG|346VULN|5DUST|7MBVNT|8ASPD|9RCR|aCDMG
84	23551 12412	   	191.58	DCR|3VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2DMG|3RCVC|469VULN|5DUST|7SPLARM|8RCR|aCDMG
85	21325 34236	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	17TSLFST|2MBVNT|3AAC|47VULN|57DMG|6RMIN|7BPWR|8ASPD|9RCR|aCDMG
86	21352 14236	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	17TSLFST|2MBVNT|3AAC|4RMIN|57DMG|67VULN|7BPWR|8ASPD|9RCR|aCDMG
87	21412 14236	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG	17TSLFST|2MBVNT|3DMSP|4DUST|57DMG|67VULN|7BPWR|8ASPD|9RCR|aCDMG
88	23224 11236	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1TSLFST|25DMG|3BEXP|46VULN|7MBVNT|8ASPD|9RCR|aCDMG
89	23314 11236	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1TSLFST|25DMG|36VULN|4FEWX|7MBVNT|8ASPD|9RCR|aCDMG
90	23354 11236	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1TSLFST|25DMG|36VULN|4BEXP|7MBVNT|8ASPD|9RCR|aCDMG
91	23132 63652	   	191.56	DCR|2VULN|2DMG|1AART|1ZMB	1TSLFST|26DMG|3LIT|4BEXP|56VULN|6BPWR|7LHND|8RCR|9ZMB|aAART
92	51262 21326	 * 	191.52	DCR|2VULN|1AART|2CDMG|1DMG	1AART|29LIT|34DMSP|59VULN|6RCR|79CDMG|8RMIN|9BPWR|aDMG
93	56134 22232	 * 	191.51	DCR|5VULN|1AART	1AART|2RPLT|3CGEN|4567aVULN|8RCR|9FEWX
94	23334 11236	   	191.46	DCR|2VULN|2DMG|1ASPD|1CDMG	1TSLFST|25DMG|36VULN|4DUST|7MBVNT|8ASPD|9RCR|aCDMG
95	52114 31633	 * 	191.45	DCR|2AART|2DMG|1ASPD|1CDMG	19AART|2SPLJET|3AME|48DMG|5LHND|6CDMG|7RCR|aASPD
96	56134 22222	   	191.41	DCR|5VULN|1AART	1AART|2RPLT|3CGEN|4567aVULN|8RCR|9MBVNT
97	56134 23232	   	191.41	DCR|5VULN|1AART	1AART|2RPLT|3CGEN|4569aVULN|7MBVNT|8RCR
98	23321 31636	   	191.14	DCR|3VULN|2DMG|1ASPD	1TSLFST|27DMG|348VULN|5DUST|6MLV|9ASPD|aRCR
99	23321 41636	   	191.14	DCR|3VULN|2DMG|1ASPD	1TSLFST|27DMG|348VULN|5DUST|6CGEN|9ASPD|aRCR
100	23322 21636	   	191.14	DCR|3VULN|2DMG|1ASPD	1TSLFST|27DMG|348VULN|5AME|6DUST|9ASPD|aRCR
101	23324 21636	   	191.14	DCR|3VULN|2DMG|1ASPD	1TSLFST|27DMG|348VULN|5CGEN|6DUST|9ASPD|aRCR
102	14232 31238	 * 	190.87	DCR|2VULN|3ZMB|1ASPD|1DMG	1MLV|24aZMB|34VULN|4BPWR|5DMG|6SPLREG|7MBVNT|8ASPD|9RCR
103	23323 52412	   	190.82	DCR|3VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2DMG|349VULN|5RCVC|6BEXP|7SPLARM|8RCR|aCDMG
104	23323 42412	   	190.72	DCR|3VULN|1SPLARM|1DMG|1CDMG	1TSLFST|2DMG|349VULN|5RCVC|6DUST|7SPLARM|8RCR|aCDMG
105	63222 63224	 * 	190.17	DCR|3VULN|2ASPD|1DMG	128FEWX|2aBPWR|34aVULN|5DMG|6aLIT|7aASPD|9RCR
106	56213 33224	   	190.05	DCR|2VULN|2AART|1ASPD|1ZMB	14AART|2RPLT|36AELBLL|56VULN|6BPWR|7ZMB|8RCR|9MBVNT|aASPD
107	52571 21324	   	190.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2SPLJET|3MBVNT|4DMG|5CDMG|6DUST|7aVULN|8RCR|9ZMB
108	13233 36325	 * 	190.01	DCR|3VULN|1ASPD|1DMG|1NUKE|1CDMG	14MLV|2NUKE|346VULN|4BPWR|5FEWX|7DMG|8ASPD|9CDMG|aRCR
109	21871 21324	   	189.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TSLFST|2MBVNT|3AART|4DMG|5CDMG|6DUST|7aVULN|8RCR|9ZMB
110	11135 41243	   	189.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2CGEN|3ERES|4AART|5CDMG|6DMG|7ASPD|8RCR|9ZMB|aVULN
111	14234 12243	 * 	189.74	DCR|2VULN|3ZMB|1AART|1ASPD	1MLV|24aZMB|34VULN|4BPWR|5RPLT|6ASPD|7AART|8RCR|9LIT
112	23132 64533	   	189.73	DCR|2VULN|2DMG|2ASPD	1TSLFST|26DMG|3LIT|4BEXP|56VULN|6BPWR|78ASPD|9RCR|aLWND
113	23224 12413	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|3BEXP|469VULN|7SPLARM|8RCR|aCGEN
114	23224 12414	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|3BEXP|469VULN|7SPLARM|8RCR|aBELT
115	23224 12416	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|3BEXP|469VULN|7SPLARM|8RCR|aRMIN
116	23314 12413	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4FEWX|7SPLARM|8RCR|aCGEN
117	23314 12414	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4FEWX|7SPLARM|8RCR|aBELT
118	23314 12416	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4FEWX|7SPLARM|8RCR|aRMIN
119	23354 12413	   	189.70	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4BEXP|7SPLARM|8RCR|aCGEN
120	51212 22355	   	189.70	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1AART|248LIT|3DMSP|58VULN|6RCR|78ZMB|8BPWR|9DUR|aDMG
121	53613 33338	   	189.66	DCR|2VULN|2AART|2CDMG|1ZMB	14AART|29BEXP|36CDMG|56VULN|6BPWR|7ZMB|8MBVNT|aRCR
122	23132 64531	   	189.63	DCR|2VULN|2DMG|2ASPD	1TSLFST|26DMG|3LIT|4BEXP|56VULN|6BPWR|78ASPD|9RCR|aTLV
123	23334 12413	   	189.60	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4DUST|7SPLARM|8RCR|aCGEN
124	23334 12414	   	189.60	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4DUST|7SPLARM|8RCR|aBELT
125	23334 12415	   	189.60	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4DUST|7SPLARM|8RCR|aBEXP
126	23334 12416	   	189.60	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|369VULN|4DUST|7SPLARM|8RCR|aRMIN
127	23334 12435	   	189.60	DCR|3VULN|1SPLARM|2DMG	1TSLFST|25DMG|36aVULN|4DUST|7SPLARM|8RCR|9FEWX
128	23321 24536	   	189.53	DCR|2VULN|2DMG|2ASPD	1TSLFST|2aDMG|34VULN|5DUST|6LIT|78ASPD|9RCR
129	21328 46363	   	189.50	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB	1TSLFST|2MBVNT|3AAC|458VULN|6ASPD|7ZMB|9RCR|aAART
130	53612 41223	   	189.45	DCR|2AART|2DMG|1ASPD|1CDMG	14AART|2BEXP|3CDMG|5CGEN|6aDMG|7ASPD|8RCR|9RPLT
131	23162 62632	   	189.43	DCR|2VULN|2DMG|1AART|1DUR	1TSLFST|26DMG|3LIT|4DUR|56VULN|6BPWR|7BEXP|8RCR|9TLV|aAART
132	56134 23312	   	189.41	DCR|5VULN|1AART	1AART|2RPLT|3CGEN|4568aVULN|7MBVNT|9RCR
133	23321 15636	 * 	189.40	DCR|4VULN|1ASPD|1DMG	1TSLFST|2DMG|3468VULN|5DUST|7AME|9ASPD|aRCR
134	23321 16636	   	189.40	DCR|4VULN|1ASPD|1DMG	1TSLFST|2DMG|3468VULN|5DUST|7MLV|9ASPD|aRCR
135	23322 31636	   	189.40	DCR|4VULN|1ASPD|1DMG	1TSLFST|2DMG|3468VULN|5AME|7DUST|9ASPD|aRCR
136	23324 31636	   	189.40	DCR|4VULN|1ASPD|1DMG	1TSLFST|2DMG|3468VULN|5CGEN|7DUST|9ASPD|aRCR
137	23152 63632	   	189.33	DCR|2VULN|2DMG|1AART|1DUR	1TSLFST|26DMG|3LIT|4DUST|56VULN|6BPWR|7DUR|8RCR|9TLV|aAART
138	64126 12232	   	189.31	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	19FEWX|29BEXP|3MDPS|4DUR|5VULN|6AART|79DMG|8RCR|9BPWR|aASPD
139	51262 21321	 * 	189.29	DCR|3VULN|1AART|2CDMG	1AART|29LIT|34DMSP|59aVULN|6RCR|79CDMG|8RMIN|9BPWR
