0	Index      	 *	Score 	Summary	Detail	
1	15122 35241	 * 	214.41	3VULN|1SPLARM|2DMG|1MDPS|1AART	1RCVC|2SPLARM|356VULN|4AART|7CGEN|89DMG|aMDPS
23	35231 55321	   	197.76	DCR|2VULN|2DMG|1NUKE|1CDMG	1CGEN|2CDMG|3LHND|48DMG|5LIT|6RCR|79VULN|aNUKE
24	25131 55321	   	197.66	DCR|2VULN|2DMG|1NUKE|1CDMG	1ERES|2CDMG|3LIT|4LHND|58DMG|6RCR|79VULN|aNUKE
25	35141 25213	 * 	196.41	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1CGEN|2CDMG|3LIT|4aVULN|5DMG|6RPLT|7RCR|8AART|9SPLARM
26	15122 42336	 * 	194.98	DCR|1SPLARM|2VULN|2AART|1ZMB|1DUR	1RCVC|2SPLARM|35VULN|4aAART|6DUR|7LHND|8ZMB|9RCR
27	12132 61322	 * 	194.90	DCR|3DMG|1VULN|1AART|1ZMB	1RCVC|28aDMG|3FEWX|4AART|5VULN|6RCR|7DLOT|9ZMB
28	12442 21532	 * 	194.81	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3DUR|4ZMB|5LIT|6CDMG|7RCR|89ASPD|aVULN
29	15122 34136	 * 	194.07	DCR|3VULN|1SPLARM|2AART|1MDPS	1RCVC|2SPLARM|356VULN|4aAART|7MDPS|8CGEN|9RCR
30	15122 34236	   	193.97	DCR|3VULN|1SPLARM|2AART|1MDPS	1RCVC|2SPLARM|356VULN|4aAART|7MDPS|8TLV|9RCR
31	56333 21631	 * 	192.97	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR	1DUR|2aASPD|3LWND|4LIT|5AART|6RCR|7VULN|8SPLREG|9CDMG
32	12242 21621	   	192.67	DCR|2VULN|1DMG|1NUKE|1CDMG|1ZMB	1RCVC|2DMG|3LHND|4ZMB|5LIT|6CDMG|7RCR|89VULN|aNUKE
33	12342 21621	   	192.67	DCR|2VULN|1DMG|1NUKE|1CDMG|1ZMB	1RCVC|2DMG|3LWND|4ZMB|5LIT|6CDMG|7RCR|89VULN|aNUKE
34	15221 48221	   	192.53	DCR|1SPLARM|2VULN|1AART|1ASPD|1DUR	1RCVC|2SPLARM|3LHND|4AART|5DUR|6MBVNT|7RCR|8ASPD|9aVULN
35	53265 11232	 * 	192.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2CGEN|3ZMB|4LIT|5DMG|6VULN|78ASPD|9AART|aRCR
36	56263 11332	   	192.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1DUR|27ASPD|3ZMB|4LIT|5ERES|6VULN|8DMG|9AART|aRCR
37	22413 51362	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	14ERES|2AME|3DUR|5CDMG|6RCR|7AART|89VULN|aDMG
38	23413 51362	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	14ERES|2MLV|3DUR|5CDMG|6RCR|7AART|89VULN|aDMG
39	12132 62355	   	191.87	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|37FEWX|4AART|5aVULN|6RCR|8LIT|9ASPD
40	12132 63251	   	191.87	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7LWND|8AME|9ASPD
41	12132 64351	   	191.87	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7RMIN|8LWND|9ASPD
42	12132 66352	   	191.87	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|57VULN|6RCR|8LIT|9ASPD|aAME
43	12132 66353	   	191.87	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|57VULN|6RCR|8LIT|9ASPD|aMLV
44	12132 63651	   	191.77	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7LWND|8ERES|9ASPD
45	12132 65351	   	191.77	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7ERES|8LWND|9ASPD
46	12132 66214	   	191.77	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|57VULN|6RCR|8BELT|9DUST|aASPD
47	12633 21643	 * 	191.77	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RCVC|2DMG|3MDPS|4LIT|5DMSP|6RCR|7ASPD|8aVULN|9AART
48	12243 36133	   	190.67	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3LHND|4ZMB|5CDMG|6RPLT|7ASPD|8RCR|9aVULN
49	15122 15333	   	190.56	DCR|1SPLARM|2VULN|1AART|1DMG|1ZMB	1RCVC|2SPLARM|35VULN|4AART|6LEGI|7BEXP|8ZMB|9RCR|aDMG
50	12132 64121	   	190.44	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7RMIN|8DUR|9ZMB
51	12132 65121	   	190.34	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7ERES|8DUR|9ZMB
52	35111 25613	 * 	189.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CGEN|2CDMG|3LIT|4DUR|5DMG|6RPLT|7RCR|8VULN|9AART|aASPD
53	12132 66343	   	189.64	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|57aVULN|6RCR|8LIT|9CGEN
54	12132 66621	   	189.64	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|57aVULN|6RCR|8LHND|9BEXP
55	12136 66331	   	189.64	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|5LHND|6RCR|79aVULN|8BEXP
56	12132 61561	   	189.54	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|59aVULN|6RCR|7DLOT|8LHND
57	12132 66421	   	189.54	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|57aVULN|6RCR|8DUST|9BEXP
58	12132 66433	   	189.54	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8DUST|aDMSP
59	12132 66521	   	189.54	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|57aVULN|6RCR|8MBVNT|9BEXP
60	12132 66533	   	189.54	DCR|3VULN|1AART|1DMG	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8MBVNT|aDMSP
61	12132 66631	   	189.54	DCR|3VULN|1AART|1DMG|1MSE	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8LHND|aMSE
62	12132 61213	   	189.49	DCR|2VULN|2DMG|1AART	1RCVC|2aDMG|3FEWX|4AART|5aVULN|6RCR|7DLOT|8RPLT|9aLIT|aBPWR
63	12132 66431	   	189.44	DCR|3VULN|1AART|1DMG|1MSE	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8DUST|aMSE
64	12132 66531	   	189.44	DCR|3VULN|1AART|1DMG|1MSE	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8MBVNT|aMSE
65	12132 66116	   	189.39	DCR|2VULN|2DMG|1AART	1RCVC|2aDMG|3FEWX|4AART|57VULN|6RCR|89AELBLL
66	12132 61311	   	189.29	DCR|2VULN|2DMG|1AART	1RCVC|28DMG|3FEWX|4AART|5aVULN|6RCR|7DLOT|9LWND
67	12132 61331	   	189.29	DCR|2VULN|2DMG|1AART	1RCVC|28DMG|3FEWX|4AART|5aVULN|6RCR|7DLOT|9LHND
68	12132 66514	   	188.68	DCR|2VULN|1AART|1DMG|1CDMG	19RCVC|2DMG|3FEWX|4AART|57VULN|6RCR|8MBVNT|aCDMG
69	15122 45133	   	188.63	DCR|1SPLARM|2VULN|1AART|1DMG|1DUR	1RCVC|2SPLARM|35VULN|4AART|6DUR|7BEXP|8CGEN|9RCR|aDMG
70	15122 51233	   	188.63	DCR|1SPLARM|2VULN|1AART|1DMG|1DUR	1RCVC|2SPLARM|35VULN|4AART|6RMIN|7BEXP|8DUR|9RCR|aDMG
71	12132 66613	   	188.61	DCR|2VULN|2AART|1DMG	19RCVC|2DMG|3FEWX|4aAART|57VULN|6RCR|8LHND
72	15122 45233	   	188.53	DCR|1SPLARM|2VULN|1AART|1DMG|1DUR	1RCVC|2SPLARM|35VULN|4AART|6DUR|7BEXP|8TLV|9RCR|aDMG
73	35111 51621	   	188.48	DCR|2VULN|1DMG|1NUKE|1CDMG|1DUR	1CGEN|2CDMG|3LIT|4DUR|5DMG|6RCR|7AELBLL|89VULN|aNUKE
74	12132 16121	   	188.44	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2DMG|3FEWX|4AART|5aVULN|6CGEN|7RCR|8DUR|9ZMB
75	15122 55321	   	188.40	DCR|3VULN|1SPLARM|1AART|1DUR	1RCVC|2SPLARM|359VULN|4AART|6RMIN|7DUR|8RCR|aSPLJET
76	25111 51621	   	188.38	DCR|2VULN|1DMG|1NUKE|1CDMG|1DUR	1ERES|2CDMG|3LIT|4DUR|5DMG|6RCR|7AELBLL|89VULN|aNUKE
77	15122 55322	   	188.30	DCR|3VULN|1SPLARM|1AART|1DUR	1RCVC|2SPLARM|359VULN|4AART|6RMIN|7DUR|8RCR|aDUST
78	22413 51363	 * 	188.01	DCR|2VULN|2AART|1CDMG|1DUR	14ERES|2AME|3DUR|5CDMG|6RCR|7aAART|89VULN
79	23413 51363	   	188.01	DCR|2VULN|2AART|1CDMG|1DUR	14ERES|2MLV|3DUR|5CDMG|6RCR|7aAART|89VULN
80	12132 62534	   	187.95	DCR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|37FEWX|4AART|59VULN|6RCR|8MBVNT|aCDMG
81	12132 66124	   	187.95	DCR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3FEWX|4AART|57VULN|6RCR|8AELBLL|9MBVNT|aCDMG
82	12132 62633	   	187.88	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|37FEWX|4aAART|59VULN|6RCR|8LHND
83	12132 66143	   	187.88	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|3FEWX|4aAART|57VULN|6RCR|8AELBLL|9LWND
84	12132 66242	   	187.88	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|3FEWX|4aAART|57VULN|6RCR|8BELT|9CGEN
85	12134 62133	   	187.88	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|37FEWX|4aAART|5LWND|6RCR|89VULN
86	12134 63133	   	187.88	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|3FEWX|4aAART|57LWND|6RCR|89VULN
87	12136 62133	   	187.88	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|37FEWX|4aAART|5LHND|6RCR|89VULN
88	12132 65633	   	187.78	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|3FEWX|4aAART|59VULN|6RCR|7ERES|8CGEN
89	25111 25313	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2CDMG|3LIT|4DUR|5DMG|6RPLT|7VULN|8RCR|9AART|aASPD
90	12133 36561	   	187.67	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|3FEWX|4AART|5MBVNT|6TLV|7aVULN|8RCR|9ASPD
91	12132 61325	   	187.55	DCR|2DMG|1VULN|1AART|1ZMB|1DUR	1RCVC|28DMG|3FEWX|4AART|5VULN|6RCR|7DLOT|9ZMB|aDUR
92	15122 22336	   	186.67	DCR|1SPLARM|2VULN|2AART|1ZMB	1RCVC|2SPLARM|35VULN|4aAART|6FEWX|7LHND|8ZMB|9RCR
93	15222 24336	   	186.67	DCR|1SPLARM|2VULN|2AART|1ZMB	1RCVC|2SPLARM|3LHND|4aAART|57VULN|6FEWX|8ZMB|9RCR
94	15122 13336	   	186.57	DCR|1SPLARM|2VULN|2AART|1ZMB	1RCVC|2SPLARM|35VULN|4aAART|6LEGI|7FEWX|8ZMB|9RCR
95	15122 15336	   	186.57	DCR|1SPLARM|2VULN|2AART|1ZMB	1RCVC|2SPLARM|35VULN|4aAART|6LEGI|7BEXP|8ZMB|9RCR
96	15122 62336	   	186.57	DCR|1SPLARM|2VULN|2AART|1ZMB	1RCVC|2SPLARM|35VULN|4aAART|6DUST|7LHND|8ZMB|9RCR
97	12242 21532	   	186.51	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3LHND|4ZMB|5LIT|6CDMG|7RCR|89ASPD|aVULN
98	12242 21534	 * 	186.51	DCR|2ASPD|1AART|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3LHND|4ZMB|5LIT|6CDMG|7RCR|89ASPD|aAART
99	12342 21532	   	186.51	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3LWND|4ZMB|5LIT|6CDMG|7RCR|89ASPD|aVULN
100	12342 21534	   	186.51	DCR|2ASPD|1AART|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3LWND|4ZMB|5LIT|6CDMG|7RCR|89ASPD|aAART
101	12341 35433	   	186.44	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2DMG|3LWND|4ZMB|5FEWX|6DUR|7AART|8RCR|9aVULN
102	15122 33156	 * 	186.26	2SPLARM|4VULN|2DMG|1AART	17RCVC|2aSPLARM|356aVULN|4AART|8aDMG|9LEGI|aBPWR
103	35111 55322	   	186.00	DCR|2VULN|2DMG|1CDMG|1DUR	1CGEN|2CDMG|3aLIT|4DUR|58DMG|6RCR|79VULN
104	35111 55323	   	186.00	DCR|2VULN|2DMG|1CDMG|1DUR	1CGEN|2CDMG|3LIT|4DUR|58DMG|6RCR|79VULN|aLWND
105	35141 52322	   	186.00	DCR|2VULN|2DMG|1CDMG|1DUR	1CGEN|2CDMG|3aLIT|49VULN|58DMG|6RCR|7DUR
106	35141 52323	   	186.00	DCR|2VULN|2DMG|1CDMG|1DUR	1CGEN|2CDMG|3LIT|49VULN|58DMG|6RCR|7DUR|aLWND
107	25111 55322	   	185.90	DCR|2VULN|2DMG|1CDMG|1DUR	1ERES|2CDMG|3aLIT|4DUR|58DMG|6RCR|79VULN
108	25111 55323	   	185.90	DCR|2VULN|2DMG|1CDMG|1DUR	1ERES|2CDMG|3LIT|4DUR|58DMG|6RCR|79VULN|aLWND
109	25141 52322	   	185.90	DCR|2VULN|2DMG|1CDMG|1DUR	1ERES|2CDMG|3aLIT|49VULN|58DMG|6RCR|7DUR
110	25141 52323	   	185.90	DCR|2VULN|2DMG|1CDMG|1DUR	1ERES|2CDMG|3LIT|49VULN|58DMG|6RCR|7DUR|aLWND
111	15123 63215	   	185.79	DCR|2SPLARM|2VULN|1AART|1ASPD|1NUKE	1RCVC|2aSPLARM|3aVULN|4AART|5CANARM|6ASPD|7aBEXP|8NUKE|9RCR|aBPWR
112	12132 16533	   	185.78	DCR|2VULN|2AART|1DMG	1RCVC|2DMG|3FEWX|4aAART|59VULN|6CGEN|7RCR|8ERES
113	12122 55352	   	185.59	DCR|2VULN|2DMG|1AART	1RCVC|2aDMG|345FEWX|6aVULN|7AART|8RCR|9aLHND|aBPWR
114	12122 55362	   	185.59	DCR|2VULN|2DMG|1AART	1RCVC|2aDMG|345FEWX|6aVULN|7AART|8RCR|9aLWND|aBPWR
115	12414 33232	 * 	185.25	DCR|3DMG|1AART|1ASPD|1DUR	1RCVC|29aDMG|3DUR|45BELT|6ASPD|7AART|8RCR
116	15121 24136	   	184.64	DCR|1SPLARM|2VULN|2AART|1DUR	1RCVC|2SPLARM|37VULN|4aAART|5DUR|6FEWX|8CGEN|9RCR
117	15122 42136	   	184.64	DCR|1SPLARM|2VULN|2AART|1DUR	1RCVC|2SPLARM|35VULN|4aAART|6DUR|7LHND|8CGEN|9RCR
118	15122 43136	   	184.64	DCR|1SPLARM|2VULN|2AART|1DUR	1RCVC|2SPLARM|35VULN|4aAART|6DUR|7FEWX|8CGEN|9RCR
119	15121 24236	   	184.54	DCR|1SPLARM|2VULN|2AART|1DUR	1RCVC|2SPLARM|37VULN|4aAART|5DUR|6FEWX|8TLV|9RCR
120	15122 42236	   	184.54	DCR|1SPLARM|2VULN|2AART|1DUR	1RCVC|2SPLARM|35VULN|4aAART|6DUR|7LHND|8TLV|9RCR
121	15122 43236	   	184.54	DCR|1SPLARM|2VULN|2AART|1DUR	1RCVC|2SPLARM|35VULN|4aAART|6DUR|7FEWX|8TLV|9RCR
