0	Index      	 *	Score 	Summary	Detail	
1	12522 24143	 * 	215.94	DCR|3VULN|2ASPD|1DMG|1NUKE	14ASPD|2LEGI|348VULN|4BPWR|5DUST|6RCR|7SPLJET|9DMG|aNUKE
39	12522 23463	 * 	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7LHND|8LIT|9CDMG|aAART
40	12522 26613	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7RPLT|8LHND|9CDMG|aAART
41	12522 32211	   	197.94	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6DUR|7CGEN|8aDMG|9RCR
42	12522 21265	   	197.91	DCR|2VULN|2ASPD|1AART|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMSP|9CDMG|aAART
43	12522 26514	   	197.91	DCR|2VULN|2ASPD|1AART|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7RPLT|8MBVNT|9CDMG|aAART
44	12522 31311	   	197.84	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6DUR|7TLV|8aDMG|9RCR
45	13421 67313	   	197.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1aASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|9BEXP
46	13421 67343	   	197.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1aASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|9LWND
47	26311 23415	 * 	197.16	DCR|3DMG|2VULN|1MDPS|1ASPD	1MDPS|24LWND|345DMG|4BPWR|6RCR|78VULN|9AME|aASPD
48	26311 23463	   	197.16	DCR|3DMG|2VULN|1MDPS|1ASPD	1MDPS|24LWND|345DMG|4BPWR|6RCR|78VULN|9RPLT|aASPD
49	11543 32131	   	197.11	DCR|3VULN|2ASPD|2DUR|2ZMB	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8aZMB|9RCR
50	42533 62212	 * 	197.10	DCR|3VULN|2AART|1ASPD|1SELL	1SELL|246VULN|39AART|57ERES|8RCR|aASPD
51	13526 22314	   	197.05	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|24FEWX|34VULN|4BPWR|5RMIN|6DUR|7LWND|8DMG|9RCR|aAART
52	12523 32152	 * 	196.88	DCR|4VULN|3ASPD	147ASPD|2LEGI|3467VULN|47BPWR|5789CGEN|aRCR
53	42533 62232	 * 	196.87	DCR|4VULN|1AART|1ASPD|1SELL	1SELL|2469VULN|3AART|57ERES|8RCR|aASPD
54	14231 25142	   	196.78	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	17ASPD|2CGEN|3LIT|4DUR|5SPLREG|6RCR|8DMG|9VULN|aAART
55	12526 53311	   	196.67	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6LHND|7BEXP|8aDMG|9RCR
56	12526 62311	   	196.67	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6FEWX|7LWND|8aDMG|9RCR
57	12526 63311	   	196.67	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6FEWX|7BEXP|8aDMG|9RCR
58	11543 32533	   	196.39	DCR|3VULN|3ASPD|2DUR|1AAC	17aASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8AAC|9RCR
59	11413 32135	   	196.29	DCR|4VULN|2ASPD|1ZMB	17ASPD|2DMSP|3LHND|467aVULN|57CGEN|7BPWR|8ZMB|9RCR
60	11613 32135	   	196.29	DCR|4VULN|2ASPD|1ZMB	17ASPD|2DMSP|3LWND|467aVULN|57CGEN|7BPWR|8ZMB|9RCR
61	14143 32135	   	196.29	DCR|4VULN|2ASPD|1ZMB	17ASPD|23CGEN|467aVULN|57LHND|7BPWR|8ZMB|9RCR
62	12512 32135	   	196.19	DCR|4VULN|2ASPD|1ZMB	17ASPD|2LEGI|367aVULN|47MLV|5DMSP|7BPWR|8ZMB|9RCR
63	12562 32135	   	196.19	DCR|4VULN|2ASPD|1ZMB	17ASPD|2LEGI|367aVULN|47CGEN|5DMSP|7BPWR|8ZMB|9RCR
64	12563 32135	   	196.19	DCR|4VULN|2ASPD|1ZMB	17ASPD|2LEGI|367aVULN|457CGEN|7BPWR|8ZMB|9RCR
65	12523 34135	   	196.09	DCR|4VULN|2ASPD|1ZMB	14ASPD|2LEGI|346aVULN|4BPWR|5CGEN|7AELBLL|8ZMB|9RCR
66	12532 32135	   	195.99	DCR|4VULN|2ASPD|1ZMB	17ASPD|2LEGI|367aVULN|47TLV|5DMSP|7BPWR|8ZMB|9RCR
67	11543 22135	   	195.93	DCR|3VULN|2ASPD|2DUR|1ZMB	17ASPD|2DMSP|3TLV|47aVULN|57DUR|6RCVC|7BPWR|8ZMB|9RCR
68	12521 62235	   	195.92	DCR|2VULN|2ASPD|1AART|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6LHND|7DMG|8CGEN|9RCR|aAART
69	12522 23414	   	195.87	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7LHND|8LIT|9DMG
70	12522 24141	   	195.87	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|348VULN|4BPWR|5DUST|6RCR|7SPLJET|9DMG|aAME
71	12522 24142	   	195.87	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|348VULN|4BPWR|5DUST|6RCR|7SPLJET|9DMG|aCGEN
72	15212 26431	   	195.82	DCR|3ASPD|2VULN|1AART	158ASPD|2RMIN|35LWND|4AART|5BPWR|67VULN|9RCR|aLIT
73	12521 62335	   	195.82	DCR|2VULN|2ASPD|1AART|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6LHND|7DMG|8TLV|9RCR|aAART
74	12521 12422	   	195.79	DCR|2VULN|2DMG|2ASPD|1DUR|1SELL	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6DUR|79DMG|8SELL|aRCR
75	12522 21126	   	195.77	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7TLV|8CGEN|9DMG
76	12522 22626	   	195.77	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7CGEN|8TLV|9DMG
77	12526 35333	   	195.72	DCR|3ASPD|2VULN|1AART	148ASPD|2LEGI|34VULN|4BPWR|5RMIN|6VENFST|7MLV|9RCR|aAART
78	15212 26432	   	195.72	DCR|3ASPD|2VULN|1AART	158ASPD|2RMIN|35LWND|4AART|5BPWR|67VULN|9RCR|aDUST
79	15212 26433	   	195.72	DCR|3ASPD|2VULN|1AART	158ASPD|2RMIN|35LWND|4AART|5BPWR|67VULN|9RCR|aERES
80	26311 23452	 * 	195.69	DCR|3VULN|3DMG|1MDPS	1MDPS|24LWND|345DMG|4BPWR|6RCR|78aVULN|9RCVC
81	12522 22223	   	195.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|89DMG|aMLV
82	12522 22224	   	195.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|89DMG|aBEXP
83	12522 22225	   	195.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|89DMG|aDMSP
84	12522 22251	   	195.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8aDMG|9FEWX
85	12522 21323	   	195.53	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|89DMG|aMLV
86	12522 21324	   	195.53	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|89DMG|aBEXP
87	12522 21325	   	195.53	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|89DMG|aDMSP
88	12522 21351	   	195.53	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8aDMG|9FEWX
89	12522 21421	   	195.53	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8LWND|9aDMG
90	12522 22226	   	195.53	DCR|2VULN|2DMG|2ASPD|1MSE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|89DMG|aMSE
91	12522 21326	   	195.43	DCR|2VULN|2DMG|2ASPD|1MSE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|89DMG|aMSE
92	14222 23443	   	195.19	DCR|2VULN|2ASPD|1DMG|1NUKE	16ASPD|2CGEN|3LIT|4RCVC|56VULN|6BPWR|7DMG|8BELT|9RCR|aNUKE
93	41243 12433	 * 	195.11	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR|1SELL	1SELL|27AME|36CDMG|47VULN|57DUR|7BPWR|8DMG|9RCR|aASPD
94	26311 22434	   	194.93	DCR|3VULN|3DMG|1MDPS	1MDPS|24LWND|345DMG|4BPWR|6RCR|7FEWX|89aVULN
95	26311 23234	   	194.93	DCR|3VULN|3DMG|1MDPS	1MDPS|24LWND|345DMG|4BPWR|6RCR|79aVULN|8LHND
96	26311 23334	   	194.93	DCR|3VULN|3DMG|1MDPS	1MDPS|24LWND|345DMG|4BPWR|6RCR|79aVULN|8FEWX
97	26311 23534	   	194.93	DCR|3VULN|3DMG|1MDPS	1MDPS|24LWND|345DMG|4BPWR|6RCR|79aVULN|8BEXP
98	26311 23424	   	194.83	DCR|3VULN|3DMG|1MDPS	1MDPS|24LWND|345DMG|4BPWR|6RCR|78aVULN|9DUST
99	14222 21462	 * 	194.59	DCR|3VULN|1MDPS|2ASPD|1ZMB	16ASPD|2CGEN|3LIT|4RCVC|567VULN|6BPWR|8RCR|9ZMB|aMDPS
100	12522 24313	   	194.58	DCR|3ASPD|2VULN|1AART	148ASPD|2LEGI|34VULN|4BPWR|59DUST|6RCR|7SPLJET|aAART
101	14222 21323	   	194.58	DCR|3VULN|2ASPD|1AART	16ASPD|2CGEN|3LIT|4RCVC|567VULN|6BPWR|8AART|9DUST|aRCR
102	12522 24334	 * 	194.31	DCR|3ASPD|2VULN|1NUKE|1AAC	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9NUKE|aAAC
103	12522 26231	 * 	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7RPLT|8CGEN|9CDMG|aDMG
104	11543 32132	   	194.22	DCR|3VULN|2ASPD|2DUR|1ZMB	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8ZMB|9RCR|aRCVC
105	12522 26331	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7RPLT|8TLV|9CDMG|aDMG
106	11543 32133	   	193.90	DCR|3VULN|2ASPD|2DUR|1ZMB	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8ZMB|9RCR|aLWND
107	11543 32136	   	193.90	DCR|3VULN|2ASPD|2DUR|1ZMB	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8ZMB|9RCR|aLHND
108	11543 32253	   	193.90	DCR|3VULN|2ASPD|2DUR|1ZMB	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8LIT|9RCR|aZMB
109	12524 63311	   	193.89	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5LHND|6RMIN|7BEXP|8aDMG|9RCR
110	11543 32134	   	193.80	DCR|3VULN|2ASPD|2DUR|1ZMB|1SELL	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8ZMB|9RCR|aSELL
111	11543 32531	   	193.80	DCR|3VULN|2ASPD|2DUR|1AAC|1ZMB	17ASPD|2DMSP|3TLV|467VULN|57DUR|7BPWR|8AAC|9RCR|aZMB
112	11146 34212	   	193.47	DCR|3ASPD|2VULN|1DMG|1AAC|1DUR	157ASPD|2DMSP|3AAC|47VULN|67LIT|7BPWR|8DUR|9RCR|aDMG
113	12526 41132	   	193.23	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DMG|7CDMG|8RPLT|9ERES|aRCR
114	13551 52113	   	193.09	DCR|2ASPD|1AART|1VULN|1DMG|2DUR	18ASPD|2FEWX|3VULN|4LHND|5DMG|6AART|7RCR|9aDUR
115	13421 61222	 * 	192.93	DCR|3DMG|1VULN|1ASPD|1CDMG	1ASPD|2FEWX|3CDMG|489DMG|5MBVNT|6RCR|7RPLT|aVULN
116	13421 61226	 * 	192.93	DCR|3DMG|1AART|1ASPD|1CDMG	1ASPD|2FEWX|3CDMG|489DMG|5MBVNT|6RCR|7RPLT|aAART
117	15124 13342	   	192.90	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2RMIN|3CGEN|4ZMB|5LIT|6RCR|7DUR|8DMG|9VULN|aAART
118	15211 34521	   	192.83	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2RMIN|36LWND|48AART|5CDMG|7RCR|9VULN|aDUR
119	11244 21313	   	192.82	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2DMSP|3RMIN|467VULN|56LIT|6BPWR|8AART|9DUR|aRCR
120	15213 25343	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2RMIN|3LWND|4AART|5CGEN|6aVULN|7RCR|8DMG|9BELT
121	12526 22314	   	192.63	DCR|2VULN|2ASPD|1DMG|2DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6aDUR|7LWND|8DMG|9RCR
122	12526 23312	   	192.63	DCR|2VULN|2ASPD|1DMG|2DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6aDUR|7BEXP|8DMG|9RCR
123	15213 25325	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2RMIN|3LWND|4AART|5CGEN|6aVULN|7RCR|8DMG|9ERES
124	13421 67334	   	192.52	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1ASPD|2FEWX|39CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|aAAC
125	13422 31426	   	192.07	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2FEWX|3CDMG|4DMG|5AART|6LWND|7ZMB|8VULN|9RCR|aRMIN
126	13551 52112	   	192.01	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	18ASPD|2FEWX|3VULN|4LHND|5DMG|6AART|7RCR|9DUR|aRMIN
127	12522 21264	 * 	191.96	DCR|3VULN|2ASPD|1CDMG	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7TLV|8DMSP|9CDMG
128	12551 52112	   	191.91	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	18ASPD|2LEGI|3VULN|4LHND|5DMG|6AART|7RCR|9DUR|aRMIN
129	13524 24113	   	191.86	DCR|4VULN|2ASPD	1aASPD|24FEWX|348aVULN|4aBPWR|5LHND|6RCR|7SPLJET|9aDUST
130	14211 25143	   	191.79	DCR|2VULN|2ASPD|1DMG|2SPLREG	17ASPD|2aCGEN|3LIT|4DUST|5aSPLREG|6RCR|8DMG|9aVULN|aBPWR
131	13421 67324	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2aFEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|9DUR
132	13552 24113	   	191.76	DCR|4VULN|2ASPD	1aASPD|2FEWX|358aVULN|4LHND|6RCR|7SPLJET|9aDUST|aBPWR
133	15114 21225	 * 	191.75	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2RMIN|3CGEN|4VULN|5LHND|6RCR|7TLV|89DMG|aAART
134	15223 21225	   	191.75	DCR|2DMG|1AART|1VULN|1ASPD	1ASPD|2RMIN|3LWND|4VULN|5CGEN|6RCR|7TLV|89DMG|aAART
135	15323 21225	   	191.75	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2RMIN|3LHND|4VULN|5CGEN|6RCR|7TLV|89DMG|aAART
136	14242 21323	   	191.69	DCR|3VULN|2ASPD|1AART	16ASPD|24CGEN|3LIT|567VULN|6BPWR|8AART|9DUST|aRCR
137	13421 67321	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|9DUR|aAIRARM
138	13421 67322	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|9DUR|aMSE
139	12522 24153	   	191.66	DCR|4VULN|2ASPD	14ASPD|2LEGI|348aVULN|4BPWR|5DUST|6RCR|7SPLJET|9LWND
140	13523 33663	   	191.19	DCR|1SPLARM|2VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|24FEWX|34VULN|4BPWR|5CGEN|6SPLARM|7ZMB|8DUR|9RCR|aDMG
141	22112 62214	 * 	191.12	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|2DUR	1MDPS|24ASPD|34DUR|4BPWR|5VULN|6RCVC|7CGEN|8DMG|9RCR|aAART
142	13562 42221	   	191.10	DCR|2DMG|1VULN|1ASPD|1NUKE|1DUR	1ASPD|2FEWX|3VULN|4CGEN|5DUR|6RCR|7RCVC|89DMG|aNUKE
143	13526 22315	   	191.10	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|24FEWX|34aVULN|4BPWR|5RMIN|6DUR|7LWND|8DMG|9RCR
144	12522 26141	   	191.07	DCR|3ASPD|2VULN|1DMG	149ASPD|2LEGI|34VULN|49BPWR|59DUST|6RCR|7RPLT|89LIT|aDMG
145	15223 24143	   	190.93	DCR|2VULN|1ASPD|1DMG|1NUKE	1ASPD|2RMIN|3LWND|48VULN|5CGEN|6RCR|7MULARM|9DMG|aNUKE
146	15323 24143	   	190.93	DCR|2VULN|1ASPD|1DMG|1NUKE	1ASPD|2RMIN|3LHND|48VULN|5CGEN|6RCR|7MULARM|9DMG|aNUKE
147	15213 25316	   	190.90	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2RMIN|3LWND|4AART|5CGEN|6VULN|7RCR|8DMG|9DUR|aZMB
148	13421 67331	   	190.90	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|2FEWX|39CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|aLHND
149	13421 67332	   	190.90	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1ASPD|2FEWX|39CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|aRPLT
150	12522 24331	   	190.87	DCR|3ASPD|2VULN|1NUKE|1DUR	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9NUKE|aDUR
151	12522 24332	   	190.87	DCR|3ASPD|2VULN|1NUKE	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9NUKE|aRCVC
152	12522 24333	   	190.87	DCR|3ASPD|2VULN|1NUKE	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9NUKE|aMLV
153	12522 24335	   	190.87	DCR|3ASPD|2VULN|1NUKE	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9NUKE|aFEWX
154	12522 24336	   	190.87	DCR|3ASPD|2VULN|1NUKE	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9NUKE|aCGEN
155	13526 22311	   	190.86	DCR|2VULN|2DMG|1ASPD|1DUR	1ASPD|24FEWX|34VULN|4BPWR|5RMIN|6DUR|7LWND|8aDMG|9RCR
156	13526 26311	   	190.86	DCR|2VULN|2DMG|1ASPD|1DUR	1ASPD|24FEWX|34VULN|4BPWR|5RMIN|6DUR|7LHND|8aDMG|9RCR
157	15112 24143	   	190.83	DCR|2VULN|1ASPD|1DMG|1NUKE	1ASPD|2RMIN|3CGEN|48VULN|5DUST|6RCR|7MULARM|9DMG|aNUKE
