0	Index      	 *	Score 	Summary	Detail	
1	12532 38524	 * 	219.47	DCR|3VULN|2ASPD|1AART|2CDMG	19CDMG|24LWND|3MBVNT|579VULN|69ASPD|8RCR|9BPWR|aAART
28	11613 41422	   	207.58	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|25FEWX|39AME|4DMG|6ASPD|79VULN|8RCR|9BPWR|aAART
29	35211 31253	 * 	207.57	DCR|3VULN|3ZMB|2CDMG|1DMG	15aVULN|2AME|39aZMB|4DMG|6LIT|7aCDMG|8RCR|aBPWR
30	36211 31253	   	207.57	DCR|3VULN|3ZMB|2CDMG|1DMG	15aVULN|2MLV|39aZMB|4DMG|6LIT|7aCDMG|8RCR|aBPWR
31	31312 21533	   	207.31	DCR|3VULN|2ASPD|1AART|1DUR	167VULN|2LIT|3RCVC|45ASPD|8RCR|9DUR|aAART
32	32615 24223	   	207.27	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5CDMG|6MLV|7ERES|9AART|aRCR
33	32615 14223	   	207.17	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5CDMG|6TLV|7ERES|9AART|aRCR
34	32626 11115	   	206.86	DCR|3VULN|1AART|3DUR|1CDMG|1ZMB	138VULN|234DUR|3BPWR|5AART|6RMIN|7CDMG|9ZMB|aRCR
35	32612 46312	   	206.33	DCR|3VULN|2DMG|3DUR|1CDMG	137VULN|236DUR|37BPWR|47DMG|5BELT|8CDMG|9CGEN|aRCR
36	32623 14123	 * 	206.02	DCR|2VULN|1AART|2CDMG|1DMG|3DUR	13VULN|234DUR|3BPWR|5DMG|6LWND|79CDMG|8RCR|aAART
37	13413 21443	   	205.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RPLT|3MLV|49DMG|5DUR|6aVULN|7AART|8RCR
38	13211 61443	   	205.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RPLT|3ERES|49DMG|5aVULN|6DUR|7AART|8RCR
39	13213 51443	   	205.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RPLT|3ERES|49DMG|5DUR|6aVULN|7AART|8RCR
40	13513 21443	   	205.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RPLT|3TLV|49DMG|5DUR|6aVULN|7AART|8RCR
41	32524 11623	 * 	205.50	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	18VULN|2DUR|38CDMG|4FEWX|5MBVNT|6ERES|78DMG|8BPWR|9ASPD|aRCR
42	33522 61111	   	205.49	DCR|3VULN|3ASPD|1CDMG	17aVULN|2LHND|3RPLT|47aASPD|57LIT|6RCR|7aBPWR|8CDMG|9aCGEN
43	34522 61111	   	205.49	DCR|3VULN|3ASPD|1CDMG	17aVULN|2LWND|3RPLT|47aASPD|57LIT|6RCR|7aBPWR|8CDMG|9aCGEN
44	13413 21442	 * 	205.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2RPLT|3MLV|49DMG|5DUR|6VULN|7AART|8RCR|aASPD
45	13211 61442	   	205.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2RPLT|3ERES|49DMG|5VULN|6DUR|7AART|8RCR|aASPD
46	13213 51442	   	205.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2RPLT|3ERES|49DMG|5DUR|6VULN|7AART|8RCR|aASPD
47	13513 21442	   	205.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2RPLT|3TLV|49DMG|5DUR|6VULN|7AART|8RCR|aASPD
48	32333 61523	 * 	205.19	DCR|3VULN|2DMG|1ASPD|2DUR	168VULN|28DUR|3BEXP|4RPLT|56CGEN|68BPWR|78DMG|9ASPD|aRCR
49	13411 61423	 * 	204.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3MLV|4DMG|5aVULN|6DUR|79AART|8RCR
50	13413 21423	   	204.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3MLV|4DMG|5DUR|6aVULN|79AART|8RCR
51	13211 61423	   	204.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3ERES|4DMG|5aVULN|6DUR|79AART|8RCR
52	13213 51423	   	204.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3ERES|4DMG|5DUR|6aVULN|79AART|8RCR
53	13511 61423	   	204.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3TLV|4DMG|5aVULN|6DUR|79AART|8RCR
54	13513 21423	   	204.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3TLV|4DMG|5DUR|6aVULN|79AART|8RCR
55	12532 38521	   	204.00	DCR|3VULN|2ASPD|2CDMG|1DUR	19CDMG|24LWND|3MBVNT|579VULN|69ASPD|8RCR|9BPWR|aDUR
56	13411 61422	 * 	203.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3MLV|4DMG|5VULN|6DUR|79AART|8RCR|aASPD
57	13413 21422	   	203.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3MLV|4DMG|5DUR|6VULN|79AART|8RCR|aASPD
58	13211 61422	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3ERES|4DMG|5VULN|6DUR|79AART|8RCR|aASPD
59	13213 51422	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3ERES|4DMG|5DUR|6VULN|79AART|8RCR|aASPD
60	13511 61422	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3TLV|4DMG|5VULN|6DUR|79AART|8RCR|aASPD
61	13513 21422	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3TLV|4DMG|5DUR|6VULN|79AART|8RCR|aASPD
62	62323 43422	   	203.40	DCR|4VULN|2DMG|1ZMB	1BELT|2RCVC|38CGEN|4678VULN|58DMG|8BPWR|9RCR|aZMB
63	32615 51121	   	203.21	DCR|3VULN|2DMG|1CDMG|2DUR	137VULN|23DUR|3BPWR|49DMG|5CDMG|6RCVC|8MLV|aRCR
64	32615 51221	   	203.21	DCR|3VULN|2DMG|1CDMG|2DUR	137VULN|23DUR|3BPWR|49DMG|5CDMG|6RCVC|8AME|aRCR
65	32615 51321	   	203.11	DCR|3VULN|2DMG|1CDMG|2DUR	137VULN|23DUR|3BPWR|49DMG|5CDMG|6RCVC|8ERES|aRCR
66	31562 31253	 * 	203.10	DCR|3DMG|2VULN|1CDMG|2ZMB	1aVULN|2LIT|36aDMG|4CDMG|59ZMB|7aCGEN|8RCR|aBPWR
67	12532 33522	   	202.75	DCR|3VULN|2ASPD|3CDMG	179CDMG|24LWND|3MBVNT|59aVULN|69ASPD|8RCR|9BPWR
68	32626 21115	   	202.59	DCR|3VULN|1AART|3DUR|1CDMG|1ZMB	138VULN|234DUR|3BPWR|5AART|6ERES|7CDMG|9ZMB|aRCR
69	14135 21361	 * 	201.91	DCR|2DMG|3CDMG|1VULN|1AART|1ZMB	124CDMG|24BPWR|3AART|59DMG|6LHND|7VULN|8RCR|aZMB
70	13125 32231	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1CDMG|2RPLT|3AART|4LWND|589VULN|6RCR|7LIT|aASPD
71	13125 32234	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3AART|4LWND|589VULN|6RCR|7LIT|aDMG
72	13165 32231	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1CDMG|2RPLT|3AART|4LHND|589VULN|6RCR|7LIT|aASPD
73	13165 32234	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3AART|4LHND|589VULN|6RCR|7LIT|aDMG
74	11552 34521	   	201.64	DCR|2VULN|2ASPD|1AART|2CDMG	19CDMG|24FEWX|3MBVNT|59VULN|69ASPD|7DMSP|8RCR|9BPWR|aAART
75	11311 41425	 * 	201.63	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|359CGEN|4DMG|6ASPD|79aVULN|8RCR|9BPWR
76	12311 41425	   	201.63	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2LWND|359CGEN|4DMG|6ASPD|79aVULN|8RCR|9BPWR
77	12123 23462	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LWND|3RPLT|4DUST|58DMG|6RCR|7aVULN|9AART
78	34411 23243	   	201.26	DCR|3VULN|2DMG|1AART	159VULN|26LWND|3DMSP|49DMG|7RCR|89BEXP|9BPWR|aAART
79	32611 42143	   	201.08	DCR|3VULN|2DMG|1CDMG|2DUR	135VULN|23DUR|3BPWR|49DMG|6LHND|7DLOT|8CDMG|aRCR
80	32611 52143	   	201.08	DCR|3VULN|2DMG|1CDMG|2DUR	135VULN|23DUR|3BPWR|49DMG|6BEXP|7DLOT|8CDMG|aRCR
81	32611 53125	   	200.78	DCR|4VULN|2DMG|2DUR	1359VULN|23DUR|39BPWR|49DMG|6BEXP|7LWND|89DUST|aRCR
82	31562 31263	   	200.64	DCR|3DMG|2VULN|1CDMG|1ZMB	1aVULN|2LIT|36aDMG|4CDMG|5ZMB|7aCGEN|8RCR|9RCVC|aBPWR
83	32611 21526	 * 	200.48	DCR|3VULN|3DMG|2DUR	135VULN|23DUR|3BPWR|489DMG|6AIRARM|7BELT|aRCR
84	32614 11233	 * 	200.41	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	13VULN|237DUR|3BPWR|4DMG|5AART|6CGEN|8MLV|9RCR|aASPD
85	32626 33233	   	200.41	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	13VULN|234DUR|3BPWR|5AART|6ASPD|7CGEN|8MLV|9RCR|aDMG
86	32611 16215	   	200.09	DCR|3VULN|1AART|1DMG|3DUR|1SELL	135VULN|236DUR|3BPWR|4DMG|7RMIN|8SELL|9AART|aRCR
87	32623 12143	   	199.93	DCR|3VULN|1AART|1DMG|3DUR|1SELL	139VULN|234DUR|3BPWR|5DMG|6LWND|7SELL|8RCR|aAART
88	32614 11333	   	199.93	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1AAC	13VULN|237DUR|3BPWR|4DMG|5AART|6CGEN|8CDMG|9RCR|aAAC
89	31562 31213	   	199.89	DCR|3DMG|2VULN|1CDMG|1ZMB	1aVULN|29LIT|36aDMG|4CDMG|5ZMB|7aCGEN|8RCR|aBPWR
90	31562 34213	   	199.89	DCR|3DMG|2VULN|1CDMG|1ZMB	1aVULN|29LIT|36aDMG|4CDMG|5ZMB|7aMLV|8RCR|aBPWR
91	13125 22442	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2RPLT|3AART|4LWND|5aVULN|6ASPD|7AAC|8RCR|9DMG
92	33522 61261	 * 	199.73	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	17VULN|2LHND|3RPLT|47ASPD|57LIT|6RCR|7BPWR|8DUR|9AART|aMDPS
93	63323 43422	   	199.66	DCR|4VULN|2DMG|1ZMB	12BELT|38CGEN|4678VULN|58DMG|8BPWR|9RCR|aZMB
94	34331 32323	 * 	199.42	DCR|3ASPD|2VULN|1DMG|1CDMG	19VULN|2LWND|39AME|4DMG|5CDMG|689ASPD|7LEGI|9BPWR|aRCR
95	36511 31263	   	199.06	DCR|3VULN|2DMG|2CDMG|1AAC	15aVULN|2aMLV|3AAC|49DMG|6LIT|7aCDMG|8RCR|aBPWR
96	31312 21563	   	199.00	DCR|3VULN|2ASPD|1AART	167VULN|2LIT|3RCVC|45ASPD|8RCR|9FEWX|aAART
97	33231 36421	   	198.80	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC|1DUR	19VULN|279LHND|3AAC|4DMG|5CDMG|69ASPD|8RCR|9BPWR|aDUR
98	14232 41422	   	198.66	DCR|3VULN|3CDMG|1ASPD|1ZMB	129CDMG|29BPWR|3DUST|49TLV|5ZMB|6ASPD|79aVULN|8RCR
99	32623 14133	   	198.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|234DUR|3BPWR|5DMG|69LWND|7CDMG|8RCR|aAART
100	13422 21442	   	198.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3MLV|4DUR|5ZMB|6aVULN|7AART|8RCR|9DMG
101	13422 21452	   	198.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3MLV|4DUR|5ZMB|69VULN|7AART|8RCR|aASPD
102	32614 22225	   	198.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13VULN|23DUR|3BPWR|4DMG|5AART|6RCVC|7SPLREG|8FEWX|9CDMG|aRCR
103	13222 51452	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3ERES|4DUR|5ZMB|69VULN|7AART|8RCR|aASPD
104	13522 21442	   	198.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3TLV|4DUR|5ZMB|6aVULN|7AART|8RCR|9DMG
105	13522 21452	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3TLV|4DUR|5ZMB|69VULN|7AART|8RCR|aASPD
106	32514 34223	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	18VULN|2DUR|3CDMG|46ASPD|5MLV|7ERES|9AART|aRCR
107	33522 61115	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2LHND|3RPLT|47ASPD|57LIT|6RCR|7BPWR|8CDMG|9CGEN|aAART
108	53122 62331	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1CGEN|2BEXP|3AART|49VULN|5LIT|6RCR|7DMG|8ZMB|aASPD
109	13411 21226	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3MLV|4DMG|56VULN|7ASPD|8CGEN|9RCR|aAART
110	13411 24326	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3MLV|4DMG|56VULN|7CGEN|8ASPD|9RCR|aAART
111	13211 51226	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ERES|4DMG|56VULN|7ASPD|8CGEN|9RCR|aAART
112	13211 51326	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ERES|4DMG|56VULN|7ASPD|8MLV|9RCR|aAART
113	13211 54326	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ERES|4DMG|56VULN|7CGEN|8ASPD|9RCR|aAART
114	13411 21626	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3MLV|4DMG|56VULN|7ASPD|8ERES|9RCR|aAART
115	13511 21226	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3TLV|4DMG|56VULN|7ASPD|8CGEN|9RCR|aAART
116	13511 24326	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3TLV|4DMG|56VULN|7CGEN|8ASPD|9RCR|aAART
117	12532 33523	   	197.84	DCR|3ASPD|2VULN|3CDMG	179CDMG|24LWND|3MBVNT|59VULN|69aASPD|8RCR|9BPWR
118	32626 11123	   	197.79	DCR|3VULN|1AART|3DUR|1CDMG	138VULN|234DUR|3BPWR|5AART|69RMIN|7CDMG|aRCR
119	13211 51126	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ERES|4DMG|56VULN|7ASPD|8TLV|9RCR|aAART
120	13511 21626	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3TLV|4DMG|56VULN|7ASPD|8ERES|9RCR|aAART
121	13125 32232	 * 	197.73	DCR|3VULN|2AART|1CDMG	1CDMG|2RPLT|3aAART|4LWND|589VULN|6RCR|7LIT
122	13165 32232	   	197.73	DCR|3VULN|2AART|1CDMG	1CDMG|2RPLT|3aAART|4LHND|589VULN|6RCR|7LIT
123	12532 34342	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1CDMG|24LWND|3MBVNT|59aVULN|6ASPD|7AART|8RCR
124	12514 44327	   	197.61	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1CDMG|2LWND|3MBVNT|4ASPD|5DMG|67VULN|8SELL|9RCR|aAART
125	13125 32236	 * 	197.50	DCR|4VULN|1AART|1CDMG	1CDMG|2RPLT|3AART|4LWND|589aVULN|6RCR|7LIT
126	13165 32236	   	197.50	DCR|4VULN|1AART|1CDMG	1CDMG|2RPLT|3AART|4LHND|589aVULN|6RCR|7LIT
127	16232 33512	   	197.44	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1CDMG|2BASARM|3AAC|46VULN|57DMG|8AART|9RMIN|aRCR
128	12514 44425	   	197.43	DCR|3VULN|2CDMG|1ASPD|1DMG|1AAC	19CDMG|29LWND|3MBVNT|4ASPD|5DMG|679VULN|8AAC|9BPWR|aRCR
129	32116 23225	 * 	197.41	DCR|4VULN|1MDPS|2ASPD|2DUR	1689VULN|25DUR|39LWND|49ASPD|7MDPS|9BPWR|aRCR
130	32415 23225	   	197.31	DCR|4VULN|1MDPS|2ASPD|2DUR	1689VULN|29DUR|3LEGI|49ASPD|5DMSP|7MDPS|9BPWR|aRCR
131	13332 21442	   	197.06	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3DUST|4RMIN|5ZMB|6aVULN|7AART|8RCR|9DMG
132	32113 23223	   	196.87	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	18VULN|26DUR|3LWND|4ASPD|57CDMG|9AART|aRCR
133	32512 23223	   	196.87	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	18VULN|26DUR|37CDMG|4ASPD|5LHND|9AART|aRCR
134	32536 33223	   	196.87	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	18VULN|25DUR|37CDMG|4LWND|6ASPD|9AART|aRCR
135	32566 33223	   	196.87	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	18VULN|25DUR|37CDMG|4LHND|6ASPD|9AART|aRCR
136	32413 23223	   	196.77	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	18VULN|26DUR|3LEGI|4ASPD|57CDMG|9AART|aRCR
137	32615 21631	   	196.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5CDMG|6MLV|8AART|9RCR|aBEXP
138	32615 21632	   	196.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5CDMG|6MLV|8AART|9RCR|aCGEN
139	32615 21633	   	196.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5CDMG|6aMLV|8AART|9RCR
140	32614 11331	   	196.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5AART|6CGEN|8CDMG|9RCR|aBEXP
141	32614 11332	   	196.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5AART|6aCGEN|8CDMG|9RCR
142	32614 11336	   	196.59	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5AART|6CGEN|8CDMG|9RCR|aSNIFST
143	32615 11631	   	196.49	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5CDMG|6TLV|8AART|9RCR|aBEXP
144	32615 11632	   	196.49	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5CDMG|6TLV|8AART|9RCR|aCGEN
145	32615 11633	   	196.49	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5CDMG|6TLV|8AART|9RCR|aMLV
146	32614 11335	   	196.49	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|237DUR|3BPWR|4DMG|5AART|6CGEN|8CDMG|9RCR|aERES
147	32626 21125	   	196.42	DCR|3VULN|1AART|3DUR|1CDMG	138VULN|234DUR|3BPWR|5AART|6ERES|7CDMG|9RMIN|aRCR
148	13422 21453	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3MLV|4DUR|5ZMB|69aVULN|7AART|8RCR
149	11316 41412	 * 	196.25	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1CDMG|2FEWX|3CGEN|4DMG|5RCVC|69ASPD|7VULN|8RCR|aAART
150	13222 51453	   	196.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3ERES|4DUR|5ZMB|69aVULN|7AART|8RCR
151	13522 21453	   	196.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3TLV|4DUR|5ZMB|69aVULN|7AART|8RCR
152	12532 38522	   	196.02	DCR|3VULN|2ASPD|2CDMG	19CDMG|24LWND|3MBVNT|579VULN|69ASPD|8RCR|9BPWR|aRCVC
153	32611 11215	   	195.93	DCR|3VULN|1AART|1DMG|3DUR|1SELL	135VULN|236DUR|3BPWR|4DMG|7CGEN|8SELL|9AART|aRCR
154	32611 12215	   	195.93	DCR|3VULN|1AART|1DMG|3DUR|1SELL	135VULN|236DUR|3BPWR|4DMG|7SELL|8MLV|9AART|aRCR
155	32611 36215	   	195.93	DCR|3VULN|1AART|1DMG|3DUR|1SELL	135VULN|237DUR|3BPWR|4DMG|6CGEN|8SELL|9AART|aRCR
156	35211 31263	   	195.87	DCR|3VULN|2CDMG|1DMG|2ZMB	15aVULN|2AME|3aZMB|4DMG|6LIT|7aCDMG|8RCR|9RCVC|aBPWR
157	36211 31263	   	195.87	DCR|3VULN|2CDMG|1DMG|2ZMB	15aVULN|2MLV|3aZMB|4DMG|6LIT|7aCDMG|8RCR|9RCVC|aBPWR
158	35211 31241	 * 	195.87	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	15VULN|2AME|3ZMB|4DMG|6LIT|7CDMG|8RCR|9ASPD|aMDPS
159	36211 31241	   	195.87	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	15VULN|2MLV|3ZMB|4DMG|6LIT|7CDMG|8RCR|9ASPD|aMDPS
