0	Index      	 *	Score 	Summary	Detail	
1	12114 62432	 * 	221.55	DCR|5VULN|2DMG|1MDPS|1ASPD	12468VULN|3MDPS|58LWND|78DMG|8BPWR|9ASPD|aRCR
29	15313 42243	   	206.53	DCR|3VULN|1MDPS|2ASPD|1AART	15aVULN|2MDPS|37ASPD|4CGEN|6RCR|8SPLREG|9AART
30	12136 32322	   	206.34	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1ZMB	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9ZMB|aAART
31	12136 62322	   	206.34	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1ZMB	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9ZMB|aAART
32	12114 42336	 * 	206.12	DCR|5VULN|1MDPS|2ASPD	1249aVULN|3MDPS|5LWND|6RCR|7aASPD|8aFEWX|aBPWR
33	12211 23164	 * 	206.05	DCR|3VULN|1AART|1NUKE|1CDMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8CDMG|9RCR|aNUKE
34	12111 43636	   	205.92	DCR|5VULN|1MDPS|2ASPD	1249aVULN|3MDPS|5FEWX|6RCR|7aDUST|8aASPD|aBPWR
35	12231 23164	   	205.85	DCR|3VULN|1AART|1NUKE|1CDMG|1ZMB	127VULN|3ZMB|47ERES|5AART|67CANARM|7BPWR|8CDMG|9RCR|aNUKE
36	33113 46334	   	205.81	DCR|4VULN|1MDPS|1ASPD|1DMG|1DUR	1AME|2ASPD|3MDPS|459aVULN|6RCR|7DMG|8DUR
37	15123 42236	   	205.41	DCR|4VULN|1MDPS|2ASPD|2DUR	159aVULN|2MDPS|34DUR|6RCR|7aASPD|8aLWND|aBPWR
38	63113 42242	   	204.95	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1CGEN|27ASPD|3MDPS|45VULN|6RCR|8SPLREG|9AART|aCDMG
39	15313 42242	   	204.95	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	15VULN|2MDPS|37ASPD|4CGEN|6RCR|8SPLREG|9AART|aCDMG
40	23216 32325	 * 	204.42	DCR|2VULN|2ASPD|3ZMB|1AART|1AAC	1AAC|23aZMB|4AART|5RCVC|6LHND|7aASPD|8aVULN|9RCR|aBPWR
41	12344 52233	   	204.32	DCR|3VULN|2DMG|3ZMB	125VULN|3RMIN|456ZMB|5BPWR|79DMG|8CGEN|aRCR
42	33113 46331	   	204.18	DCR|3VULN|1MDPS|2ASPD|1DMG|1DUR	1AME|2aASPD|3MDPS|459VULN|6RCR|7DMG|8DUR
43	63113 46331	   	204.18	DCR|3VULN|1MDPS|2ASPD|1DMG|1DUR	1CGEN|2aASPD|3MDPS|459VULN|6RCR|7DMG|8DUR
44	15313 46331	   	204.18	DCR|3VULN|1MDPS|2ASPD|1DMG|1DUR	159VULN|2MDPS|3aASPD|4CGEN|6RCR|7DMG|8DUR
45	21223 42625	   	203.71	DCR|2VULN|2ASPD|1AART|2DUR|1AAC|2RMIN	1AAC|2aVULN|39RMIN|4LWND|5aDUR|6RCR|7aASPD|8AART|aBPWR
46	12211 61266	   	203.55	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	128VULN|3ZMB|468CGEN|5AART|78DUR|8BPWR|9RCR|aASPD
47	21611 31166	   	203.52	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2368VULN|4CGEN|5AART|7DUR|9RCR|aASPD
48	21631 31166	   	203.42	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2368VULN|4ERES|5AART|7DUR|9RCR|aASPD
49	13641 25241	   	203.35	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	156VULN|2RPLT|36DUR|4MBVNT|6BPWR|7DMG|8AART|9RCR|aZMB
50	13241 24243	 * 	203.11	ACR|3VULN|2ASPD|1AART|1DMG|2DUR	136VULN|2RPLT|46DUR|5RCR|6BPWR|7DMG|8AART|9aASPD
51	12323 24661	   	202.85	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3RMIN|4DUST|58ASPD|6MDPS|7RCR|9AART|aCDMG
52	11221 31116	   	202.76	DCR|5VULN|1AART|1DUR	14689VULN|2AME|3RMIN|5AART|7DUR|aRCR
53	12311 31116	   	202.76	DCR|5VULN|1AART|1DUR	12689VULN|3RMIN|4CGEN|5AART|7DUR|aRCR
54	12351 31116	   	202.76	DCR|5VULN|1AART|1DUR	12689VULN|3RMIN|4MLV|5AART|7DUR|aRCR
55	31221 31116	   	202.76	DCR|5VULN|1AART|1DUR	1AME|24689VULN|3RMIN|5AART|7DUR|aRCR
56	12331 31116	   	202.66	DCR|5VULN|1AART|1DUR	12689VULN|3RMIN|4ERES|5AART|7DUR|aRCR
57	12136 32323	 * 	202.63	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9ZMB|aDMG
58	12136 62323	   	202.63	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9ZMB|aDMG
59	11641 31261	   	202.56	DCR|4VULN|1AART|2DUR|2ZMB	1368VULN|2AME|48ZMB|5AART|78DUR|8BPWR|9RCR|aLWND
60	12541 31261	   	202.56	DCR|4VULN|1AART|2DUR|2ZMB	1268VULN|3CGEN|48ZMB|5AART|78DUR|8BPWR|9RCR|aLWND
61	11641 31262	   	202.46	DCR|4VULN|1AART|2ZMB|2DUR	1368VULN|2AME|48ZMB|5AART|78DUR|8BPWR|9RCR|aTLV
62	11641 31263	   	202.46	DCR|4VULN|1AART|2DUR|2ZMB	1368VULN|2AME|48ZMB|5AART|78DUR|8BPWR|9RCR|aAIRARM
63	12541 31262	   	202.46	DCR|4VULN|1AART|2DUR|2ZMB	1268VULN|3CGEN|48ZMB|5AART|78DUR|8BPWR|9RCR|aTLV
64	12541 31263	   	202.46	DCR|4VULN|1AART|2DUR|2ZMB	1268VULN|3CGEN|48ZMB|5AART|78DUR|8BPWR|9RCR|aAIRARM
65	23212 12325	 * 	201.86	DCR|2VULN|2ASPD|3ZMB|2AAC|1AART	16AAC|23aZMB|4AART|5LHND|7aASPD|8aVULN|9RCR|aBPWR
66	23213 32325	   	201.86	DCR|2VULN|2ASPD|3ZMB|2AAC|1AART	15AAC|23aZMB|4AART|6LHND|7aASPD|8aVULN|9RCR|aBPWR
67	33113 42365	 * 	201.72	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1AME|27ASPD|3MDPS|45VULN|6RCR|8DUST|9AART|aDMG
68	12241 52413	   	201.55	DCR|3VULN|2DMG|3ZMB	128VULN|345ZMB|6RMIN|78DMG|8BPWR|9AELBLL|aRCR
69	11633 53136	 * 	201.52	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|2AME|4ERES|6RCR|7TLV|8CDMG|9AART|aDMG
70	31633 53136	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG	1AME|235VULN|4ERES|6RCR|7TLV|8CDMG|9AART|aDMG
71	11611 36216	   	201.26	DCR|5VULN|1AART|2DUR	13689VULN|2AME|48CGEN|5AART|78DUR|8BPWR|aRCR
72	12431 43533	   	201.22	DCR|4VULN|1AART|1ASPD	1278VULN|3LEGI|4LHND|5FEWX|6RCR|9AART|aASPD
73	11221 23316	 * 	200.48	DCR|3VULN|2AART|1ASPD	147VULN|27AME|3RMIN|59AART|67CANARM|7BPWR|8ASPD|aRCR
74	12311 23316	   	200.48	DCR|3VULN|2AART|1ASPD	127VULN|3RMIN|47CGEN|59AART|67CANARM|7BPWR|8ASPD|aRCR
75	12351 23316	   	200.48	DCR|3VULN|2AART|1ASPD	127VULN|3RMIN|47MLV|59AART|67CANARM|7BPWR|8ASPD|aRCR
76	31221 23316	   	200.48	DCR|3VULN|2AART|1ASPD	17AME|247VULN|3RMIN|59AART|67CANARM|7BPWR|8ASPD|aRCR
77	12331 23316	   	200.28	DCR|3VULN|2AART|1ASPD	127VULN|3RMIN|47ERES|59AART|67CANARM|7BPWR|8ASPD|aRCR
78	12133 42342	   	200.17	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|5FEWX|6RMIN|7RCR|89ASPD|aAART
79	12135 42342	   	200.17	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|5LWND|6RMIN|7RCR|89ASPD|aAART
80	12136 32312	   	200.17	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9RMIN|aAART
81	12136 62312	   	200.17	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9RMIN|aAART
82	12111 42116	   	200.17	DCR|4VULN|1MDPS|2ASPD|1DUR	124aVULN|3MDPS|5aFEWX|6RCR|7AELBLL|8DUR|9aASPD|aBPWR
83	11221 32316	   	200.16	DCR|4VULN|1AART|1ASPD	1468VULN|2AME|3RMIN|5AART|7ASPD|9BASARM|aRCR
84	12311 32316	   	200.16	DCR|4VULN|1AART|1ASPD	1268VULN|3RMIN|4CGEN|5AART|7ASPD|9BASARM|aRCR
85	12351 32316	   	200.16	DCR|4VULN|1AART|1ASPD	1268VULN|3RMIN|4MLV|5AART|7ASPD|9BASARM|aRCR
86	31221 32316	   	200.16	DCR|4VULN|1AART|1ASPD	1AME|2468VULN|3RMIN|5AART|7ASPD|9BASARM|aRCR
87	12331 32516	   	200.06	DCR|4VULN|1AART|1ASPD	1268VULN|3RMIN|4ERES|5AART|7ASPD|9BASARM|aRCR
88	12211 31264	   	199.67	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48CGEN|5AART|78DUR|8BPWR|9RCR|aRCVC
89	33113 42522	   	199.59	DCR|3VULN|1MDPS|2ASPD|1AART	1AME|27ASPD|3MDPS|458VULN|6RCR|9RPLT|aAART
90	12131 32361	 * 	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	12aVULN|3MDPS|4CDMG|5AAC|6LHND|7RCR|8ASPD|9AART
91	12131 62361	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	12aVULN|3MDPS|4CDMG|5AAC|6LWND|7RCR|8ASPD|9AART
92	12135 32361	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	12aVULN|3MDPS|4CDMG|5LWND|6AAC|7RCR|8ASPD|9AART
93	12135 52361	 * 	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1NUKE|1CDMG	12aVULN|3MDPS|4CDMG|5LWND|6NUKE|7RCR|8ASPD|9AART
94	12231 31264	   	199.47	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48ERES|5AART|78DUR|8BPWR|9RCR|aRCVC
95	12136 32363	   	199.35	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1AAC	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9AART|aAAC
96	12136 62363	   	199.35	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1AAC	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9AART|aAAC
97	12211 31261	   	199.34	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48CGEN|5AART|78DUR|8BPWR|9RCR|aLWND
98	12211 31265	   	199.34	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48CGEN|5AART|78DUR|8BPWR|9RCR|aBEXP
99	12211 31262	   	199.24	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48CGEN|5AART|78DUR|8BPWR|9RCR|aTLV
100	12211 31263	   	199.24	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48CGEN|5AART|78DUR|8BPWR|9RCR|aAIRARM
101	12231 31261	   	199.14	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48ERES|5AART|78DUR|8BPWR|9RCR|aLWND
102	12231 31265	   	199.14	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48ERES|5AART|78DUR|8BPWR|9RCR|aBEXP
103	12136 32562	   	199.04	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	12VULN|3MDPS|4CDMG|5ASPD|6LHND|7RCR|8RCVC|9aAART
104	12231 31262	   	199.04	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48ERES|5AART|78DUR|8BPWR|9RCR|aTLV
105	12231 31263	   	199.04	DCR|4VULN|1AART|2DUR|1ZMB	1268VULN|3ZMB|48ERES|5AART|78DUR|8BPWR|9RCR|aAIRARM
106	33113 42243	   	199.03	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1AME|27ASPD|3MDPS|45VULN|6RCR|8SPLREG|9AART|aZMB
107	13261 36361	   	198.72	DCR|3VULN|1AART|1ASPD|1DUR	13aVULN|2RPLT|4RMIN|5DUR|6LHND|7RCR|8ASPD|9AART
108	13221 34241	   	198.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	13VULN|2RPLT|4AME|5DUR|6ZMB|7DMG|8AART|9ASPD|aRCR
109	12211 61166	   	198.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	128VULN|3ZMB|46CGEN|5AART|7DUR|9RCR|aASPD
110	33113 41661	   	198.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AME|28ASPD|3MDPS|45VULN|6RCR|7FEWX|9AART|aCDMG
111	33113 42461	   	198.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AME|27ASPD|3MDPS|45VULN|6RCR|8BEXP|9AART|aCDMG
112	15132 52631	   	197.93	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1ZMB	19VULN|2MDPS|36DUR|4DMG|5ZMB|7aASPD|8RCR
113	12231 32322	   	197.91	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	126VULN|3ZMB|4ERES|5AART|7ASPD|8MBVNT|9RCR|aDUR
114	33113 42361	   	197.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AME|27ASPD|3MDPS|45VULN|6RCR|8DUST|9AART|aCDMG
115	63113 42361	   	197.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1CGEN|27ASPD|3MDPS|45VULN|6RCR|8DUST|9AART|aCDMG
116	15313 42361	   	197.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	15VULN|2MDPS|37ASPD|4CGEN|6RCR|8DUST|9AART|aCDMG
117	12113 21236	 * 	197.75	DCR|5VULN|1MDPS|1AART|1ZMB	12469VULN|3MDPS|5AART|7CGEN|8ZMB|aRCR
118	12113 25236	   	197.75	DCR|5VULN|1MDPS|1AART|1ZMB	12469VULN|3MDPS|5AART|7AME|8ZMB|aRCR
119	12113 22236	   	197.65	DCR|5VULN|1MDPS|1AART|1ZMB	12469VULN|3MDPS|5AART|7TLV|8ZMB|aRCR
120	12243 35221	   	197.54	DCR|4VULN|3ZMB|1DMG	1256VULN|347ZMB|8DMG|9RCR|aAME
121	12243 35224	   	197.54	DCR|4VULN|3ZMB|1DMG	1256VULN|347ZMB|8DMG|9RCR|aFEWX
122	12243 35225	   	197.54	DCR|4VULN|3ZMB|1DMG	1256VULN|347ZMB|8DMG|9RCR|aCGEN
123	33113 46234	   	197.50	DCR|4VULN|1MDPS|1ASPD|1DMG	1AME|2ASPD|3MDPS|459aVULN|6RCR|7DMG|8LWND
124	12111 42534	   	197.50	DCR|4VULN|1MDPS|1ASPD|1DMG	1248VULN|3MDPS|5FEWX|6RCR|7AELBLL|9DMG|aASPD
125	13141 25251	 * 	197.33	DCR|3VULN|1AART|1ASPD|1DMG	156VULN|2RPLT|36DUST|4MBVNT|6BPWR|7DMG|8AART|9ASPD|aRCR
126	11633 53132	 * 	197.30	DCR|4VULN|1AART|1CDMG	135aVULN|2AME|4ERES|6RCR|7TLV|8CDMG|9AART
127	31633 53132	   	197.30	DCR|4VULN|1AART|1CDMG	1AME|235aVULN|4ERES|6RCR|7TLV|8CDMG|9AART
128	12423 31533	   	197.22	DCR|4VULN|1AART|1ASPD	1245VULN|3LEGI|6LWND|7BEXP|8RCR|9AART|aASPD
129	12423 61533	   	197.22	DCR|4VULN|1AART|1ASPD	1245VULN|3LEGI|6LHND|7BEXP|8RCR|9AART|aASPD
130	12424 31533	   	197.22	DCR|4VULN|1AART|1ASPD	1245VULN|3LEGI|5BPWR|6LWND|7BEXP|8RCR|9AART|aASPD
131	33113 42245	   	197.00	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	1AME|27ASPD|3MDPS|45VULN|6RCR|8SPLREG|9AART|aDUR
132	12241 43153	 * 	196.88	DCR|2VULN|1MDPS|3ZMB|1AART|1ASPD|1AAC	12VULN|345ZMB|6RCR|7MDPS|8AART|9ASPD|aAAC
133	12241 44111	   	196.55	DCR|2VULN|2ASPD|3ZMB|1DUR	12VULN|345ZMB|6RCR|7RMIN|8DUR|9aASPD
134	12331 32321	   	196.54	DCR|3VULN|1AART|1ASPD|1ZMB	126VULN|3RMIN|4ERES|5AART|7ASPD|8MBVNT|9RCR|aZMB
135	12421 36136	   	196.47	DCR|5VULN|1AART|1DUR	12468VULN|3LEGI|5AART|7DUR|9RCVC|aRCR
136	12133 42343	   	196.46	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	12VULN|3MDPS|4CDMG|5FEWX|6RMIN|7RCR|89ASPD|aDMG
137	12135 42343	   	196.46	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	12VULN|3MDPS|4CDMG|5LWND|6RMIN|7RCR|89ASPD|aDMG
138	12136 32313	   	196.46	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9RMIN|aDMG
139	12136 62313	   	196.46	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9RMIN|aDMG
140	21411 31266	   	196.43	DCR|3VULN|1AART|1ASPD|2DUR|1AAC	1AAC|268VULN|3RCVC|48CGEN|5AART|78DUR|8BPWR|9RCR|aASPD
141	13641 25243	   	196.36	DCR|3VULN|1AART|1DMG|2DUR|1AAC	156VULN|2RPLT|36DUR|4MBVNT|6BPWR|7DMG|8AART|9RCR|aAAC
142	21431 31266	   	196.23	DCR|3VULN|1AART|1ASPD|2DUR|1AAC	1AAC|268VULN|3RCVC|48ERES|5AART|78DUR|8BPWR|9RCR|aASPD
143	33113 45334	   	196.08	DCR|4VULN|1MDPS|1ASPD|1ZMB|1DUR	1AME|2ASPD|3MDPS|459aVULN|6RCR|7ZMB|8DUR
144	12136 32361	   	196.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9AART|aRPLT
145	12136 32364	   	196.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9AART|aBEXP
146	12136 32365	   	196.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9AART|aAELBLL
147	12136 32442	   	196.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|59ASPD|6LHND|7RCR|8AME|aAART
148	12136 62361	   	196.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9AART|aRPLT
149	33113 34661	   	196.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AME|28ASPD|3MDPS|45VULN|6BEXP|7RCR|9AART|aCDMG
150	33113 46311	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AME|2ASPD|3MDPS|45VULN|6RCR|7DMG|8DUR|9RPLT|aAART
151	33113 46341	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AME|2ASPD|3MDPS|45VULN|6RCR|7DMG|8DUR|9AART|aBEXP
152	33113 46342	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AME|2ASPD|3MDPS|45VULN|6RCR|7DMG|8DUR|9AART|aFEWX
153	63113 46311	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1CGEN|2ASPD|3MDPS|45VULN|6RCR|7DMG|8DUR|9RPLT|aAART
154	15313 46311	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	15VULN|2MDPS|3ASPD|4CGEN|6RCR|7DMG|8DUR|9RPLT|aAART
155	12131 32342	   	195.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1AAC	12VULN|3MDPS|4CDMG|5AAC|6LHND|7RCR|89ASPD|aAART
156	12131 62342	   	195.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1AAC	12VULN|3MDPS|4CDMG|5AAC|6LWND|7RCR|89ASPD|aAART
157	12133 52342	 * 	195.91	DCR|2VULN|1MDPS|2ASPD|1AART|1NUKE|1CDMG	12VULN|3MDPS|4CDMG|5FEWX|6NUKE|7RCR|89ASPD|aAART
158	12135 32342	   	195.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1AAC	12VULN|3MDPS|4CDMG|5LWND|6AAC|7RCR|89ASPD|aAART
159	12135 52342	   	195.91	DCR|2VULN|1MDPS|2ASPD|1AART|1NUKE|1CDMG	12VULN|3MDPS|4CDMG|5LWND|6NUKE|7RCR|89ASPD|aAART
160	15132 62631	   	195.90	DCR|2VULN|1MDPS|2ASPD|1DMG|2ZMB|1DUR	19VULN|2MDPS|3DUR|4DMG|56ZMB|7aASPD|8RCR
161	33113 42523	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|27ASPD|3MDPS|458VULN|6RCR|9RPLT|aDMG
162	33113 42531	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|27ASPD|3MDPS|458VULN|6RCR|9DMG|aBEXP
163	33113 42533	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|27ASPD|3MDPS|458VULN|6RCR|9DMG|aBELT
164	33113 42536	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|27ASPD|3MDPS|458VULN|6RCR|9DMG|aFEWX
165	33113 46231	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|2aASPD|3MDPS|459VULN|6RCR|7DMG|8LWND
166	63113 46231	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	1CGEN|2aASPD|3MDPS|459VULN|6RCR|7DMG|8LWND
167	15313 46231	   	195.87	DCR|3VULN|1MDPS|2ASPD|1DMG	159VULN|2MDPS|3aASPD|4CGEN|6RCR|7DMG|8LWND
168	11611 36116	   	195.82	DCR|5VULN|1AART|1DUR	13689VULN|2AME|4CGEN|5AART|7DUR|aRCR
169	31611 36116	   	195.82	DCR|5VULN|1AART|1DUR	1AME|23689VULN|4CGEN|5AART|7DUR|aRCR
170	33113 46343	   	195.81	DCR|2VULN|1MDPS|1AART|1DMG|1ASPD|1DUR	1AME|2ASPD|3MDPS|45VULN|6RCR|7DMG|8DUR|9AART|aTLV
