0	Index      	 *	Score 	Summary	Detail	
1	61331 11614	 * 	215.76	DCR|3VULN|1SPLARM|1AART|2DUR|2ZMB	178VULN|2DUST|38DUR|4LIT|5SPLARM|68ZMB|8BPWR|9RCR|aAART
21	63265 11111	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	178VULN|2LHND|3RPLT|4ASPD|5DUST|6RCR|9CDMG|aDMG
22	64131 61321	 * 	197.84	DCR|3VULN|2DMG|1CDMG|1DUR	137VULN|2aDMG|4BEXP|5RPLT|6CDMG|8DUR|9RCR
23	64121 51321	   	197.74	DCR|3VULN|2DMG|1CDMG|1DUR	137VULN|2aDMG|4DUST|5RPLT|6CDMG|8DUR|9RCR
24	64232 12513	 * 	197.29	DCR|2VULN|2DMG|1AART|1ASPD	18VULN|27DMG|3RMIN|4FEWX|5ASPD|6LHND|9AART|aRCR
25	61346 31213	 * 	196.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	157VULN|2DUST|3DUR|4ZMB|6DMG|8MLV|9AART|aRCR
26	61326 31613	   	195.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	157VULN|2DUST|3DUR|4ERES|6DMG|8ZMB|9AART|aRCR
27	61346 31313	   	195.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	157VULN|2DUST|3DUR|4ZMB|6DMG|8ERES|9AART|aRCR
28	64213 12342	 * 	192.76	DCR|2DMG|1VULN|1AART|2CDMG|1AAC|1ZMB	1VULN|26DMG|3RMIN|47CDMG|5AAC|8AART|9RCR|aZMB
29	21133 41322	 * 	192.54	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LIT|2aVULN|3MDPS|4RMIN|5ASPD|6SPLREG|7RCR|8AART|9DMG
30	63262 11113	   	192.16	DCR|3VULN|2ASPD|1CDMG	178VULN|2LHND|3RPLT|4aASPD|5FEWX|6RCR|9CDMG
31	61261 11113	   	192.06	DCR|3VULN|2ASPD|1CDMG	178VULN|2DUST|3RPLT|4aASPD|5LHND|6RCR|9CDMG
32	63265 11113	   	192.06	DCR|3VULN|2ASPD|1CDMG	178VULN|2LHND|3RPLT|4aASPD|5DUST|6RCR|9CDMG
33	61521 63223	   	191.66	DCR|4VULN|2ASPD	159aVULN|28aDUST|3BELT|4aASPD|6RCR|7DMSP|aBPWR
34	64225 23323	   	191.26	DCR|3DMG|2VULN|1ASPD	15VULN|245DMG|38RMIN|5BPWR|67LWND|9RCR|aASPD
35	43221 52512	 * 	190.83	DCR|2DMG|2ASPD|1VULN|2CDMG	147DUST|29ASPD|39CDMG|5BASFIG|6VULN|89DMG|9BPWR|aRCR
36	62133 11613	 * 	190.81	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	137VULN|2CGEN|4RCVC|5DMG|6MDPS|8ZMB|9AART|aRCR
37	21162 33164	 * 	190.45	DCR|3VULN|1MDPS|2ASPD|1ZMB|1DUR	1LIT|249VULN|3MDPS|5DUR|67ASPD|8RCR|aZMB
38	61261 11336	   	190.39	DCR|2VULN|2AART|1ASPD|1AAC	17VULN|2DUST|3RPLT|4ASPD|5LHND|6RCR|89AART|aAAC
39	61263 11211	   	190.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	17VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|8RCVC|9CDMG|aDMG
40	64321 11613	 * 	190.26	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	17VULN|24DMG|3CGEN|5RCVC|6MDPS|8ZMB|9AART|aRCR
41	64232 21613	   	190.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	17VULN|2DMG|3RMIN|4FEWX|5ASPD|6CGEN|8ZMB|9AART|aRCR
42	43111 24523	 * 	190.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|37VULN|4ERES|5FEWX|6CDMG|8RCR|9ZMB|aAART
43	11112 31613	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RMIN|2FEWX|37VULN|4ERES|5ASPD|6DMG|8ZMB|9AART|aRCR
44	43136 31613	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DUST|2ASPD|37VULN|45BEXP|6DMG|8ZMB|9AART|aRCR
45	43122 31613	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14DUST|2ASPD|37VULN|5BEXP|6DMG|8ZMB|9AART|aRCR
46	43411 33523	 * 	189.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3MLV|4CDMG|5DMG|6AME|7VULN|8RCR|9ZMB|aAART
47	15264 73431	 * 	189.78	DCR|3VULN|2CDMG|1ASPD|1DUR	1RMIN|2aBEXP|3aCDMG|4MBVNT|5DUR|6ASPD|79aVULN|8RCR|aBPWR
48	43241 33523	   	189.70	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3CDMG|4ERES|5DMG|6AME|7VULN|8RCR|9ZMB|aAART
49	43511 33523	   	189.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3TLV|4CDMG|5DMG|6AME|7VULN|8RCR|9ZMB|aAART
50	21162 32115	   	189.62	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	1LIT|24VULN|3MDPS|57DUR|6ASPD|8RCR|9DMG|aCDMG
51	43223 13523	   	189.60	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	14DUST|2ASPD|3CDMG|5LEGI|6DMG|7VULN|8RCR|9ZMB|aAART
52	43223 26533	   	189.60	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	14DUST|2ASPD|3CDMG|5LEGI|6ZMB|7VULN|8RCR|9DMG|aAART
53	61263 11141	   	189.36	DCR|3VULN|2ASPD|2DUR	178VULN|2DUST|3RPLT|4aASPD|59DUR|6RCR
54	64332 12432	   	189.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1VULN|27DMG|3CGEN|4FEWX|5ASPD|6LHND|8RCR|9DUR|aAART
55	43112 12432	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|2ASPD|3VULN|4ERES|57DMG|6LHND|8RCR|9DUR|aAART
56	61521 63213	   	188.74	DCR|3VULN|3ASPD	15aVULN|28aDUST|3BELT|49aASPD|6RCR|7DMSP|aBPWR
57	61263 11311	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	17VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|8DMSP|9CDMG|aDMG
58	61263 14111	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|7DMSP|9CDMG|aDMG
59	11112 31566	   	188.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1RMIN|2FEWX|37VULN|4ERES|5aASPD|6DMG|8CDMG|9RCR
60	54253 23433	 * 	187.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2DMG|3CDMG|4DUR|5ERES|6MBVNT|79VULN|8RCR|aAART
61	44253 23433	   	187.89	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMG|3CDMG|4DUR|5ERES|6MBVNT|79VULN|8RCR|aAART
62	64225 11331	   	187.84	DCR|3DMG|2VULN|1ZMB|1DUR	15VULN|245DMG|3RMIN|5BPWR|6FEWX|7BEXP|8DUR|9ZMB|aRCR
63	64225 13331	   	187.84	DCR|3DMG|2VULN|1ZMB|1DUR	15VULN|245DMG|3RMIN|5BPWR|6FEWX|7LWND|8DUR|9ZMB|aRCR
64	64225 21331	   	187.84	DCR|3DMG|2VULN|1ZMB|1DUR	15VULN|245DMG|3RMIN|5BPWR|6LWND|7BEXP|8DUR|9ZMB|aRCR
65	11126 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2FEWX|357VULN|4DUST|6DMG|8ZMB|9AART|aRCR
66	12266 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2LEGI|357VULN|4FEWX|6DMG|8ZMB|9AART|aRCR
67	13136 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2DUST|357VULN|4BEXP|6DMG|8ZMB|9AART|aRCR
68	13166 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2DUST|357VULN|4FEWX|6DMG|8ZMB|9AART|aRCR
69	14122 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|237VULN|4DUST|5BEXP|6DMG|8ZMB|9AART|aRCR
70	15126 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2BEXP|357VULN|4DUST|6DMG|8ZMB|9AART|aRCR
71	61136 31613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	157VULN|2DUST|3MLV|4BEXP|6DMG|8ZMB|9AART|aRCR
72	64112 21613	   	187.70	DCR|3VULN|1AART|1DMG|1AAC|1ZMB	137VULN|2DMG|4LHND|5BEXP|6AAC|8ZMB|9AART|aRCR
73	64112 31633	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	137VULN|2DMG|4LHND|5BEXP|6ERES|8ZMB|9AART|aRCR
74	64122 21613	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	137VULN|2DMG|4DUST|5BEXP|6CGEN|8ZMB|9AART|aRCR
75	64123 21633	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	137VULN|2DMG|4DUST|5LWND|6CGEN|8ZMB|9AART|aRCR
76	63262 11351	   	187.70	DCR|2VULN|1AART|1ASPD|1DMG	17VULN|2LHND|3RPLT|4ASPD|5FEWX|6RCR|8AART|9DMG|aBEXP
77	63262 11352	   	187.70	DCR|2VULN|1AART|1ASPD|1DMG	17VULN|2aLHND|3RPLT|4ASPD|5FEWX|6RCR|8AART|9DMG
78	12226 31613	   	187.60	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2LEGI|357VULN|4DUST|6DMG|8ZMB|9AART|aRCR
79	61261 11351	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	17VULN|2DUST|3RPLT|4ASPD|5LHND|6RCR|8AART|9DMG|aBEXP
80	61261 11352	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	17VULN|2DUST|3RPLT|4ASPD|5aLHND|6RCR|8AART|9DMG
81	63262 11353	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	17VULN|2LHND|3RPLT|4ASPD|5FEWX|6RCR|8AART|9DMG|aERES
82	63242 14232	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1aVULN|2LHND|3RPLT|4TLV|5BEXP|6RCR|7AART|8DMG|9ASPD
83	11125 31613	   	187.56	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|26FEWX|37VULN|4DUST|56DMG|6BPWR|8ZMB|9AART|aRCR
84	12265 31613	   	187.56	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|2LEGI|37VULN|46FEWX|56DMG|6BPWR|8ZMB|9AART|aRCR
85	54111 31613	   	187.56	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|26DMG|37VULN|4ERES|56FEWX|6BPWR|8ZMB|9AART|aRCR
86	64142 33233	   	187.56	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|26DMG|4LWND|5BEXP|7ZMB|8MLV|9AART|aRCR
87	64323 34333	   	187.56	DCR|2VULN|2DMG|1AART|1ZMB	16VULN|24DMG|3CGEN|5ZMB|7FEWX|8LHND|9AART|aRCR
88	43112 51252	 * 	187.53	DCR|2VULN|2DMG|2ASPD	189DUST|29ASPD|37VULN|4ERES|59DMG|6BELT|9BPWR|aRCR
89	61261 11353	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	17VULN|2DUST|3RPLT|4ASPD|5LHND|6RCR|8AART|9DMG|aERES
90	13165 31613	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|26DUST|37VULN|4FEWX|56DMG|6BPWR|8ZMB|9AART|aRCR
91	44111 31613	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|26DMG|37VULN|4ERES|56FEWX|6BPWR|8ZMB|9AART|aRCR
92	54112 21633	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|25DMG|37VULN|4ERES|6LHND|8ZMB|9AART|aRCR
93	54112 31633	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|25DMG|37VULN|4ERES|6LWND|8ZMB|9AART|aRCR
94	64122 33213	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|26DMG|4DUST|5BEXP|7ZMB|8CGEN|9AART|aRCR
95	64123 33233	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|26DMG|4DUST|5LWND|7ZMB|8MLV|9AART|aRCR
96	64123 33433	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|26DMG|4DUST|5LWND|7ZMB|8CGEN|9AART|aRCR
97	64142 33333	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|26DMG|4LWND|5BEXP|7ZMB|8ERES|9AART|aRCR
98	64225 23321	   	187.45	DCR|3DMG|2VULN|1CDMG	15VULN|245DMG|38RMIN|5BPWR|67LWND|9RCR|aCDMG
99	44112 21633	   	187.36	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|25DMG|37VULN|4ERES|6LHND|8ZMB|9AART|aRCR
100	44112 31633	   	187.36	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|25DMG|37VULN|4ERES|6LWND|8ZMB|9AART|aRCR
101	64123 33333	   	187.36	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|26DMG|4DUST|5LWND|7ZMB|8ERES|9AART|aRCR
102	12265 23511	   	187.35	DCR|2VULN|2DMG|1CDMG|2DUR	1RMIN|2LEGI|3aVULN|4FEWX|5aDMG|6CDMG|7AELBLL|8RCR|9aDUR|aBPWR
103	34123 23243	   	187.32	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR|1ZMB	1TSLARM|26DUR|3ZMB|4MDPS|57VULN|8RCR|9ASPD|aAART
104	34124 33336	   	187.32	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR|1AAC|1ZMB	1aTSLARM|2aDUR|3ZMB|4MDPS|5ASPD|6AAC|7aVULN|8RCR|9AART|aBPWR
105	63262 11135	   	187.19	DCR|4VULN|1SPLARM|1ASPD	178aVULN|2LHND|3RPLT|4ASPD|5FEWX|6RCR|9SPLARM
106	15112 35613	   	187.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1RMIN|2BEXP|3VULN|4ERES|56DMG|7ASPD|8ZMB|9AART|aRCR
107	41422 24222	 * 	187.12	DCR|2VULN|1AART|2CDMG|1DMG	125DUST|35CDMG|4AART|5BPWR|69VULN|7LWND|8RCR|aDMG
108	41425 11233	 * 	187.12	DCR|2AART|1VULN|2CDMG|1ASPD|1DUR	12DUST|37CDMG|48AART|5VULN|6DUR|9ASPD|aRCR
109	61261 11135	   	187.09	DCR|4VULN|1SPLARM|1ASPD	178aVULN|2DUST|3RPLT|4ASPD|5LHND|6RCR|9SPLARM
110	13112 35613	   	187.04	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1RMIN|2DUST|3VULN|4ERES|56DMG|7ASPD|8ZMB|9AART|aRCR
111	61112 35613	   	187.04	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1VULN|2DUST|3MLV|4ERES|56DMG|7ASPD|8ZMB|9AART|aRCR
112	21162 33166	   	186.89	DCR|3VULN|1MDPS|2ASPD|1AAC|1DUR	1LIT|249VULN|3MDPS|5DUR|67ASPD|8RCR|aAAC
113	65261 11133	   	186.42	DCR|3VULN|1SPLARM|1ASPD|1AAC|1DUR	178VULN|2DUR|3RPLT|4ASPD|5LHND|6RCR|9SPLARM|aAAC
114	61263 11133	   	186.32	DCR|3VULN|1SPLARM|1ASPD|1AAC|1DUR	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9SPLARM|aAAC
115	55212 11111	   	186.25	DCR|3VULN|1DMG|1CDMG|1DUR	1BEXP|2DUR|3RPLT|4CGEN|578VULN|6RCR|9CDMG|aDMG
116	55212 11113	   	186.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1BEXP|2DUR|3RPLT|4CGEN|578VULN|6RCR|9CDMG|aASPD
117	55222 11111	   	186.25	DCR|3VULN|1DMG|1CDMG|1DUR	1BEXP|2DUR|3RPLT|4AME|578VULN|6RCR|9CDMG|aDMG
118	55222 11113	   	186.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1BEXP|2DUR|3RPLT|4AME|578VULN|6RCR|9CDMG|aASPD
119	65211 11111	   	186.25	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4CGEN|5LHND|6RCR|9CDMG|aDMG
120	65211 11113	   	186.25	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4CGEN|5LHND|6RCR|9CDMG|aASPD
121	65221 11111	   	186.25	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4AME|5LHND|6RCR|9CDMG|aDMG
122	65221 11113	   	186.25	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4AME|5LHND|6RCR|9CDMG|aASPD
123	61263 11115	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9CDMG|aLIT
124	43361 13226	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1DUST|2ASPD|3FEWX|4BELT|58aVULN|6RCR|7DUR|9CDMG
125	45212 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	1DUST|2DUR|3RPLT|4CGEN|578VULN|6RCR|9CDMG|aDMG
126	45212 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1DUST|2DUR|3RPLT|4CGEN|578VULN|6RCR|9CDMG|aASPD
127	45222 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	1DUST|2DUR|3RPLT|4AME|578VULN|6RCR|9CDMG|aDMG
128	45222 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1DUST|2DUR|3RPLT|4AME|578VULN|6RCR|9CDMG|aASPD
129	61213 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUST|3RPLT|4CGEN|5DUR|6RCR|9CDMG|aDMG
130	61213 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4CGEN|5DUR|6RCR|9CDMG|aASPD
131	61223 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUST|3RPLT|4AME|5DUR|6RCR|9CDMG|aDMG
132	61223 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4AME|5DUR|6RCR|9CDMG|aASPD
133	65215 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4CGEN|5DUST|6RCR|9CDMG|aDMG
134	65215 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4CGEN|5DUST|6RCR|9CDMG|aASPD
135	65225 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4AME|5DUST|6RCR|9CDMG|aDMG
136	65225 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4AME|5DUST|6RCR|9CDMG|aASPD
137	65231 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4DUST|5RMIN|6RCR|9CDMG|aDMG
138	65231 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4DUST|5RMIN|6RCR|9CDMG|aASPD
139	65241 11111	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4TLV|5LHND|6RCR|9CDMG|aDMG
140	65241 11113	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4TLV|5LHND|6RCR|9CDMG|aASPD
141	65261 11112	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4ASPD|5LHND|6RCR|9CDMG|aBASARM
142	61263 11112	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9CDMG|aBASARM
143	61263 11114	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9CDMG|aERES
144	61263 11116	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR|1MSE	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9CDMG|aMSE
145	61243 11111	   	186.05	DCR|3VULN|1DMG|1CDMG|1DUR	178VULN|2DUST|3RPLT|4TLV|5DUR|6RCR|9CDMG|aDMG
146	61243 11113	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4TLV|5DUR|6RCR|9CDMG|aASPD
147	64133 52313	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	13VULN|2DMG|4BEXP|5SELL|6CDMG|7ZMB|8LHND|9AART|aRCR
148	63262 11142	   	185.85	DCR|4VULN|1ASPD|1DUR	178aVULN|2LHND|3RPLT|4ASPD|5FEWX|6RCR|9DUR
149	63533 13511	   	185.78	DCR|3VULN|1AART|1ASPD|1DUR	147VULN|2LHND|3BELT|5MULFIG|6ASPD|8AART|9DUR|aRCR
