0	Index      	 *	Score 	Summary	Detail	
1	34331 53161	 * 	219.28	DCR|3VULN|1MDPS|1ASPD|1DMG|3DUR	138DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|aMDPS
14	34361 53111	   	215.67	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	138DUR|23VULN|3BPWR|4AME|5DMG|6RCR|79ASPD|aMDPS
15	34321 53111	   	215.57	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR|1AAC	138DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|79ASPD|aMDPS
16	34351 53111	   	215.57	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	138DUR|23VULN|3BPWR|4ERES|5DMG|6RCR|79ASPD|aMDPS
17	34331 34214	   	215.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6LHND|7ASPD|8RCR|aAART
18	34331 63213	   	215.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6BEXP|7ASPD|8RCR|aAART
19	34341 32243	   	215.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9AART|aCGEN
20	34341 32241	   	215.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|1MSE	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9AART|aMSE
21	34341 32242	   	215.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9AART|aERES
22	33421 55212	   	215.01	DCR|4VULN|1MDPS|1DMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|4789VULN|5DMG|6RCR|aMDPS
23	34331 55212	 * 	214.97	DCR|4VULN|1AART|1DMG|2DUR	13DUR|2379VULN|3BPWR|4CGEN|5DMG|6RCR|8AELBLL|aAART
24	34321 55232	   	214.87	DCR|4VULN|1AART|1DMG|2DUR|1AAC	13DUR|2378VULN|3BPWR|4AAC|5DMG|6RCR|9CGEN|aAART
25	34321 51514	   	214.03	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR|1AAC	13DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7MBVNT|8ASPD|aMDPS
26	34351 53312	 * 	212.89	DCR|3VULN|2DMG|1ASPD|2DUR	13DUR|239VULN|3BPWR|4ERES|5aDMG|6RCR|7ASPD|8LHND
27	34331 53315	 * 	211.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|8LHND|aCDMG
28	34321 53315	   	211.56	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR|1AAC	13DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|8LHND|aCDMG
29	34321 55212	 * 	211.53	DCR|5VULN|2AAC|1DMG|2DUR	13DUR|23789VULN|3BPWR|4aAAC|5DMG|6RCR
30	34341 32211	   	210.13	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aCGEN
31	34341 32212	   	210.13	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aZMB
32	34341 32213	   	210.13	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aCANARM
33	34341 32214	 * 	210.13	DCR|3VULN|1MDPS|2ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6aASPD|7RMIN|8RCR|9MDPS
34	34341 32215	   	210.13	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aLEGI
35	34341 32216	   	210.13	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aBEXP
36	11634 11214	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1MLV|2DUR|3LHND|4DMG|5ASPD|679VULN|8RCR|aAART
37	34531 63213	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|239VULN|4CGEN|5DMG|6BEXP|7ASPD|8RCR|aAART
38	21634 11214	   	209.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ERES|2DUR|3LHND|4DMG|5ASPD|679VULN|8RCR|aAART
39	34321 53116	 * 	209.67	DCR|3ASPD|2VULN|1DMG|3DUR|1AAC	138DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|79aASPD
40	33361 13254	 * 	209.63	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|2DMSP|3CDMG|47VULN|5SPLARM|6LIT|8ASPD|9DMG|aRCR
41	63121 53314	   	209.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3DUR|49VULN|5DMG|6RCR|7ASPD|8LHND|aAART
42	34333 52413	   	209.45	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	13DUR|239VULN|3BPWR|4CGEN|5ZMB|6RCR|7BEXP|8ASPD|aAART
43	34122 35311	 * 	209.17	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR|1SELL	18DUR|28VULN|3TSLARM|4SELL|5BEXP|68DMG|7RCR|8BPWR|9ASPD|aCDMG
44	34125 35311	 * 	209.17	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR|1SELL	18DUR|28VULN|3TSLARM|4SELL|5FEWX|68DMG|7RCR|8BPWR|9ASPD|aCDMG
45	34126 35311	 * 	209.07	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR|1SELL	18DUR|28VULN|3TSLARM|4SELL|5DUST|68DMG|7RCR|8BPWR|9ASPD|aCDMG
46	34341 32236	   	208.99	DCR|3VULN|2DMG|1ASPD|2DUR	13DUR|234VULN|3BPWR|5aDMG|6ASPD|7RMIN|8RCR|9CGEN
47	34351 63212	   	208.89	DCR|3VULN|2DMG|1ASPD|2DUR	13DUR|239VULN|3BPWR|4ERES|5aDMG|6BEXP|7ASPD|8RCR
48	34321 55222	 * 	208.68	DCR|4VULN|2DMG|2DUR|1AAC	13DUR|2378VULN|3BPWR|4AAC|5aDMG|6RCR|9LHND
49	34343 15212	   	207.68	DCR|5VULN|1DMG|2DUR|1ZMB	13DUR|23489VULN|3BPWR|5ZMB|6DMG|7MBVNT|aRCR
50	34331 34215	   	207.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6LHND|7ASPD|8RCR|aCDMG
51	34331 63215	   	207.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6BEXP|7ASPD|8RCR|aCDMG
52	34341 32232	   	207.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|234VULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9CGEN|aCDMG
53	34321 53131	 * 	207.53	DCR|2VULN|1MDPS|2AAC|1ASPD|1DMG|3DUR	138DUR|23VULN|3BPWR|49AAC|5DMG|6RCR|7ASPD|aMDPS
54	63121 55232	   	207.33	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	12ZMB|3DUR|478VULN|5DMG|6RCR|9CGEN|aAART
55	34343 12215	   	207.28	DCR|3VULN|1MDPS|1DMG|2DUR|1AAC|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9MDPS|aAAC
56	34341 32224	   	207.25	DCR|4VULN|1ASPD|1DMG|2DUR	13DUR|234aVULN|3BPWR|5DMG|6ASPD|7RMIN|8RCR|9RPLT
57	35523 21226	 * 	206.50	ACR|4VULN|3CDMG|1AART|3DUR|1AAC	167DUR|2RCR|379aVULN|4AAC|57aCDMG|7aBPWR|8AART
58	33421 53314	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|49VULN|5DMG|6RCR|7ASPD|8LHND|aAART
59	34333 54111	   	205.94	DCR|2VULN|1MDPS|2ASPD|3DUR|1ZMB	138DUR|23VULN|3BPWR|4CGEN|5ZMB|6RCR|79ASPD|aMDPS
60	31661 42312	 * 	205.61	DCR|3VULN|2ASPD|1CDMG|2DUR	18DUR|28MSLREG|39ASPD|4MBVNT|5CDMG|6RCR|78aVULN|8BPWR
61	34333 34214	   	205.45	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	13DUR|239VULN|3BPWR|4CGEN|5ZMB|6LHND|7ASPD|8RCR|aAART
62	34333 64213	   	205.45	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	13DUR|239VULN|3BPWR|4CGEN|5ZMB|6BEXP|7ASPD|8RCR|aAART
63	34343 12243	   	205.45	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9AART|aCGEN
64	34343 12241	   	205.35	DCR|3VULN|1AART|1DMG|2DUR|1ZMB|1MSE	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9AART|aMSE
65	34343 12242	   	205.35	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9AART|aERES
66	34321 55213	   	205.35	DCR|5VULN|1DMG|2DUR|1AAC	13DUR|23789VULN|3BPWR|4AAC|5DMG|6RCR|aLHND
67	34321 55231	   	205.35	DCR|5VULN|1DMG|2DUR|1AAC	13DUR|2378aVULN|3BPWR|4AAC|5DMG|6RCR|9CGEN
68	34321 55211	   	205.25	DCR|5VULN|1DMG|2DUR|1AAC	13DUR|23789VULN|3BPWR|4AAC|5DMG|6RCR|aBASARM
69	33362 21123	 * 	205.24	DCR|3VULN|2ASPD|2CDMG|2DUR	17DUR|2DMSP|37CDMG|489VULN|5DUST|67ASPD|7BPWR|aRCR
70	34333 55212	   	205.24	DCR|4VULN|1AART|2DUR|1ZMB	13DUR|2379VULN|3BPWR|4CGEN|5ZMB|6RCR|8AELBLL|aAART
71	34541 32211	   	204.79	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUR|234VULN|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aCGEN
72	34541 32212	   	204.79	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DUR|234VULN|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aZMB
73	34541 32213	   	204.79	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUR|234VULN|5DMG|6ASPD|7RMIN|8RCR|9MDPS|aCANARM
74	34341 23216	   	204.78	DCR|4VULN|2DMG|2DUR	13DUR|2349VULN|3BPWR|5aDMG|6LWND|7LHND|8RCR
75	63121 51514	   	204.51	DCR|2VULN|1MDPS|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3DUR|49VULN|5DMG|6RCR|7MBVNT|8ASPD|aMDPS
76	12325 11457	 * 	204.37	ACR|4VULN|3ASPD|1AART	18aMLV|2RCR|3MBVNT|4TLV|58aASPD|678aVULN|8aBPWR|9AART
77	33421 55232	   	204.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|478VULN|5DMG|6RCR|9CGEN|aAART
78	34351 51433	 * 	203.97	DCR|3VULN|1AART|1DMG|3DUR	138DUR|23aVULN|3BPWR|4ERES|5DMG|6RCR|7MBVNT|9AART
79	34331 53114	   	203.62	DCR|2VULN|2ASPD|1DMG|3DUR|1AAC	138DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|79ASPD|aAAC
80	21634 11212	   	203.55	DCR|3VULN|2DMG|1ASPD|1DUR	1ERES|2DUR|3LHND|4aDMG|5ASPD|679VULN|8RCR
81	34321 53114	 * 	202.92	DCR|2VULN|2ASPD|2AAC|1DMG|3DUR	138DUR|23VULN|3BPWR|4aAAC|5DMG|6RCR|79ASPD
82	34321 51473	 * 	202.39	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1AAC	138DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|7MBVNT|9AART|aCDMG
83	11634 11215	   	202.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1MLV|2DUR|3LHND|4DMG|5ASPD|679VULN|8RCR|aCDMG
84	34541 32232	   	202.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|234VULN|5DMG|6ASPD|7RMIN|8RCR|9CGEN|aCDMG
85	34351 51432	 * 	202.22	DCR|2VULN|2AART|1DMG|3DUR	138DUR|23VULN|3BPWR|4ERES|5DMG|6RCR|7MBVNT|9aAART
86	21634 11215	   	202.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ERES|2DUR|3LHND|4DMG|5ASPD|679VULN|8RCR|aCDMG
87	63121 53315	   	202.03	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB|1DUR	12ZMB|3DUR|49VULN|5DMG|6RCR|7ASPD|8LHND|aCDMG
88	42233 63353	 * 	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|2AME|3AART|4LWND|58ASPD|6RCR|7aVULN|9DMG
89	23614 22213	 * 	201.81	DCR|3VULN|2ASPD|3ZMB	134ERES|234ZMB|34BPWR|57ASPD|6RCR|89aVULN
90	61342 53247	   	201.57	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR|1SELL	1aZMB|2DUR|3MBVNT|4SELL|5AART|6aVULN|7RCR|8RMIN|9aASPD|aBPWR
91	34331 53141	   	201.45	DCR|2VULN|1MDPS|1ASPD|1DMG|3DUR	138DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|9AELBLL|aMDPS
92	34321 53141	   	201.35	DCR|2VULN|1MDPS|1ASPD|1DMG|3DUR|1AAC	138DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|9AELBLL|aMDPS
93	34331 53126	   	201.35	DCR|2VULN|1MDPS|1ASPD|1DMG|3DUR	138DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|9DUST|aMDPS
94	23614 23422	 * 	201.35	DCR|2DMG|2ASPD|3ZMB|1AART	134ERES|234ZMB|34aBPWR|5aASPD|6RCR|7aDMG|8AART|9DMSP
95	33421 51514	   	201.29	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|49VULN|5DMG|6RCR|7MBVNT|8ASPD|aMDPS
96	34531 53132	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	18DUR|23VULN|49CGEN|5DMG|6RCR|7ASPD|aAART
97	34321 53433	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|2DUR	13DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|8AME|9CGEN|aAART
98	34331 51523	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|7MBVNT|8ASPD|9BEXP|aAART
99	34331 52432	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|7LHND|8ASPD|9TLV|aAART
100	34331 53332	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|8LHND|9TLV|aAART
101	34321 53126	   	201.25	DCR|2VULN|1MDPS|1ASPD|1DMG|3DUR|1AAC	138DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|9DUST|aMDPS
102	34321 53633	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|2DUR	13DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|8TLV|9CGEN|aAART
103	34351 53332	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ERES|5DMG|6RCR|7ASPD|8LHND|9TLV|aAART
104	63121 55222	   	201.14	DCR|3VULN|2DMG|2ZMB|1DUR	12ZMB|3DUR|478VULN|5aDMG|6RCR|9LHND
105	34333 51333	 * 	200.69	DCR|3VULN|1MDPS|1CDMG|2DUR|1ZMB	13DUR|238VULN|3BPWR|49CGEN|5ZMB|6RCR|7CDMG|aMDPS
106	34333 51343	   	200.69	DCR|3VULN|1MDPS|1CDMG|2DUR|1ZMB	13DUR|238VULN|3BPWR|4CGEN|5ZMB|6RCR|7CDMG|9AELBLL|aMDPS
107	63123 61341	   	200.60	DCR|3VULN|3ZMB|1DMG|3DUR	127ZMB|367DUR|467VULN|5RPLT|67BPWR|8DMG|9RCR|aLIT
108	63123 61342	   	200.60	DCR|3VULN|3ZMB|1DMG|3DUR	127ZMB|367DUR|467VULN|5RPLT|67BPWR|8DMG|9RCR|aMLV
109	63123 21343	   	200.50	DCR|3VULN|3ZMB|1DMG|3DUR	127ZMB|367DUR|47aVULN|5RPLT|7BPWR|8DMG|9RCR
110	34331 52413	   	200.46	DCR|3VULN|1ASPD|1DMG|3DUR	13aDUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7LHND|8ASPD
111	34331 53163	   	200.46	DCR|3VULN|1ASPD|1DMG|3DUR	138DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|aFEWX
112	34331 53313	   	200.46	DCR|3VULN|1ASPD|1DMG|3DUR	13aDUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|8LHND
113	34343 12211	   	200.40	DCR|3VULN|1MDPS|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9MDPS|aCGEN
114	34343 12212	   	200.40	DCR|3VULN|1MDPS|1DMG|2DUR|2ZMB	13DUR|234VULN|3BPWR|5aZMB|6DMG|7RMIN|8RCR|9MDPS
115	34343 12213	   	200.40	DCR|3VULN|1MDPS|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9MDPS|aDUST
116	34343 12214	   	200.40	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9MDPS|aASPD
117	34343 12216	   	200.40	DCR|3VULN|1MDPS|1DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9MDPS|aLWND
118	34321 53163	   	200.36	DCR|3VULN|1ASPD|1DMG|3DUR|1AAC	138DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|aFEWX
119	34331 53162	   	200.36	DCR|3VULN|1ASPD|1DMG|3DUR	138DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|aERES
120	36221 36523	 * 	200.27	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1DUR|28LHND|3LIT|4FEWX|58VULN|6CDMG|78DMG|8BPWR|9RCR|aASPD
121	34321 53162	   	200.26	DCR|3VULN|1ASPD|1DMG|3DUR|1AAC	138DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|aERES
122	53244 23213	   	200.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1CGEN|2ZMB|3FEWX|469VULN|5ASPD|7DUR|8RCR|aAART
123	61633 11214	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|3LHND|4DMG|5AME|679VULN|8RCR|aAART
124	35516 21212	 * 	200.05	ACR|2VULN|2ASPD|1AART|2CDMG|3DUR	147DUR|2RCR|3aVULN|57CDMG|67ASPD|7BPWR|8AART|9FEWX
125	35516 21223	   	200.05	ACR|2VULN|2ASPD|1AART|2CDMG|3DUR	147DUR|2RCR|39VULN|57CDMG|67ASPD|7BPWR|8AART|aRPLT
126	23244 23214	   	200.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ERES|2ZMB|3FEWX|469VULN|5ASPD|7DUR|8RCR|aAART
127	35516 21221	   	199.95	ACR|2VULN|2ASPD|1AART|2CDMG|3DUR	147DUR|2RCR|39VULN|57CDMG|67ASPD|7BPWR|8AART|aDUST
128	35516 21222	   	199.95	ACR|2VULN|2ASPD|1AART|2CDMG|3DUR|1MSE	147DUR|2RCR|39VULN|57CDMG|67ASPD|7BPWR|8AART|aMSE
129	63121 55211	   	199.40	DCR|4VULN|1DMG|2ZMB|1DUR	12ZMB|3DUR|4789VULN|5DMG|6RCR|aCGEN
130	63121 55213	   	199.40	DCR|4VULN|1DMG|2ZMB|1DUR	12ZMB|3DUR|4789VULN|5DMG|6RCR|aFEWX
131	63121 55231	   	199.40	DCR|4VULN|1DMG|2ZMB|1DUR	12ZMB|3DUR|478aVULN|5DMG|6RCR|9CGEN
132	34343 12236	   	199.26	DCR|3VULN|2DMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6aDMG|7RMIN|8RCR|9CGEN
133	33453 61133	   	199.24	DCR|2DMG|1VULN|1ASPD|1CDMG|2ZMB|1DUR	1DUR|2DMSP|37ZMB|4CDMG|5ASPD|6RCR|89DMG|aVULN
134	34331 56313	   	199.12	DCR|3VULN|1AART|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7FEWX|8MLV|aAART
135	36221 36522	 * 	199.03	DCR|2VULN|2DMG|1MDPS|1CDMG|1DUR	1DUR|28LHND|3LIT|4FEWX|58VULN|6CDMG|78DMG|8BPWR|9RCR|aMDPS
136	34321 52314	   	199.02	DCR|3VULN|1AART|1DMG|1AAC|2DUR	13DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7LHND|8MLV|aAART
137	34322 52413	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR|1AAC	13DUR|239VULN|3BPWR|4AAC|5CGEN|6RCR|7BEXP|8ASPD|aAART
138	34331 51313	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7MBVNT|8MLV|aAART
139	34331 51713	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7MBVNT|8AME|aAART
140	34321 51315	   	198.92	DCR|3VULN|1AART|1DMG|2DUR|1AAC	13DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7MBVNT|8MLV|aAART
141	33421 53315	   	198.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|49VULN|5DMG|6RCR|7ASPD|8LHND|aCDMG
142	34331 53123	 * 	198.78	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG	138DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|9DUST|aCDMG
143	34361 53123	   	198.78	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG	138DUR|23VULN|3BPWR|4AME|5DMG|6RCR|7ASPD|9DUST|aCDMG
144	34321 53123	   	198.68	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG|1AAC	138DUR|23VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|9DUST|aCDMG
145	34351 53123	   	198.68	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG	138DUR|23VULN|3BPWR|4ERES|5DMG|6RCR|7ASPD|9DUST|aCDMG
146	61131 51215	 * 	198.18	DCR|4VULN|1MDPS|3ZMB|3DUR	14aZMB|26aDUR|3MDPS|579aVULN|8RCR|aBPWR
147	13231 55413	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|2ZMB|3FEWX|4CGEN|5DMG|6RCR|79VULN|8ASPD|aAART
148	34333 34215	   	197.93	DCR|3VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|239VULN|3BPWR|4CGEN|5ZMB|6LHND|7ASPD|8RCR|aCDMG
149	34343 12232	   	197.93	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	13DUR|234VULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9CGEN|aCDMG
150	33421 55222	   	197.92	DCR|3VULN|2DMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|478VULN|5aDMG|6RCR|9LHND
151	33246 21123	   	197.91	DCR|3VULN|2ASPD|1CDMG|2DUR	17DUR|2DMSP|37FEWX|489VULN|5CDMG|67ASPD|7BPWR|aRCR
152	34333 51113	 * 	197.76	DCR|3VULN|2CDMG|3DUR|2ZMB	138DUR|23aVULN|3aBPWR|4CGEN|5aZMB|6RCR|7aCDMG|9RMIN
153	33146 21123	   	197.71	DCR|3VULN|2ASPD|1CDMG|2DUR	17DUR|2DMSP|37DUST|489VULN|5CDMG|67ASPD|7BPWR|aRCR
154	34333 51334	 * 	197.71	DCR|4VULN|1CDMG|2DUR|1ZMB	13DUR|238aVULN|3BPWR|49CGEN|5ZMB|6RCR|7CDMG
155	34343 12224	   	197.52	DCR|4VULN|1DMG|2DUR|1ZMB	13DUR|234aVULN|3BPWR|5ZMB|6DMG|7RMIN|8RCR|9RPLT
