0	Index      	 *	Score 	Summary	Detail	
1	26352 35133	 * 	231.58	DCR|3DMG|2VULN|1MDPS|2CDMG|1ASPD|1ZMB|1DUR	17VULN|2ASPD|367DMG|4MDPS|57CDMG|7BPWR|8DUR|9ZMB|aRCR
29	21141 12515	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LHND|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aDUST
30	21341 12512	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aAME
31	21341 12514	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aBEXP
32	21341 12516	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2aLHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG
33	23141 12511	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG|1MSE	15VULN|2LWND|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMSE
34	23141 12512	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aTLV
35	23141 12513	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMBVNT
36	23141 12515	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aDUST
37	23341 12512	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aAME
38	23341 12514	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aBEXP
39	23341 12516	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aLHND
40	24141 11511	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG|1MSE	15VULN|2BEXP|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMSE
41	24141 11512	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2BEXP|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aTLV
42	24141 11513	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2BEXP|3AME|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMBVNT
43	25141 12511	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG|1MSE	15VULN|2AME|3LHND|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMSE
44	25141 12512	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2AME|3LHND|456ASPD|5BPWR|7AART|8RCR|9CDMG|aTLV
45	25141 12513	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2AME|3LHND|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMBVNT
46	25241 12511	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG|1MSE	15VULN|2AME|3LWND|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMSE
47	25241 12512	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2AME|3LWND|456ASPD|5BPWR|7AART|8RCR|9CDMG|aTLV
48	25241 12513	   	207.03	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2AME|3LWND|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMBVNT
49	23141 12551	 * 	206.96	DCR|3ASPD|2VULN|2AART	15VULN|2LWND|3AME|456ASPD|5BPWR|7aAART|8RCR|9LHND
50	23141 12561	   	206.96	DCR|3ASPD|2VULN|2AART	15VULN|2LWND|3AME|456ASPD|5BPWR|7aAART|8RCR|9FEWX
51	21341 12511	   	206.93	DCR|3ASPD|2VULN|1AART|1CDMG|1MSE	15VULN|2LHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMSE
52	21341 12513	   	206.93	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMBVNT
53	21341 12515	   	206.93	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aDUST
54	23341 12511	   	206.93	DCR|3ASPD|2VULN|1AART|1CDMG|1MSE	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMSE
55	23341 12513	   	206.93	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aMBVNT
56	23341 12515	   	206.93	DCR|3ASPD|2VULN|1AART|1CDMG	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9CDMG|aDUST
57	21141 12561	   	206.86	DCR|3ASPD|2VULN|2AART	15VULN|2LHND|3AME|456ASPD|5BPWR|7aAART|8RCR|9DUST
58	23341 12551	   	206.86	DCR|3ASPD|2VULN|2AART	15VULN|2LWND|3ERES|456ASPD|5BPWR|7aAART|8RCR|9LHND
59	23341 12561	   	206.86	DCR|3ASPD|2VULN|2AART	15VULN|2LWND|3ERES|456ASPD|5BPWR|7aAART|8RCR|9FEWX
60	24141 11521	   	206.86	DCR|3ASPD|2VULN|2AART	15VULN|2BEXP|3AME|456ASPD|5BPWR|7aAART|8RCR|9LEGI
61	21341 12561	   	206.76	DCR|3ASPD|2VULN|2AART	15VULN|2LHND|3ERES|456ASPD|5BPWR|7aAART|8RCR|9DUST
62	26443 12323	 * 	206.59	ACR|3VULN|3ASPD|1AART|1DMG	15aVULN|26aASPD|3RCR|4DMG|7MLV|8aLWND|9AART|aBPWR
63	26343 11438	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15VULN|26ASPD|3DMG|4MBVNT|7DUR|8RCR|9RMIN|aAART
64	21451 12161	 * 	205.76	DCR|4VULN|1MDPS|2ASPD|1ZMB	1578VULN|27LHND|3ZMB|45MLV|57BPWR|67ASPD|9RCR|aMDPS
65	26111 63531	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	18VULN|2ASPD|3LHND|47CDMG|5AART|6DMG|9RCR|aLWND
66	26111 63532	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	18VULN|2ASPD|3LHND|47CDMG|5AART|6DMG|9RCR|aRMIN
67	26111 63533	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	18VULN|2ASPD|3LHND|47CDMG|5AART|6DMG|9RCR|aFEWX
68	26211 63432	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1aVULN|2ASPD|38LWND|47CDMG|5AART|6DMG|9RCR
69	15111 54231	   	204.40	DCR|2DMG|2ASPD|1AART|3DUR|1CDMG	1aASPD|28aDUR|3LHND|4CDMG|5DMSP|6AART|7aDMG|9RCR|aBPWR
70	15211 54231	   	204.40	DCR|2DMG|2ASPD|1AART|3DUR|1CDMG	1aASPD|28aDUR|3LWND|4CDMG|5DMSP|6AART|7aDMG|9RCR|aBPWR
71	26343 11411	   	203.84	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	15VULN|26ASPD|3DMG|4MBVNT|7aDUR|8RCR|9CDMG
72	26111 61116	 * 	203.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|3LHND|4CDMG|5AART|6aDMG|7ERES|8DUR|9RCR
73	26211 61116	   	203.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|3LWND|4CDMG|5AART|6aDMG|7ERES|8DUR|9RCR
74	24611 21433	 * 	203.16	DCR|3VULN|2AART|2CDMG	169VULN|2BEXP|3LIT|4aCDMG|58AART|7RCR
75	21111 63535	 * 	203.15	DCR|3VULN|1AART|2CDMG|1DMG	18aVULN|2LHND|3AME|47CDMG|5AART|6DMG|9RCR
76	23111 63532	   	203.15	DCR|3VULN|1AART|2CDMG|1DMG	18aVULN|2LWND|3AME|47CDMG|5AART|6DMG|9RCR
77	25211 63532	   	203.15	DCR|3VULN|1AART|2CDMG|1DMG	18aVULN|2AME|3LWND|47CDMG|5AART|6DMG|9RCR
78	26111 63132	 * 	203.07	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1VULN|2ASPD|3LHND|47CDMG|5aAART|6DMG|8RCR|9FEWX
79	26211 63132	   	203.07	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1VULN|2ASPD|3LWND|47CDMG|5aAART|6DMG|8RCR|9FEWX
80	26111 63152	   	202.97	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1VULN|2ASPD|3LHND|47CDMG|5aAART|6DMG|8RCR|9DUST
81	26211 63152	   	202.97	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1VULN|2ASPD|3LWND|47CDMG|5aAART|6DMG|8RCR|9DUST
82	11341 36474	   	202.00	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1ASPD|2FEWX|38DMG|4MBVNT|5SPLREG|6CDMG|7VULN|9RCR|aAART
83	26343 11415	   	201.94	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC|1DUR	15VULN|26ASPD|3DMG|4MBVNT|7DUR|8RCR|9CDMG|aAAC
84	12613 33123	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1aASPD|25aTLV|37LWND|4DMG|6RCR|8aVULN|9AART|aBPWR
85	25321 11463	 * 	201.77	DCR|3ASPD|2VULN|1DMG|3DUR	15VULN|2AME|368ASPD|457DUR|5BPWR|9DMG|aRCR
86	15422 63133	   	201.62	ACR|2VULN|2DMG|2ASPD|1AART|1DUR	1aASPD|2DUR|3RCR|4aVULN|5AME|6DUST|7aDMG|8AART|9RPLT|aBPWR
