0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38771 34233	7	 * 	308.89	橙5易伤3时间2伤害1暴击	1加一27伤害356时间45679易伤567序列升级8暴击a核
31	38771 31221	9	   	281.85	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a掉矿
32	38771 31224	9	   	281.85	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a挖尘
33	38664 23133	7	   	279.69	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8金币生成9攻速a核
34	38664 23323	6	   	279.59	橙3易伤3伤害2等级	1加一248伤害348易伤48序列升级58等级6全技能7赏金塔9雷电a核
35	38664 23333	7	   	279.59	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8掉矿9攻速a核
36	11461 32322	8	   	279.43	橙4易伤3伤害2时间	19a基地爆炸256伤害3挖青456a易伤56a序列升级7a时间8核
37	11461 32342	9	   	279.43	橙4易伤3伤害2时间	19a基地爆炸256伤害3挖青456a易伤56a序列升级7a时间8核
38	11551 31152	9	   	279.43	橙4易伤3伤害2时间	17a基地爆炸246伤害346a易伤46a序列升级5加一8a时间9核
39	11551 31154	10	   	279.43	橙4易伤3伤害2时间	17a基地爆炸246伤害346a易伤46a序列升级5加一8a时间9核
40	11461 32335	10	   	279.23	橙4易伤3伤害2时间	1基地爆炸256伤害3挖青4569易伤56序列升级7a时间8核
41	38421 77233	4	   	279.21	橙2易伤3时间2伤害1等级1暴击	1加一29伤害3等级49易伤5攻速6暴击79a时间8核9序列升级
42	38422 77233	5	   	279.21	橙2易伤3时间2伤害1等级1暴击	1加一29伤害3等级49易伤5攻速6暴击79a时间8核9序列升级
43	38441 77233	3	   	279.21	橙2易伤3时间2伤害1等级1暴击	1加一29伤害3等级49易伤5攻速6暴击79a时间8核9序列升级
44	38664 23243	8	   	279.16	橙3易伤3伤害2等级2全技能	1加一247伤害347易伤47序列升级57等级69全技能8低血量敌人a核
45	38664 23343	8	   	279.16	橙3易伤3伤害2等级2全技能	1加一247伤害347易伤47序列升级57等级69全技能8最后敌人a核
