0	Index      	 *	Score 	Summary	Detail	
1	24234 16121	 * 	322.04	橙橙2等级2易伤1暴击	1暴击27易伤3敌人爆炸46等级5随机技能8掉矿9a核
16	23343 28646	   	298.46	紫橙2易伤1等级1暴击	1暴击2掉矿3加一4等级57核6双倍矿8a易伤9时间
17	51353 14321	   	298.45	橙橙2等级1易伤1烈焰减费1卖塔	17等级2随机技能3随机矿4易伤5烈焰减费6低血量敌人8卖塔9a核
18	51113 64321	   	298.25	橙橙2等级1易伤1烈焰减费1卖塔	17等级2随机技能3易伤4掉矿5烈焰减费6挖尘8卖塔9a核
19	51125 23431	   	295.94	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6a核78基地爆炸9矿等
20	51115 11621	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4掉矿67低血量敌人8暴击9a核
21	51115 21621	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4掉矿6金币生成7矿等8暴击9a核
22	51125 11221	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6技能点7暴雪减费8基地爆炸9a核
23	51125 14121	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6技能点7金币生成8掉矿9a核
24	51125 26131	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6a核7暴雪减费8低血量敌人9矿等
25	51125 36121	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击67最后敌人8掉矿9a核
26	53611 21621	   	295.84	橙橙2易伤1等级1暴击	1等级2掉矿34易伤5随机矿6随机技能7矿等8暴击9a核
27	53612 21621	   	295.84	橙橙2易伤1等级1暴击	1等级2掉矿34易伤5技能点6随机技能7矿等8暴击9a核
28	51112 26421	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能37易伤4掉矿5暴击68敌人爆炸9a核
29	51121 41221	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4暴击5随机矿7暴雪减费8基地爆炸9a核
30	51121 44121	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4暴击5随机矿7金币生成8掉矿9a核
31	51123 26421	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能37易伤4暴击5掉矿68敌人爆炸9a核
32	51352 41221	   	295.84	橙橙2易伤1等级1暴击	1等级2随机技能3随机矿46易伤5暴击7暴雪减费8基地爆炸9a核
33	51112 41221	   	295.74	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4掉矿5暴击7暴雪减费8基地爆炸9a核
34	51123 41221	   	295.74	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4暴击5掉矿7暴雪减费8基地爆炸9a核
35	51125 11421	   	295.74	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6技能点7暴雪减费8挖尘9a核
36	51125 31121	   	295.74	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6最后敌人7暴雪减费8掉矿9a核
37	51121 41421	   	295.74	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4暴击5随机矿7暴雪减费8挖尘9a核
38	51112 41421	   	295.64	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4掉矿5暴击7暴雪减费8挖尘9a核
39	51123 41421	   	295.64	橙橙2易伤1等级1暴击	1等级2随机技能36易伤4暴击5掉矿7暴雪减费8挖尘9a核
40	51125 51121	   	295.64	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6挖尘7暴雪减费8掉矿9a核
41	51125 61121	   	295.64	橙橙2易伤1等级1暴击	1等级2随机技能35易伤4暴击6雷电减费7暴雪减费8掉矿9a核
42	52522 26133	 * 	295.01	橙3易伤2等级1伤害1暴击	1a等级2敌人爆炸3伤害4暴击567易伤8核9随机技能
43	35214 53613	   	293.22	橙3易伤2等级1伤害2时间	1立即金币28等级3技能点4加一58时间6核78a易伤8序列升级9伤害
44	52321 16621	   	292.18	橙橙2等级1易伤1暴击	13等级23敌人爆炸3序列升级4随机技能5易伤6暴雪减费7掉矿8暴击9a核
45	24234 11121	   	292.08	橙橙2等级1易伤1暴击	1暴击2易伤3敌人爆炸46等级5随机技能7暴雪减费8掉矿9a核
46	24434 11121	   	292.08	橙橙2等级1易伤1暴击	1暴击2易伤3最后敌人46等级5随机技能7暴雪减费8掉矿9a核
47	51525 11121	   	292.08	橙橙2等级1易伤1暴击	16等级2随机技能3最后敌人4暴击5易伤7暴雪减费8掉矿9a核
48	52221 16621	   	292.08	橙橙2等级1易伤1暴击	13等级2敌人爆炸4随机技能5易伤6暴雪减费7掉矿8暴击9a核
