0	Index      	 *	Score 	Summary	Detail	
1	32631 23542	 * 	277.97	ACR|DCR|3VULN|1MLV|1CDMG|1RPLT	138VULN|2RPLT|49RCR|5LWND|6LHND|7CDMG|aMLV
35	36262 36141	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2DUR|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9BEXP
36	33362 36127	 * 	261.66	DCR|DCR|1VULN|2ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9aASPD
37	32633 23245	   	261.03	ACR|DCR|2VULN|1MLV|2RPLT|1CDMG	13VULN|25RPLT|49RCR|6LWND|7CDMG|8FEWX|aMLV
38	32631 23146	   	260.44	ACR|DCR|3VULN|1CDMG|1RPLT	13aVULN|2RPLT|49RCR|58LWND|6LHND|7CDMG
39	32631 23541	   	260.44	ACR|DCR|3VULN|1CDMG|1RPLT	138VULN|2RPLT|49RCR|5LWND|6aLHND|7CDMG
40	32633 23443	   	258.12	ACR|DCR|2VULN|2CDMG|2RPLT	13VULN|25RPLT|49RCR|6LWND|7aCDMG|8DUR
41	32633 33443	   	258.12	ACR|DCR|2VULN|2CDMG|2RPLT	13VULN|25RPLT|49RCR|6FEWX|7aCDMG|8DUR
42	33115 61252	   	257.35	DCR|DCR|2VULN|1CDMG	17VULN|2BBNT|3CDMG|4MDPS|5LHND|6BELT|8BASARM|9aRCR
43	33361 32442	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2BBNT|3DUR|4TBNT|5CDMG|6LWND|7aRCR|8MLV|9LIT
44	35363 13315	   	256.25	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2FEWX|3RPLT|4LWND|5LIT|6DUR|79RCR|8ASPD|aNUKE
45	32631 13341	   	255.84	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8CDMG|aLHND
46	32631 13346	   	255.84	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8CDMG|aCGEN
47	32631 23142	   	255.84	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|58LWND|6LHND|7CDMG|aMLV
48	32631 53341	   	255.84	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6CGEN|7MLV|8CDMG|aLHND
49	32631 13342	   	255.74	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8CDMG|aMDPS
50	32631 13345	   	255.74	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8CDMG|aBASICY
51	32631 43341	   	255.74	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6AME|7MLV|8CDMG|aLHND
52	32631 53342	   	255.74	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6CGEN|7MLV|8CDMG|aMDPS
53	32636 32325	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	13VULN|2RPLT|4aRCR|5BEXP|6MSLTOX|7MLV|8RCVC|9ASPD
54	32636 33225	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	13VULN|2RPLT|4aRCR|5BEXP|6MSLTOX|7DMSP|8MLV|9ASPD
55	16334 33126	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7CGEN|8BEXP|aVULN
56	16334 33521	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7CGEN|8VULN|aFEWX
57	16334 33523	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7aCGEN|8VULN
58	42134 33126	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7CGEN|8BEXP|aVULN
59	42134 33521	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7CGEN|8VULN|aFEWX
60	42134 33523	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7aCGEN|8VULN
61	32631 43342	   	255.64	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6AME|7MLV|8CDMG|aMDPS
62	16334 32126	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7ERES|8BEXP|aVULN
63	16334 32521	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7ERES|8VULN|aFEWX
64	16334 32523	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7ERES|8VULN|aCGEN
65	42134 32126	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7ERES|8BEXP|aVULN
66	42134 32521	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7ERES|8VULN|aFEWX
67	42134 32523	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7ERES|8VULN|aCGEN
68	42234 33521	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3DUST|4DMG|5TBNT|69RCR|7CGEN|8VULN|aFEWX
69	42234 33523	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3DUST|4DMG|5TBNT|69RCR|7aCGEN|8VULN
70	32631 13443	   	255.59	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT|1SELL	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8SELL|aCDMG
71	42234 32521	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3DUST|4DMG|5TBNT|69RCR|7ERES|8VULN|aFEWX
72	42234 32523	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1DUR|2RPLT|3DUST|4DMG|5TBNT|69RCR|7ERES|8VULN|aCGEN
73	34222 24523	   	255.42	DCR|DCR|1VULN|1DMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|69DUST|78RCR|aCGEN
74	34222 24521	   	255.32	DCR|DCR|1VULN|1DMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|69DUST|78RCR|aERES
75	34222 24522	   	255.32	DCR|DCR|1VULN|1DMG|1AART|1MSE	1VULN|2AART|3MDPS|4DMG|5DUR|69DUST|78RCR|aMSE
76	32632 52161	   	254.85	ACR|DCR|3VULN|1RPLT|1SELL	13aVULN|2RPLT|47RCR|5TBNT|6DMSP|8SELL|9DUR
77	24222 24533	   	254.61	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1LWND|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9CDMG|aMLV
78	35363 13313	   	254.51	DCR|DCR|1VULN|2RPLT|1ASPD	1VULN|2FEWX|3aRPLT|4LWND|5LIT|6DUR|79RCR|8ASPD
79	32632 52622	   	253.63	ACR|DCR|3VULN|1RPLT|1MSE	138VULN|2RPLT|47RCR|5TBNT|6DMSP|9MSE|aNUKE
80	13562 36111	   	253.46	DCR|DCR|2VULN|1RPLT	1LHND|2BBNT|3aVULN|4TBNT|5RPLT|68RCR|7MBVNT|9LWND
81	13562 36141	   	253.46	DCR|DCR|2VULN|1RPLT	1LHND|2BBNT|3aVULN|4TBNT|5RPLT|68RCR|7MBVNT|9BEXP
82	33462 36111	   	253.46	DCR|DCR|2VULN|1RPLT	1aVULN|2BBNT|3LHND|4TBNT|5RPLT|68RCR|7MBVNT|9LWND
83	33462 36141	   	253.46	DCR|DCR|2VULN|1RPLT	1aVULN|2BBNT|3LHND|4TBNT|5RPLT|68RCR|7MBVNT|9BEXP
84	35262 36111	   	253.46	DCR|DCR|2VULN|1RPLT	1aVULN|2FEWX|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9LWND
85	35262 36141	   	253.46	DCR|DCR|2VULN|1RPLT	1aVULN|2FEWX|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9BEXP
86	33352 61182	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|2BBNT|3DUR|4ERES|5MBVNT|6CDMG|79RCR|8ASPD|aLWND
87	33352 61183	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|2BBNT|3DUR|4ERES|5MBVNT|6CDMG|79RCR|8ASPD|aRMIN
88	33352 61184	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|2BBNT|3DUR|4ERES|5MBVNT|6CDMG|79RCR|8ASPD|aBEXP
89	33352 61181	   	253.00	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|2BBNT|3DUR|4ERES|5MBVNT|6CDMG|79RCR|8ASPD|aCANTOX
90	32631 23143	   	251.95	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT	13VULN|2RPLT|49RCR|58LWND|6LHND|7CDMG|aASPD
91	32633 23244	   	251.80	ACR|DCR|2VULN|2RPLT|1CDMG	13VULN|25RPLT|49RCR|6LWND|7CDMG|8FEWX|aDUR
92	32633 23441	   	251.80	ACR|DCR|2VULN|2RPLT|1CDMG	13VULN|25RPLT|49RCR|6LWND|7CDMG|8DUR|aLHND
93	32633 33441	   	251.80	ACR|DCR|2VULN|2RPLT|1CDMG	13VULN|25RPLT|49RCR|6FEWX|7CDMG|8DUR|aLWND
94	32633 23442	   	251.70	ACR|DCR|2VULN|2RPLT|1CDMG	13VULN|25RPLT|49RCR|6LWND|7CDMG|8DUR|aMDPS
95	32633 33442	   	251.70	ACR|DCR|2VULN|2RPLT|1CDMG	13VULN|25RPLT|49RCR|6FEWX|7CDMG|8DUR|aMDPS
96	32632 52163	   	250.25	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	13VULN|2RPLT|47RCR|5TBNT|6DMSP|8SELL|9DUR|aMLV
97	32633 23243	   	249.81	ACR|DCR|2VULN|2CDMG|2RPLT	13VULN|25RPLT|49RCR|6LWND|7aCDMG|8FEWX
98	42636 23111	 * 	249.47	DCR|3VULN|2DMG|2DUR|1RPLT|1AART|1SELL	1aDUR|2RPLT|39aVULN|4aDMG|5RMIN|6AART|7RCR|8SELL|aBPWR
99	36336 23111	 * 	249.47	DCR|3VULN|2DMG|2DUR|1RPLT|1AART|1SELL	19aVULN|2aDUR|3RPLT|4aDMG|5RMIN|6AART|7RCR|8SELL|aBPWR
100	35363 13311	   	249.31	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2FEWX|3RPLT|4LWND|5LIT|6DUR|79RCR|8ASPD|aRCVC
101	35363 13312	   	249.31	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2FEWX|3RPLT|4LWND|5LIT|6DUR|79RCR|8ASPD|aRMIN
102	35363 13316	   	249.31	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2FEWX|3RPLT|4LWND|5LIT|6DUR|79RCR|8ASPD|aLHND
103	12265 31226	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1LHND|2RPLT|3ERES|4DUR|5TBNT|69RCR|7LWND|8ASPD|aVULN
104	33362 36121	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aLWND
105	33362 36123	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aBEXP
106	33362 36125	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aTLV
107	33362 36126	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aFEWX
108	33362 36128	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aLIT
109	36262 36121	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2DUR|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aLWND
110	36262 36123	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2DUR|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aBEXP
111	35363 13314	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2FEWX|3RPLT|4LWND|5LIT|6DUR|79RCR|8ASPD|aMDPS
112	33362 36122	   	249.11	DCR|DCR|1VULN|1ASPD|1RPLT|1MSE	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aMSE
113	33362 36124	   	249.11	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aDUST
114	33362 36137	   	249.11	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9ERES|aASPD
115	36262 36122	   	249.11	DCR|DCR|1VULN|1ASPD|1RPLT|1MSE	1VULN|2DUR|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aMSE
116	36262 36124	   	249.11	DCR|DCR|1VULN|1ASPD|1RPLT	1VULN|2DUR|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9ASPD|aDUST
