0	Index      	 *	Score 	Summary	Detail	
1	23135 62316	 * 	292.74	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1FEWX|2MDPS|3CDMG|4RPLT|5LIT|6TLV|7BEXP|89RCR|aVULN
32	52164 31133	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1CDMG|2BEXP|3aLIT|4MDPS|5AEFBLL|69RCR|7LHND|8TLV
33	52164 32133	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1CDMG|2BEXP|3aLIT|4MDPS|5AEFBLL|69RCR|7TLV|8LWND
34	52164 32333	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1CDMG|2BEXP|3aLIT|4MDPS|5AEFBLL|69RCR|7TLV|8LHND
35	52164 33133	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1CDMG|2BEXP|3aLIT|4MDPS|5AEFBLL|69RCR|7LWND|8TLV
36	43125 31133	   	272.46	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7LHND|8TLV
37	43125 32133	   	272.46	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7TLV|8LWND
38	43125 32333	   	272.46	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7TLV|8LHND
39	43125 33133	   	272.46	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7LWND|8TLV
40	52312 27116	 * 	272.30	DCR|DCR|1TLV|1VULN|2CDMG|1ASPD	13CDMG|2BEXP|4MBVNT|5RCVC|67RCR|8ASPD|9VULN|aTLV
41	52313 27116	   	272.30	DCR|DCR|1TLV|1VULN|2CDMG|1ASPD	13CDMG|25BEXP|4MBVNT|67RCR|8ASPD|9VULN|aTLV
42	11663 32261	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1ZMB|2LIT|3BLASTR|47RCVC|5DUST|68RCR|9TLV|aVULN
43	11663 33261	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1ZMB|2LIT|3BLASTR|4RCVC|57DUST|68RCR|9TLV|aVULN
44	63135 62311	   	270.31	DCR|DCR|1TLV|1LIT|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4RPLT|5LIT|6TLV|7BEXP|89RCR|aRMIN
45	63135 62312	   	270.31	DCR|DCR|1TLV|1LIT|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4RPLT|5LIT|6TLV|7BEXP|89RCR|aCGEN
46	63135 62313	   	270.31	DCR|DCR|1TLV|1LIT|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4RPLT|5LIT|6TLV|7BEXP|89RCR|aZMB
47	43165 32232	   	269.67	DCR|DCR|1TLV|1LIT|2DUR|1CDMG	1DUST|2MDPS|3CDMG|4DMSP|5LIT|69RCR|7TLV|8aDUR
48	52164 32232	   	269.67	DCR|DCR|1TLV|1LIT|2DUR|1CDMG	1CDMG|2BEXP|3LIT|4MDPS|5AEFBLL|69RCR|7TLV|8aDUR
49	14252 13236	 * 	269.61	ACR|DCR|2VULN|1TLV|1LIT|1DUR	1ZMB|2MDPS|3aRCR|4LIT|5TLV|6BEXP|78VULN|9DUR
50	43125 32232	   	269.57	DCR|DCR|1TLV|1LIT|2DUR|1CDMG	1DUST|2MDPS|3CDMG|4AEFBLL|5LIT|69RCR|7TLV|8aDUR
51	63125 32532	   	269.57	DCR|DCR|1TLV|1LIT|2DUR|1CDMG	1aDUR|2MDPS|3CDMG|4AEFBLL|5LIT|69RCR|7TLV|8DUST
52	43125 35132	   	269.57	DCR|DCR|1TLV|1LIT|2DUR|1CDMG	1DUST|2MDPS|3CDMG|4AEFBLL|5LIT|69RCR|7aDUR|8TLV
53	14252 33236	   	269.51	ACR|DCR|2VULN|1TLV|1LIT|1DUR	1ZMB|2MDPS|3aRCR|4LIT|5TLV|6DUST|78VULN|9DUR
54	11623 32235	   	268.57	DCR|DCR|2LIT|1TLV|1BBNT	1ZMB|24LIT|3BLASTR|5DUST|68RCR|7RCVC|9BBNT|aTLV
55	11623 33235	   	268.47	DCR|DCR|2LIT|1TLV|1BBNT	1ZMB|24LIT|3BLASTR|57DUST|68RCR|9BBNT|aTLV
56	54131 35133	   	268.42	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1aCDMG|2LIT|3LWND|4LHND|5FEWX|69RCR|7DUR|8TLV
57	63145 31132	   	268.32	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|34CDMG|5LIT|69RCR|7LHND|8TLV|aRCVC
58	63145 32132	   	268.32	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|34CDMG|5LIT|69RCR|7TLV|8LWND|aRCVC
59	63145 33132	   	268.32	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|34CDMG|5LIT|69RCR|7LWND|8TLV|aRCVC
60	63165 31133	   	268.32	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4DMSP|5LIT|69RCR|7LHND|8TLV
61	63165 32133	   	268.32	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4DMSP|5LIT|69RCR|7TLV|8LWND
62	63165 33133	   	268.32	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4DMSP|5LIT|69RCR|7LWND|8TLV
63	43145 31132	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUST|2MDPS|34CDMG|5LIT|69RCR|7LHND|8TLV|aDUR
64	43145 32132	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUST|2MDPS|34CDMG|5LIT|69RCR|7TLV|8LWND|aDUR
65	43145 32332	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUST|2MDPS|34CDMG|5LIT|69RCR|7TLV|8LHND|aDUR
66	43145 33132	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUST|2MDPS|34CDMG|5LIT|69RCR|7LWND|8TLV|aDUR
67	63125 31133	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4AEFBLL|5LIT|69RCR|7LHND|8TLV
68	63125 32133	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4AEFBLL|5LIT|69RCR|7TLV|8LWND
69	63125 32633	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4AEFBLL|5LIT|69RCR|7TLV|8LHND
70	63125 33133	   	268.22	DCR|DCR|1TLV|1LIT|2CDMG|1DUR	1DUR|2MDPS|3aCDMG|4AEFBLL|5LIT|69RCR|7LWND|8TLV
71	23111 63642	   	265.89	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1FEWX|2MDPS|3CDMG|4VULN|5TLV|6FLTARM|7ASPD|8aRCR|9BEXP
72	43111 63632	   	265.79	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1DUST|2MDPS|3CDMG|4VULN|5TLV|6FLTARM|7ASPD|8aRCR|9FEWX
73	11223 45353	 * 	265.72	DCR|2VULN|2TLV|1LIT|1MLV|1SELL	1ZMB|2LIT|3SELL|49VULN|5aTLV|6AAC|7RCR|8MLV
74	22212 55263	 * 	264.79	DCR|DCR|2TLV|1LIT	1FEWX|2LWND|3LHND|4MBVNT|5TBNT|6LIT|7aRCR|89TLV
75	14332 44223	   	264.56	DCR|DCR|2LIT|1TLV	1ZMB|2MDPS|3AAC|4FEWX|5TBNT|69LIT|7aRCR|8TLV
76	22212 55223	   	264.56	DCR|DCR|2LIT|1TLV	1FEWX|2LWND|3LHND|4MBVNT|5TBNT|69LIT|7aRCR|8TLV
77	42213 55223	   	264.46	DCR|DCR|2LIT|1TLV	1DUST|2LWND|3LHND|4MBVNT|5TBNT|69LIT|7aRCR|8TLV
78	11344 21433	 * 	263.75	DCR|2VULN|2TLV|2LIT|1DUR	1ZMB|2aLIT|3ERES|4LHND|5aVULN|6DUR|7RCR|8aTLV|9MDPS|aBPWR
79	11364 21433	   	263.75	DCR|2VULN|2TLV|2LIT|1DUR	1ZMB|2aLIT|3ERES|4FEWX|5aVULN|6DUR|7RCR|8aTLV|9MDPS|aBPWR
80	11524 21433	   	263.75	DCR|2VULN|2TLV|2LIT|1DUR	1ZMB|2aLIT|3LHND|4ERES|5aVULN|6DUR|7RCR|8aTLV|9MDPS|aBPWR
81	14252 13326	 * 	263.72	ACR|DCR|2LIT|1TLV|1VULN|1DUR	1ZMB|2MDPS|3aRCR|49LIT|5TLV|6BEXP|7VULN|8DUR
82	14252 33326	   	263.62	ACR|DCR|2LIT|1TLV|1VULN|1DUR	1ZMB|2MDPS|3aRCR|49LIT|5TLV|6DUST|7VULN|8DUR
83	63135 22316	   	263.21	DCR|DCR|1LIT|1VULN|1MLV|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4RPLT|5LIT|6BEXP|7MLV|89RCR|aVULN
