0	Index      	 *	Score 	Summary	Detail	
1	13542 23361	 * 	305.46	DCR|3VULN|3TLV|2MLV|1DMG	1MDPS|27aVULN|3DMG|4aMLV|5RMIN|68aTLV|9RCR|aBPWR
25	52263 32353	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2CANSTR|3ASPD|4VULN|5TLV|6aRCR|7FEWX|8BBNT|9LHND
26	53433 22315	 * 	281.53	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1ASPD|1CDMG	1DMG|2CDMG|3ASPD|4MLV|58VULN|6TLV|7LIT|9TBNT|aRCR
27	33223 56333	   	281.08	DCR|2TLV|1LIT|1VULN|2ASPD|1MLV	1DUR|26ASPD|3LIT|4SNIHEL|56TLV|6BPWR|7RCR|8MLV|9VULN|aTBNT
28	12137 41364	   	280.86	DCR|DCR|2LIT|1TLV|1ASPD	1MDPS|2RMIN|38LIT|4MBVNT|5RPLT|67RCR|9TLV|aASPD
29	12137 41642	   	280.61	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1MDPS|2RMIN|3LIT|4MBVNT|5RPLT|67RCR|8DMG|9ASPD|aTLV
30	52463 31213	 * 	279.23	DCR|2VULN|2MLV|1TLV|1LIT|1DMG|2DUR	1DMG|2CANSTR|3aMLV|4aVULN|5TLV|6RCR|7aDUR|8CGEN|9LIT|aBPWR
31	62211 34313	   	278.90	DCR|2TLV|2MLV|1VULN|1LIT|2ASPD	1AME|2CANHEL|3aASPD|4aMLV|5VULN|6RCR|7aTLV|8FEWX|9LIT|aBPWR
32	62211 34413	   	278.90	DCR|2TLV|2MLV|1VULN|1LIT|2ASPD	1AME|2CANHEL|3aASPD|4aMLV|5VULN|6RCR|7aTLV|8BEXP|9LIT|aBPWR
33	52153 31353	   	278.08	DCR|DCR|1TLV|1VULN|1DMG	1DMG|2CANSTR|3VULN|4AAC|5TLV|6aRCR|7DUR|8BBNT|9LHND
34	52263 36333	   	277.86	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2CANSTR|3ASPD|4VULN|5TLV|6aRCR|7TBNT|8LEGI|9LHND
35	15212 61211	   	277.43	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|49LHND|578TLV|678VULN|78BPWR|aDMSP
36	15212 61212	   	277.43	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|49LHND|578TLV|678VULN|78BPWR|aRMIN
37	15212 61214	   	277.43	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|49LHND|578TLV|678VULN|78BPWR|aBELT
38	15212 61215	   	277.43	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|49LHND|578TLV|678VULN|78BPWR|aBEXP
39	15212 61221	   	277.43	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AAC|aFEWX
40	15212 61226	   	277.43	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AAC|aRMIN
41	15212 61213	   	277.33	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|49LHND|578TLV|678VULN|78BPWR|aERES
42	15212 61223	   	277.33	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AAC|aDUST
43	15212 61225	   	277.33	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AAC|aSNIHEL
44	15212 61231	   	277.33	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AME|aFEWX
45	15212 61236	   	277.33	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AME|aRMIN
46	15212 61252	   	277.33	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9BEXP|aAEFBLL
47	15212 61233	   	277.23	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AME|aDUST
48	15212 61235	   	277.23	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AME|aCANHEL
49	12137 41361	   	276.87	DCR|DCR|2LIT|1TLV	1MDPS|2RMIN|38LIT|4MBVNT|5RPLT|67RCR|9TLV|aDUR
50	51324 31336	   	276.72	DCR|DCR|1TLV|1VULN|1DMG	1DMG|2DUST|3FEWX|4VULN|5CGEN|6aRCR|7TLV|8AART|9DUR
51	31324 31243	   	275.75	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1DUR|2LWND|3AAC|4VULN|5CGEN|6aRCR|7TLV|8CDMG|9ASPD
52	32324 31243	   	275.75	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1DUR|2LHND|3AAC|4VULN|5CGEN|6aRCR|7TLV|8CDMG|9ASPD
53	31326 31243	   	275.65	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1DUR|2LWND|3AAC|4VULN|5ERES|6aRCR|7TLV|8CDMG|9ASPD
54	32326 31243	   	275.65	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1DUR|2LHND|3AAC|4VULN|5ERES|6aRCR|7TLV|8CDMG|9ASPD
55	53433 13315	   	275.64	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1ASPD|1CDMG	1DMG|2CDMG|3ASPD|4MLV|5VULN|67LIT|8TLV|9TBNT|aRCR
56	33223 56332	   	275.53	DCR|2TLV|1LIT|1VULN|2ASPD|1MLV	1DUR|26ASPD|3LIT|4SNIHEL|56TLV|6BPWR|7RCR|8MLV|9VULN|aRMIN
57	33223 56336	   	275.53	DCR|2TLV|1LIT|1VULN|2ASPD|1MLV	1DUR|26ASPD|3LIT|4SNIHEL|56TLV|6BPWR|7RCR|8MLV|9VULN|aLWND
