0	Index      	 *	Score 	Summary	Detail	
1	61153 43122	 * 	296.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2TBNT|3DMG|4LIT|5LHND|6TLV|79RCR|8RCVC|aVULN
14	26613 11152	   	279.51	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	17DUST|24TLV|34VULN|4BPWR|5CDMG|6LHND|8LIT|9MLV|aRCR
15	16132 33163	   	278.57	DCR|3TLV|2VULN|2MLV	19MLV|2BBNT|3DMSP|459TLV|6TBNT|79VULN|8RCR|9BPWR|aCGEN
16	16132 33166	   	278.57	DCR|3TLV|2VULN|2MLV	19MLV|2BBNT|3DMSP|459TLV|6TBNT|79VULN|8RCR|9BPWR|aAAC
17	13332 33442	   	278.47	DCR|3TLV|2VULN|2MLV	18MLV|289TLV|3BEXP|4TBNT|5BBNT|6DUST|78VULN|8BPWR|aRCR
18	11431 31642	 * 	277.54	DCR|3MLV|2LIT|1TLV|1VULN|1DMG	158MLV|2VULN|3DUR|45LIT|5BPWR|6DMG|7DUST|9RCR|aTLV
19	26615 33123	 * 	275.88	DCR|3VULN|2TLV|1LIT|1DMG	1DUST|24TLV|349VULN|4BPWR|5LIT|6DMG|7BELT|8AME|aRCR
20	26615 33223	   	275.88	DCR|3VULN|2TLV|1LIT|1DMG	1DUST|24TLV|349VULN|4BPWR|5LIT|6DMG|7BELT|8ERES|aRCR
21	11331 44362	   	275.60	DCR|2VULN|2LIT|2MLV|1TLV|1CDMG	15MLV|26VULN|3DUST|45LIT|5BPWR|7LHND|8CDMG|9TLV|aRCR
22	13321 12645	 * 	275.26	DCR|3TLV|3MLV|3CDMG	189MLV|289TLV|3BEXP|4SPLREG|589CDMG|6BBNT|7TBNT|89BPWR|aRCR
23	13321 22645	   	275.26	DCR|3TLV|3MLV|3CDMG	189MLV|289TLV|3BEXP|4SPLREG|589CDMG|6TBNT|7BBNT|89BPWR|aRCR
24	13362 51622	 * 	274.06	DCR|3VULN|1TLV|1LIT|1MLV|1CDMG	1MLV|2TLV|3BEXP|49aVULN|5DUR|6CDMG|7RCR|8LIT
25	13362 51312	   	274.06	DCR|3VULN|1TLV|1LIT|1MLV|1CDMG	1MLV|2TLV|3BEXP|48aVULN|5DUR|6CDMG|7RCR|9LIT
26	26615 33113	 * 	274.06	DCR|2VULN|2TLV|2LIT|1DMG	1DUST|24TLV|34VULN|4BPWR|59LIT|6DMG|7BELT|8AME|aRCR
27	26615 33213	   	274.06	DCR|2VULN|2TLV|2LIT|1DMG	1DUST|24TLV|34VULN|4BPWR|59LIT|6DMG|7BELT|8ERES|aRCR
28	61153 43123	   	273.97	DCR|DCR|1TLV|1LIT|1DMG	1MDPS|2TBNT|3DMG|4LIT|5LHND|6TLV|79RCR|8RCVC|aDUR
29	11362 51312	   	273.96	DCR|3VULN|1TLV|1LIT|1MLV|1CDMG	1MLV|28aVULN|3DUST|4TLV|5DUR|6CDMG|7RCR|9LIT
30	11362 51622	   	273.96	DCR|3VULN|1TLV|1LIT|1MLV|1CDMG	1MLV|29aVULN|3DUST|4TLV|5DUR|6CDMG|7RCR|8LIT
31	11331 33415	 * 	273.59	DCR|3LIT|2MLV|1TLV|1VULN|1DMG	15MLV|2VULN|3DUST|459LIT|5BPWR|6DMG|7BELT|8RCR|aTLV
32	11522 15351	   	271.71	DCR|2VULN|2LIT|2MLV|1TLV	15MLV|25VULN|3AAC|4RCVC|5BPWR|6aLIT|7TLV|8BBNT|9RCR
33	11431 42162	   	271.37	DCR|2VULN|2LIT|2MLV|1TLV|1SELL	15MLV|26VULN|3DUR|45LIT|5BPWR|7DUST|8SELL|9TLV|aRCR
34	13355 43131	   	270.84	DCR|2TLV|1LIT|1VULN|1MLV|2DUR|1ASPD	1MLV|29TLV|3BEXP|4ASPD|5LIT|6VULN|78DUR|aRCR
35	26633 43131	   	270.74	DCR|2TLV|1LIT|1VULN|1MLV|2DUR|1ASPD	1DUST|29TLV|3VULN|4LIT|5MLV|6ASPD|78DUR|aRCR
36	13361 26362	 * 	270.62	DCR|3MLV|2TLV|2DMG|1VULN	159MLV|29TLV|3BEXP|4VULN|6BELT|7RMIN|89DMG|9BPWR|aRCR
37	13216 26523	   	269.98	DCR|2VULN|1TLV|1LIT|1MLV|1RPLT|1ASPD|1SELL	1MLV|2TLV|3RPLT|4DUR|5SELL|69VULN|7ASPD|8RCR|aLIT
38	13365 31531	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1MLV|29TLV|3BEXP|4VULN|5ERES|67LIT|8DUR|aRCR
39	13142 12616	   	269.59	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1MLV|25TLV|3RMIN|45ZMB|5BPWR|6LIT|7VULN|8DMG|9BBNT|aRCR
40	11365 31531	   	269.54	DCR|2TLV|2LIT|1VULN|1MLV	1MLV|2VULN|3DUST|49TLV|5ERES|67LIT|8DUR|aRCR
41	24261 31531	   	269.54	DCR|2TLV|2LIT|1VULN|1MLV	1DUST|2ERES|3VULN|49TLV|5MLV|67LIT|8DUR|aRCR
42	33631 44332	 * 	269.44	DCR|3VULN|2LIT|1TLV|1CDMG	1RMIN|2FEWX|356VULN|45LIT|5BPWR|7LHND|8CDMG|9TLV|aRCR
43	13122 12646	   	269.39	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1MLV|25TLV|3RMIN|45ERES|5BPWR|6LIT|7VULN|8DMG|9RCR|aBBNT
44	26433 32631	   	269.39	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1DUST|29TLV|3DUR|4LIT|5RCVC|6DMG|7VULN|8MLV|aRCR
45	13362 51633	 * 	269.39	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1MLV|29TLV|3BEXP|4VULN|5DUR|6aCDMG|7RCR|8LIT
46	11362 51633	   	269.29	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1MLV|2VULN|3DUST|49TLV|5DUR|6aCDMG|7RCR|8LIT
47	46633 23111	 * 	268.98	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	1BEXP|2TLV|39VULN|47LIT|5MLV|6LHND|8DMG|aRCR
48	13462 26131	 * 	268.97	DCR|3LIT|2TLV|1MLV|1ASPD	1MLV|25TLV|3AME|48aLIT|6RCR|7DUR|9ASPD
49	26633 23111	   	268.88	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	1DUST|2TLV|39VULN|47LIT|5MLV|6LHND|8DMG|aRCR
50	65312 13111	   	268.88	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	1MDPS|29VULN|3MLV|47LIT|5TLV|6RCVC|8DMG|aRCR
51	26631 31236	   	268.78	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	157DUST|2TLV|39VULN|45LIT|5BPWR|6DMG|8MLV|aRCR
52	13511 13324	 * 	268.42	ACR|DCR|2DMG|1TLV|1VULN|1MLV|1CDMG	1MLV|2TLV|3ZMB|4RCVC|57RCR|69DMG|8CDMG|aVULN
53	13541 13324	   	268.42	ACR|DCR|2DMG|1TLV|1VULN|1MLV|1CDMG	1MLV|2TLV|34ZMB|57RCR|69DMG|8CDMG|aVULN
54	13122 12641	   	268.03	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1MLV|25TLV|3RMIN|45ERES|5BPWR|6LIT|7VULN|8DMG|9RCR|aAART
55	11331 35642	   	267.78	DCR|3MLV|2LIT|1TLV|1VULN|1DMG	157MLV|2VULN|3DUST|45LIT|5BPWR|6DMG|8LEGI|9RCR|aTLV
56	52411 22513	   	267.74	DCR|2VULN|2TLV|2LIT|1CDMG	1LHND|2aLIT|3BEXP|4AEFBLL|5DLOT|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
57	11412 22115	 * 	267.21	DCR|2VULN|2TLV|3DUR|1MLV	1MLV|24VULN|347DUR|4BPWR|5aTLV|6FEWX|8RCR|9BBNT
58	11412 32115	   	267.21	DCR|2VULN|2TLV|3DUR|1MLV	1MLV|24VULN|347DUR|4BPWR|5aTLV|6LWND|8RCR|9BBNT
59	11412 12115	   	267.11	DCR|2VULN|2TLV|3DUR|1MLV	1MLV|24VULN|347DUR|4BPWR|5aTLV|6LEGI|8RCR|9BBNT
