0	Index      	 *	Score 	Summary	Detail	
1	11226 13133	 * 	331.96	ACR|3VULN|2TLV|2DMG|2ASPD|1CDMG	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aCDMG
27	64313 41111	   	309.32	DCR|4VULN|3TLV|1DMG	1RCVC|245aVULN|345TLV|45BPWR|6DMG|7RMIN|8RCR|9LHND
28	64313 43111	   	309.32	DCR|4VULN|3TLV|1DMG	1RCVC|245aVULN|345TLV|45BPWR|6DMG|7MLV|8RCR|9LHND
29	64313 51111	   	309.32	DCR|4VULN|3TLV|1AEFBLL	1RCVC|245aVULN|345TLV|45BPWR|6BEXP|7AEFBLL|8RCR|9LHND
30	64313 31142	   	309.22	DCR|4VULN|3TLV|1AEFBLL	1RCVC|245aVULN|345TLV|45BPWR|6FEWX|7AEFBLL|8RCR|9VENFST
31	64313 43122	   	309.22	DCR|4VULN|3TLV|1DMG	1RCVC|245aVULN|345TLV|45BPWR|6DMG|7MLV|8RCR|9BASARM
32	64312 43232	 * 	309.12	ACR|4VULN|3TLV|2AEPOI	1RCVC|249aVULN|346TLV|49BPWR|5RCR|79AEPOI|89AIRHEA
33	64313 31161	   	308.86	DCR|3TLV|3VULN|1AEFBLL|1CDMG	1RCVC|245VULN|345TLV|45BPWR|6FEWX|7AEFBLL|8RCR|9RAT|aCDMG
34	64312 43231	   	308.13	ACR|3TLV|3VULN|1DMG|2AEPOI	1RCVC|249VULN|346TLV|49BPWR|5RCR|79AEPOI|89AIRHEA|aDMG
35	64313 34111	 * 	307.60	DCR|5VULN|3TLV	1RCVC|2457aVULN|345TLV|45BPWR|6FEWX|8RCR|9LHND
36	11226 13143	   	307.27	ACR|2TLV|2VULN|2DMG|2ASPD|1CDMG	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9BEXP|aCDMG
37	11226 13522	   	307.27	ACR|2TLV|2VULN|2DMG|2ASPD|1CDMG	17TLV|27DMG|39VULN|4LWND|5RCR|67ASPD|7BPWR|8AAC|aCDMG
38	11226 13526	 * 	307.27	ACR|3TLV|2VULN|2DMG|2ASPD	17aTLV|27DMG|39VULN|4LWND|5RCR|67ASPD|7BPWR|8AAC
39	11432 11111	 * 	305.75	DCR|3TLV|3VULN|2DMG	137TLV|27DMG|4AEFRZ|5CGEN|67aVULN|7BPWR|8RCR|9LHND
40	11432 11151	   	305.75	DCR|3TLV|3VULN|2DMG	137TLV|27DMG|4AEFRZ|5CGEN|67aVULN|7BPWR|8RCR|9BEXP
41	11432 11122	   	305.65	DCR|3TLV|3VULN|2DMG	137TLV|27DMG|4AEFRZ|5CGEN|67aVULN|7BPWR|8RCR|9BASARM
42	11432 11142	   	305.65	DCR|3TLV|3VULN|2DMG	137TLV|27DMG|4AEFRZ|5CGEN|67aVULN|7BPWR|8RCR|9SPLJET
43	11226 33231	   	305.31	ACR|DCR|3TLV|1VULN|1DMG	16aTLV|2DMG|3VULN|4LWND|59RCR|7BEXP|8MDPS
44	11226 32231	   	305.21	ACR|DCR|3TLV|1VULN|1DMG	16aTLV|2DMG|3VULN|4LWND|59RCR|7LEGI|8MDPS
45	11226 13123	   	305.06	ACR|2TLV|2VULN|3ASPD|2DMG	17TLV|27DMG|38VULN|4LWND|5RCR|679ASPD|7BPWR|aCGEN
46	11226 13125	   	305.06	ACR|2TLV|2VULN|3ASPD|2DMG	17TLV|27DMG|38VULN|4aLWND|5RCR|679ASPD|7BPWR
47	11226 13122	   	304.96	ACR|2TLV|2VULN|3ASPD|2DMG	17TLV|27DMG|38VULN|4LWND|5RCR|679ASPD|7BPWR|aAETHUN
48	11226 13126	   	304.96	ACR|2TLV|2VULN|3ASPD|2DMG	17TLV|27DMG|38VULN|4LWND|5RCR|679ASPD|7BPWR|aBASFIG
49	11226 13156	   	304.96	ACR|2TLV|2VULN|3ASPD|2DMG	17TLV|27DMG|38VULN|4LWND|5RCR|67aASPD|7BPWR|9DUST
50	64311 21333	   	304.77	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|247VULN|34TLV|4BPWR|5RAT|6DUR|8CDMG|9RCR|aDMG
51	14226 13133	   	304.54	ACR|3VULN|2TLV|2ASPD|1CDMG	17TLV|27ZMB|389VULN|4LWND|5RCR|67ASPD|7BPWR|aCDMG
52	11226 13412	   	303.28	ACR|2TLV|2VULN|2DMG|2ASPD	17TLV|27DMG|3aVULN|49LWND|5RCR|67ASPD|7BPWR|8DUR
53	11226 13451	   	303.28	ACR|2TLV|2VULN|2DMG|2ASPD	17TLV|27DMG|3aVULN|4LWND|5RCR|67ASPD|7BPWR|8DUR|9BEXP
54	11226 13442	   	303.18	ACR|2TLV|2VULN|2DMG|2ASPD	17TLV|27DMG|3aVULN|4LWND|5RCR|67ASPD|7BPWR|8DUR|9BASARM
55	11234 66211	   	303.11	DCR|3VULN|2TLV|2DMG|1AART	14TLV|26DMG|369VULN|5DMSP|6BPWR|7RCR|8AART|aAAC
56	11234 66212	   	303.11	DCR|3VULN|2TLV|2DMG|1AART	14TLV|26DMG|369VULN|5DMSP|6BPWR|7RCR|8AART|aBEXP
57	11234 66213	   	303.11	DCR|3VULN|2TLV|2DMG|1AART	14TLV|26DMG|369VULN|5DMSP|6BPWR|7RCR|8AART|aRPLT
58	11226 33234	   	302.66	ACR|DCR|2TLV|1VULN|1DMG|1AART	16TLV|2DMG|3VULN|4LWND|59RCR|7BEXP|8MDPS|aAART
59	14226 13121	   	302.34	ACR|3VULN|2TLV|3ASPD	17TLV|27ZMB|38aVULN|4LWND|5RCR|679ASPD|7BPWR
