0	Index      	 *	Score 	Summary	Detail	
1	61113 36623	 * 	224.61	ACR|1BASARM|2ASPD|2BEXP|1DMG	1RCVC|2AAC|38BEXP|4RCR|56ASPD|7MLV|9BASARM|aDMG
16	63314 43331	   	205.96	ACR|1BASARM|2ASPD|1VULN|1AART	1RCVC|2CGEN|3DUR|4RCR|58ASPD|6ERES|7AART|9VULN|aBASARM
17	24314 32325	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	17DUR|23CGEN|4RCR|56ASPD|8DMG|9BASARM|aBEXP
18	33314 32325	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	13CGEN|27DUR|4RCR|56ASPD|8DMG|9BASARM|aBEXP
19	22514 32325	   	205.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17DUR|23ERES|4RCR|56ASPD|8DMG|9BASARM|aBEXP
20	42235 22123	 * 	205.20	ACR|3DMG|2VULN|2ASPD	1RPLT|2aDUR|37aDMG|49VULN|5RCR|6LIT|8aASPD|aBPWR
21	61113 36621	   	204.55	ACR|1BASARM|2ASPD|2BEXP	1RCVC|2AAC|38BEXP|4RCR|56ASPD|7MLV|9BASARM|aCGEN
22	61113 36622	   	204.55	ACR|1BASARM|2ASPD|2BEXP	1RCVC|2AAC|38BEXP|4RCR|56ASPD|7MLV|9BASARM|aDUR
23	61112 41623	   	204.35	ACR|1BASARM|2DMG|2BEXP	1RCVC|2AAC|38BEXP|4RCR|5AEFBLL|6AME|7aDMG|9BASARM
24	61112 51623	   	204.35	ACR|1BASARM|2DMG|2BEXP	1RCVC|2AAC|38BEXP|4RCR|5AEFBLL|6ERES|7aDMG|9BASARM
25	11515 25323	 * 	203.67	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	1SELL|2AME|3RCVC|4CDMG|5RCR|6ZMB|7aDMG|8ASPD|9BASARM
26	11515 15323	 * 	203.57	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	1SELL|2AME|3RCVC|4CDMG|5RCR|6AAC|7aDMG|8ASPD|9BASARM
27	64232 31123	   	203.01	ACR|1BASARM|2DMG|1BEXP|1CDMG|1SELL	1RCVC|2SELL|3AEFBLL|4RCR|5CDMG|6ERES|7aDMG|8BEXP|9BASARM
28	24314 63331	   	201.89	ACR|1BASARM|2ASPD|1VULN|1AART	1DUR|23CGEN|4RCR|58ASPD|6MLV|7AART|9VULN|aBASARM
29	33314 63331	   	201.89	ACR|1BASARM|2ASPD|1VULN|1AART	13CGEN|2DUR|4RCR|58ASPD|6MLV|7AART|9VULN|aBASARM
30	24314 43331	   	201.79	ACR|1BASARM|2ASPD|1VULN|1AART	1DUR|23CGEN|4RCR|58ASPD|6ERES|7AART|9VULN|aBASARM
31	33314 43331	   	201.79	ACR|1BASARM|2ASPD|1VULN|1AART	13CGEN|2DUR|4RCR|58ASPD|6ERES|7AART|9VULN|aBASARM
32	15115 25323	 * 	200.36	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	1SELL|2DMSP|3TLV|4CDMG|5RCR|6ZMB|7aDMG|8ASPD|9BASARM
33	64232 31125	   	200.26	ACR|1BASARM|2BEXP|1DMG|1CDMG|1SELL	1RCVC|2SELL|3AEFBLL|4RCR|5CDMG|6ERES|7DMG|8aBEXP|9BASARM
34	15115 15323	 * 	200.26	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	1SELL|2DMSP|3TLV|4CDMG|5RCR|6AAC|7aDMG|8ASPD|9BASARM
35	15232 31123	   	198.85	ACR|1BASARM|2DMG|1BEXP|1CDMG|1SELL	1SELL|2DMSP|3AEFBLL|4RCR|5CDMG|6ERES|7aDMG|8BEXP|9BASARM
36	63314 35321	   	197.78	ACR|1BASARM|2ASPD|1DMG	17RCVC|2aCGEN|3DUR|4RCR|56ASPD|8DMG|9BASARM
37	63314 35322	   	197.78	ACR|1BASARM|2ASPD|1DMG	17RCVC|2CGEN|3DUR|4RCR|56ASPD|8DMG|9BASARM|aRPLT
38	63314 35323	   	197.68	ACR|1BASARM|2ASPD|1DMG	17RCVC|2CGEN|3DUR|4RCR|56ASPD|8DMG|9BASARM|aDUST
39	63613 35321	   	197.68	ACR|1BASARM|2ASPD|1DMG	17RCVC|2aCGEN|3DUST|4RCR|56ASPD|8DMG|9BASARM
40	63613 35322	   	197.68	ACR|1BASARM|2ASPD|1DMG	17RCVC|2CGEN|3DUST|4RCR|56ASPD|8DMG|9BASARM|aRPLT
41	22654 32322	   	197.18	ACR|1BASARM|2ASPD|1DMG	17DUR|24ERES|3RCR|56ASPD|8DMG|9BASARM|aRCVC
42	22654 32321	   	196.86	ACR|1BASARM|2ASPD|1DMG	17DUR|24ERES|3RCR|56ASPD|8DMG|9BASARM|aCGEN
43	22654 32323	   	196.86	ACR|1BASARM|2ASPD|1DMG	17DUR|24ERES|3RCR|56ASPD|8DMG|9BASARM|aBELT
44	63314 32321	   	196.22	ACR|1BASARM|2ASPD|1DMG	1RCVC|2aCGEN|37DUR|4RCR|56ASPD|8DMG|9BASARM
45	63314 32322	   	196.22	ACR|1BASARM|2ASPD|1DMG	1RCVC|2CGEN|37DUR|4RCR|56ASPD|8DMG|9BASARM|aRPLT
46	63314 32324	   	196.22	ACR|1BASARM|2ASPD|1DMG	1RCVC|2CGEN|37DUR|4RCR|56ASPD|8DMG|9BASARM|aLWND
47	63314 32326	   	196.22	ACR|1BASARM|2ASPD|1DMG	1RCVC|2CGEN|37DUR|4RCR|56ASPD|8DMG|9BASARM|aZMB
48	61113 35333	 * 	196.13	ACR|3ASPD|2DMG|1BEXP	17RCVC|2AAC|3BEXP|4RCR|56aASPD|89DMG
49	63314 32323	   	196.12	ACR|1BASARM|2ASPD|1DMG	1RCVC|2CGEN|37DUR|4RCR|56ASPD|8DMG|9BASARM|aDUST
50	15232 31125	   	196.10	ACR|1BASARM|2BEXP|1DMG|1CDMG|1SELL	1SELL|2DMSP|3AEFBLL|4RCR|5CDMG|6ERES|7DMG|8aBEXP|9BASARM
51	42215 31315	   	196.01	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6MLV|78BEXP|8BPWR|9BASARM|aRCVC
52	42215 21315	   	195.91	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6TLV|78BEXP|8BPWR|9BASARM|aRCVC
53	42215 31311	   	195.68	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6MLV|78BEXP|8BPWR|9BASARM|aLHND
54	42215 31313	   	195.68	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6MLV|78BEXP|8BPWR|9BASARM|aLIT
55	42215 51311	   	195.68	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6CGEN|78BEXP|8BPWR|9BASARM|aLHND
56	42215 51313	   	195.68	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6CGEN|78BEXP|8BPWR|9BASARM|aLIT
57	42215 21311	   	195.58	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6TLV|78BEXP|8BPWR|9BASARM|aLHND
58	42215 21313	   	195.58	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6TLV|78BEXP|8BPWR|9BASARM|aLIT
59	42215 31316	   	195.58	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6MLV|78BEXP|8BPWR|9BASARM|aERES
60	42215 21316	   	195.48	ACR|1BASARM|2DMG|2BEXP	1RPLT|28DUR|38DMG|4LWND|5RCR|6TLV|78BEXP|8BPWR|9BASARM|aERES
61	42215 31412	   	195.48	ACR|1BASARM|2DMG|2BEXP	1RPLT|2DUR|3aDMG|4LWND|5RCR|6MLV|78BEXP|9BASARM
62	42215 21412	   	195.38	ACR|1BASARM|2DMG|2BEXP	1RPLT|2DUR|3aDMG|4LWND|5RCR|6TLV|78BEXP|9BASARM
63	61113 35331	 * 	195.31	ACR|2ASPD|2DMG|2BEXP	17RCVC|2AAC|3aBEXP|4RCR|56ASPD|89DMG
64	61112 36131	 * 	195.24	ACR|1BASARM|2BEXP|1VULN|1AART	18RCVC|2AAC|37BEXP|4RCR|57AEFBLL|6AART|7BPWR|9VULN|aBASARM
