0	Index      	 *	Score 	Summary	Detail	
1	36136 31225	 * 	241.84	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG|1AAC	1CDMG|2RCR|3AAC|4LHND|5MLV|6ASPD|7DMG|8VULN|9AART|aBASARM
62	36226 23312	 * 	214.97	ACR|1BASARM|2VULN|1DMG|2CDMG	19CDMG|2RCR|369FEWX|4DMG|5MLV|7RPLT|89VULN|9BPWR|aBASARM
63	32313 46633	   	214.90	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1CDMG|2AME|3RCR|4BEXP|5DUST|68VULN|7BASARM|9LHND|aASPD
64	36222 23312	   	214.87	ACR|1BASARM|2VULN|1DMG|2CDMG	19CDMG|2RCR|369FEWX|4DMG|5ERES|7RPLT|89VULN|9BPWR|aBASARM
65	36522 13225	   	214.58	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|3LHND|4DMG|5DUR|6ERES|7RCVC|8VULN|9AART|aBASARM
66	36423 42223	   	214.56	ACR|2VULN|2BEXP|1DMG|2CDMG|1AART	18CDMG|2RCR|38BEXP|4DMG|5LHND|68VULN|7NUKE|8BPWR|9AART|aZMB
67	36422 33612	   	214.42	ACR|2ASPD|2BEXP|1VULN|1DMG|1CDMG	1CDMG|2RCR|38BEXP|4DMG|5ERES|67ASPD|9VULN|aDUR
68	36422 33613	   	214.42	ACR|2ASPD|2BEXP|1VULN|1DMG|1CDMG	1CDMG|2RCR|38BEXP|4DMG|5ERES|67ASPD|9VULN|aLHND
69	36214 26111	   	214.37	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|3FEWX|4AME|5LIT|6DMG|7AART|8BASARM|9VULN|aLWND
70	36214 26123	   	214.37	ACR|1BASARM|1DMG|1VULN|1AART|1CDMG	1CDMG|2RCR|3FEWX|4AME|5LIT|6DMG|7AART|8BASARM|9ZMB|aVULN
71	36421 41222	   	214.36	ACR|2VULN|2BEXP|1DMG|2CDMG|1AART	18CDMG|2RCR|38BEXP|4DMG|5LEGI|6aVULN|78AME|8BPWR|9AART
72	36214 26112	   	214.27	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|3FEWX|4AME|5LIT|6DMG|7AART|8BASARM|9VULN|aTLV
73	36152 22222	   	214.07	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78DMG|8BPWR|9AART|aCGEN
74	36152 22224	   	214.07	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6aLHND|78DMG|8BPWR|9AART
75	36152 22225	   	214.07	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78DMG|8BPWR|9AART|aMLV
76	36152 22226	   	214.07	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78DMG|8BPWR|9AART|aFEWX
77	36111 42222	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4FEWX|5LEGI|68VULN|78DMG|8BPWR|9AART|aCGEN
78	36111 42224	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4FEWX|5LEGI|68VULN|78DMG|8BPWR|9AART|aLHND
79	36152 22223	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78DMG|8BPWR|9AART|aVENICY
80	36153 22222	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78DMG|8BPWR|9AART|aCGEN
81	36153 22224	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6aLHND|78DMG|8BPWR|9AART
82	36153 22225	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78DMG|8BPWR|9AART|aMLV
83	36153 22226	   	213.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78DMG|8BPWR|9AART|aBELT
84	36221 42221	   	213.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3FEWX|48DMG|5LEGI|68VULN|7NUKE|8BPWR|9AART|aAAC
85	36111 42223	   	213.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4FEWX|5LEGI|68VULN|78DMG|8BPWR|9AART|aVENICY
86	36111 42225	   	213.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4FEWX|5LEGI|68VULN|78DMG|8BPWR|9AART|aDUST
87	36121 42222	   	213.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4DUST|5LEGI|68VULN|78DMG|8BPWR|9AART|aCGEN
88	36121 42224	   	213.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4DUST|5LEGI|68VULN|78DMG|8BPWR|9AART|aLHND
89	36153 22223	   	213.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78DMG|8BPWR|9AART|aVENICY
90	36121 42223	   	213.77	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4DUST|5LEGI|68VULN|78DMG|8BPWR|9AART|aVENICY
91	36121 42225	   	213.77	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4aDUST|5LEGI|68VULN|78DMG|8BPWR|9AART
92	36121 42226	   	213.77	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4DUST|5LEGI|68VULN|78DMG|8BPWR|9AART|aTLV
93	33315 12152	   	213.71	ACR|1BASARM|3BEXP|2CDMG|1AART	17CDMG|2CGEN|3RCR|469BEXP|5VENTOX|8BASARM|aAART
94	51122 31721	   	213.70	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG	1AART|2RPLT|3MBVNT|4RCVC|5RCR|67VULN|8BASARM|9CDMG|aBEXP
95	32315 12152	   	213.61	ACR|1BASARM|3BEXP|2CDMG|1AART	17CDMG|2AME|3RCR|469BEXP|5VENTOX|8BASARM|aAART
96	33316 12152	   	213.61	ACR|1BASARM|3BEXP|2CDMG|1AART	17CDMG|2CGEN|3RCR|469BEXP|5SNITOX|8BASARM|aAART
97	32316 12152	   	213.51	ACR|1BASARM|3BEXP|2CDMG|1AART	17CDMG|2AME|3RCR|469BEXP|5SNITOX|8BASARM|aAART
98	36423 42232	   	213.46	ACR|2VULN|2BEXP|1DMG|2CDMG|1AART	18CDMG|2RCR|38BEXP|4DMG|5LHND|68VULN|7NUKE|8BPWR|9ERES|aAART
99	33252 14544	 * 	213.44	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CDMG|2CGEN|3BASICY|4MBVNT|5RCR|6BEXP|7VULN|8DUR|9BASARM|aASPD
100	33252 15744	   	213.44	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CDMG|2CGEN|3BASICY|4MBVNT|5RCR|6BEXP|7LWND|8VULN|9BASARM|aASPD
101	32252 13744	   	213.34	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CDMG|2AME|3BASICY|4MBVNT|5RCR|6BEXP|7LWND|8VULN|9BASARM|aASPD
102	33252 14244	   	213.34	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CDMG|2CGEN|3BASICY|4MBVNT|5RCR|6BEXP|7VULN|8DUST|9BASARM|aASPD
103	33252 14837	 * 	213.34	ACR|1BASARM|1VULN|1DMG|1BASICY|1BEXP|1CDMG	1CDMG|2CGEN|3BASICY|4MBVNT|5RCR|6BEXP|7VULN|8DMG|9ERES|aBASARM
104	36422 32363	 * 	213.21	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3BEXP|4DMG|5ERES|69ASPD|7aVULN|8FEWX
105	36422 32422	   	213.17	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2RCR|3BEXP|4DMG|5ERES|6ASPD|7aVULN|8TLV|9AART
106	23533 42361	 * 	212.99	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1AAC	1AME|2CGEN|3ASPD|4VULN|5RCR|6AAC|7DMG|8AART|9ERES|aBASARM
107	36152 22232	   	212.97	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78DMG|8BPWR|9ERES|aAART
108	36153 22232	   	212.87	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78DMG|8BPWR|9ERES|aAART
109	36223 43125	   	212.47	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|3FEWX|4DMG|5LHND|6VULN|78CGEN|9AART|aBASARM
110	36512 21225	   	212.37	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|36LHND|4AME|5DUR|7DMG|8VULN|9AART|aBASARM
111	36512 31225	   	212.37	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|3LHND|4AME|56DUR|7DMG|8VULN|9AART|aBASARM
112	36513 21225	   	212.27	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|36LHND|4AME|5DUST|7DMG|8VULN|9AART|aBASARM
113	36463 32221	   	212.09	ACR|2DMG|1VULN|2CDMG|1AART|1BEXP|1AAC	18CDMG|2RCR|3BEXP|48LHND|5VULN|6ZMB|78DMG|8BPWR|9AART|aAAC
114	36152 22216	   	212.07	ACR|3DMG|2VULN|2CDMG|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78aDMG|8BPWR|9RPLT
115	36153 22216	   	211.97	ACR|3DMG|2VULN|2CDMG|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78aDMG|8BPWR|9RPLT
116	36423 41221	   	211.89	ACR|2DMG|1VULN|2CDMG|1AART|1BEXP|1AAC	18CDMG|2RCR|3BEXP|48DMG|5LHND|6VULN|78AME|8BPWR|9AART|aAAC
