0	Index      	 *	Score 	Summary	Detail	
1	15423 23263	 * 	211.41	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1CGEN|2MDPS|3VULN|4DMG|5RCR|6aBEXP|7ASPD|8AME|9BASARM
13	21153 61842	 * 	204.02	ACR|3DMG|3BEXP|1VULN	19aLIT|2RCR|3SNIHEL|49aBEXP|5AEMAG|6MBVNT|7VULN|89aDMG|9aBPWR
14	34312 41321	   	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7BEXP|8CGEN|9BASARM|aLHND
15	34312 41324	   	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7BEXP|8CGEN|9BASARM|aLWND
16	34312 41325	   	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1aDUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7BEXP|8CGEN|9BASARM
17	34312 41326	   	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7BEXP|8aCGEN|9BASARM
18	34312 44213	 * 	201.65	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	1DUR|2MDPS|3ASPD|4RCR|59VULN|67DMG|8BEXP|aCDMG
19	34312 41322	   	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7BEXP|8CGEN|9BASARM|aAME
20	34312 41323	   	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7BEXP|8CGEN|9BASARM|aDUST
21	21313 66126	 * 	197.63	ACR|1BASARM|2BEXP|2AART	1LIT|2RCR|3TLV|4DUR|57BEXP|69AART|8CGEN|aBASARM
22	15423 23321	   	196.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8FEWX|9BASARM|aLHND
23	15423 23324	   	196.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8FEWX|9BASARM|aLWND
24	15423 23325	   	196.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8FEWX|9BASARM|aDUR
25	15423 23326	   	196.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8aFEWX|9BASARM
26	15423 23421	   	196.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8LWND|9BASARM|aLHND
27	15423 23262	   	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8AME|9BASARM|aMLV
28	15423 23322	   	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8FEWX|9BASARM|aAME
29	15423 23323	   	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8FEWX|9BASARM|aDUST
30	15423 23422	   	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8LWND|9BASARM|aAME
31	15423 23423	   	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8LWND|9BASARM|aDUST
32	15423 23521	   	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8DUST|9BASARM|aLHND
33	15423 23522	   	196.47	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8DUST|9BASARM|aAME
34	21131 54252	 * 	195.54	ACR|1BASARM|2ASPD|1VULN	1LIT|2RCR|3SNIHEL|4CGEN|5VULN|6LWND|7BASARM|8RPLT|9aASPD
35	21215 33332	   	195.54	ACR|1BASARM|2ASPD|1AART	1LIT|2RCR|3RMIN|4DUR|5AEFBLL|69ASPD|7MLV|8AART|aBASARM
36	21534 51213	 * 	195.50	ACR|2BEXP|1DMG|2CDMG|1VULN|1AART	1LIT|2RCR|3MDPS|4AART|5DMG|68CDMG|79BEXP|aVULN
37	21113 54252	   	195.44	ACR|1BASARM|2ASPD|1VULN	1LIT|2RCR|3SNIHEL|4VULN|5TLV|6LWND|7BASARM|8RPLT|9aASPD
38	21142 22322	   	195.44	ACR|1BASARM|2ASPD|1CDMG	1LIT|2RCR|3SNIHEL|47ASPD|5AAC|6FEWX|8LHND|9CDMG|aBASARM
39	21215 32332	   	195.44	ACR|1BASARM|2ASPD|1AART	1LIT|2RCR|3RMIN|4DUR|5AEFBLL|69ASPD|7TLV|8AART|aBASARM
40	21115 34613	 * 	195.37	ACR|4VULN|1DMG|1AART|1BEXP	1LIT|2RCR|3SNIHEL|4569VULN|7AART|8BEXP|aDMG
41	21142 16162	   	195.34	ACR|1BASARM|2ASPD|1BEXP	1LIT|2RCR|3SNIHEL|48ASPD|5AAC|6BEXP|7RPLT|9AEFBLL|aBASARM
42	21142 22222	   	195.34	ACR|1BASARM|2ASPD|1CDMG	1LIT|2RCR|3SNIHEL|47ASPD|5AAC|6FEWX|8LEGI|9CDMG|aBASARM
43	15423 21633	   	195.32	ACR|3BEXP|2DMG|1VULN|1CDMG|1AAC	18CGEN|2MDPS|3VULN|48DMG|5RCR|678BEXP|8BPWR|9AAC|aCDMG
44	34312 21443	   	195.26	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6ZMB|7BEXP|8LHND|9CDMG|aBASARM
45	21534 33412	   	194.31	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1LIT|2RCR|3MDPS|4AART|5DMG|6MULARM|7VULN|8CDMG|9BEXP|aASPD
46	21145 33336	 * 	193.93	ACR|3ASPD|2BEXP|1VULN	1aLIT|2RCR|3SNIHEL|49aASPD|5MLV|6VULN|7aBEXP|8RCVC|aBPWR
47	21141 23336	   	193.83	ACR|3ASPD|1VULN|2BEXP	1aLIT|2RCR|3SNIHEL|49aASPD|5VULN|6TLV|7aBEXP|8RCVC|aBPWR
48	21142 14322	   	193.11	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|4ASPD|5AAC|6BEXP|7RCVC|8LHND|9CDMG|aBASARM
49	21142 14222	   	193.01	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|4ASPD|5AAC|6BEXP|7RCVC|8LEGI|9CDMG|aBASARM
50	21534 32433	   	193.00	ACR|2DMG|1VULN|1ASPD|1AART|1AAC	17LIT|2RCR|3MDPS|4AART|57DMG|67MULARM|7BPWR|8VULN|9ASPD|aAAC
51	21131 54251	   	192.91	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2RCR|3SNIHEL|4CGEN|5VULN|6LWND|7BASARM|8RPLT|9ASPD|aAART
52	21515 22331	   	192.81	ACR|1BASARM|1ASPD|1VULN|1AART	1LIT|2RCR|3MDPS|4LWND|5ASPD|6ERES|7AART|8DUR|9BASARM|aVULN
53	21113 54251	   	192.81	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2RCR|3SNIHEL|4VULN|5TLV|6LWND|7BASARM|8RPLT|9ASPD|aAART
54	21141 22636	   	192.65	ACR|3ASPD|2BEXP|1VULN	17aLIT|2RCR|3SNIHEL|49aASPD|5VULN|6TLV|8aBEXP|aBPWR
55	21141 23436	   	192.65	ACR|3ASPD|2BEXP|1VULN	18aLIT|2RCR|3SNIHEL|49aASPD|5VULN|6TLV|7aBEXP|aBPWR
56	21145 11336	 * 	192.62	ACR|3ASPD|2VULN|1BEXP	1aLIT|2RCR|3SNIHEL|49aASPD|5MLV|6BEXP|7aVULN|8RCVC|aBPWR
57	21141 31633	   	192.55	ACR|3ASPD|2BEXP|1VULN	1aLIT|2RCR|3SNIHEL|49aASPD|5VULN|6AAC|7AEFBLL|8aBEXP|aBPWR
58	21142 31633	   	192.55	ACR|3ASPD|2BEXP|1VULN	1aLIT|2RCR|3SNIHEL|49aASPD|5AAC|6VULN|7AEFBLL|8aBEXP|aBPWR
59	34311 63335	 * 	191.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2MDPS|39ASPD|4RCR|5LIT|6LHND|7DMG|8FEWX|aBASARM
60	21363 43135	   	191.94	ACR|2DMG|2BEXP|1VULN|1AART	1LIT|2RCR|3aTLV|4LHND|5AART|6VULN|7aBEXP|8DUR|9aDMG|aBPWR
61	21363 43335	   	191.94	ACR|2DMG|2BEXP|1VULN|1AART	1LIT|2RCR|3aTLV|4LHND|5AART|6VULN|7aBEXP|8LWND|9aDMG|aBPWR
62	21534 51132	   	191.93	ACR|2DMG|1VULN|1AART|1BEXP|1CDMG	1LIT|2RCR|3MDPS|4AART|58DMG|6CDMG|7BEXP|9CGEN|aVULN
63	34311 13415	   	191.86	ACR|1BASARM|2ASPD|1DMG	1DUR|2MDPS|38ASPD|4RCR|5LIT|6DUST|7DMG|9FEWX|aBASARM
64	34311 13435	   	191.86	ACR|1BASARM|2ASPD|1DMG	1DUR|2MDPS|38ASPD|4RCR|5LIT|6DUST|7DMG|9LWND|aBASARM
65	34311 13335	   	191.86	ACR|1BASARM|2ASPD|1DMG	1DUR|2MDPS|39ASPD|4RCR|5LIT|6DUST|7DMG|8FEWX|aBASARM
66	21533 51152	   	191.83	ACR|2DMG|1VULN|1AART|1BEXP|1CDMG	1LIT|2RCR|3MDPS|4AART|5AME|6CDMG|7BEXP|89DMG|aVULN
67	21156 13622	   	191.73	ACR|1BASARM|1DMG|1AART|1BEXP	1LIT|2RCR|3SNIHEL|4BEXP|5MDPS|6DMG|7DUST|8BASARM|9AART|aRCVC
68	21252 33316	   	191.71	ACR|1BASARM|1ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|5BEXP|6ASPD|7MLV|8AART|9CGEN|aBASARM
69	21254 53312	   	191.71	ACR|1BASARM|1ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|5ASPD|69CGEN|7BEXP|8AART|aBASARM
70	21526 42423	   	191.69	ACR|2VULN|2DMG|1AART|1BEXP	18LIT|2RCR|3MDPS|48VULN|5RPLT|68DMG|7MBVNT|8BPWR|9AART|aBEXP
71	34314 12136	   	191.61	ACR|1BASARM|2ASPD|1DMG|1SELL	1DUR|2MDPS|38ASPD|4RCR|5SELL|6FEWX|7DUST|9DMG|aBASARM
72	21252 32316	   	191.61	ACR|1BASARM|1ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|5BEXP|6ASPD|7TLV|8AART|9CGEN|aBASARM
73	21252 33522	   	191.61	ACR|1BASARM|1ASPD|1BEXP|1AART	1LIT|2RCR|34RMIN|5BEXP|6ASPD|7MLV|8AEFBLL|9AART|aBASARM
74	21515 22332	   	191.51	ACR|1BASARM|1ASPD|1CDMG|1AART	1LIT|2RCR|3MDPS|4LWND|5ASPD|6ERES|7AART|8DUR|9BASARM|aCDMG
75	21252 32342	   	191.51	ACR|1BASARM|1ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|5BEXP|6ASPD|79TLV|8AART|aBASARM
76	21252 32522	   	191.51	ACR|1BASARM|1ASPD|1BEXP|1AART	1LIT|2RCR|34RMIN|5BEXP|6ASPD|7TLV|8AEFBLL|9AART|aBASARM
77	21142 13422	   	191.41	ACR|1BASARM|1ASPD|1BEXP|1CDMG	18LIT|2RCR|3SNIHEL|4ASPD|5AAC|6BEXP|7DUST|9CDMG|aBASARM
78	21156 13621	   	191.41	ACR|1BASARM|1DMG|1BEXP|1AART	1LIT|2RCR|3SNIHEL|4BEXP|5MDPS|6DMG|7DUST|8BASARM|9AART|aMLV
79	21115 16842	 * 	191.34	ACR|2VULN|3DMG|1BEXP	19aLIT|2RCR|39aSNIHEL|45VULN|6BEXP|7MBVNT|89aDMG|9aBPWR
80	21115 63842	   	191.34	ACR|2VULN|3DMG|1BEXP	19aLIT|2RCR|39aSNIHEL|45VULN|6MBVNT|7BEXP|89aDMG|9aBPWR
81	21142 13122	   	191.31	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|4ASPD|5AAC|6BEXP|78DUST|9CDMG|aBASARM
82	21115 34123	 * 	191.16	ACR|3VULN|2DMG|1AART	1LIT|2RCR|3SNIHEL|456VULN|7AART|8aDMG|9CGEN
83	21131 54143	   	190.29	ACR|1BASARM|1VULN|1ASPD|1BEXP	1LIT|2RCR|3SNIHEL|4CGEN|5VULN|6LWND|7BASARM|8DUR|9ASPD|aBEXP
84	21113 54143	   	190.19	ACR|1BASARM|1VULN|1ASPD|1BEXP	1LIT|2RCR|3SNIHEL|4VULN|5TLV|6LWND|7BASARM|8DUR|9ASPD|aBEXP
85	21111 36842	 * 	190.15	ACR|3VULN|3DMG	19aLIT|2RCR|3SNIHEL|49aVULN|5RMIN|6AAC|7MBVNT|89aDMG|9aBPWR
86	15112 53741	 * 	190.10	ACR|3DMG|2VULN|1ASPD	18CGEN|2MDPS|3MBVNT|4RCR|58VULN|678DMG|8BPWR|9ASPD|aLWND
87	15112 53742	   	190.10	ACR|3DMG|2VULN|1ASPD	18CGEN|2MDPS|3MBVNT|4RCR|58VULN|678DMG|8BPWR|9ASPD|aLIT
88	15112 53743	   	190.10	ACR|3DMG|2VULN|1ASPD	18CGEN|2MDPS|3MBVNT|4RCR|58VULN|678DMG|8BPWR|9ASPD|aZMB
89	24512 61122	 * 	190.10	ACR|1BASARM|3BEXP|1VULN	14LIT|267BEXP|3RCR|5LWND|8LHND|9VULN|aBASARM
90	15112 53744	   	190.00	ACR|3DMG|2VULN|1ASPD	18CGEN|2MDPS|3MBVNT|4RCR|58VULN|678DMG|8BPWR|9ASPD|aAME
91	24532 61122	   	190.00	ACR|1BASARM|3BEXP|1VULN	1LIT|267BEXP|3RCR|4AEFBLL|5LWND|8LHND|9VULN|aBASARM
92	21252 23251	 * 	189.53	ACR|3BEXP|1VULN|1ASPD|1DMG	16LIT|2RCR|34RMIN|567BEXP|6BPWR|8VULN|9DMG|aASPD
93	21141 23356	 * 	189.32	ACR|2VULN|2ASPD|2BEXP	1aLIT|2RCR|3SNIHEL|4aASPD|59VULN|6TLV|7aBEXP|8RCVC|aBPWR
94	21534 51112	   	189.24	ACR|2DMG|2BEXP|1AART|1CDMG	1LIT|2RCR|3MDPS|4AART|58DMG|6CDMG|79BEXP|aFEWX
95	21534 51123	   	189.24	ACR|2DMG|2BEXP|1AART|1CDMG	1LIT|2RCR|3MDPS|4AART|58DMG|6CDMG|7aBEXP|9LWND
96	21534 53113	   	189.24	ACR|2DMG|2BEXP|1AART|1CDMG	1LIT|2RCR|3MDPS|4AART|58DMG|6CDMG|7DUR|9aBEXP
97	21142 12624	   	189.14	ACR|2VULN|2ASPD|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|47ASPD|5AAC|6BEXP|8aVULN|9CDMG
98	21534 51111	   	189.14	ACR|2DMG|2BEXP|1CDMG|1AART	1LIT|2RCR|3MDPS|4AART|58DMG|6CDMG|79BEXP|aERES
99	21156 15321	   	189.06	ACR|3DMG|3BEXP	179LIT|2RCR|3SNIHEL|479BEXP|5MDPS|679DMG|79BPWR|8LEGI|aCGEN
100	21156 15322	   	189.06	ACR|3DMG|3BEXP	179LIT|2RCR|3SNIHEL|479BEXP|5MDPS|679DMG|79BPWR|8LEGI|aLWND
101	24531 13621	 * 	188.37	ACR|3BEXP|2ASPD|1DMG	19LIT|269BEXP|3RCR|4AEFBLL|5AIRARM|79ASPD|8RMIN|9BPWR|aDMG
102	24531 13121	   	188.27	ACR|3BEXP|2ASPD|1DMG	19LIT|269BEXP|3RCR|4AEFBLL|5AIRARM|79ASPD|8NUKE|9BPWR|aDMG
103	15112 17226	 * 	188.10	ACR|2VULN|2ASPD|1DMG|1CDMG	19CGEN|2MDPS|3MBVNT|4RCR|59VULN|6MLV|7CDMG|89ASPD|9BPWR|aDMG
104	21141 31653	   	188.04	ACR|2VULN|2ASPD|2BEXP	1aLIT|2RCR|3SNIHEL|4aASPD|59VULN|6AAC|7AEFBLL|8aBEXP|aBPWR
105	21142 31653	   	188.04	ACR|2VULN|2ASPD|2BEXP	1aLIT|2RCR|3SNIHEL|4aASPD|5AAC|69VULN|7AEFBLL|8aBEXP|aBPWR
106	21525 61221	   	188.04	ACR|2VULN|2ASPD|2BEXP	1LIT|2RCR|3MDPS|46VULN|57ASPD|8LHND|9aBEXP
107	34312 14321	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8FEWX|9BASARM|aLHND
108	34312 14324	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8FEWX|9BASARM|aLWND
109	34312 14325	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1aDUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8FEWX|9BASARM
110	34312 14326	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8FEWX|9BASARM|aCGEN
111	34312 14421	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8LWND|9BASARM|aLHND
112	34312 42321	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8FEWX|9BASARM|aLHND
113	34312 42324	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8FEWX|9BASARM|aLWND
114	34312 42325	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1aDUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8FEWX|9BASARM
115	34312 42326	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7aCGEN|8FEWX|9BASARM
116	34312 42421	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8LWND|9BASARM|aLHND
117	34312 43321	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7aLHND|8CGEN|9BASARM
118	34312 43324	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LHND|8CGEN|9BASARM|aLWND
119	34312 43325	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1aDUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LHND|8CGEN|9BASARM
120	34312 43326	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LHND|8aCGEN|9BASARM
121	34312 46321	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LWND|8CGEN|9BASARM|aLHND
122	15112 37226	   	188.00	ACR|2VULN|2ASPD|1DMG|1CDMG	19CGEN|2MDPS|3MBVNT|4RCR|59VULN|6ERES|7CDMG|89ASPD|9BPWR|aDMG
123	15112 74226	   	188.00	ACR|2VULN|2ASPD|1DMG|1CDMG	19CGEN|2MDPS|3MBVNT|4RCR|59VULN|6CDMG|7TLV|89ASPD|9BPWR|aDMG
124	21155 31112	   	188.00	ACR|2VULN|2ASPD|2BEXP|1SELL	19LIT|2RCR|3SNIHEL|49BEXP|5aVULN|6SELL|7LHND|89ASPD|9BPWR
125	21155 31312	 * 	188.00	ACR|2VULN|2DMG|2BEXP|1SELL	19LIT|2RCR|3SNIHEL|49BEXP|5aVULN|6SELL|7LHND|89DMG|9BPWR
126	21152 32112	   	188.00	ACR|2ASPD|2VULN|2BEXP|1SELL	19LIT|2RCR|3SNIHEL|49BEXP|5DUR|6SELL|7aVULN|89ASPD|9BPWR
127	21152 32312	 * 	188.00	ACR|2DMG|2VULN|2BEXP|1SELL	19LIT|2RCR|3SNIHEL|49BEXP|5DUR|6SELL|7aVULN|89DMG|9BPWR
128	15112 23324	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1CGEN|2MDPS|3MBVNT|4RCR|5VULN|6ZMB|7DMG|8FEWX|9BASARM|aASPD
129	15112 23524	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1CGEN|2MDPS|3MBVNT|4RCR|5VULN|6ZMB|7DMG|8LWND|9BASARM|aASPD
130	34312 14322	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8FEWX|9BASARM|aAME
131	34312 14323	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8FEWX|9BASARM|aDUST
132	34312 14422	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8LWND|9BASARM|aAME
133	34312 14423	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8LWND|9BASARM|aDUST
134	34312 14521	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6MLV|7DMG|8DUST|9BASARM|aLHND
135	34312 34321	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6ERES|7DMG|8FEWX|9BASARM|aLHND
136	34312 34324	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6ERES|7DMG|8FEWX|9BASARM|aLWND
137	34312 34325	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1aDUR|2MDPS|3ASPD|4RCR|5VULN|6ERES|7DMG|8FEWX|9BASARM
138	34312 34326	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6ERES|7DMG|8FEWX|9BASARM|aCGEN
139	34312 34421	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6ERES|7DMG|8LWND|9BASARM|aLHND
140	34312 42322	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8FEWX|9BASARM|aAME
141	34312 42323	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8FEWX|9BASARM|aDUST
142	34312 42422	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8LWND|9BASARM|aAME
143	34312 42423	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8LWND|9BASARM|aDUST
144	34312 42521	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7CGEN|8DUST|9BASARM|aLHND
145	34312 43323	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LHND|8CGEN|9BASARM|aAEFBLL
146	34312 45321	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7ERES|8FEWX|9BASARM|aLHND
147	34312 46322	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LWND|8CGEN|9BASARM|aAME
148	34312 46323	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2MDPS|3ASPD|4RCR|5VULN|6DMG|7LWND|8CGEN|9BASARM|aDUST
149	21155 36112	   	187.90	ACR|2VULN|2ASPD|2BEXP|1SELL	19LIT|2RCR|3SNIHEL|49BEXP|5aVULN|6SELL|7DUST|89ASPD|9BPWR
150	21155 36312	 * 	187.90	ACR|2VULN|2DMG|2BEXP|1SELL	19LIT|2RCR|3SNIHEL|49BEXP|5aVULN|6SELL|7DUST|89DMG|9BPWR
151	15112 23624	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1CGEN|2MDPS|3MBVNT|4RCR|5VULN|6ZMB|7DMG|8DUST|9BASARM|aASPD
