0	Index      	 *	Score 	Summary	Detail	
1	11452 12147	 * 	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aAART
20	32456 33222	 * 	230.73	DCR|DCR|1VULN|2MLV	1LIT|2BEXP|3BELT|4VULN|5FEWX|69RCR|7MDPS|8aMLV
21	31436 33222	   	230.63	DCR|DCR|1VULN|2MLV	1LIT|2DUST|3BELT|4FEWX|5VULN|69RCR|7MDPS|8aMLV
22	31452 33222	   	230.63	DCR|DCR|1VULN|2MLV	1LIT|2DUST|3BELT|4VULN|5BEXP|69RCR|7MDPS|8aMLV
23	32451 33222	   	230.63	DCR|DCR|1VULN|2MLV	1LIT|2BEXP|3BELT|4VULN|5LEGI|69RCR|7MDPS|8aMLV
24	32455 33222	   	230.63	DCR|DCR|1VULN|2MLV	1LIT|2BEXP|3BELT|4VULN|5DUST|69RCR|7MDPS|8aMLV
25	25111 32463	 * 	230.56	DCR|DCR|2DUR|1DMG|1AART	18DUR|2LIT|3MDPS|4DMG|5BELT|6aRCR|7AART|9LHND
26	31451 33222	   	230.53	DCR|DCR|1VULN|2MLV	1LIT|2DUST|3BELT|4VULN|5LEGI|69RCR|7MDPS|8aMLV
27	12432 25323	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AART|3AME|4ERES|5VULN|69RCR|7DUST|8LSRREG|aDUR
28	12432 63623	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AART|3AME|4ERES|5VULN|6DUST|7AIRHEA|89RCR|aDUR
29	42111 56112	   	228.12	DCR|3DMG|2TLV|1VULN|1DUR	1DUST|2TBNT|35TLV|457DMG|5BPWR|6VULN|8RCR|9ASPD|aDUR
30	24222 52346	   	226.20	DCR|DCR|1FLTARM|1MLV|1DUR	1DUR|2BELT|3FLTARM|48FEWX|5LWND|69RCR|7MBVNT|aMLV
31	42111 55231	   	226.12	DCR|2DMG|2TLV|1VULN|1DUR|1AART	1DUST|2TBNT|35TLV|45DMG|5BPWR|6VULN|7RCR|8ASPD|9AART|aDUR
32	24222 52446	   	226.10	DCR|DCR|1FLTARM|1MLV|1DUR	1DUR|2BELT|3FLTARM|4FEWX|5LWND|69RCR|7MBVNT|8AEPOI|aMLV
33	25353 14112	 * 	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2LIT|3TBNT|469VULN|5DMG|7RCR|8LWND|aTLV
34	33353 14112	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1LIT|2TBNT|3DUR|469VULN|5DMG|7RCR|8LWND|aTLV
35	25353 14212	   	225.85	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2LIT|3TBNT|469VULN|5DMG|7RCR|8DUST|aTLV
36	33353 14212	   	225.85	DCR|3VULN|1TLV|1DMG|1DUR	1LIT|2TBNT|3DUR|469VULN|5DMG|7RCR|8DUST|aTLV
37	21331 21451	 * 	225.69	DCR|2VULN|3DUR|2MLV|1MSLTOX	125DUR|3RPLT|45MLV|5BPWR|6MDPS|7aVULN|8RCR|9MSLTOX
38	24323 25226	   	225.05	DCR|DCR|1DMG|1DUR|1CDMG	1DUR|2BELT|3ASPD|4LHND|5LWND|6ERES|79RCR|8CDMG|aDMG
39	42111 55211	   	225.02	DCR|2VULN|2DMG|2TLV|1AAC	1DUST|2TBNT|35TLV|45DMG|5BPWR|6aVULN|7RCR|8ASPD|9AAC
40	42111 55232	 * 	224.92	DCR|2DMG|2TLV|1VULN|2AART	1DUST|2TBNT|35TLV|45DMG|5BPWR|6VULN|7RCR|8ASPD|9aAART
41	42111 26612	 * 	224.64	DCR|2VULN|3TLV|2DMG	19DUST|2TBNT|356TLV|45DMG|59BPWR|79VULN|89CGEN|aRCR
42	42111 26512	   	224.54	DCR|2VULN|3TLV|2DMG	1DUST|2TBNT|356TLV|45DMG|5BPWR|78VULN|9CGEN|aRCR
43	42561 22331	 * 	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUST|2TBNT|3RMIN|49RCR|5FEWX|67VULN|8DUR|aMLV
44	33211 42424	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	18LIT|2TBNT|3RAT|48DMG|5MLV|6TLV|78VULN|8BPWR|9AEPOI|aRCR
45	33211 42442	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	18LIT|2TBNT|3RAT|48DMG|5MLV|6TLV|78VULN|8BPWR|9BBNT|aRCR
46	42311 56133	   	223.20	DCR|2VULN|3DMG|1TLV	1DUST|2TBNT|35ERES|457DMG|5BPWR|6aVULN|8RCR|9TLV
47	21331 22411	   	223.09	DCR|2VULN|3DUR|2MLV|1AART	125DUR|3RPLT|45MLV|5BPWR|6MDPS|7AART|89VULN|aRCR
48	24222 52341	   	223.05	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|48FEWX|5LWND|69RCR|7MBVNT
49	24222 52643	   	223.05	DCR|DCR|2DUR|1FLTARM	18DUR|2BELT|3FLTARM|4FEWX|5LWND|69RCR|7MBVNT|aRAT
50	24222 52644	   	223.05	DCR|DCR|2DUR|1FLTARM	18DUR|2BELT|3FLTARM|4FEWX|5LWND|69RCR|7MBVNT|aRPLT
51	24222 52841	   	223.05	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|4FEWX|58LWND|69RCR|7MBVNT
52	24224 52341	   	223.05	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|48FEWX|5LHND|69RCR|7MBVNT
53	24242 52141	   	223.05	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|48BEXP|5LWND|69RCR|7MBVNT
54	24243 52141	   	223.05	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|48BEXP|5FEWX|69RCR|7MBVNT
55	24222 52441	   	222.95	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|4FEWX|5LWND|69RCR|7MBVNT|8AEPOI
56	24222 52642	   	222.95	DCR|DCR|2DUR|1FLTARM	18DUR|2BELT|3FLTARM|4FEWX|5LWND|69RCR|7MBVNT|aERES
57	24224 52441	   	222.95	DCR|DCR|2DUR|1FLTARM	1aDUR|2BELT|3FLTARM|4FEWX|5LHND|69RCR|7MBVNT|8AEPOI
58	11452 16442	   	222.90	DCR|DCR|1VULN|1DMG	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7LWND|8VULN|aLHND
59	11452 16444	   	222.90	DCR|DCR|1VULN|1DMG	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7LWND|8VULN|aCGEN
60	11452 16441	   	222.80	DCR|DCR|1VULN|1DMG	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7LWND|8VULN|aFRZFST
61	11452 16443	   	222.80	DCR|DCR|1VULN|1DMG|1MSE	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7LWND|8VULN|aMSE
62	42311 62312	   	221.50	DCR|DCR|2DMG|1DUR|1SELL	1DUST|2TBNT|356ERES|45DMG|5BPWR|78RCR|9SELL|aDUR
63	33353 34112	   	221.50	DCR|2VULN|2DMG|1TLV|1DUR	16LIT|2TBNT|3DUR|49VULN|56DMG|6BPWR|7RCR|8LWND|aTLV
64	25352 14112	   	221.49	DCR|3VULN|1TLV|1MLV|1DUR	1DUR|2LIT|3TBNT|469VULN|5MLV|7RCR|8LWND|aTLV
65	33352 14112	   	221.49	DCR|3VULN|1TLV|1MLV|1DUR	1LIT|2TBNT|3DUR|469VULN|5MLV|7RCR|8LWND|aTLV
66	33353 34212	   	221.40	DCR|2VULN|2DMG|1TLV|1DUR	16LIT|2TBNT|3DUR|49VULN|56DMG|6BPWR|7RCR|8DUST|aTLV
67	25352 14212	   	221.39	DCR|3VULN|1TLV|1MLV|1DUR	1DUR|2LIT|3TBNT|469VULN|5MLV|7RCR|8DUST|aTLV
68	33352 14212	   	221.39	DCR|3VULN|1TLV|1MLV|1DUR	1LIT|2TBNT|3DUR|469VULN|5MLV|7RCR|8DUST|aTLV
69	31262 41174	   	220.49	DCR|DCR|1MLV|1DUR|1CDMG	1LIT|2DUST|3FEWX|4ASPD|5MBVNT|6aRCR|7MLV|8DUR|9CDMG
