0	Index      	 *	Score 	Summary	Detail	
1	43211 44121	 * 	270.59	DCR|DCR|1VULN|2MLV|1TLV|1DUR	1AETHUN|2DUR|37MLV|4RPLT|5BOSS|69RCR|8TLV|aVULN
27	22223 31166	   	253.02	DCR|DCR|2TLV|1VULN|1AART	15LIT|2AIRARM|3aTLV|4AART|67RCR|8LHND|9VULN
28	22223 31566	   	253.02	DCR|DCR|2TLV|1VULN|1AART	15LIT|2AIRARM|3aTLV|4AART|67RCR|8BEXP|9VULN
29	44211 42221	   	252.92	DCR|DCR|2TLV|1VULN|1DUR	1AETHUN|27TLV|3DUR|4RPLT|5BOSS|69RCR|8AME|aVULN
30	22223 31324	 * 	252.31	DCR|DCR|2DUR|1TLV|1MLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8MLV|9aDUR
31	22223 31326	 * 	252.31	DCR|DCR|2AART|1TLV|1MLV|1DUR	15LIT|2AIRARM|3TLV|4aAART|67RCR|8MLV|9DUR
32	32261 17353	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2RCVC|3MBVNT|4VULN|5TLV|6ASPD|7RMIN|8CDMG|9aRCR
33	32247 15353	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2RCVC|3MBVNT|4ERES|5VULN|6ASPD|7CDMG|8TLV|9aRCR
34	32248 47353	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2RCVC|3MBVNT|4ERES|5ASPD|6TLV|7VULN|8CDMG|9aRCR
35	32264 15353	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2RCVC|3MBVNT|4VULN|5ERES|6ASPD|7CDMG|8TLV|9aRCR
36	22223 31352	 * 	249.03	DCR|DCR|2TLV|2MLV|1AART	15aLIT|2AIRARM|3aTLV|4AART|67RCR|8aMLV|9DMSP|aBPWR
37	32281 32754	   	246.31	DCR|DCR|2TLV|1VULN	1RAT|2RCVC|3MBVNT|4BOSS|56TLV|7VULN|89RCR|aASPD
38	13511 13165	 * 	245.92	DCR|DCR|1TLV|1DMG|1MLV|1CDMG|1SELL	1AEPOI|2DUST|3MLV|4RAT|5TLV|6CDMG|7SELL|8aRCR|9DMG
39	11513 25631	   	244.64	DCR|DCR|2VULN|1MLV	1AEPOI|29LWND|3MLV|4RAT|5LIT|6aRCR|78VULN
40	16312 11131	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2CGEN|3RCVC|4RAT|5MLV|6TLV|7VULN|8aRCR|9BOSS
41	24116 61221	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	12LIT|2BPWR|3RMIN|4AEFRZ|5VULN|6aRCR|7RAT|8TLV|9MLV
42	41211 44321	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1AETHUN|2BEXP|3TLV|48RPLT|5BOSS|69RCR|7MLV|aVULN
43	11513 25621	   	244.54	DCR|DCR|2VULN|1MLV	1AEPOI|2LWND|3MLV|4RAT|5LIT|6aRCR|78VULN|9AEWIND
44	42211 44321	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AETHUN|2DUST|3TLV|48RPLT|5BOSS|69RCR|7MLV|aVULN
45	13513 25621	   	244.44	DCR|DCR|2VULN|1MLV	1AEPOI|2DUST|3MLV|4RAT|5LIT|6aRCR|78VULN|9AEWIND
46	22123 31162	   	242.69	DCR|DCR|2VULN|1AART	15LIT|2AIRARM|3CGEN|4AART|67RCR|8LHND|9aVULN
47	22123 31262	   	242.69	DCR|DCR|2VULN|1AART	15LIT|2AIRARM|3CGEN|4AART|67RCR|8FEWX|9aVULN
48	22123 31562	   	242.69	DCR|DCR|2VULN|1AART	15LIT|2AIRARM|3CGEN|4AART|67RCR|8BEXP|9aVULN
49	22123 31166	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3CGEN|4AART|67RCR|8LHND|9VULN|aTLV
50	22123 31266	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3CGEN|4AART|67RCR|8FEWX|9VULN|aTLV
51	22123 31566	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3CGEN|4AART|67RCR|8BEXP|9VULN|aTLV
52	22223 31134	   	242.69	DCR|DCR|1VULN|1TLV|1AART	159LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|aVULN
53	22223 31152	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9FEWX|aVULN
54	22223 31163	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9VULN|aDMSP
55	22223 31165	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9VULN|aBEXP
56	22223 31234	   	242.69	DCR|DCR|1VULN|1TLV|1AART	159LIT|2AIRARM|3TLV|4AART|67RCR|8FEWX|aVULN
57	22223 31414	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8RAT|9BOSS|aVULN
58	22223 31423	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8RAT|9RCVC|aVULN
59	22223 31534	   	242.69	DCR|DCR|1VULN|1TLV|1AART	159LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|aVULN
60	22223 31552	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9FEWX|aVULN
61	22223 31565	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9VULN|aFEWX
62	61211 42323	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1AME|2VULN|3DUR|48RPLT|5BOSS|69RCR|7TLV|aLHND
63	22121 31162	   	242.59	DCR|DCR|2VULN|1AART	1LIT|2AIRARM|3CGEN|4AART|5AEPOI|67RCR|8LHND|9aVULN
64	22121 31262	   	242.59	DCR|DCR|2VULN|1AART	1LIT|2AIRARM|3CGEN|4AART|5AEPOI|67RCR|8FEWX|9aVULN
65	22121 31562	   	242.59	DCR|DCR|2VULN|1AART	1LIT|2AIRARM|3CGEN|4AART|5AEPOI|67RCR|8BEXP|9aVULN
66	22121 31166	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1LIT|2AIRARM|3CGEN|4AART|5AEPOI|67RCR|8LHND|9VULN|aTLV
67	22121 31266	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1LIT|2AIRARM|3CGEN|4AART|5AEPOI|67RCR|8FEWX|9VULN|aTLV
68	22121 31566	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1LIT|2AIRARM|3CGEN|4AART|5AEPOI|67RCR|8BEXP|9VULN|aTLV
69	22223 31126	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9ERES|aVULN
70	22223 31142	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9DUST|aVULN
71	22223 31161	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9VULN|aMBVNT
72	22223 31226	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8FEWX|9ERES|aVULN
73	22223 31242	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8FEWX|9DUST|aVULN
74	22223 31444	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8RAT|9LEGI|aVULN
75	22223 31526	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9ERES|aVULN
76	22223 31542	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9DUST|aVULN
77	22223 31561	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9VULN|aMBVNT
78	22223 31563	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9VULN|aLEGI
79	22223 31642	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8AEBURN|9RCVC|aVULN
80	22223 31663	   	242.59	DCR|DCR|1VULN|1TLV|1AART	159LIT|2AIRARM|3TLV|4AART|67RCR|8AEBURN|aVULN
81	61211 42321	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1AME|2VULN|3DUR|48RPLT|5BOSS|69RCR|7TLV|aAEFBLL
82	61211 42322	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1aAME|2VULN|3DUR|48RPLT|5BOSS|69RCR|7TLV
83	61211 42324	   	242.59	DCR|DCR|1VULN|1TLV|1DUR|1MSE	1AME|2VULN|3DUR|48RPLT|5BOSS|69RCR|7TLV|aMSE
84	61211 42326	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1AME|2VULN|3DUR|48RPLT|5BOSS|69RCR|7TLV|aERES
85	26421 77421	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1aLIT|2MBVNT|3FLTFST|4TBNT|5VULN|69RCR|7TLV|8AART
86	26421 77422	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1LIT|2MBVNT|3FLTFST|4TBNT|5VULN|69RCR|7TLV|8AART|aRAT
87	26421 77424	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1LIT|2MBVNT|3FLTFST|4TBNT|5VULN|69RCR|7TLV|8AART|aRMIN
88	26443 77421	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1aLIT|2MBVNT|3FLTFST|4VULN|5BBNT|69RCR|7TLV|8AART
89	26443 77422	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1LIT|2MBVNT|3FLTFST|4VULN|5BBNT|69RCR|7TLV|8AART|aRAT
90	26443 77424	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1LIT|2MBVNT|3FLTFST|4VULN|5BBNT|69RCR|7TLV|8AART|aRMIN
91	26421 77423	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1LIT|2MBVNT|3FLTFST|4TBNT|5VULN|69RCR|7TLV|8AART|aERES
92	26443 77423	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1LIT|2MBVNT|3FLTFST|4VULN|5BBNT|69RCR|7TLV|8AART|aERES
