0	Index      	 *	Score 	Summary	Detail	
1	31526 11216	 * 	212.63	橙4易伤2伤害1全技能3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a全技能
24	31526 11212	   	189.43	橙4易伤2伤害3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a最后敌人
25	31526 11214	   	189.43	橙4易伤2伤害3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a雷电
26	31526 11215	   	189.43	橙4易伤2伤害3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a敌人爆炸
27	31526 11261	   	189.43	橙4易伤2伤害3攻速	1随机矿247a易伤378攻速57伤害6核7序列升级9金币生成
28	31526 11211	   	189.33	橙4易伤2伤害3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a挖尘
29	31526 11213	   	189.33	橙4易伤2伤害3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a狙击对直升
30	31516 11241	   	188.98	橙3伤害2易伤3攻速1暴击	1随机矿27易伤347攻速578伤害6核7序列升级9暴击a最后敌人
31	31516 11242	   	188.88	橙3伤害2易伤3攻速1暴击	1随机矿27易伤347攻速578伤害6核7序列升级9暴击a基础对冰
32	31516 11243	   	188.88	橙3伤害2易伤3攻速1暴击	1随机矿27易伤347攻速578伤害6核7序列升级9暴击a挖尘
33	33511 33156	 * 	188.20	紫3易伤2伤害2暴击2策反	1随机矿2a暴击367易伤4核5加一8a策反9a伤害a序列升级
34	31526 11531	   	186.96	橙3易伤2伤害2攻速1策反1时间	1随机矿247易伤37攻速57伤害6核7序列升级8时间9双倍矿a策反
35	31526 11511	   	186.86	橙3易伤2伤害2攻速1策反1时间	1随机矿247易伤37攻速57伤害6核7序列升级8时间9掉矿a策反
36	21526 11511	   	186.76	橙3易伤2伤害2攻速1策反1时间	17掉矿249易伤37攻速57伤害6核7序列升级8时间a策反
37	31516 11223	   	186.33	橙3伤害2易伤3攻速1策反	1随机矿27易伤347攻速578伤害6核7序列升级9双倍矿a策反
38	31526 11224	   	186.33	橙3易伤2伤害3攻速1策反	1随机矿247易伤378攻速57伤害6核7序列升级9低血量敌人a策反
39	31516 11261	   	186.23	橙3伤害2易伤3攻速1策反	1随机矿27易伤347攻速578伤害6核7序列升级9狙击对直升a策反
40	31526 11234	   	186.23	橙3易伤2伤害3攻速1策反	1随机矿247易伤378攻速57伤害6核7序列升级9挖尘a策反
41	21536 11252	   	185.93	橙3伤害1全技能1易伤2攻速1策反	147掉矿2易伤37攻速57a伤害6核7序列升级8策反9全技能
42	31526 11621	   	184.67	橙3易伤3伤害2攻速	1随机矿247易伤37攻速578伤害6核7序列升级9a低血量敌人
43	31526 11622	   	184.67	橙3易伤3伤害2攻速	1随机矿247易伤37攻速578伤害6核7序列升级9低血量敌人a最后敌人
44	31526 11423	   	184.57	橙3易伤3伤害2攻速	1随机矿247易伤37攻速57a伤害6核7序列升级8等级9矿等
45	31526 11623	   	184.57	橙3易伤3伤害2攻速	1随机矿247易伤37攻速578伤害6核7序列升级9低血量敌人a狙击对直升
46	31526 11631	   	184.57	橙3易伤3伤害2攻速	1随机矿247易伤37攻速578伤害6核7序列升级9挖尘a低血量敌人
47	21526 11612	   	184.47	橙3易伤3伤害2攻速	17掉矿249易伤37攻速578伤害6核7序列升级a最后敌人
48	31526 11632	   	184.47	橙3易伤3伤害2攻速	1随机矿247易伤37攻速578伤害6核7序列升级9挖尘a等级
49	21526 11611	   	184.37	橙3易伤3伤害2攻速	17掉矿249易伤37攻速578伤害6核7序列升级a挖尘
50	21526 11613	   	184.37	橙3易伤3伤害2攻速	17掉矿249易伤37攻速578伤害6核7序列升级a毒液对冰
51	62124 11222	   	183.95	橙3易伤2伤害3策反	127策反257序列升级357易伤457最后敌人6核8敌人爆炸9a伤害
52	62124 11512	   	183.95	橙3易伤2伤害3策反	127策反257序列升级357易伤457最后敌人6核8a伤害9基地爆炸
53	62114 11341	 * 	183.51	橙4易伤3策反1全技能	127策反257序列升级3578易伤457敌人爆炸6核9毒液对冰a全技能
54	62114 11334	   	183.36	橙4易伤3策反1全技能1卖塔	127策反257序列升级3578易伤457敌人爆炸6核9卖塔a全技能
55	31526 11162	   	183.02	橙4易伤2伤害2攻速	1随机矿2479易伤37攻速57伤害6核7序列升级8敌人爆炸a等级
56	31526 11163	   	183.02	橙4易伤2伤害2攻速	1随机矿2479易伤37攻速57伤害6核7序列升级8敌人爆炸a挖尘
57	31526 11362	   	183.02	橙4易伤2伤害2攻速	1随机矿2479易伤37攻速57伤害6核7序列升级8基地爆炸a等级
58	31526 11363	   	183.02	橙4易伤2伤害2攻速	1随机矿2479易伤37攻速57伤害6核7序列升级8基地爆炸a挖尘
59	21526 11236	   	182.68	橙2易伤2伤害1全技能3攻速	17掉矿24易伤378攻速57伤害6核7序列升级9双倍矿a全技能
