0	Index      	 *	Score 	Summary	Detail	
1	34125 33314	 * 	234.36	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1时间	1伤害2攻速3敌人爆炸4全技能5时间6掉矿7核8散射对甲9随机矿a双倍秒伤
46	34322 24276	   	209.32	橙1散射对甲1双倍秒伤1伤害1攻速1暴击	1伤害2攻速3技能点4加一56金币生成7暴击8散射对甲9核a双倍秒伤
47	33241 53521	   	208.60	橙3易伤2伤害1全技能1技能1时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7时间8核9技能a全技能
48	31442 25222	   	208.01	橙1散射对甲1双倍秒伤1伤害1攻速1策反	1伤害2金币生成3策反4最后敌人5散射对甲6攻速7低血量敌人8核9立即金币a双倍秒伤
49	31462 36222	   	208.01	橙1散射对甲1双倍秒伤1伤害1攻速1策反	1伤害2金币生成3策反4敌人爆炸5散射对甲6基地爆炸7攻速8核9立即金币a双倍秒伤
50	31452 26212	   	207.91	橙1散射对甲1双倍秒伤1伤害1攻速1策反	1伤害2金币生成3策反4低血量敌人5散射对甲6攻速79挖尘8核a双倍秒伤
51	32462 36222	   	207.91	橙1散射对甲1双倍秒伤1伤害1攻速1策反	1伤害2掉矿3策反4敌人爆炸5散射对甲6基地爆炸7攻速8核9立即金币a双倍秒伤
52	32462 36232	   	207.91	橙1散射对甲1双倍秒伤1伤害1攻速1策反	1伤害29掉矿3策反4敌人爆炸5散射对甲6基地爆炸7攻速8核a双倍秒伤
53	66422 21232	 * 	207.73	橙1散射对甲1双倍秒伤1易伤1伤害	1狙击对黄25敌人爆炸3额外掉落4最后敌人6易伤7伤害8核9散射对甲a双倍秒伤
54	34324 43171	   	207.57	橙2易伤2伤害2攻速1时间	19伤害29攻速3技能点4加一5时间6核7平台89易伤9序列升级a雷电
55	34324 43173	   	207.57	橙2易伤2伤害2攻速1时间	19伤害29攻速3技能点4加一5时间6核7平台89易伤9序列升级a最后敌人
56	34324 43177	   	207.57	橙2易伤2伤害2攻速1时间	19伤害29攻速3技能点4加一5时间6核7平台89易伤9序列升级a金币生成
57	34324 43174	   	207.47	橙2易伤2伤害2攻速1时间	19伤害29攻速3技能点4加一5时间6核7平台89易伤9序列升级a挖尘
58	33621 33324	   	207.20	橙1散射对甲1双倍秒伤1全技能1伤害1策反	1伤害2敌人爆炸3随机矿4全技能5技能点6低血量敌人7核8散射对甲9策反a双倍秒伤
59	33626 33324	   	207.20	橙1散射对甲1双倍秒伤1全技能1伤害1策反	1伤害2敌人爆炸3随机矿4全技能5矿等6低血量敌人7核8散射对甲9策反a双倍秒伤
60	33216 53533	   	206.62	橙2易伤2伤害1全技能2时间	16伤害24敌人爆炸3挖尘56易伤6序列升级7a时间8核9全技能
61	14421 23433	 * 	205.94	橙2伤害2攻速1易伤1核弹2策反	1等级24攻速34策反4序列升级5平台68伤害7核9易伤a核弹
62	33323 63336	   	205.80	橙1散射对甲2伤害1全技能1攻速1时间1策反	19伤害2敌人爆炸3技能点4全技能5策反6时间7核8散射对甲a攻速
63	33325 53336	   	205.80	橙1散射对甲2伤害1全技能1攻速1时间1策反	19伤害2敌人爆炸3技能点4全技能5时间6策反7核8散射对甲a攻速
64	33241 53511	   	205.45	橙3易伤2伤害1暴击1时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7时间8核9暴击a基地爆炸
65	33241 53512	   	205.45	橙3易伤2伤害1暴击1时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7时间8核9暴击a平台
66	33241 53513	   	205.35	橙3易伤2伤害1暴击1时间1挖怪	16伤害2敌人爆炸3挖尘456易伤6序列升级7时间8核9暴击a挖怪
67	33323 35253	   	204.94	橙2易伤2伤害1全技能1时间1策反	18伤害2敌人爆炸38技能点4全技能5策反6低血量敌人78易伤8序列升级9核a时间
68	33323 65252	   	204.94	橙2易伤2伤害1全技能1时间1策反	18伤害2敌人爆炸38技能点4全技能5策反6时间78易伤8序列升级9核a矿等
69	33323 65251	   	204.84	橙2易伤2伤害1全技能1时间1策反	18伤害2敌人爆炸38技能点4全技能5策反6时间78易伤8序列升级9核a等级
70	33623 65222	   	204.72	橙2易伤2伤害1全技能2时间1技能	18伤害2敌人爆炸3随机矿4全技能58时间6技能78易伤8序列升级9核a技能点
71	33623 65221	   	204.62	橙2易伤2伤害1全技能2时间1技能	18伤害2敌人爆炸3随机矿4全技能58时间6技能78易伤8序列升级9核a等级
72	33241 52532	   	204.57	橙3易伤2伤害1全技能	16伤害2敌人爆炸3挖尘456易伤6序列升级7低血量敌人8核9全技能a技能点
73	33241 52531	   	204.47	橙3易伤2伤害1全技能	16伤害2敌人爆炸3挖尘456易伤6序列升级7低血量敌人8核9全技能a等级
