0	Index      	 *	Score 	Summary	Detail	
1	11325 12314	 * 	251.16	紫3伤害3攻速2基地爆炸2易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9a易伤
16	11325 12335	   	239.51	紫3伤害3攻速2基地爆炸1技能	168攻速2核39最后敌人48基地爆炸568伤害68序列升级7双倍秒伤a技能
17	11325 12312	   	238.14	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a低血量敌人
18	11325 12313	   	238.14	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a敌人爆炸
19	11325 12315	   	238.14	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a雷电
20	11325 12354	   	238.14	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9矿等a易伤
21	11325 12364	   	238.14	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9金币生成a易伤
22	11325 16163	   	238.04	紫3伤害3攻速2基地爆炸	169攻速2核3最后敌人4a基地爆炸568伤害6序列升级7易伤
23	11325 12316	   	238.04	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a挖尘
24	11325 12324	   	238.04	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9掉矿a易伤
25	11325 12344	   	238.04	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9技能点a易伤
26	11331 36115	 * 	237.27	紫1基础对甲2伤害1基础对冰1攻速1技能	1攻速2核3最后敌人4掉矿5易伤6技能78伤害9基础对甲a基础对冰
27	11615 12314	   	236.32	紫3伤害3攻速2易伤1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9a易伤
28	11625 12314	   	236.32	紫3伤害3攻速2易伤1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9a易伤
29	11611 32415	 * 	235.67	紫1基础对甲2攻速1基础对冰2易伤1基地爆炸	15攻速2核3基地爆炸4低血量敌人67易伤8金币生成9基础对甲a基础对冰
30	11116 13526	   	235.51	紫3攻速2伤害2基地爆炸2易伤	18a攻速2核3a技能点45平台68伤害78基地爆炸8a序列升级9a易伤
31	11221 23622	   	234.87	紫3攻速3基地爆炸2伤害1技能1卖塔	14a攻速2核3卖塔58a基地爆炸6随机矿7a伤害9技能a序列升级
32	11652 12361	 * 	234.12	紫3攻速2伤害1基础对冰1基地爆炸1暴击	168攻速2核3基地爆炸48伤害568挖尘68序列升级7双倍秒伤9暴击a基础对冰
33	11511 13336	 * 	232.06	紫3攻速4易伤3基地爆炸	18a攻速2核3掉矿4平台58a基地爆炸689a易伤7核弹8a序列升级
34	11615 12362	   	231.40	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a低血量敌人568伤害68a序列升级7双倍秒伤9a金币生成
35	11625 12362	   	231.40	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a敌人爆炸568伤害68a序列升级7双倍秒伤9a金币生成
36	11615 15112	   	231.30	紫3伤害3攻速2基地爆炸	16a攻速2核3a基地爆炸4低血量敌人568伤害6a序列升级7时间9a策反
37	11611 32413	 * 	231.26	紫3攻速1基础对甲2易伤1基地爆炸	15a攻速2核3基地爆炸4低血量敌人67易伤8金币生成9基础对甲
38	11615 12322	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a低血量敌人568伤害68a序列升级7双倍秒伤9a掉矿
39	11615 12342	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a低血量敌人568伤害68a序列升级7双倍秒伤9a技能点
40	11625 12322	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a敌人爆炸568伤害68a序列升级7双倍秒伤9a掉矿
41	11625 12342	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a敌人爆炸568伤害68a序列升级7双倍秒伤9a技能点
42	11645 12322	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48a最后敌人568伤害68a序列升级7双倍秒伤9a掉矿
43	11325 12331	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核39最后敌人48基地爆炸568伤害68序列升级7双倍秒伤a时间
44	11325 12332	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核39最后敌人48基地爆炸568伤害68序列升级7双倍秒伤a平台
45	11325 12336	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核39a最后敌人48基地爆炸568伤害68序列升级7双倍秒伤
46	11325 12351	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9a矿等
47	11325 12352	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9矿等a随机矿
48	11325 12353	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9矿等a敌人爆炸
49	11325 12361	   	231.20	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9金币生成a矿等
50	11615 12326	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9掉矿
51	11625 12326	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核3a基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9掉矿
52	11325 12321	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9掉矿a矿等
53	11325 12334	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核39最后敌人48基地爆炸568伤害68序列升级7双倍秒伤a等级
54	11325 12341	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9技能点a矿等
55	11325 12355	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9矿等a挖尘
56	11325 12365	   	231.10	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9金币生成a挖尘
57	11325 12584	   	231.10	紫3伤害3攻速2基地爆炸	16a攻速2核3最后敌人4a基地爆炸56a伤害6a序列升级7双倍秒伤8加一9立即金币
58	11325 15163	   	231.10	紫3伤害3攻速2基地爆炸	169攻速2核3最后敌人4a基地爆炸568伤害6序列升级7时间
59	11325 12325	   	231.00	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9掉矿a挖尘
60	11325 12345	   	231.00	紫3伤害3攻速2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9技能点a挖尘
61	11651 21611	   	230.95	紫1基础对甲2伤害1攻速1基地爆炸1技能	1攻速2核3基地爆炸46伤害5易伤7金币生成8技能9基础对甲a额外掉落
62	11651 21613	   	230.95	紫1基础对甲2伤害1攻速1基地爆炸1技能	1攻速2核3基地爆炸46伤害5易伤7金币生成8技能9基础对甲a随机矿
63	11331 36116	   	230.85	紫1基础对甲2伤害1攻速1基地爆炸1技能	1攻速2核3最后敌人4掉矿5易伤6技能78伤害9基础对甲a基地爆炸
64	11125 41232	 * 	230.19	紫2基础对甲2伤害1攻速1基地爆炸	1攻速2核3技能点4额外掉落5敌人爆炸68基础对甲79伤害a基地爆炸
65	11525 41232	   	230.19	紫2基础对甲2伤害1攻速1基地爆炸	1攻速2核3掉矿4额外掉落5敌人爆炸68基础对甲79伤害a基地爆炸
66	11615 12363	   	230.01	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9金币生成a暴击
67	11625 12363	   	230.01	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9金币生成a暴击
68	11615 12323	   	229.91	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9掉矿a暴击
69	11615 12343	   	229.91	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9技能点a暴击
70	11625 12323	   	229.91	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9掉矿a暴击
71	11625 12343	   	229.91	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9技能点a暴击
72	11645 12323	   	229.91	紫3伤害3攻速1基地爆炸1暴击	168攻速2核3基地爆炸48最后敌人568伤害68序列升级7双倍秒伤9掉矿a暴击
73	11325 12662	   	229.20	紫3攻速2伤害2基地爆炸1暴击	16a攻速2核3最后敌人4a基地爆炸56伤害6a序列升级7双倍秒伤8暴击9a策反
74	11331 56115	   	228.96	紫1基础对甲2伤害1基础对冰1攻速	1攻速2核3最后敌人4掉矿5易伤6随机矿78伤害9基础对甲a基础对冰
75	11625 15333	   	228.69	紫2伤害2攻速2基地爆炸1全技能1技能	16攻速2核3a基地爆炸4敌人爆炸56伤害6序列升级7全技能8易伤9技能
76	11315 11661	 * 	227.81	紫1基础对甲2伤害2攻速1技能1卖塔	16攻速2核3最后敌人4低血量敌人56伤害6序列升级7金币生成8技能9卖塔a基础对甲
77	11632 25142	   	226.71	紫3攻速3基地爆炸2伤害	17a攻速2核379基地爆炸4a掉矿5挖尘67伤害7a序列升级8a低血量敌人
78	11632 25342	   	226.71	紫3攻速3基地爆炸2伤害	17a攻速2核378基地爆炸4a掉矿5挖尘67伤害7a序列升级9a最后敌人
79	11632 25141	   	226.61	紫3攻速3基地爆炸2伤害	17a攻速2核379基地爆炸4掉矿5挖尘67伤害7序列升级8低血量敌人
80	11632 25341	   	226.61	紫3攻速3基地爆炸2伤害	17a攻速2核378基地爆炸4掉矿5挖尘67伤害7序列升级9最后敌人
81	11632 25361	   	226.61	紫3伤害3基地爆炸2攻速	17攻速2核378基地爆炸4掉矿5挖尘679伤害7序列升级a矿等
82	11614 35331	 * 	226.61	紫1基础对甲2基地爆炸1伤害1攻速1暴击	1攻速2核39基地爆炸4低血量敌人5雷电6策反7伤害8基础对甲a暴击
83	11632 25333	   	226.51	紫3伤害3基地爆炸2攻速	17攻速2核378基地爆炸4掉矿5挖尘67a伤害7序列升级9双倍秒伤
84	11632 25363	   	226.51	紫3伤害3基地爆炸2攻速	17攻速2核378基地爆炸4掉矿5挖尘679伤害7序列升级a核弹
85	11651 31612	   	226.29	紫1基础对甲2易伤1伤害1攻速1基地爆炸1技能	1攻速2核3基地爆炸4伤害5a易伤6火球减费7金币生成8技能9基础对甲
86	11221 26342	 * 	225.99	紫3攻速1基础对甲2基地爆炸1卖塔	147攻速2核3卖塔57基地爆炸6随机矿7序列升级8雷电9立即金币a基础对甲
87	11125 41234	   	224.85	紫2基础对甲2伤害1攻速1技能	1攻速2核3技能点4额外掉落5敌人爆炸68基础对甲79伤害a技能
88	11126 41234	   	224.85	紫2基础对甲2伤害1攻速1技能	1攻速2核3技能点4额外掉落5时间68基础对甲79伤害a技能
89	11111 43643	 * 	224.03	紫1基础对甲2攻速2基地爆炸1暴击	1a攻速2核3技能点4平台58基地爆炸6雷电7暴击9基础对甲
90	11126 41133	   	223.91	紫1基础对甲2伤害1攻速1基地爆炸1技能	1攻速2核3技能点4额外掉落5时间6基础对甲79伤害8技能a基地爆炸
91	11526 41133	   	223.91	紫1基础对甲2伤害1攻速1基地爆炸1技能	1攻速2核3掉矿4额外掉落5时间6基础对甲79伤害8技能a基地爆炸
92	11221 53561	 * 	223.77	紫1基础对甲2攻速1伤害1基地爆炸1技能1卖塔	14攻速2核3卖塔5基地爆炸6金币生成7伤害8技能9敌人爆炸a基础对甲
93	11221 53531	 * 	223.67	紫1基础对甲2攻速1伤害1基地爆炸1技能1卖塔	14攻速2核3卖塔5基地爆炸6金币生成7伤害8技能9挖尘a基础对甲
94	11263 53531	 * 	223.67	紫1基础对甲2攻速1伤害1基地爆炸1技能1卖塔	15攻速2核3卖塔4金币生成6基地爆炸7伤害8技能9挖尘a基础对甲
95	11221 23542	   	223.61	紫3攻速2伤害2基地爆炸1技能1卖塔	14a攻速2核3卖塔5a基地爆炸69随机矿7a伤害8技能a序列升级
96	11615 12312	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48a低血量敌人568伤害68序列升级7双倍秒伤9易伤
97	11615 12315	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9易伤a雷电
98	11615 12334	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9最后敌人a易伤
99	11625 12312	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9易伤a低血量敌人
100	11625 12313	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48a敌人爆炸568伤害68序列升级7双倍秒伤9易伤
101	11625 12315	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9易伤a雷电
102	11625 12334	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9最后敌人a易伤
103	11645 12312	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48最后敌人568伤害68序列升级7双倍秒伤9易伤a低血量敌人
104	11645 12313	   	223.30	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48最后敌人568伤害68序列升级7双倍秒伤9易伤a敌人爆炸
105	11615 12313	   	223.20	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9易伤a等级
106	11615 12316	   	223.20	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9易伤a挖尘
107	11615 12324	   	223.20	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9掉矿a易伤
108	11625 12316	   	223.20	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9易伤a挖尘
109	11625 12324	   	223.20	紫3伤害3攻速1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9掉矿a易伤
110	11325 16161	   	223.20	紫3伤害3攻速1基地爆炸	169攻速2核3最后敌人4基地爆炸568伤害6序列升级7易伤a低血量敌人
111	11325 16162	   	223.20	紫3伤害3攻速1基地爆炸	169攻速2核3最后敌人4基地爆炸568伤害6序列升级7易伤a立即金币
112	11315 12314	   	222.67	紫3伤害3攻速2易伤	168攻速2核3最后敌人48低血量敌人568伤害68序列升级7双倍秒伤9a易伤
113	11611 31415	   	222.65	紫1基础对甲2攻速1基础对冰1基地爆炸	15攻速2核3基地爆炸47低血量敌人6易伤8金币生成9基础对甲a基础对冰
114	11321 32415	   	222.65	紫1基础对甲2攻速1基础对冰1基地爆炸	15攻速2核37最后敌人4基地爆炸6易伤8金币生成9基础对甲a基础对冰
115	11321 33415	   	222.65	紫1基础对甲2攻速1基础对冰1基地爆炸	15攻速2核3最后敌人4基地爆炸6易伤7双倍矿8金币生成9基础对甲a基础对冰
116	11331 56116	   	222.55	紫1基础对甲2伤害1攻速1基地爆炸	1攻速2核3最后敌人4掉矿5易伤6随机矿78伤害9基础对甲a基地爆炸
117	11625 12263	   	222.28	紫3攻速2伤害2基地爆炸	169攻速2核3a基地爆炸4敌人爆炸56伤害6序列升级7双倍秒伤8易伤
118	11325 12263	   	222.28	紫3攻速2伤害2基地爆炸	169攻速2核3最后敌人4a基地爆炸56伤害6序列升级7双倍秒伤8易伤
119	11311 32415	   	222.02	紫1基础对甲2攻速1基础对冰2易伤	15攻速2核3最后敌人4低血量敌人67易伤8金币生成9基础对甲a基础对冰
120	11615 16111	   	221.20	紫3伤害2攻速1全技能1基地爆炸	16攻速2核3基地爆炸4低血量敌人568伤害6序列升级7易伤9策反a全技能
121	11625 15323	   	221.20	紫3伤害2攻速1全技能1基地爆炸	16攻速2核3基地爆炸4敌人爆炸569伤害6序列升级7全技能8易伤a时间
122	11325 16111	   	221.20	紫3伤害2攻速1全技能1基地爆炸	16攻速2核3最后敌人4基地爆炸568伤害6序列升级7易伤9策反a全技能
