0	Index      	 *	Score 	Summary	Detail	
1	53212 46213	 * 	268.89	橙橙2易伤1等级1全技能	1等级2立即金币35易伤4暴雪减费6金币生成7a核8全技能9双倍矿
32	15222 34153	   	242.59	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5火球减费6最后敌人7a核9随机矿
33	16313 35111	   	242.59	橙橙2易伤1暴击	1暴击2雷电34易伤5低血量敌人6平台7暴雪减费8a核9双倍秒伤
34	33212 46213	   	242.59	橙橙2易伤1全技能	1掉矿2立即金币35易伤4风暴减费6金币生成7a核8全技能9双倍矿
35	33252 46213	   	242.59	橙橙2易伤1全技能	14掉矿2立即金币35易伤6金币生成7a核8全技能9双倍矿
36	33262 46213	   	242.59	橙橙2易伤1全技能	1掉矿2立即金币35易伤4火球减费6金币生成7a核8全技能9双倍矿
37	42313 12111	   	242.59	橙橙2易伤1暴击	1暴雪减费2平台3雷电46易伤5最后敌人7暴击8a核9双倍秒伤
38	42314 12111	   	242.59	橙橙2易伤1暴击	1暴雪减费2平台3雷电46易伤5低血量敌人7暴击8a核9双倍秒伤
39	15231 24113	   	242.59	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸4双倍矿58易伤6低血量敌人7a核9掉矿
40	15231 34113	   	242.59	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸4双倍矿58易伤6最后敌人7a核9掉矿
41	52161 33413	 * 	242.58	紫橙1易伤1等级1伤害1时间1全技能1技能	1等级2技能3伤害4a核5基地爆炸6时间7敌人爆炸8全技能9易伤
42	15222 24113	   	242.49	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5火球减费6低血量敌人7a核9掉矿
43	15222 34113	   	242.49	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5火球减费6最后敌人7a核9掉矿
44	15224 14113	   	242.49	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5技能点6金币生成7a核9掉矿
45	16312 35111	   	242.49	橙橙2易伤1暴击	1暴击2雷电34易伤5雷电减费6平台7暴雪减费8a核9双倍秒伤
46	42312 32111	   	242.49	橙橙1易伤1等级1暴击	1暴雪减费2平台3雷电4易伤5等级6掉矿7暴击8a核9双倍秒伤
47	51621 23135	 * 	242.43	橙4易伤2等级1时间	14等级2基地爆炸3时间5689易伤7攻速a核
48	55321 23135	   	242.43	橙4易伤2等级1时间	14等级2时间3基地爆炸5689易伤7攻速a核
49	14531 24113	   	242.39	橙橙2易伤1暴击	1暴击2技能点3双倍秒伤4金币生成58易伤6挖尘7a核9掉矿
