0	Index      	 *	Score 	Summary	Detail	
1	63523 32163	 * 	302.25	DCR|DCR|2VULN|1TLV|1AEFBLL	1AEFBLL|2SNIFST|34AME|5RAT|6TLV|7aRCR|89VULN
52	42227 21414	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9RCR|aCGEN
53	42227 21416	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9RCR|aDMSP
54	42227 21418	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9RCR|aAAC
55	42227 21431	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9FEWX|aRCR
56	42257 21411	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4BEXP|5CDMG|678ASPD|78BPWR|9RCR|aLHND
57	42257 21413	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4BEXP|5CDMG|678ASPD|78BPWR|9RCR|aRMIN
58	42257 21421	   	274.56	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4BEXP|5CDMG|678ASPD|78BPWR|9LHND|aRCR
59	42217 21411	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LWND|5CDMG|678ASPD|78BPWR|9RCR|aLEGI
60	42217 21415	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LWND|5CDMG|678ASPD|78BPWR|9RCR|aDUST
61	42217 21421	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LWND|5CDMG|678ASPD|78BPWR|9LEGI|aRCR
62	42227 21411	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9RCR|aLEGI
63	42227 21415	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9RCR|aDUST
64	42227 21421	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4LHND|5CDMG|678ASPD|78BPWR|9LEGI|aRCR
65	42257 21414	   	274.46	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|378VULN|4BEXP|5CDMG|678ASPD|78BPWR|9RCR|aDUST
66	32216 13212	   	274.45	DCR|2TLV|2VULN|2DMG	1LIT|28VULN|3MLV|4CGEN|58DMG|6BEXP|78TLV|8BPWR|9RAT|aRCR
67	32216 33212	   	274.45	DCR|2TLV|2VULN|2DMG	1LIT|28VULN|3MLV|4CGEN|58DMG|6FEWX|78TLV|8BPWR|9RAT|aRCR
68	32266 13212	   	274.35	DCR|2TLV|2VULN|2DMG	1LIT|28VULN|3MLV|4ERES|58DMG|6BEXP|78TLV|8BPWR|9RAT|aRCR
69	32266 33212	   	274.35	DCR|2TLV|2VULN|2DMG	1LIT|28VULN|3MLV|4ERES|58DMG|6FEWX|78TLV|8BPWR|9RAT|aRCR
70	25531 23332	   	274.32	DCR|3VULN|2TLV|1DMG	1aDUST|2DMG|3AAC|49aVULN|5ERES|6LIT|7aTLV|8RCR|aBPWR
71	43222 63533	   	274.25	DCR|2TLV|2VULN|2DMG	14DMG|2ZMB|38TLV|5LHND|6RCVC|7RCR|9aVULN
72	43221 52412	   	273.17	DCR|2TLV|3DMG|1VULN|3ZMB	148DMG|258ZMB|3aTLV|6VULN|78LHND|8BPWR|9RCR
73	43221 51412	   	272.97	DCR|2TLV|3DMG|1VULN|3ZMB	148DMG|258ZMB|3aTLV|6VULN|78DUST|8BPWR|9RCR
74	24512 23233	   	272.59	ACR|DCR|1TLV|1VULN|1ASPD|2RAT	1DUST|2aRAT|3FEWX|47RCR|5RCVC|6TLV|8ASPD|9VULN
75	24512 23336	   	272.39	ACR|DCR|1TLV|1VULN|1DMG	1DUST|2RAT|38FEWX|47RCR|5RCVC|6TLV|9VULN|aDMG
76	55222 35222	   	272.39	DCR|DCR|1TLV|1VULN|1AEFBLL	1RPLT|2ZMB|3VULN|4FEWX|5TLV|6AETHUN|79RCR|8FLTFST|aAEFBLL
77	63523 32153	   	272.39	DCR|DCR|1TLV|1VULN|1AEFBLL	1AEFBLL|2SNIFST|34AME|5RAT|6TLV|7aRCR|8VULN|9DMSP
78	63563 32133	   	272.29	DCR|DCR|1TLV|1VULN|1AEFBLL	1AEFBLL|2SNIFST|39AME|4AEFRZ|5RAT|6TLV|7aRCR|8VULN
