0	Index      	 *	Score 	Summary	Detail	
1	21452 16233	 * 	292.26	ACR|DCR|2TLV|1VULN|1AART|1DUR	1LHND|2DUR|39RCR|4VULN|5LEGI|67TLV|8RPLT|aAART
22	66113 12162	   	272.77	DCR|3VULN|1TLV|1DMG|1ASPD|1AART	1ERES|2AART|3DMG|4TLV|5LHND|6ASPD|7RCR|89aVULN
23	66115 23131	   	272.67	ACR|3VULN|1TLV|1DMG|1CDMG|1AART	1ERES|2AART|3DMG|4TLV|5RCR|68aVULN|7CDMG|9MDPS
24	22456 12322	 * 	272.49	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2BEXP|36RCR|4VULN|5RAT|7AME|8DMG|9TLV|aCGEN
25	22456 12323	   	272.49	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2BEXP|36RCR|4VULN|5RAT|7AME|8DMG|9TLV|aAAC
26	22456 12321	   	272.39	ACR|DCR|1TLV|1VULN|1DMG|1MSE	1LHND|2BEXP|36RCR|4VULN|5RAT|7AME|8DMG|9TLV|aMSE
27	24522 23152	   	272.30	ACR|3VULN|2TLV|1AART	1LHND|2RAT|37aVULN|46TLV|5RCR|8CGEN|9AART
28	22452 16331	   	271.59	ACR|DCR|2TLV|1VULN	1LHND|2BEXP|39RCR|4VULN|5LEGI|67TLV|8RPLT|aCGEN
29	22452 16332	   	271.59	ACR|DCR|2TLV|1VULN	1LHND|2BEXP|39RCR|4VULN|5LEGI|67TLV|8RPLT|aFEWX
30	33316 31452	   	271.42	DCR|3VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2DUST|3ASPD|4LHND|56aVULN|7DMG|8RCR|9TLV
31	33326 31452	   	271.42	DCR|3VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2DUST|3ASPD|4FEWX|56aVULN|7DMG|8RCR|9TLV
32	34613 31324	   	271.32	DCR|3VULN|1TLV|1DMG|2RAT|1DUR	1DUR|23RAT|4LSRHEA|57aVULN|6DMG|8TLV|9RCR
33	52522 36232	 * 	271.29	ACR|DCR|2TLV|2DMG	1DMSP|2AETHUN|3aRCR|46DMG|56AIRHEL|6BPWR|7DUST|89TLV
34	52523 36232	   	271.29	ACR|DCR|2TLV|2DMG	1DMSP|2AETHUN|3aRCR|46DMG|56MULARM|6BPWR|7DUST|89TLV
35	34165 11222	   	271.26	DCR|2VULN|1TLV|2DMG|1ASPD|1DUR	1DUR|2RAT|3ASPD|49DMG|5BLASTR|6TLV|7aVULN|8RCR
36	21222 23652	 * 	271.19	ACR|2VULN|1TLV|1DMG|1AEBURN|1AART|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|6AEBURN|7aVULN|8AART|9DMG
37	34322 23652	   	271.19	ACR|2VULN|1TLV|1DMG|1AEBURN|1AART|1DUR	1DUR|2RAT|3LHND|4TLV|5RCR|6AEBURN|7aVULN|8AART|9DMG
38	36222 23652	   	271.19	ACR|2VULN|1TLV|1DMG|1AEBURN|1AART|1DUR	1DUR|2LHND|3RAT|4TLV|5RCR|6AEBURN|7aVULN|8AART|9DMG
39	32311 61634	 * 	270.73	DCR|2VULN|1TLV|2DMG|1AEBURN|1DUR	1DUR|26DMG|3AEBURN|4aVULN|5LHND|7TLV|8AETHUN|9RCR
40	32313 61634	   	270.73	DCR|2VULN|1TLV|2DMG|1AEBURN|1DUR	1DUR|26DMG|3AEBURN|4aVULN|5DUST|7TLV|8BEXP|9RCR
41	24522 11134	   	269.69	ACR|4VULN|1TLV|1ASPD	1LHND|2RAT|378aVULN|4TLV|5RCR|6LSRICY|9ASPD
42	24522 11151	   	269.69	ACR|4VULN|1TLV|1CDMG	1LHND|2RAT|3789VULN|4TLV|5RCR|6LSRICY|aCDMG
43	33222 41162	   	269.30	ACR|3VULN|1TLV|1ASPD|1AART|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|67aVULN|8ASPD|9AART
44	31332 31323	 * 	269.23	DCR|2VULN|1TLV|1AEFBLL|1DMG|2DUR	12DUR|37VULN|4VENTOX|5RAT|6DMG|8TLV|9RCR|aAEFBLL
45	31513 31323	   	269.13	DCR|2VULN|1TLV|1AEFBLL|1DMG|2DUR	12DUR|3RAT|4LSRHEA|57VULN|6DMG|8TLV|9RCR|aAEFBLL
46	32361 13452	   	269.13	DCR|2VULN|1TLV|1DMG|1AEBURN|2DUR	14DUR|2DMG|3AEBURN|5aVULN|6ZMB|7MDPS|8RCR|9TLV
47	21456 13131	   	268.70	ACR|DCR|1TLV|1VULN|1CDMG|1DUR	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8FEWX|aCGEN
48	21456 13132	   	268.70	ACR|DCR|1TLV|1VULN|1CDMG|1DUR	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8FEWX|aBEXP
49	21456 13133	   	268.70	ACR|DCR|1TLV|1VULN|1CDMG|1DUR	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8FEWX|aDMSP
50	21456 13134	   	268.60	ACR|DCR|1TLV|1VULN|1CDMG|1DUR|1MSE	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8FEWX|aMSE
51	21456 13231	   	268.60	ACR|DCR|1TLV|1VULN|1CDMG|1DUR	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8DUST|aCGEN
52	21456 13232	   	268.60	ACR|DCR|1TLV|1VULN|1CDMG|1DUR	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8DUST|aFEWX
53	21456 13233	   	268.60	ACR|DCR|1TLV|1VULN|1CDMG|1DUR	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8DUST|aDMSP
54	21161 34236	   	268.53	DCR|2TLV|2VULN|1DMG|2DUR	1LHND|2aDUR|3DMG|4CGEN|5aVULN|6RMIN|7RCR|8DUST|9aTLV|aBPWR
55	66115 21233	 * 	268.52	ACR|2TLV|1VULN|2DMG|1AEPOI|1AART	1aERES|2AART|37DMG|4aTLV|5RCR|6VULN|8AEPOI|9aFEWX|aBPWR
56	21456 13234	   	268.50	ACR|DCR|1TLV|1VULN|1CDMG|1DUR|1MSE	1LHND|2DUR|39RCR|4VULN|5MBVNT|6TLV|7CDMG|8DUST|aMSE
57	24522 23211	   	268.23	ACR|3VULN|2TLV	1LHND|2RAT|37aVULN|46TLV|5RCR|8ZMB|9MLV
58	24522 23324	   	268.13	ACR|3VULN|2TLV	1LHND|2RAT|379VULN|46TLV|5RCR|8LEGI|aFRZARM
59	24522 23234	   	268.13	ACR|3VULN|2TLV	1LHND|2RAT|37aVULN|46TLV|5RCR|8ZMB|9LSRREG
60	56632 31213	   	267.90	DCR|3VULN|2TLV|1ASPD	1DMSP|2AEWIND|37TLV|4ASPD|568VULN|9BEXP|aRCR
61	24522 23326	   	267.80	ACR|3VULN|2TLV|2RAT	1LHND|2aRAT|379VULN|46TLV|5RCR|8LEGI
62	52522 14332	 * 	267.64	ACR|DCR|1TLV|1VULN|2DMG|1MSE	1DMSP|2AETHUN|3aRCR|47DMG|5AIRHEL|6MSE|8VULN|9TLV
63	52523 14332	 * 	267.64	ACR|DCR|1TLV|1VULN|2DMG|1MSE	1DMSP|2AETHUN|3aRCR|47DMG|5MULARM|6MSE|8VULN|9TLV
64	66113 62132	   	267.57	DCR|2TLV|2VULN|1DMG|1AART	1ERES|2AART|3DMG|49TLV|5LHND|6ZMB|7RCR|8aVULN
65	66116 12132	   	267.57	DCR|2TLV|2VULN|1DMG|1AART	1ERES|2AART|3DMG|49TLV|5ZMB|6LHND|7RCR|8aVULN
66	32311 11452	   	266.90	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1DUR|2DMG|3AEBURN|4aVULN|5LHND|6BEXP|7ASPD|8RCR|9TLV
67	24522 23531	   	266.85	ACR|2TLV|2VULN|1ASPD|1DUR	1LHND|2RAT|37VULN|46TLV|5RCR|8FRZICY|9ASPD|aDUR
68	41216 22236	   	266.80	DCR|2VULN|1TLV|1AEFBLL|1DMG|1CDMG|1DUR	1AIRHEL|2CDMG|3DUR|4AEFBLL|57VULN|6DMG|8LHND|9TLV|aRCR
69	32313 11452	   	266.80	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1DUR|2DMG|3AEBURN|4aVULN|5DUST|6BEXP|7ASPD|8RCR|9TLV
70	32313 31452	   	266.80	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1DUR|2DMG|3AEBURN|4aVULN|5DUST|6FEWX|7ASPD|8RCR|9TLV
71	34613 31323	   	266.70	DCR|2VULN|1TLV|1AEFBLL|1DMG|2RAT|1DUR	1DUR|23RAT|4LSRHEA|57VULN|6DMG|8TLV|9RCR|aAEFBLL
72	31162 54111	 * 	266.35	ACR|3VULN|1TLV|3DUR|1AART	124DUR|3AART|5RCR|68aVULN|7BEXP|9TLV
73	21222 41422	 * 	266.32	ACR|2TLV|2VULN|1DMG|1DUR	1LHND|2DUR|3RAT|4aTLV|5RCR|67VULN|8BEXP|9DMG
74	34322 41422	   	266.32	ACR|2TLV|2VULN|1DMG|1DUR	1DUR|2RAT|3LHND|4aTLV|5RCR|67VULN|8BEXP|9DMG
75	36222 41422	   	266.32	ACR|2TLV|2VULN|1DMG|1DUR	1DUR|2LHND|3RAT|4aTLV|5RCR|67VULN|8BEXP|9DMG
76	21222 41151	 * 	266.22	ACR|2VULN|1TLV|2ASPD|1AEPOI|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|67VULN|89ASPD|aAEPOI
77	21222 41154	 * 	266.22	ACR|2VULN|1TLV|2ASPD|1DMG|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|67VULN|89ASPD|aDMG
78	34322 41151	   	266.22	ACR|2VULN|1TLV|2ASPD|1AEPOI|1DUR	1DUR|2RAT|3LHND|4TLV|5RCR|67VULN|89ASPD|aAEPOI
79	36222 41151	   	266.22	ACR|2VULN|1TLV|2ASPD|1AEPOI|1DUR	1DUR|2LHND|3RAT|4TLV|5RCR|67VULN|89ASPD|aAEPOI
80	24322 41622	   	266.22	ACR|2TLV|2VULN|1DMG|1DUR	1LHND|2RAT|3LEGI|4aTLV|5RCR|67VULN|8DUR|9DMG
81	33222 41422	   	266.22	ACR|2TLV|2VULN|1DMG|1DUR	1DUR|2DUST|3RAT|4aTLV|5RCR|67VULN|8BEXP|9DMG
82	33222 41151	   	266.12	ACR|2VULN|1TLV|2ASPD|1AEPOI|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|67VULN|89ASPD|aAEPOI
83	33222 41154	   	266.12	ACR|2VULN|1TLV|2ASPD|1DMG|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|67VULN|89ASPD|aDMG
84	66115 22222	   	266.06	ACR|3VULN|1TLV|1DMG|1AART	1ERES|2AART|3DMG|4TLV|5RCR|68aVULN|7RAT|9MLV
85	53452 32213	 * 	265.70	DCR|3VULN|1TLV|2DMG	1DMSP|27DMG|3AEFRZ|4TLV|568VULN|9BEXP|aRCR
86	21222 41232	   	265.70	ACR|4VULN|1TLV|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|679aVULN|8BASICY
87	21222 41532	   	265.70	ACR|4VULN|1TLV|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|679aVULN|8MULFIG
88	33222 41621	   	265.70	ACR|4VULN|1TLV|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|679aVULN|8DMSP
89	34322 41232	   	265.70	ACR|4VULN|1TLV|1DUR	1DUR|2RAT|3LHND|4TLV|5RCR|679aVULN|8BASICY
90	34322 41532	   	265.70	ACR|4VULN|1TLV|1DUR	1DUR|2RAT|3LHND|4TLV|5RCR|679aVULN|8MULFIG
91	36222 41232	   	265.70	ACR|4VULN|1TLV|1DUR	1DUR|2LHND|3RAT|4TLV|5RCR|679aVULN|8BASICY
92	36222 41532	   	265.70	ACR|4VULN|1TLV|1DUR	1DUR|2LHND|3RAT|4TLV|5RCR|679aVULN|8MULFIG
93	33222 41232	   	265.60	ACR|4VULN|1TLV|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|679aVULN|8BASICY
94	33222 41532	   	265.60	ACR|4VULN|1TLV|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|679aVULN|8MULFIG
95	34522 41232	   	265.60	ACR|4VULN|1TLV|1DUR	1DUR|2RAT|3DUST|4TLV|5RCR|679aVULN|8BASICY
96	66115 21131	 * 	265.56	ACR|2VULN|1TLV|2DMG|1CDMG|1AART	1ERES|2AART|37DMG|4TLV|5RCR|6aVULN|8CDMG|9MDPS
97	56632 31313	 * 	265.32	DCR|2TLV|2VULN|2ASPD|1DUR	1DMSP|2AEWIND|37TLV|49ASPD|56VULN|8DUR|aRCR
98	21222 41453	 * 	264.81	ACR|3VULN|1TLV|1AEPOI|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|67aVULN|8BEXP|9AEPOI
99	35332 31324	   	264.81	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2DMSP|37aVULN|4VENTOX|5RAT|6DMG|8TLV|9RCR
100	21222 23232	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8BASICY
101	21222 23532	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8MULFIG
102	33222 23621	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8DMSP
103	33222 41453	   	264.71	ACR|3VULN|1TLV|1AEPOI|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|67aVULN|8BEXP|9AEPOI
104	34322 23232	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2RAT|3LHND|4TLV|5RCR|6AEBURN|79aVULN|8BASICY
105	34322 23532	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2RAT|3LHND|4TLV|5RCR|6AEBURN|79aVULN|8MULFIG
106	34522 23621	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2RAT|3DUST|4TLV|5RCR|6AEBURN|79aVULN|8DMSP
107	36222 23232	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2LHND|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8BASICY
108	36222 23532	   	264.71	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2LHND|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8MULFIG
109	35513 31324	   	264.71	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2DMSP|3RAT|4LSRHEA|57aVULN|6DMG|8TLV|9RCR
110	33222 23162	   	264.67	ACR|2VULN|1TLV|1AEBURN|1ASPD|1AART|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|6AEBURN|7aVULN|8ASPD|9AART
111	34522 23162	   	264.67	ACR|2VULN|1TLV|1AEBURN|1ASPD|1AART|1DUR	1DUR|2RAT|3DUST|4TLV|5RCR|6AEBURN|7aVULN|8ASPD|9AART
112	33222 23232	   	264.61	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8BASICY
113	33222 23532	   	264.61	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2DUST|3RAT|4TLV|5RCR|6AEBURN|79aVULN|8MULFIG
114	34522 23232	   	264.61	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2RAT|3DUST|4TLV|5RCR|6AEBURN|79aVULN|8BASICY
115	34522 23532	   	264.61	ACR|3VULN|1TLV|1AEBURN|1DUR	1DUR|2RAT|3DUST|4TLV|5RCR|6AEBURN|79aVULN|8MULFIG
116	24553 22312	 * 	264.07	ACR|2VULN|1TLV|1AEFBLL|1DMG|1CDMG	1LHND|2RAT|3aVULN|4RCR|5DMG|6TLV|7CDMG|8MSLTOX|9AEFBLL
117	24522 23221	 * 	263.60	ACR|2TLV|2VULN|1AEPOI	1LHND|2RAT|37VULN|46TLV|5RCR|8ZMB|9LWND|aAEPOI
118	24522 23224	   	263.60	ACR|2TLV|2VULN|1DMG	1LHND|2RAT|37VULN|46TLV|5RCR|8ZMB|9LWND|aDMG
119	32311 11455	 * 	263.24	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1DUR	1DUR|2DMG|3AEBURN|4VULN|5LHND|6BEXP|7ASPD|8RCR|9aTLV
120	32313 11455	   	263.14	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1DUR	1DUR|2DMG|3AEBURN|4VULN|5DUST|6BEXP|7ASPD|8RCR|9aTLV
121	32313 31455	   	263.14	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1DUR	1DUR|2DMG|3AEBURN|4VULN|5DUST|6FEWX|7ASPD|8RCR|9aTLV
122	31115 26232	 * 	263.12	DCR|2TLV|1VULN|1AEFBLL|2DUR|1ASPD|1AART	12DUR|3AART|47TLV|5MDPS|6ASPD|8AEFBLL|9RCR|aVULN
123	22222 41532	   	263.08	ACR|4VULN|1TLV	1LHND|2BEXP|3RAT|4TLV|5RCR|679aVULN|8FRZICY
124	24522 43211	   	263.08	ACR|4VULN|1TLV	1LHND|2RAT|367aVULN|4TLV|5RCR|8ZMB|9MLV
125	21222 41111	   	262.81	ACR|2VULN|1TLV|1AEPOI|2DUR|1ASPD	1LHND|29DUR|3RAT|4TLV|5RCR|67VULN|8ASPD|aAEPOI
126	21222 41114	   	262.81	ACR|2VULN|1TLV|1DMG|2DUR|1ASPD	1LHND|29DUR|3RAT|4TLV|5RCR|67VULN|8ASPD|aDMG
127	34322 41111	   	262.81	ACR|2VULN|1TLV|1AEPOI|2DUR|1ASPD	19DUR|2RAT|3LHND|4TLV|5RCR|67VULN|8ASPD|aAEPOI
128	34322 41114	   	262.81	ACR|2VULN|1TLV|1DMG|2DUR|1ASPD	19DUR|2RAT|3LHND|4TLV|5RCR|67VULN|8ASPD|aDMG
129	36222 41111	   	262.81	ACR|2VULN|1TLV|1AEPOI|2DUR|1ASPD	19DUR|2LHND|3RAT|4TLV|5RCR|67VULN|8ASPD|aAEPOI
130	36222 41114	   	262.81	ACR|2VULN|1TLV|1DMG|2DUR|1ASPD	19DUR|2LHND|3RAT|4TLV|5RCR|67VULN|8ASPD|aDMG
131	33222 41111	   	262.71	ACR|2VULN|1TLV|1AEPOI|2DUR|1ASPD	19DUR|2DUST|3RAT|4TLV|5RCR|67VULN|8ASPD|aAEPOI
132	33222 41114	   	262.71	ACR|2VULN|1TLV|1DMG|2DUR|1ASPD	19DUR|2DUST|3RAT|4TLV|5RCR|67VULN|8ASPD|aDMG
133	34522 41111	   	262.71	ACR|2VULN|1TLV|1AEPOI|2DUR|1ASPD	19DUR|2RAT|3DUST|4TLV|5RCR|67VULN|8ASPD|aAEPOI
134	21222 41642	   	262.69	ACR|3VULN|1TLV|1AART|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|67aVULN|8AART|9ZMB
135	24522 11152	   	262.65	ACR|4VULN|1TLV|2RAT	1LHND|2aRAT|3789VULN|4TLV|5RCR|6LSRICY
136	21452 13351	   	262.36	ACR|3VULN|1TLV|1CDMG|1AART|1DUR	1LHND|2DUR|3RCR|48aVULN|5LEGI|6TLV|7CDMG|9AART
137	25615 31123	 * 	262.32	DCR|2VULN|1TLV|2DMG|2AART	1aLHND|29AART|3AETHUN|4aDMG|5DUST|6TLV|7aVULN|8RCR|aBPWR
138	24522 11332	   	262.29	ACR|3VULN|1TLV|1ASPD|1CDMG	1LHND|2RAT|37aVULN|4TLV|5RCR|6LSRICY|8CDMG|9ASPD
139	33221 53525	 * 	262.29	DCR|3VULN|1TLV|3DUR	168DUR|28DUST|3RAT|4TLV|5RPLT|789VULN|8BPWR|aRCR
