0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36133 13613	7	 * 	300.71	橙4易伤3等级3时间2攻速	1689易伤29攻速389等级458时间7随机矿89序列升级a核
43	36133 14215	6	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a矿等
44	36133 24212	5	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a最后敌人
45	36133 24213	5	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a金币生成
46	36133 24214	5	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a低血量敌人
47	36133 24215	5	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a矿等
48	36133 14216	6	   	271.62	橙3易伤3等级3时间	169易伤2攻速39a等级459时间7核8平台9序列升级
49	36133 24216	5	   	271.62	橙3易伤3等级3时间	169易伤2攻速39a等级459时间7核8平台9序列升级
50	26323 61231	1	 * 	271.45	橙2易伤2等级2伤害2时间	1最后敌人2a等级3攻速45伤害6a时间7核8敌人爆炸9a易伤a序列升级
51	36133 47331	5	   	271.35	橙2易伤2等级2伤害2时间	1a易伤2攻速3a等级45时间6加一7核8低血量敌人9a伤害a序列升级
52	31661 41311	8	 * 	271.20	橙3易伤2时间1等级1伤害2暴击	13a易伤2平台3a序列升级4伤害5a暴击6敌人爆炸7核8等级9a时间
53	53342 34312	10	   	270.99	橙4易伤2等级2时间1卖塔	17时间2卖塔3额外掉落4678易伤57等级7序列升级9基地爆炸a核
