0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21136 43421	9	 * 	302.81	橙5易伤2等级3时间	12458易伤389时间6平台78等级8序列升级a核
48	21122 33431	10	 * 	276.65	橙4易伤3时间2伤害1卖塔	126a易伤38a时间4平台5a伤害7卖塔9核a序列升级
49	21162 24361	6	   	276.52	橙4易伤2等级1伤害1时间	1289易伤3时间49等级59掉矿6立即金币7核9序列升级a伤害
50	22162 34361	6	   	276.52	橙4易伤2等级1伤害1时间	1689易伤2双倍矿3时间49等级59掉矿7核9序列升级a伤害
51	21133 35522	4	   	275.01	橙4易伤3时间1等级	1245易伤356时间5序列升级7等级8全技能9最后敌人a核
52	21133 35551	4	   	275.01	橙4易伤3时间1等级	1245易伤356时间5序列升级7等级8全技能9金币生成a核
53	21133 35562	4	   	275.01	橙4易伤3时间1等级	1245易伤356时间5序列升级7等级8全技能9基地爆炸a核
54	21131 64362	4	   	275.00	橙5易伤2等级1时间	12489易伤3时间59矿等69等级7核9序列升级a金币生成
55	21131 64363	4	   	275.00	橙5易伤2等级1时间	12489易伤3时间59矿等69等级7核9序列升级a随机矿
56	21133 64362	5	   	275.00	橙5易伤2等级1时间	12489易伤3时间59a金币生成69等级7核9序列升级
57	21333 45363	3	   	275.00	橙5易伤2等级1时间	12689易伤39金币生成4时间5最后敌人79等级9序列升级a核
58	21133 35532	4	   	274.91	橙4易伤3时间1等级	1245易伤356时间5序列升级7等级8全技能9挖尘a核
59	21131 64361	4	   	274.90	橙5易伤2等级1时间	12489易伤3时间59矿等69等级7核9序列升级a挖尘
60	21133 64361	5	   	274.90	橙5易伤2等级1时间	12489易伤3时间59金币生成69等级7核9序列升级a挖尘
61	21162 34362	6	   	274.80	橙5易伤2等级1时间	12689易伤3时间49等级59掉矿7核9序列升级a金币生成
62	21162 34363	6	   	274.80	橙5易伤2等级1时间	12689易伤3时间49等级59掉矿7核9序列升级a随机矿
63	21162 34361	6	   	274.70	橙5易伤2等级1时间	12689易伤3时间49等级59掉矿7核9序列升级a挖尘
64	26131 52413	5	   	274.59	橙4易伤2时间1伤害2雷电1暴击	1489易伤28时间3暴击5敌人爆炸68雷电7核8序列升级a伤害
65	26131 52413	4	   	274.59	橙4易伤2时间1伤害2雷电1暴击	1489易伤28时间3暴击5最后敌人68雷电7核8序列升级a伤害
66	26132 52413	5	   	274.59	橙4易伤2时间1伤害2雷电1暴击	1489易伤28时间3暴击5最后敌人68雷电7核8序列升级a伤害
67	26133 52413	4	   	274.59	橙4易伤2时间1伤害2雷电1暴击	1489易伤28时间3暴击5基地爆炸68雷电7核8序列升级a伤害
68	26112 22413	3	   	274.49	橙4易伤2时间1伤害2雷电1暴击	1689易伤28时间3暴击4挖尘58雷电7核8序列升级a伤害
69	21122 33515	5	   	274.35	橙4易伤2时间2暴击1伤害	128a易伤38时间4平台5伤害6雷电78暴击8序列升级9核
70	21533 35331	3	   	273.75	橙5易伤1等级1时间	12368易伤3序列升级4雷电5全技能7等级9核a时间
71	21136 32521	5	   	273.74	橙5易伤3时间2攻速	12458易伤368时间78攻速8序列升级9平台a核
72	21136 32551	5	   	273.74	橙5易伤3时间2攻速	12458易伤368时间78攻速8序列升级9额外掉落a核
73	21122 61261	6	   	273.15	橙3易伤2等级2伤害1时间1核弹	129易伤3时间4平台59伤害69等级7核弹8核9序列升级a策反
74	21122 61262	6	   	273.15	橙3易伤2等级2伤害1时间1核弹	129易伤3时间4平台59伤害69等级7核弹8核9序列升级a基地爆炸
75	21122 61264	6	   	273.05	橙3易伤2等级2伤害1时间1核弹	129易伤3时间4平台59伤害69等级7核弹8核9序列升级a掉矿
76	31122 45532	2	   	272.97	橙3易伤2等级3时间	17等级249时间346易伤4序列升级5基地爆炸8全技能a核
77	31123 45332	2	   	272.97	橙3易伤2等级3时间	17等级249时间346易伤4序列升级5低血量敌人8全技能a核
78	31143 45332	2	   	272.87	橙3易伤2等级3时间	17等级259时间356易伤4挖青5序列升级8全技能a核
79	31153 45332	3	   	272.87	橙3易伤2等级3时间	17等级259时间3挖青456易伤5序列升级8全技能a核
80	26131 52411	4	   	272.87	橙5易伤2时间2雷电1暴击	1489a易伤28时间3暴击5最后敌人68雷电7核8序列升级
81	26131 52411	5	   	272.87	橙5易伤2时间2雷电1暴击	1489a易伤28时间3暴击5敌人爆炸68雷电7核8序列升级
82	26132 52411	5	   	272.87	橙5易伤2时间2雷电1暴击	1489a易伤28时间3暴击5最后敌人68雷电7核8序列升级
83	26133 52411	4	   	272.87	橙5易伤2时间2雷电1暴击	1489a易伤28时间3暴击5基地爆炸68雷电7核8序列升级
