0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31515 31513	7	 * 	277.85	橙4易伤2等级2伤害	1金币生成237a易伤46伤害59等级8核
141	61513 12632	5	   	248.79	橙4易伤2伤害1时间	1掉矿2379易伤46伤害5时间8核a最后敌人
142	61511 12136	5	   	248.79	橙4易伤2伤害1时间	1掉矿2379易伤46伤害5低血量敌人8时间a核
143	44133 21422	3	   	248.74	橙2易伤2等级1伤害1时间1全技能	1全技能2策反3时间48等级5雷电6伤害7a易伤9核
144	44333 21422	2	   	248.74	橙2易伤2等级1伤害1时间1全技能	1全技能2策反3时间48等级5雷电6伤害7a易伤9核
145	35425 32242	9	 * 	248.71	橙3易伤2时间3攻速1伤害	189金币生成2加一378攻速4伤害59时间689易伤89序列升级a核
146	31522 33631	6	   	248.71	橙4易伤2等级	17金币生成2379易伤4攻速5策反67等级7序列升级8核a矿等
147	31522 33632	6	   	248.71	橙4易伤2等级	17金币生成2379易伤4攻速5策反67等级7序列升级8核a最后敌人
148	31522 33634	6	   	248.71	橙4易伤2等级	17金币生成2379易伤4攻速5策反67等级7序列升级8核a敌人爆炸
149	31522 33636	6	   	248.71	橙4易伤2等级	17金币生成2379易伤4攻速5策反67等级7序列升级8核a随机矿
150	61513 12633	5	   	248.69	橙4易伤2伤害1时间	1a掉矿2379易伤46伤害5时间8核
151	31522 33633	6	   	248.61	橙4易伤2等级	17金币生成2379易伤4攻速5策反67等级7序列升级8核a掉矿
152	61522 33631	6	   	248.51	橙4易伤2等级	17掉矿2379易伤4攻速5策反67等级7序列升级8核a矿等
153	61522 33632	6	   	248.51	橙4易伤2等级	17掉矿2379易伤4攻速5策反67等级7序列升级8核a最后敌人
154	31155 41211	7	   	248.51	橙4易伤2等级	1金币生成2459易伤3低血量敌人67等级8雷电a核
155	31355 41211	7	   	248.51	橙4易伤2等级	1金币生成2459易伤3最后敌人67等级8雷电a核
156	31525 12513	5	   	248.51	橙4易伤2等级	17金币生成236a易伤4攻速59等级8核
157	31525 21513	7	   	248.51	橙4易伤2等级	1金币生成237a易伤4攻速59等级6立即金币8核
158	31515 23225	5	 * 	248.43	橙3易伤1等级1伤害2暴击1卖塔	17金币生成237易伤4伤害5等级67暴击7序列升级8攻速9卖塔a核
159	61522 33633	6	   	248.41	橙4易伤2等级	17a掉矿2379易伤4攻速5策反67等级7序列升级8核
160	31255 41211	7	   	248.41	橙4易伤2等级	1金币生成2459易伤3挖尘67等级8雷电a核
161	35644 31734	7	   	248.41	橙4易伤2等级	1金币生成2加一3459易伤67等级8核a攻速
162	31515 32511	6	   	248.36	橙2易伤2等级2伤害1时间	17金币生成23易伤46伤害59等级8核a时间
163	34315 31511	7	   	248.36	橙2易伤2等级2伤害1时间	12金币生成2序列升级37易伤46伤害59等级8核a时间
164	61152 61241	10	   	248.29	橙4易伤3伤害	18a掉矿248a易伤3低血量敌人5策反68a伤害7加一8a序列升级9核
165	61352 61241	10	   	248.29	橙4易伤3伤害	18a掉矿248a易伤3最后敌人5策反68a伤害7加一8a序列升级9核
166	14113 52122	7	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7最后敌人a核
167	14113 52622	8	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7最后敌人a核
168	14113 52642	9	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7最后敌人a核
169	14113 53122	6	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7最后敌人a核
170	14113 53122	7	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7基地爆炸a核
171	14113 53622	8	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7基地爆炸a核
172	14113 53642	9	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7基地爆炸a核
173	14113 54122	6	   	248.29	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7基地爆炸a核
174	24113 51122	7	   	248.29	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7低血量敌人a核
175	24113 51622	8	   	248.29	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7低血量敌人a核
176	24113 51642	9	   	248.29	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7低血量敌人a核
177	24113 53122	6	   	248.29	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7最后敌人a核
178	24113 54122	7	   	248.29	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7最后敌人a核
179	24113 54622	8	   	248.29	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7最后敌人a核
180	14113 51122	7	   	248.19	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7挖青a核
181	14113 51622	8	   	248.19	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7挖青a核
182	14113 51642	9	   	248.19	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7挖青a核
183	14113 58122	7	   	248.19	橙4易伤3伤害	1低血量敌人2加一3689易伤456伤害6序列升级7挖尘a核
184	24113 58122	7	   	248.19	橙4易伤3伤害	1基地爆炸2加一3689易伤456伤害6序列升级7挖尘a核
185	61252 61241	10	   	248.19	橙4易伤3伤害	18a掉矿248a易伤3挖尘5策反68a伤害7加一8a序列升级9核
186	24173 64241	10	 * 	247.97	橙2易伤3伤害3等级	189基地爆炸2加一39易伤489等级578伤害6随机矿89序列升级a核
187	24173 64222	8	   	247.87	橙2易伤3伤害2等级	18基地爆炸2加一39易伤48等级578伤害6随机矿8序列升级a核
188	24173 64442	9	   	247.87	橙2易伤3伤害2等级	19基地爆炸2加一39易伤49等级578伤害6随机矿9序列升级a核
