0	Index      	 *	Score 	Summary	Detail	
1	42226 13343	 * 	262.90	DCR|4VULN|2DMG|2DUR|1AART	135aVULN|26DUR|4aLWND|7aDMG|8RCR|9AART|aBPWR
32	23532 33252	   	245.46	DCR|2VULN|2MLV|1TLV|1DMG|2ASPD|1CDMG	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DMG|aMDPS
33	23532 33253	   	245.46	DCR|2VULN|2MLV|1TLV|1DMG|2ASPD|1CDMG	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DMG|aTBNT
34	23532 33255	   	245.46	DCR|2VULN|2MLV|1TLV|1DMG|1CDMG|2ASPD	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DMG|aLEGI
35	53113 12434	 * 	245.20	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1BELT|2DMG|3VULN|4LHND|5MLV|6TBNT|7SELL|8aRCR|9ASPD
36	42126 13343	   	243.74	DCR|3VULN|2DMG|2DUR|1AART	15aVULN|26DUR|3RCVC|4aLWND|7aDMG|8RCR|9AART|aBPWR
37	42221 23343	   	243.64	DCR|3VULN|2DMG|2DUR|1AART	13aVULN|2aDUR|4LWND|5AEWIND|6RCVC|7aDMG|8RCR|9AART|aBPWR
38	42223 23343	   	243.64	DCR|3VULN|2DMG|2DUR|1AART	13aVULN|2aDUR|4LWND|5AEBURN|6RCVC|7aDMG|8RCR|9AART|aBPWR
39	42611 23343	   	243.64	DCR|3VULN|2DMG|2DUR|1AART	14aVULN|2aDUR|3LWND|5AEWIND|6RCVC|7aDMG|8RCR|9AART|aBPWR
40	42613 23343	   	243.64	DCR|3VULN|2DMG|2DUR|1AART	14aVULN|2aDUR|3LWND|5AEBURN|6RCVC|7aDMG|8RCR|9AART|aBPWR
41	33113 45226	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1ERES|2RPLT|3DUR|4LSRREG|5AART|6aRCR|7SNIFST|8VULN|9CDMG
42	33133 45226	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1ERES|2RPLT|3DUR|4VENICY|5AART|6aRCR|7SNIFST|8VULN|9CDMG
43	12216 13312	 * 	242.91	DCR|4VULN|3DUR|1DMG	1LHND|269DUR|345aVULN|7DMG|8RCR
44	42316 13312	   	242.91	DCR|4VULN|3DUR|1DMG	145aVULN|269DUR|3BEXP|7DMG|8RCR
45	42616 13312	   	242.91	DCR|4VULN|3DUR|1DMG	145aVULN|269DUR|3LWND|7DMG|8RCR
46	42216 13312	   	242.91	DCR|4VULN|3DUR|1DMG	135aVULN|269DUR|4FEWX|7DMG|8RCR
47	42226 13312	   	242.91	DCR|4VULN|3DUR|1DMG	135aVULN|269DUR|4LWND|7DMG|8RCR
48	42416 13312	   	242.81	DCR|4VULN|3DUR|1DMG	145aVULN|269DUR|3DUST|7DMG|8RCR
49	46222 33263	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	14aVULN|2MLV|3LIT|5DUR|6SPLJET|7TLV|8DMG|9RCR
50	42311 16612	   	241.34	DCR|3VULN|3DUR|2DMG	149VULN|269DUR|3BEXP|5AEWIND|7MBVNT|89DMG|9BPWR|aRCR
51	42313 16612	   	241.34	DCR|3VULN|3DUR|2DMG	149VULN|269DUR|3BEXP|5AEBURN|7MBVNT|89DMG|9BPWR|aRCR
52	42243 13123	   	240.92	DCR|3VULN|2MLV|2DUR|1AART	137VULN|27DUR|4AART|5RCVC|67MLV|7BPWR|8LWND|9ASPD|aRCR
53	42243 13623	   	240.92	DCR|3VULN|2MLV|2DUR|1AART	137VULN|27DUR|4AART|5RCVC|67MLV|7BPWR|8FEWX|9ASPD|aRCR
54	12216 23346	   	239.70	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1LHND|2DUR|345VULN|6RCVC|7DMG|8RCR|9AART|aTLV
55	12216 13316	   	239.35	DCR|3VULN|3DUR|1DMG|1MLV	1LHND|269DUR|345VULN|7DMG|8RCR|aMLV
56	42316 13316	   	239.35	DCR|3VULN|3DUR|1DMG|1MLV	145VULN|269DUR|3BEXP|7DMG|8RCR|aMLV
57	42216 13316	   	239.35	DCR|3VULN|3DUR|1DMG|1MLV	135VULN|269DUR|4FEWX|7DMG|8RCR|aMLV
58	23532 33261	   	239.15	DCR|2VULN|2MLV|1TLV|1CDMG|2ASPD|1DUR	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DUR|aMGNSTR
59	23532 33262	   	239.15	DCR|2VULN|2MLV|1TLV|1DUR|2ASPD|1CDMG	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DUR|aBELT
60	21134 35432	   	239.13	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2RAT|3CGEN|4FEWX|5CDMG|6VULN|7RPLT|8MLV|9aRCR
61	23532 33263	   	239.05	DCR|2VULN|2MLV|1TLV|1DUR|2ASPD|1CDMG	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DUR|aAEPOI
62	23532 33264	   	239.05	DCR|2VULN|2MLV|1TLV|1DUR|2ASPD|1CDMG	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DUR|aBBNT
63	23525 61232	   	239.03	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2RPLT|3VULN|4BEXP|5RAT|6MLV|7ERES|8CDMG|9aRCR
64	23525 63232	   	239.03	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2RPLT|3VULN|4BEXP|5RAT|6MLV|7AME|8CDMG|9aRCR
65	32223 14241	 * 	238.67	DCR|DCR|2MLV|1DMG|2CDMG	18ERES|2LIT|38CDMG|4DMG|5AEBURN|68MLV|7RMIN|8BPWR|9aRCR
66	12216 13313	   	237.40	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|269DUR|345VULN|7DMG|8RCR|aCDMG
67	42316 13313	   	237.40	DCR|3VULN|3DUR|1DMG|1CDMG	145VULN|269DUR|3BEXP|7DMG|8RCR|aCDMG
68	42616 13313	   	237.40	DCR|3VULN|3DUR|1DMG|1CDMG	145VULN|269DUR|3LWND|7DMG|8RCR|aCDMG
69	42216 13313	   	237.40	DCR|3VULN|3DUR|1DMG|1CDMG	135VULN|269DUR|4FEWX|7DMG|8RCR|aCDMG
70	42226 13313	   	237.40	DCR|3VULN|3DUR|1DMG|1CDMG	135VULN|269DUR|4LWND|7DMG|8RCR|aCDMG
71	42416 13313	   	237.30	DCR|3VULN|3DUR|1DMG|1CDMG	145VULN|269DUR|3DUST|7DMG|8RCR|aCDMG
72	45323 23261	 * 	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1VULN|2BBNT|3FEWX|4LHND|5AAC|6DUR|79RCR|8LSRICY|aDMG
73	26631 32142	   	236.35	DCR|DCR|1VULN|1DMG|2ASPD	18ASPD|2DUST|3LWND|4MBVNT|5DMG|6aRCR|7RAT|9VULN
74	26631 44142	   	236.35	DCR|DCR|1VULN|1DMG|2ASPD	18ASPD|2DUST|3LWND|4MBVNT|5DMG|6RAT|7aRCR|9VULN
75	32223 35441	   	236.35	DCR|DCR|1VULN|1DMG|1CDMG	18ERES|26LIT|3CDMG|4DMG|5AEBURN|7aRCR|9VULN
76	32223 36541	   	236.35	DCR|DCR|1VULN|1DMG|1CDMG	17ERES|26LIT|3CDMG|4DMG|5AEBURN|8VULN|9aRCR
77	45163 13332	 * 	236.04	DCR|3VULN|2TLV|1DMG|1CDMG|1SELL	147VULN|2BBNT|3SELL|57TLV|6TBNT|7BPWR|8CDMG|9DMG|aRCR
78	21624 11362	 * 	235.88	DCR|DCR|2VULN	1ASPD|2RAT|3TBNT|4AEBURN|5RPLT|6aVULN|79RCR|8LIT
79	31523 36532	   	235.78	DCR|DCR|1VULN|1TLV	1ERES|2RAT|3TLV|4VULN|5MBVNT|6ZMB|7ASPD|8DUST|9aRCR
80	45316 22232	   	235.59	DCR|4VULN|2TLV|1DUR	157aVULN|2BBNT|3aFEWX|4CGEN|6DUR|8RCR|9aTLV|aBPWR
81	45335 22232	   	235.59	DCR|4VULN|2TLV|1DUR	147aVULN|2BBNT|3aFEWX|5CGEN|6DUR|8RCR|9aTLV|aBPWR
82	25114 22433	   	234.95	DCR|3VULN|1TLV|1DMG|1MLV	1ASPD|2CGEN|3MLV|4FEWX|589VULN|6TLV|7DMG|aRCR
83	53532 11336	 * 	234.40	DCR|DCR|2DMG|1TLV	1BELT|23DMG|4TBNT|5LWND|6TLV|7aRCR|8ERES|9SNITOX
84	42243 13253	   	233.98	DCR|3VULN|2MLV|2DUR|1AART|1AAC	137VULN|27DUR|4AART|5RCVC|67MLV|7BPWR|8AAC|9FEWX|aRCR
85	25135 38133	   	233.88	DCR|3VULN|2MLV|1TLV|2ASPD	17ASPD|2CGEN|37MLV|4MBVNT|579VULN|6RMIN|7BPWR|8TLV|aRCR
86	42243 13223	   	233.88	DCR|3VULN|2MLV|2DUR|1AART|1AAC	137VULN|27DUR|4AART|5RCVC|67MLV|7BPWR|8AAC|9AETHUN|aRCR
87	42243 13243	   	233.88	DCR|3VULN|2MLV|2DUR|1AART|1AAC	137VULN|27DUR|4AART|5RCVC|67MLV|7BPWR|8AAC|9LEGI|aRCR
88	46222 33261	   	233.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1CDMG	14VULN|2MLV|3LIT|5DUR|6SPLJET|7TLV|8DMG|9RCR|aCDMG
89	42121 13343	   	232.95	DCR|2VULN|3DUR|2DMG|1AART	1aVULN|26aDUR|3RCVC|4LWND|5AEWIND|7aDMG|8RCR|9AART|aBPWR
90	42123 13343	   	232.95	DCR|2VULN|3DUR|2DMG|1AART	1aVULN|26aDUR|3RCVC|4LWND|5AEBURN|7aDMG|8RCR|9AART|aBPWR
