0	Index      	 *	Score 	Summary	Detail	
1	12224 36322	 * 	277.28	ACR|DCR|3VULN|1TLV|1DMG|1DUR	18aVULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9DUR
15	12226 36322	   	266.68	ACR|DCR|3VULN|1DMG|1MLV|1DUR	18aVULN|2DMG|3BOSS|47RCR|5MLV|6BEXP|9DUR
16	12224 36324	 * 	265.47	ACR|DCR|2VULN|2TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5aTLV|6BEXP|9DUR
17	13621 56132	 * 	264.91	DCR|4VULN|3DMG|1TLV	1247VULN|24BPWR|346DMG|5CGEN|8RPLT|9TLV|aRCR
18	13621 32613	   	262.80	DCR|4VULN|2DMG|1TLV|1AART	124aVULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|9AART
19	13642 15144	 * 	260.64	DCR|3VULN|2FLTARM|1TLV|1DMG	128VULN|2BPWR|3DMG|46FLTARM|5BELT|7MBVNT|9TLV|aRCR
20	13264 36112	 * 	260.01	DCR|5VULN|2DMG|2CDMG	12379VULN|27BPWR|47DMG|57CDMG|6RCVC|8BEXP|aRCR
21	13264 36312	   	260.01	DCR|5VULN|2DMG|2CDMG	12379VULN|27BPWR|47DMG|57CDMG|6RCVC|8LWND|aRCR
22	13634 36112	   	260.01	DCR|5VULN|2DMG|2CDMG	12479VULN|27BPWR|37DMG|57CDMG|6RCVC|8BEXP|aRCR
23	13634 36312	   	260.01	DCR|5VULN|2DMG|2CDMG	12479VULN|27BPWR|37DMG|57CDMG|6RCVC|8LWND|aRCR
24	13624 36122	 * 	258.77	DCR|4VULN|3DMG|2CDMG	1247VULN|247BPWR|347DMG|57CDMG|6RCVC|8MDPS|9LWND|aRCR
25	13351 53325	 * 	257.85	DCR|4VULN|3TLV|1MLV|1DUR	1278VULN|278BPWR|378LWND|4MLV|5DUR|678TLV|9DUST|aRCR
26	13641 61144	 * 	257.67	DCR|4VULN|1FLTARM|1TLV|1DMG	1268VULN|2BPWR|3DMG|4FLTARM|5MBVNT|7BELT|9TLV|aRCR
27	12224 36135	   	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	19VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|8BELT|aMLV
28	12223 16365	 * 	256.99	ACR|DCR|2VULN|2AAC|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5BEXP|6MLV|9aAAC
29	12226 16322	   	256.99	ACR|DCR|2VULN|2DUR|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5MLV|69DUR|aCGEN
30	12226 16324	   	256.99	ACR|DCR|2VULN|2DUR|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5MLV|69DUR|aRMIN
31	12226 16326	   	256.99	ACR|DCR|2VULN|2DUR|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5MLV|69DUR|aRPLT
32	12223 16334	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5BEXP|6MLV|9DUST|aTLV
33	12226 36334	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5MLV|6BEXP|9DUST|aTLV
34	12226 16321	   	256.89	ACR|DCR|2VULN|2DUR|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5MLV|69DUR|aDUST
35	12226 16323	   	256.89	ACR|DCR|2VULN|2DUR|1DMG|1MLV	18VULN|2DMG|3BOSS|47RCR|5MLV|69DUR|aAME
36	12661 23326	 * 	256.75	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3BEXP|4TLV|67DUR|7BPWR|8LHND|9RCR|aASPD
37	13621 32615	 * 	256.09	DCR|3VULN|2DMG|2AART|1TLV	124VULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|9aAART
38	13621 32635	   	256.09	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|aASPD
39	12224 16125	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1aVULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|9ZMB
40	12224 16133	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	19VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|aCGEN
41	12224 16134	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	19VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|aBEXP
42	12224 16135	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	19VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|aRCVC
43	12224 16136	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	19VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|aFEWX
44	12224 16342	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9RCVC|aCGEN
45	12224 16352	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9ZMB|aFEWX
46	12224 16362	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9CGEN|aFEWX
47	12224 36321	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9DUR|aBELT
48	12224 36522	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1aVULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|8RCVC|9DUR
49	12221 16343	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5CGEN|6DUR|9RCVC|aTLV
50	12221 16356	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5CGEN|6DUR|9ZMB|aTLV
51	12221 16363	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|59CGEN|6DUR|aTLV
52	12221 36324	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5CGEN|6BEXP|9DUR|aTLV
53	12224 16163	 * 	255.14	ACR|DCR|1VULN|1FLTARM|1TLV|1DMG|1DUR	1VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|9FEWX|aFLTARM
54	12224 16131	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	19VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|aERES
55	12224 16132	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	19VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|aDUST
56	12224 16232	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1NUKE	1aVULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8RMIN|9NUKE
57	12224 16312	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9AEFRZ|aCGEN
58	12224 16314	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9AEFRZ|aRMIN
59	12224 16316	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9AEFRZ|aRPLT
60	12224 16331	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9MSLFST|aRMIN
61	12224 16332	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9MSLFST|aFEWX
62	12224 16335	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9MSLFST|aBELT
63	12224 16336	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9MSLFST|aRCVC
64	12224 16341	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9RCVC|aDUST
65	12224 16343	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9RCVC|aAME
66	12224 16351	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9ZMB|aAEFRZ
67	12224 16353	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9ZMB|aERES
68	12224 16361	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9CGEN|aAEFRZ
69	12224 16363	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9CGEN|aERES
70	12224 36323	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9DUR|aAME
71	12224 36335	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9DUST|aAAC
72	12224 36361	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9AAC|aAEFRZ
73	12224 36362	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9AAC|aFEWX
74	12224 36363	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9AAC|aERES
75	12221 16313	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5CGEN|6DUR|9AEFRZ|aTLV
76	12224 16251	   	255.04	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1AART	1VULN|2DMG|3BOSS|47RCR|5TLV|6aDUR|8RMIN|9AART
77	12224 16311	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9AEFRZ|aDUST
78	12224 16313	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9AEFRZ|aAME
79	12224 16333	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|9MSLFST|aDUST
80	13611 33123	 * 	254.07	DCR|3VULN|2DMG|2TLV|1DUR	127VULN|27BPWR|37DMG|4FEWX|5DUR|67TLV|8MBVNT|9LWND|aRCR
81	13641 61414	 * 	253.61	DCR|4VULN|2FLTARM|1DMG	1269VULN|29BPWR|3DMG|49FLTARM|5MBVNT|7BELT|89AME|aRCR
82	12224 16235	   	253.59	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC|1NUKE	1VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8RMIN|9NUKE|aAAC
83	13624 26333	   	253.39	DCR|5VULN|2DMG|1CDMG	1249aVULN|24BPWR|34DMG|5CDMG|6MDPS|7ERES|8RCR
84	13214 16624	 * 	252.95	DCR|4VULN|2MLV|2DUR|1CDMG	1239VULN|29BPWR|49MLV|5CDMG|6ERES|7MBVNT|89DUR|aRCR
85	13621 53631	   	252.46	DCR|4VULN|3DMG|1CDMG	1247VULN|247BPWR|346DMG|57CGEN|8RCR|9LIT|aCDMG
86	13624 52131	   	252.31	DCR|4VULN|2DMG|1MLV|1CDMG	124aVULN|24BPWR|34DMG|5CDMG|6BELT|7MLV|8BEXP|9RCR
87	13625 33433	   	252.26	DCR|4VULN|3DMG|1DUR	1248VULN|248BPWR|348DMG|5RCVC|678DUST|9RCR|aDUR
88	13642 11216	 * 	252.13	DCR|3VULN|2FLTARM|2DMG	129VULN|29BPWR|39DMG|46FLTARM|5BELT|7LWND|89ERES|aRCR
89	12224 36334	   	251.72	ACR|DCR|2VULN|2TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5aTLV|6BEXP|9DUST
90	12224 16151	   	251.48	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1VULN|2DMG|3BOSS|47RCR|5TLV|6DUR|8BELT|9MLV|aASPD
91	12221 16131	   	251.07	ACR|DCR|3VULN|1DMG|1DUR	19aVULN|2DMG|3BOSS|47RCR|5CGEN|6DUR|8BELT
92	12221 36322	   	251.07	ACR|DCR|3VULN|1DMG|1DUR	18aVULN|2DMG|3BOSS|47RCR|5CGEN|6BEXP|9DUR
93	12223 56512	   	251.07	ACR|DCR|3VULN|1DMG|1DUR	19aVULN|2DMG|3BOSS|47RCR|5BEXP|6RMIN|8DUR
94	41162 31363	 * 	250.45	DCR|DCR|1TLV|2DUR|1AART|1CDMG|1AAC	1CDMG|2LWND|3BEXP|49DUR|5AART|6aRCR|7AAC|8TLV
95	33332 63622	 * 	250.39	DCR|3VULN|2TLV|2MLV|1DMG|1SELL	1TBNT|2SELL|347VULN|57MLV|67TLV|7BPWR|8DUST|9DMG|aRCR
96	41162 32363	   	250.35	DCR|DCR|1TLV|2DUR|1AART|1CDMG|1NUKE	1CDMG|2LWND|3BEXP|49DUR|5AART|6aRCR|7NUKE|8TLV
97	13624 26332	   	250.15	DCR|4VULN|2DMG|1CDMG|1AAC	1249VULN|24BPWR|34DMG|5CDMG|6MDPS|7ERES|8RCR|aAAC
98	12131 23324	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3LWND|4CGEN|67DUR|7BPWR|8LHND|9RCR|aTLV
99	12161 23321	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3LWND|4TLV|67DUR|7BPWR|8LHND|9RCR|aBEXP
100	12161 23325	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3LWND|4TLV|67DUR|7BPWR|8LHND|9RCR|aDMSP
101	12161 23326	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3LWND|4TLV|67DUR|7BPWR|8LHND|9RCR|aRPLT
102	12631 23324	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3BEXP|4CGEN|67DUR|7BPWR|8LHND|9RCR|aTLV
103	12661 23321	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3aBEXP|4TLV|67DUR|7BPWR|8LHND|9RCR
104	12661 23323	   	249.81	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3BEXP|4TLV|67DUR|7BPWR|8LHND|9RCR|aZMB
105	12161 23322	   	249.71	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3LWND|4TLV|67DUR|7BPWR|8LHND|9RCR|aTBNT
106	12161 23323	   	249.71	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3LWND|4TLV|67DUR|7BPWR|8LHND|9RCR|aMSLFST
107	12661 23322	   	249.71	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3BEXP|4TLV|67DUR|7BPWR|8LHND|9RCR|aAME
108	12661 23324	   	249.71	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3BEXP|4TLV|67DUR|7BPWR|8LHND|9RCR|aTBNT
109	12661 23325	   	249.71	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|257DMG|3BEXP|4TLV|67DUR|7BPWR|8LHND|9RCR|aLEGI
110	12461 22325	   	249.46	DCR|2VULN|2DMG|2DUR|1TLV|1MLV	1aVULN|25DMG|36DUR|4TLV|7TBNT|8RCR|9MLV
111	13622 42612	   	249.25	DCR|4VULN|2DMG|1TLV	1246VULN|24BPWR|34DMG|5BEXP|7LHND|8RCR|9DMSP|aTLV
112	13623 42612	   	249.25	DCR|4VULN|2DMG|1TLV	1246VULN|24BPWR|34DMG|5FEWX|7LHND|8RCR|9DMSP|aTLV
113	13622 12626	   	249.25	DCR|4VULN|2DMG|1TLV	124aVULN|24aBPWR|34DMG|5aBEXP|6CGEN|7TLV|8RCR|9aERES
114	13622 24314	   	249.25	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5BEXP|6RPLT|7RAT|8RCR|aTLV
115	13623 24314	   	249.25	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5FEWX|6RPLT|7RAT|8RCR|aTLV
116	13622 43612	   	249.15	DCR|4VULN|2DMG|1TLV	1246VULN|24BPWR|34DMG|5BEXP|7DUST|8RCR|9DMSP|aTLV
117	13623 43612	   	249.15	DCR|4VULN|2DMG|1TLV	1246VULN|24BPWR|34DMG|5FEWX|7DUST|8RCR|9DMSP|aTLV
118	13621 32631	   	249.15	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|aRPLT
119	13621 32636	   	249.15	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|aRCVC
120	13621 32632	   	249.05	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|aAME
121	13621 32633	   	249.05	DCR|4VULN|2DMG|1TLV	1249VULN|24BPWR|34DMG|5CGEN|6AETHUN|7TLV|8RCR|aMDPS
122	13232 55223	 * 	247.94	DCR|4VULN|2TLV|1FLTARM	123aVULN|2BPWR|4DUST|59TLV|6RAT|7FLTARM|8RCR
123	15241 33115	 * 	247.80	DCR|4VULN|2TLV|2DUR|1SELL	1379VULN|2RPLT|4SELL|57DUR|67TLV|7BPWR|8MBVNT|aRCR
124	12351 53123	   	247.54	DCR|2VULN|2DMG|2TLV|1MLV|1DUR	17VULN|27DMG|3RMIN|4MLV|5DUR|67TLV|7BPWR|8MBVNT|9LWND|aRCR
125	14334 11361	 * 	247.34	DCR|2VULN|3DUR|2TLV|1MLV|1CDMG|1NUKE	17VULN|2AETHUN|3NUKE|4CDMG|57TLV|679DUR|7BPWR|8RCR|aMLV
