0	Index      	 *	Score 	Summary	Detail	
1	16243 37247	 * 	266.49	DCR|DCR|2VULN|3DUR	1RAT|2MBVNT|367DUR|4MDPS|59VULN|8aRCR
24	11262 23443	   	248.20	DCR|DCR|1VULN|1MSLTOX|1MLV|1CDMG|1SELL	12RAT|2BPWR|3RMIN|4MLV|5CDMG|6VULN|78RCR|9SELL|aMSLTOX
25	36112 12111	 * 	247.39	DCR|2VULN|3DMG|2TLV|1AART	19TLV|2BBNT|3aVULN|49BLASTR|579DMG|6RCR|8AART|9BPWR
26	25321 54231	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TBNT|2FLTFST|3MLV|4TLV|5LWND|6MSLREG|7DMG|8aRCR|9DUR
27	11262 23421	   	245.74	DCR|DCR|1VULN|1MLV|1CDMG|1AAC	12RAT|2BPWR|3RMIN|4MLV|5CDMG|6VULN|78RCR|9AAC|aRPLT
28	11262 23423	   	245.74	DCR|DCR|1VULN|1MLV|1CDMG|1AAC	12RAT|2BPWR|3aRMIN|4MLV|5CDMG|6VULN|78RCR|9AAC
29	11262 23424	   	245.74	DCR|DCR|1VULN|1MLV|1CDMG|1AAC	12RAT|2BPWR|3RMIN|4MLV|5CDMG|6VULN|78RCR|9AAC|aBOSS
30	11262 23425	   	245.74	DCR|DCR|1VULN|1MLV|1CDMG|1AAC	12RAT|2BPWR|3RMIN|4MLV|5CDMG|6VULN|78RCR|9AAC|aCGEN
31	14262 23421	   	245.74	DCR|DCR|1VULN|1MLV|1CDMG|1AAC	12RAT|3RMIN|4MLV|5CDMG|6VULN|78RCR|9AAC|aRPLT
32	14262 23423	   	245.74	DCR|DCR|1VULN|1MLV|1CDMG|1AAC	12RAT|3aRMIN|4MLV|5CDMG|6VULN|78RCR|9AAC
33	52142 43312	 * 	244.66	ACR|DCR|3VULN|1DUR|1CDMG	1CDMG|2BELT|3DUR|49aVULN|58RCR|6LWND|7LHND
34	52142 51312	   	244.66	ACR|DCR|3VULN|1DUR|1CDMG	1CDMG|2BELT|3DUR|49aVULN|58RCR|6BEXP|7LWND
35	52142 31312	   	244.56	ACR|DCR|3VULN|1DUR|1CDMG	1CDMG|2BELT|3DUR|49aVULN|58RCR|6LEGI|7LWND
36	35623 31241	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1AART	1TLV|2SNITOX|3DUR|4AME|5DMG|6aRAT|79RCR|8AART
37	35623 31243	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1AART	1TLV|2SNITOX|3DUR|4AME|5DMG|6RAT|79RCR|8AART|aBEXP
38	35623 31242	   	244.11	DCR|DCR|1TLV|1DMG|1DUR|1AART	1TLV|2SNITOX|3DUR|4AME|5DMG|6RAT|79RCR|8AART|aAEWIND
39	52612 26111	   	242.89	DCR|DCR|2VULN|1CDMG	1CDMG|24BELT|36RAT|56VULN|6BPWR|7aRCR|8CGEN|9RCVC
40	16242 35247	   	242.49	DCR|DCR|2VULN|1DUR	1RAT|2MBVNT|3DUR|4MDPS|5TBNT|6LHND|79VULN|8aRCR
41	52122 15352	 * 	241.29	ACR|DCR|2VULN|2DUR|2CDMG	1aCDMG|2BELT|3aDUR|4LWND|58RCR|6ERES|7MDPS|9aVULN|aBPWR
42	52113 53314	   	240.55	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1CDMG|2BELT|3DUR|4MLV|5AEBURN|6BBNT|78RCR|9ASPD|aDMG
43	52113 53341	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1CDMG|2BELT|3DUR|4MLV|5AEBURN|6BBNT|78RCR|9FEWX|aTLV
44	52113 53351	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1CDMG|2BELT|3DUR|4MLV|5AEBURN|6BBNT|78RCR|9LWND|aTLV
45	54113 53321	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1CDMG|2FEWX|3BELT|4MLV|5AEBURN|6BBNT|78RCR|9DUR|aTLV
46	56113 53321	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1CDMG|2BEXP|3BELT|4MLV|5AEBURN|6BBNT|78RCR|9DUR|aTLV
47	52113 53361	   	239.65	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1CDMG|2BELT|3DUR|4MLV|5AEBURN|6BBNT|78RCR|9DUST|aTLV
48	52114 53311	 * 	239.19	DCR|DCR|2MLV|2CDMG|1DUR	1aCDMG|2BELT|3DUR|45MLV|6BBNT|78RCR|9ASPD
49	11262 23451	 * 	238.40	DCR|DCR|1VULN|2CDMG|1MLV	12RAT|2BPWR|3RMIN|4MLV|5aCDMG|6VULN|78RCR|9DUST
50	52114 53323	   	238.39	DCR|DCR|2MLV|2DUR|1CDMG	1CDMG|2BELT|39DUR|45MLV|6BBNT|78RCR|aFEWX
51	52114 53321	   	238.29	DCR|DCR|2MLV|2DUR|1CDMG	1CDMG|2BELT|39DUR|45MLV|6BBNT|78RCR|aDUST
