0	Index      	 *	Score 	Summary	Detail	
1	43251 11116	 * 	291.71	DCR|DCR|2VULN|1DMG|2CDMG|1MLV	16VULN|25CDMG|3RAT|4ASPD|7aRCR|8DMG|9MLV
35	44133 23116	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DUR|aRPLT
36	44133 23153	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DMSP|aCDMG
37	41513 23484	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2MDPS|4MBVNT|5ZMB|67RCR|8LIT|9DMG|aCDMG
38	44133 23111	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DUR|aLSRICY
39	44133 23112	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DUR|aAEFRZ
40	44133 23113	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DUR|aSNIFST
41	41513 23161	   	262.08	DCR|DCR|3VULN|1NUKE	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DMSP|aNUKE
42	42241 22118	   	262.08	DCR|DCR|2VULN|1TLV	19VULN|2TBNT|3ASPD|4MBVNT|5ZMB|6FEWX|7aRCR|8TLV
43	42241 22328	   	262.08	DCR|DCR|2VULN|1TLV	18VULN|2TBNT|3ASPD|4MBVNT|5ZMB|6FEWX|7aRCR|9TLV
44	42241 42118	   	262.08	DCR|DCR|2VULN|1TLV	19VULN|2TBNT|3ASPD|4MBVNT|5ZMB|6BEXP|7aRCR|8TLV
45	42241 42328	   	262.08	DCR|DCR|2VULN|1TLV	18VULN|2TBNT|3ASPD|4MBVNT|5ZMB|6BEXP|7aRCR|9TLV
