0	Index      	 *	Score 	Summary	Detail	
1	22633 41532	 * 	289.08	紫橙3易伤1等级1矿等	1掉矿2a核3金币生成459易伤6等级7基地爆炸8矿等
48	21433 62123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6低血量敌人7全技能8a核9伤害
49	23423 22123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6全技能7最后敌人8a核9伤害
50	23423 25123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6全技能7敌人爆炸8a核9伤害
51	23423 62123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6低血量敌人7全技能8a核9伤害
52	26433 52123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2敌人爆炸3易伤4攻速5雷电6挖青7全技能8a核9伤害
53	21433 52123	   	260.80	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6挖青7全技能8a核9伤害
54	23423 52123	   	260.80	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6挖青7全技能8a核9伤害
55	23612 63143	   	260.77	橙2易伤2矿等1等级1暴击	1掉矿2基地爆炸3等级4时间57矿等6暴击8核9a易伤
56	32652 13261	   	260.74	橙橙1矿等1伤害1技能1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5挖尘6伤害79核8矿等a技能
57	33155 13321	 * 	259.89	橙3易伤2伤害1矿等1攻速	1双倍秒伤2挖尘367易伤4矿等5a伤害8核9攻速
58	36143 53311	   	259.71	橙橙2易伤	1双倍秒伤2最后敌人3a易伤4雷电5时间6随机技能79核8金币生成
59	33143 53311	   	259.61	橙橙2易伤	1双倍秒伤2挖尘3a易伤4雷电5时间6随机技能79核8金币生成
60	33143 53411	   	259.61	橙橙2易伤	1双倍秒伤2挖尘3a易伤4雷电5时间6随机技能79核8随机矿
61	33143 53611	   	259.51	橙橙2易伤	1双倍秒伤2挖尘3a易伤4雷电5时间6随机技能79核8掉矿
62	22633 61232	 * 	259.34	紫橙4易伤	1掉矿2a核3金币生成4569易伤7低血量敌人8时间
63	22633 62232	   	259.34	紫橙4易伤	1掉矿2a核3金币生成4569易伤7敌人爆炸8时间
64	31152 13321	   	259.30	橙3易伤1矿等1伤害1技能1攻速	1双倍秒伤2敌人爆炸367易伤4矿等5技能8核9攻速a伤害
65	33152 13321	   	259.20	橙3易伤1矿等1伤害1技能1攻速	1双倍秒伤2挖尘367易伤4矿等5技能8核9攻速a伤害
